leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
ILL000003,member,95th,50,upper,il,Republican,,,,,
ILL000003,member,97th,50,upper,il,Republican,,,,,
ILL000003,member,96th,50,upper,il,Republican,,,,,
ILL000003,member,93rd,50,upper,il,Republican,,,,,
ILL000003,member,94th,50,upper,il,Republican,,,,,
ILL000006,member,93rd,10,lower,il,Democratic,,,,,
ILL000006,member,97th,5,upper,il,Democratic,,,,,
ILL000006,member,96th,10,lower,il,Democratic,,,,,
ILL000006,member,95th,10,lower,il,Democratic,,,,,
ILL000006,member,94th,10,lower,il,Democratic,,,,,
ILL000008,member,95th,19,upper,il,Democratic,,,,,
ILL000008,member,97th,19,upper,il,Democratic,,,,,
ILL000008,member,96th,19,upper,il,Democratic,,,,,
ILL000008,member,93rd,19,upper,il,Democratic,,,,,
ILL000008,member,94th,19,upper,il,Democratic,,,,,
ILL000010,member,95th,105,lower,il,Republican,,,,,
ILL000010,member,97th,53,upper,il,Republican,,,,,
ILL000010,member,96th,53,upper,il,Republican,,,,,
ILL000010,member,93rd,105,lower,il,Republican,,,,,
ILL000010,member,94th,105,lower,il,Republican,,,,,
ILL000016,member,95th,29,upper,il,Democratic,,,,,
ILL000016,member,97th,29,upper,il,Democratic,,,,,
ILL000016,member,96th,29,upper,il,Democratic,,,,,
ILL000016,member,93rd,29,upper,il,Democratic,,,,,
ILL000016,member,94th,29,upper,il,Democratic,,,,,
ILL000024,member,97th,48,upper,il,Republican,,,,,
ILL000024,member,96th,48,upper,il,Republican,,,,,
ILL000031,member,95th,25,upper,il,Republican,,,,,
ILL000031,member,97th,25,upper,il,Republican,,,,,
ILL000031,member,96th,25,upper,il,Republican,,,,,
ILL000031,member,93rd,25,upper,il,Republican,,,,,
ILL000031,member,94th,25,upper,il,Republican,,,,,
ILL000035,member,95th,18,upper,il,Democratic,,,,,
ILL000035,member,97th,18,upper,il,Democratic,,,,,
ILL000035,member,96th,18,upper,il,Democratic,,,,,
ILL000035,member,93rd,18,upper,il,Democratic,,,,,
ILL000035,member,94th,18,upper,il,Democratic,,,,,
ILL000039,member,95th,15,upper,il,Democratic,,,,,
ILL000039,member,97th,15,upper,il,Democratic,,,,,
ILL000039,member,96th,15,upper,il,Democratic,,,,,
ILL000039,member,93rd,15,upper,il,Independent,,,,,
ILL000039,member,94th,15,upper,il,Independent,,,,,
ILL000040,member,95th,28,upper,il,Republican,,,,,
ILL000040,member,97th,28,upper,il,Republican,,,,,
