state,session,chamber,bill_id,date,action,actor,type
in,2011,lower,HB 1001,2011-01-18 00:00:00,Authored by Representative Espich,lower,other
in,2011,lower,HB 1001,2011-01-18 00:00:00,First reading: referred to Committee on Ways and Means,lower,bill:introduced|bill:reading:1|committee:referred
in,2011,lower,HB 1001,2011-02-21 00:00:00,"Committee report: amend do pass,  adopted",lower,committee:passed:favorable
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Second reading: amended,  ordered engrossed",lower,bill:reading:2
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 149  (Soliday),  prevailed; Division of the House: yeas 62,  nays 34",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 5    (Welch),  failed; Roll Call 331: yeas 25,  nays 67",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 186  (Grubb),  prevailed; Roll Call 332: yeas 88,  nays 3",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 335  (Riecken),  failed; voice vote",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 82   (Pelath),  failed; Roll Call 333: yeas 35,  nays 60",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 34   (C. Fry),  failed; Roll Call 334: yeas 31,  nays 60",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 1    (Austin),  failed; Roll Call 335: yeas 39,  nays 57",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 150  (Clere),  prevailed; Roll Call 336: yeas 94,  nays 1",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 120  (Summers),  failed; voice vote",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 131  (Summers),  failed; Roll Call 337: yeas 38,  nays 60",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 133  (Summers),  withdrawn",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 135  (Summers),  failed; Roll Call 338: yeas 37,  nays 60",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 33   (Candelaria Reardon),  failed; voice vote",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 125  (Tyler),  failed; Roll Call 339: yeas 37,  nays 60",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 72   (Battles),  prevailed; Roll Call 340: yeas 79,  nays 17",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 19   (Riecken),  prevailed; Roll Call 341: yeas 83,  nays 13",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 15   (Niezgodski),  withdrawn",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 43   (Pryor),  prevailed; Roll Call 342: yeas 88,  nays 4",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 174  (Pryor),  failed; Roll Call 343: yeas 31,  nays 65",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 17   (Day),  failed; voice vote",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 95   (Klinker),  prevailed; Roll Call 344: yeas 86,  nays 6",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 96   (Klinker),  prevailed; Roll Call 345: yeas 80,  nays 8",lower,other
in,2011,lower,HB 1001,2011-03-29 00:00:00,"Amendment 67   (C. Brown),  prevailed; Roll Call 346: yeas 84,  nays 6",lower,other
