state,session,chamber,bill_id,type,name,leg_id
in,2011,lower,HB 1001,primary,Espich,INL000082
in,2011,lower,HB 1001,primary,Turner,INL000142
in,2011,lower,HB 1002,primary,Bosma,INL000060
in,2011,lower,HB 1002,primary,Behning,INL000058
in,2011,lower,HB 1002,primary,Noe,INL000118
in,2011,lower,HB 1002,primary,Sullivan,INL000137
in,2011,lower,HB 1003,primary,Behning,INL000058
in,2011,lower,HB 1003,primary,Bosma,INL000060
in,2011,lower,HB 1004,primary,Turner,INL000142
in,2011,lower,HB 1004,primary,McNamara,INL000111
in,2011,lower,HB 1004,primary,Noe,INL000118
in,2011,lower,HB 1004,primary,Welch,INL000147
in,2011,lower,HB 1005,primary,Clere,INL000067
in,2011,lower,HB 1005,primary,Bosma,INL000060
in,2011,lower,HB 1005,primary,Cheatham,INL000065
in,2011,lower,HB 1005,primary,Yarde,INL000150
in,2011,lower,HB 1006,primary,Crouch,INL000069
in,2011,lower,HB 1006,primary,Noe,INL000118
in,2011,lower,HB 1006,primary,Reske,INL000125
in,2011,lower,HB 1006,primary,Truitt,INL000141
in,2011,lower,HB 1007,primary,Messmer,INL000112
in,2011,lower,HB 1007,primary,Cheatham,INL000065
in,2011,lower,HB 1007,primary,Cherry,INL000066
in,2011,lower,HB 1007,primary,Clere,INL000067
in,2011,lower,HB 1007,primary,Culver,INL000070
in,2011,lower,HB 1007,primary,Davis,INL000071
in,2011,lower,HB 1007,primary,Ellspermann,INL000081
in,2011,lower,HB 1007,primary,Heuer,INL000094
in,2011,lower,HB 1007,primary,Kirchhofer,INL000098
in,2011,lower,HB 1007,primary,Kubacki,INL000102
in,2011,lower,HB 1007,primary,Lutz,INL000107
in,2011,lower,HB 1007,primary,Noe,INL000118
in,2011,lower,HB 1007,primary,Reske,INL000125
in,2011,lower,HB 1007,primary,Riecken,INL000128
in,2011,lower,HB 1007,primary,Smith,
in,2011,lower,HB 1007,primary,Stemler,INL000134
in,2011,lower,HB 1007,primary,Sullivan,INL000137
in,2011,lower,HB 1007,primary,Torr,INL000140
in,2011,lower,HB 1007,primary,Turner,INL000142
in,2011,lower,HB 1007,primary,Ubelhor,INL000144
in,2011,lower,HB 1007,primary,VanDenburgh,INL000145
in,2011,lower,HB 1008,primary,Torr,INL000140
in,2011,lower,HB 1008,primary,Heuer,INL000094
in,2011,lower,HB 1008,primary,Kubacki,INL000102
in,2011,lower,HB 1008,primary,Welch,INL000147
in,2011,lower,HB 1013,primary,Grubb,INL000090
in,2011,lower,HB 1014,primary,Torr,INL000140
in,2011,lower,HB 1015,primary,Torr,INL000140
in,2011,lower,HB 1015,primary,Brown,
in,2011,lower,HB 1015,primary,Frizzell,INL000085
in,2011,lower,HB 1015,primary,Noe,INL000118
in,2011,lower,HB 1016,primary,Burton,INL000063
in,2011,lower,HB 1017,primary,Burton,INL000063
in,2011,lower,HB 1017,primary,Brown,
in,2011,lower,HB 1017,primary,Brown,
in,2011,lower,HB 1017,primary,Welch,INL000147
in,2011,lower,HB 1018,primary,Brown,
in,2011,lower,HB 1018,primary,Candelaria Reardon,
in,2011,lower,HB 1018,primary,Turner,INL000142
in,2011,lower,HB 1018,primary,Welch,INL000147
in,2011,lower,HB 1019,primary,Brown,
in,2011,lower,HB 1019,primary,Porter,INL000123
in,2011,lower,HB 1019,primary,Yarde,INL000150
in,2011,lower,HB 1020,primary,Brown,
in,2011,lower,HB 1020,primary,Brown,
in,2011,lower,HB 1020,primary,Crouch,INL000069
in,2011,lower,HB 1021,primary,Brown,
in,2011,lower,HB 1022,primary,Saunders,INL000129
in,2011,lower,HB 1022,primary,Candelaria Reardon,
in,2011,lower,HB 1022,primary,Heuer,INL000094
in,2011,lower,HB 1022,primary,Stemler,INL000134
in,2011,lower,HB 1022,primary,Welch,INL000147
in,2011,lower,HB 1023,primary,Lehman,INL000105
in,2011,lower,HB 1023,primary,Pelath,INL000119
in,2011,lower,HB 1024,primary,Lehman,INL000105
in,2011,lower,HB 1024,primary,Bardon,INL000054
in,2011,lower,HB 1025,primary,Lehman,INL000105
in,2011,lower,HB 1026,primary,Lehman,INL000105
in,2011,lower,HB 1027,primary,Lehman,INL000105
in,2011,lower,HB 1028,primary,Culver,INL000070
in,2011,lower,HB 1028,primary,Noe,INL000118
in,2011,lower,HB 1028,primary,Torr,INL000140
in,2011,lower,HB 1029,primary,DeLaney,INL000074
in,2011,lower,HB 1030,primary,Culver,INL000070
in,2011,lower,HB 1030,primary,Bacon,INL000052
in,2011,lower,HB 1030,primary,Brown,
in,2011,lower,HB 1030,primary,Kersey,INL000097
in,2011,lower,HB 1030,primary,Kubacki,INL000102
in,2011,lower,HB 1031,primary,Lehman,INL000105
in,2011,lower,HB 1032,primary,Frye,INL000087
in,2011,lower,HB 1033,primary,Frye,INL000087
in,2011,lower,HB 1033,primary,Dobis,INL000077
in,2011,lower,HB 1033,primary,Mahan,INL000108
in,2011,lower,HB 1033,primary,Sullivan,INL000137
in,2011,lower,HB 1034,primary,Davisson,INL000072
in,2011,lower,HB 1034,primary,Frizzell,INL000085
in,2011,lower,HB 1034,primary,Welch,INL000147
