state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
in,2011,upper,SB 1,INV00000003,upper,                                              2nd Reading,2011-02-21 21:03:48,other,14,35,1
in,2011,upper,SR 39,INV00000001,upper,                                 Senate Resolution Eligible for Adoption,2011-04-05 19:24:50,other,40,9,1
in,2011,upper,SR 39,INV00000002,upper,                                 Senate Resolution Eligible for Adoption,2011-04-05 19:24:50,other,40,9,1
in,2011,upper,SB 1,INV00000005,upper,                                              3rd Reading,2011-02-22 22:03:21,other,29,20,1
in,2011,upper,SB 2,INV00000007,upper,                                              3rd Reading,2011-01-20 19:17:07,other,44,3,3
in,2011,upper,SB 4,INV00000008,upper,                                             3rd Reading,2011-01-24 19:27:47,other,46,4,0
in,2011,upper,SB 4,INV00000009,upper,                                    Concurrences Eligible for Action,2011-04-25 17:55:22,other,45,4,1
in,2011,upper,SB 6,INV00000010,upper,                                              3rd Reading,2011-02-08 19:05:46,other,48,0,2
in,2011,upper,SB 9,INV00000011,upper,                                          3rd Reading,2011-02-08 20:20:18,other,49,0,1
in,2011,upper,SB 10,INV00000012,upper,                                              3rd Reading,2011-02-22 22:06:12,other,40,9,1
in,2011,upper,SB 12,INV00000013,upper,                                            3rd Reading,2011-01-20 19:21:20,other,47,0,3
in,2011,upper,SB 13,INV00000014,upper,                                          3rd Reading,2011-01-24 19:29:58,other,50,0,0
in,2011,upper,SB 18,INV00000015,upper,                                           3rd Reading,2011-02-17 21:58:30,other,29,21,0
in,2011,upper,SB 19,INV00000016,upper,                                              3rd Reading,2011-01-24 19:50:17,other,42,8,0
in,2011,upper,SB 23,INV00000017,upper,                                             3rd Reading,2011-02-22 16:35:58,other,44,4,2
in,2011,upper,SB 24,INV00000018,upper,                                               3rd Reading,2011-01-25 19:33:54,other,48,0,2
in,2011,upper,SB 25,INV00000019,upper,                                                  3rd Reading,2011-02-22 22:07:49,other,47,2,1
in,2011,upper,SB 26,INV00000020,upper,                                            3rd Reading,2011-02-14 21:57:31,other,49,0,1
in,2011,upper,SB 30,INV00000021,upper,                                                3rd Reading,2011-02-17 22:02:51,other,42,7,1
in,2011,upper,SB 32,INV00000022,upper,                                         3rd Reading,2011-01-18 19:37:52,other,49,0,1
in,2011,upper,SB 34,INV00000023,upper,                                                3rd Reading,2011-02-15 21:18:03,other,39,11,0
in,2011,upper,SB 34,INV00000024,upper,                                    Concurrences Eligible for Action,2011-04-28 19:57:59,other,48,0,2
in,2011,upper,SB 36,INV00000025,upper,                                          3rd Reading,2011-01-25 19:36:06,other,44,4,2
in,2011,upper,SB 39,INV00000026,upper,                                             3rd Reading,2011-02-03 18:58:37,other,48,0,2
in,2011,upper,SB 39,INV00000027,upper,                                    Concurrences Eligible for Action,2011-04-25 17:57:19,other,50,0,0
