id,state,chamber,committee,subcommittee,parent_id
INC000033,in,lower,Courts and Criminal Code,,
INC000036,in,lower,"Employment, Labor and Pensions",,
INC000040,in,lower,Government and Regulatory Reform,,
INC000047,in,lower,Roads and Transportation,,
INC000051,in,lower,Statutory Committee on Interstate and International Cooperation,,
INC000053,in,lower,Veterans Affairs and Public Safety,,
INC000035,in,lower,Elections and Apportionment,,
INC000037,in,lower,Environmental Affairs,,
INC000038,in,lower,"Family, Children and Human Affairs",,
INC000042,in,lower,Judiciary,,
INC000045,in,lower,Public Health,,
INC000049,in,lower,Select Committee on Government Reduction,,
INC000050,in,lower,Statutory Committee on Ethics,,
INC000054,in,lower,Ways and Means,,
INC000034,in,lower,Education,,
INC000041,in,lower,Insurance,,
INC000043,in,lower,Local Government,,
INC000048,in,lower,Rules and Legislative Procedures,,
INC000052,in,lower,Utilities and Energy,,
INC000031,in,lower,Agriculture and Rural Development,,
INC000032,in,lower,"Commerce, Small Business and Economic Development",,
INC000039,in,lower,Financial Institutions,,
INC000044,in,lower,Natural Resources,,
INC000046,in,lower,Public Policy,,
INC000022,in,upper,Probate Code and Trusts Subcommittee,,
INC000023,in,upper,Provider Services Subcommittee,,
INC000026,in,upper,Public Safety Subcommittee,,
INC000029,in,upper,Transportation Subcommittee,,
INC000058,in,upper,Corrections Subcommittee,,
INC000060,in,upper,Environmental Affairs,,
INC000062,in,upper,Insurance,,
INC000024,in,upper,Public Health Subcommittee,,
INC000063,in,upper,Utilities,,
INC000057,in,upper,Corrections & Criminal Law,,
INC000059,in,upper,Criminal Law Subcommittee,,
INC000001,in,upper,Agriculture and Natural Resources,,
INC000003,in,upper,Appropriations,,
INC000055,in,upper,Civil Law,,
INC000010,in,upper,Elections,,
INC000014,in,upper,Health and Provider Services,,
INC000018,in,upper,Joint Rules,,
INC000008,in,upper,Courts and Juvenile Justice Subcommittee,,
INC000015,in,upper,"Homeland Security, Transportation and Veterans Affairs",,
INC000056,in,upper,"Commerce, Economic Development & Technology",,
INC000009,in,upper,Education and Career Development,,
INC000012,in,upper,Ethics,,
INC000061,in,upper,Financial Institutions,,
INC000020,in,upper,Local Government,,
INC000025,in,upper,Public Policy,,
INC000027,in,upper,Rules and Legislative Procedure,,
INC000019,in,upper,Judiciary,,
INC000021,in,upper,Pensions and Labor,,
INC000028,in,upper,Tax and Fiscal Policy,,
