leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
INL000152,member,2011-2012,34,lower,in,Democratic,,,,,
INL000152,committee member,2011-2012,,lower,in,,INC000047,Roads and Transportation,,,
INL000152,committee member,2011-2012,,lower,in,,INC000049,Select Committee on Government Reduction,,,
INL000152,committee member,2011-2012,,lower,in,,INC000053,Veterans Affairs and Public Safety,,,
INL000143,member,2011-2012,34,lower,in,Democratic,,,,,2011-12-30 00:00:00
INL000006,member,2011-2012,37,upper,in,Republican,,,,,
INL000006,committee member,2011-2012,,upper,in,,INC000002,Appointments and Claims,,,
INL000006,committee member,2011-2012,,upper,in,,INC000006,Corrections and Criminal Subcommittee,,,
INL000006,committee member,2011-2012,,upper,in,,INC000007,"Corrections, Criminal, and Civil Matters",,,
INL000006,committee member,2011-2012,,upper,in,,INC000008,Courts and Juvenile Justice Subcommittee,,,
INL000006,committee member,2011-2012,,upper,in,,INC000011,Energy and Environmental Affairs,,,
INL000006,committee member,2011-2012,,upper,in,,INC000012,Ethics,,,
INL000006,committee member,2011-2012,,upper,in,,INC000019,Judiciary,,,
INL000006,committee member,2011-2012,,upper,in,,INC000027,Rules and Legislative Procedure,,,
INL000013,member,2011-2012,28,upper,in,Republican,,,,,
INL000013,committee member,2011-2012,,upper,in,,INC000011,Energy and Environmental Affairs,,,
INL000013,committee member,2011-2012,,upper,in,,INC000014,Health and Provider Services,,,
INL000013,committee member,2011-2012,,upper,in,,INC000020,Local Government,,,
INL000013,committee member,2011-2012,,upper,in,,INC000024,Public Health Subcommittee,,,
INL000013,committee member,2011-2012,,upper,in,,INC000027,Rules and Legislative Procedure,,,
INL000013,committee member,2011-2012,,upper,in,,INC000030,Utilities & Technology,,,
INL000024,committee member,2011-2012,,upper,in,,INC000003,Appropriations,,,
INL000024,committee member,2011-2012,,upper,in,,INC000010,Elections,,,
INL000024,committee member,2011-2012,,upper,in,,INC000018,Joint Rules,,,
INL000024,committee member,2011-2012,,upper,in,,INC000020,Local Government,,,
