state,session,chamber,bill_id,date,action,actor,type
ks,2011-2012,lower,HB 2001,2011-01-07 14:54:39,Prefiled for Introduction,lower,bill:filed
ks,2011-2012,lower,HB 2001,2011-01-10 15:13:11,Introduced,lower,bill:introduced
ks,2011-2012,lower,HB 2001,2011-01-10 16:59:01,Referred to Committee on Corrections and Juvenile Justice,lower,committee:referred
ks,2011-2012,lower,HB 2001,2011-01-27 11:19:49,Committee Report recommending bill be passed by Committee on Corrections and Juvenile Justice,lower,committee:passed:favorable
ks,2011-2012,lower,HB 2001,2011-02-03 11:14:33,Committee of the Whole - Be passed,lower,bill:passed
ks,2011-2012,lower,HB 2001,2011-02-07 13:24:33,Final Action - Passed;   Yea: 120 Nay: 1,lower,bill:passed
ks,2011-2012,lower,HB 2001,2011-02-09 15:10:59,Received and Introduced,upper,bill:introduced
ks,2011-2012,lower,HB 2001,2011-02-10 14:56:54,Referred to Committee on Federal and State Affairs,upper,committee:referred
ks,2011-2012,lower,HB 2001,2011-03-08 14:47:05,Committee Report recommending bill be passed by Committee on Federal and State Affairs,upper,committee:passed:favorable
ks,2011-2012,lower,HB 2001,2011-03-15 16:36:29,Committee of the Whole - Now working on,upper,other
ks,2011-2012,lower,HB 2001,2011-03-15 16:36:56,Committee of the Whole - Be passed,upper,bill:passed
ks,2011-2012,lower,HB 2001,2011-03-15 17:24:59,Emergency Final Action - Passed;   Yea: 39 Nay: 0,upper,bill:passed
ks,2011-2012,lower,HB 2001,2011-03-22 12:05:13,"Enrolled and presented to Governor on Tuesday, March 22, 2011",lower,governor:received
ks,2011-2012,lower,HB 2001,2011-03-28 22:34:08,"Approved by Governor on Monday, 28 March 2011",lower,governor:signed
ks,2011-2012,lower,HB 2002,2011-01-07 14:54:44,Prefiled for Introduction,lower,bill:filed
ks,2011-2012,lower,HB 2002,2011-01-10 15:13:59,Introduced,lower,bill:introduced
ks,2011-2012,lower,HB 2002,2011-01-10 16:59:05,Referred to Committee on Federal and State Affairs,lower,committee:referred
ks,2011-2012,lower,HB 2002,2011-03-28 11:23:51,Motion to withdraw from  Committee on Federal and State Affairs not adopted;  Yea: 51 Nay: 71,lower,other
ks,2011-2012,lower,HB 2002,2011-03-28 11:24:51,Motion to change sequence on General Orders not adopted;,lower,other
ks,2011-2012,lower,HB 2002,2012-03-21 16:08:55,Motion to withdraw from Committee on Federal and State Affairs not adopted.,lower,other
ks,2011-2012,lower,HB 2002,2012-03-30 16:15:01,Motion to withdraw from Committee on Federal and State Affairs not adopted.,lower,other
ks,2011-2012,lower,HB 2002,2012-06-19 09:21:49,Died in Committee,lower,committee:failed
ks,2011-2012,lower,HB 2003,2011-01-07 14:54:48,Prefiled for Introduction,lower,bill:filed
ks,2011-2012,lower,HB 2003,2011-01-10 15:13:48,Introduced,lower,bill:introduced
ks,2011-2012,lower,HB 2003,2011-01-10 16:59:10,Referred to Committee on Transportation,lower,committee:referred
ks,2011-2012,lower,HB 2003,2011-02-15 11:29:30,Committee Report recommending bill be passed by Committee on Transportation,lower,committee:passed:favorable
ks,2011-2012,lower,HB 2003,2011-02-21 11:50:06,Committee of the Whole - Be passed,lower,bill:passed
