vote_id,leg_id,name,vote
KSV00001202,,Alford,yes
KSV00001202,KSL000040,Arpke,yes
KSV00001202,KSL000041,Aurand,yes
KSV00001202,KSL000042,Ballard,yes
KSV00001202,,Bethell,yes
KSV00001202,KSL000044,Billinger,yes
KSV00001202,KSL000045,Bollier,yes
KSV00001202,KSL000046,Boman,yes
KSV00001202,KSL000047,Bowers,yes
KSV00001202,KSL000048,Brookens,yes
KSV00001202,KSL000049,Brown,yes
KSV00001202,KSL000050,Bruchman,yes
KSV00001202,KSL000051,Brunk,yes
KSV00001202,KSL000052,Burgess,yes
KSV00001202,KSL000053,Burroughs,yes
KSV00001202,KSL000054,Calloway,yes
KSV00001202,KSL000055,Carlin,yes
KSV00001202,KSL000056,Carlson,yes
KSV00001202,KSL000057,Cassidy,yes
KSV00001202,KSL000058,Collins,yes
KSV00001202,KSL000059,Colloton,yes
KSV00001202,KSL000060,Crum,yes
KSV00001202,KSL000061,Davis,yes
KSV00001202,KSL000062,DeGraaf,yes
KSV00001202,KSL000063,Denning,yes
KSV00001202,KSL000064,Dillmore,yes
KSV00001202,KSL000065,Donohoe,yes
KSV00001202,KSL000066,Fawcett,yes
KSV00001202,KSL000067,Feuerborn,yes
KSV00001202,KSL000068,Finney,yes
KSV00001202,KSL000069,Flaharty,yes
KSV00001202,KSL000070,Frownfelter,yes
KSV00001202,KSL000071,Garber,yes
KSV00001202,KSL000072,S. Gatewood,yes
KSV00001202,KSL000074,Goico,yes
KSV00001202,KSL000075,Gonzalez,yes
KSV00001202,KSL000076,Goodman,yes
KSV00001202,KSL000077,Gordon,yes
KSV00001202,KSL000078,Grange,yes
KSV00001202,KSL000079,Grant,yes
KSV00001202,KSL000080,Gregory,yes
KSV00001202,KSL000081,Grosserode,yes
KSV00001202,KSL000082,Hayzlett,yes
KSV00001202,KSL000083,Hedke,yes
KSV00001202,KSL000084,Henderson,yes
KSV00001202,KSL000085,Henry,yes
KSV00001202,KSL000086,Hermanson,yes
KSV00001202,KSL000087,Hildabrand,yes
KSV00001202,KSL000089,Hineman,yes
KSV00001202,KSL000090,Hoffman,yes
KSV00001202,KSL000091,C. Holmes,yes
KSV00001202,KSL000092,M. Holmes,yes
KSV00001202,KSL000093,Howell,yes
KSV00001202,KSL000094,Huebert,yes
KSV00001202,KSL000095,Johnson,yes
KSV00001202,KSL000096,Kelley,yes
KSV00001202,KSL000097,Kelly,yes
KSV00001202,KSL000098,Kerschen,yes
KSV00001202,KSL000099,Kiegerl,yes
KSV00001202,KSL000100,Kinzer,yes
KSV00001202,KSL000101,Kleeb,yes
KSV00001202,KSL000102,Knox,yes
KSV00001202,KSL000103,Kuether,yes
KSV00001202,KSL000104,Landwehr,yes
KSV00001202,KSL000105,Lane,yes
KSV00001202,KSL000107,Loganbill,yes
KSV00001202,KSL000108,Mah,yes
KSV00001202,KSL000109,Mast,yes
KSV00001202,KSL000110,McCray-Miller,yes
KSV00001202,KSL000111,McLeland,yes
KSV00001202,KSL000112,Meier,yes
KSV00001202,KSL000113,Meigs,yes
KSV00001202,KSL000114,Mesa,yes
KSV00001202,KSL000115,Montgomery,yes
KSV00001202,KSL000117,Moxley,yes
KSV00001202,KSL000118,O'Brien,yes
KSV00001202,KSL000119,O'Hara,yes
KSV00001202,KSL000120,O'Neal,yes
KSV00001202,KSL000121,Osterman,yes
KSV00001202,KSL000122,Otto,yes
KSV00001202,KSL000123,Patton,yes
KSV00001202,KSL000124,Pauls,yes
KSV00001202,KSL000125,Peck,yes
KSV00001202,KSL000126,Peterson,yes
KSV00001202,KSL000127,Phelps,yes
KSV00001202,KSL000164,Phillips,yes
KSV00001202,KSL000128,Pottorff,yes
KSV00001202,KSL000129,Powell,yes
KSV00001202,KSL000130,Prescott,yes
KSV00001202,KSL000131,Proehl,yes
KSV00001202,KSL000132,Rhoades,yes
KSV00001202,KSL000133,Roth,yes
KSV00001202,KSL000134,Rubin,yes
KSV00001202,KSL000135,Ruiz,yes
KSV00001202,KSL000136,Ryckman,yes
KSV00001202,KSL000137,Scapa,yes
KSV00001202,KSL000138,Schroeder,yes
KSV00001202,KSL000139,Schwab,yes
KSV00001202,KSL000140,Schwartz,yes
KSV00001202,KSL000141,Seiwert,yes
KSV00001202,KSL000142,Shultz,yes
KSV00001202,KSL000143,Siegfreid,yes
KSV00001202,KSL000144,Slattery,yes
KSV00001202,KSL000145,Sloan,yes
KSV00001202,KSL000146,Smith,yes
KSV00001202,KSL000147,Spalding,yes
KSV00001202,KSL000148,Suellentrop,yes
KSV00001202,KSL000149,Swanson,yes
KSV00001202,KSL000150,Tietze,yes
KSV00001202,KSL000151,Trimmer,yes
KSV00001202,KSL000152,Tyson,yes
KSV00001202,KSL000153,Vickrey,yes
KSV00001202,KSL000154,Victors,yes
KSV00001202,KSL000155,Ward,yes
KSV00001202,KSL000156,Weber,yes
KSV00001202,KSL000157,Wetta,yes
KSV00001202,KSL000158,Williams,yes
KSV00001202,KSL000159,Winn,yes
KSV00001202,KSL000161,B. Wolf,yes
KSV00001202,KSL000160,K. Wolf,yes
KSV00001202,KSL000162,Wolfe Moore,yes
KSV00001202,KSL000163,Worley.,yes
KSV00001202,KSL000073,D. Gatewood.,no
KSV00001202,KSL000088,Hill,other
KSV00001202,KSL000106,LeDoux.,other
KSV00001204,,Abrams,yes
KSV00001204,KSL000001,Apple,yes
KSV00001204,KSL000002,Bruce,yes
KSV00001204,KSL000003,Brungardt,yes
KSV00001204,KSL000004,Donovan,yes
KSV00001204,KSL000005,Emler,yes
KSV00001204,KSL000006,Faust-Goudeau,yes
KSV00001204,KSL000007,Francisco,yes
KSV00001204,KSL000008,Haley,yes
KSV00001204,KSL000009,Hensley,yes
KSV00001204,KSL000010,Holland,yes
KSV00001204,KSL000011,Huntington,yes
KSV00001204,KSL000012,Kelly,yes
KSV00001204,KSL000013,Kelsey,yes
KSV00001204,KSL000014,King,yes
KSV00001204,KSL000015,Kultala,yes
KSV00001204,KSL000016,Longbine,yes
KSV00001204,KSL000017,Love,yes
KSV00001204,KSL000018,Lynn,yes
KSV00001204,KSL000019,Marshall,yes
KSV00001204,KSL000020,Masterson,yes
KSV00001204,KSL000021,McGinn,yes
KSV00001204,KSL000022,Merrick,yes
KSV00001204,KSL000023,Morris,yes
KSV00001204,KSL000024,Olson,yes
KSV00001204,KSL000025,Ostmeyer,yes
KSV00001204,KSL000026,Owens,yes
KSV00001204,KSL000027,Petersen,yes
