state,session,chamber,bill_id,type,name,leg_id
ks,2011-2012,lower,HB 2001,primary,Representative O'Neal,KSL000120
ks,2011-2012,lower,HB 2002,cosponsor,Representative Grant,KSL000079
ks,2011-2012,lower,HB 2002,cosponsor,Representative D. Gatewood,KSL000073
ks,2011-2012,lower,HB 2003,primary,Representative Bowers,KSL000047
ks,2011-2012,lower,HB 2004,primary,Committee on Education,
ks,2011-2012,lower,HB 2005,primary,Representative Otto,KSL000122
ks,2011-2012,lower,HB 2006,cosponsor,Representative Tyson,KSL000152
ks,2011-2012,lower,HB 2006,cosponsor,Representative Brown,KSL000049
ks,2011-2012,lower,HB 2006,cosponsor,Representative Brunk,KSL000051
ks,2011-2012,lower,HB 2006,cosponsor,Representative DeGraaf,KSL000062
ks,2011-2012,lower,HB 2006,cosponsor,Representative Donohoe,KSL000065
ks,2011-2012,lower,HB 2006,cosponsor,Representative Goodman,KSL000076
ks,2011-2012,lower,HB 2006,cosponsor,Representative Gregory,KSL000080
ks,2011-2012,lower,HB 2006,cosponsor,Representative Grosserode,KSL000081
ks,2011-2012,lower,HB 2006,cosponsor,Representative Hildabrand,KSL000087
ks,2011-2012,lower,HB 2006,cosponsor,Representative Hoffman,KSL000090
ks,2011-2012,lower,HB 2006,cosponsor,Representative Howell,KSL000093
ks,2011-2012,lower,HB 2006,cosponsor,Representative Kinzer,KSL000100
ks,2011-2012,lower,HB 2006,cosponsor,Representative Knox,KSL000102
ks,2011-2012,lower,HB 2006,cosponsor,Representative McLeland,KSL000111
ks,2011-2012,lower,HB 2006,cosponsor,Representative O'Brien,KSL000118
ks,2011-2012,lower,HB 2006,cosponsor,Representative Osterman,KSL000121
ks,2011-2012,lower,HB 2006,cosponsor,Representative Patton,KSL000123
ks,2011-2012,lower,HB 2006,cosponsor,Representative Peck,KSL000125
ks,2011-2012,lower,HB 2006,cosponsor,Representative Powell,KSL000129
ks,2011-2012,lower,HB 2006,cosponsor,Representative Prescott,KSL000130
ks,2011-2012,lower,HB 2006,cosponsor,Representative Rubin,KSL000134
ks,2011-2012,lower,HB 2006,cosponsor,Representative Scapa,KSL000137
ks,2011-2012,lower,HB 2006,cosponsor,Representative Seiwert,KSL000141
ks,2011-2012,lower,HB 2006,cosponsor,Representative Vickrey,KSL000153
ks,2011-2012,lower,HB 2007,primary,Representative Huebert,KSL000094
ks,2011-2012,lower,HB 2008,primary,Committee on Judiciary,
ks,2011-2012,lower,HB 2009,primary,Representative Kinzer,KSL000100
ks,2011-2012,lower,HB 2010,primary,Representative Kinzer,KSL000100
ks,2011-2012,lower,HB 2011,primary,Committee on Legislative Educational Planning,
