state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ks,2011-2012,upper,SB 39,KSV00001202,lower,Final Action - Substitute passed;   Yea: 122 Nay: 1,2012-05-09 00:00:00,other,122,1,2
ks,2011-2012,upper,SB 39,KSV00001204,upper,Emergency Final Action - Substitute passed as amended;   Yea: 40 Nay: 0,2012-02-23 00:00:00,other,40,0,0
ks,2011-2012,upper,SB 177,KSV00001192,lower,Committee of the Whole - Amendment by  Representative Mah was rejected  Yea: 52 Nay: 68,2012-03-13 00:00:00,other,52,68,5
ks,2011-2012,upper,SB 234,KSV00001296,upper,Emergency Final Action - Substitute passed as amended;   Yea: 36 Nay: 3,2011-03-29 00:00:00,other,36,3,1
ks,2011-2012,upper,SB 234,KSV00001297,upper,Committee of the Whole - Amendment by  Senator Abrams was rejected  Yea: 14 Nay: 24,2011-03-29 00:00:00,other,14,24,2
ks,2011-2012,upper,SB 234,KSV00001298,upper,Committee of the Whole - Amendment by  Senator Abrams was adopted  Yea: 35 Nay: 4,2011-03-29 00:00:00,other,35,4,1
ks,2011-2012,upper,SB 234,KSV00001299,upper,Committee of the Whole - Amendment by  Senator Lynn was rejected  Yea: 18 Nay: 19,2011-03-29 00:00:00,other,18,19,3
ks,2011-2012,upper,SB 234,KSV00001300,upper,Committee of the Whole - Amendment by  Senator Steineger was rejected  Yea: 9 Nay: 30,2011-03-29 00:00:00,other,9,30,1
ks,2011-2012,upper,SB 273,KSV00001457,lower,Final Action - Passed as amended;  Yea: 98 Nay: 26,2012-03-21 00:00:00,other,98,26,1
ks,2011-2012,upper,SB 176,KSV00001548,lower,Final Action - Substitute passed;   Yea: 81 Nay: 43,2012-03-29 00:00:00,other,81,43,1
ks,2011-2012,upper,SB 15,KSV00001601,upper,Emergency Final Action - Passed;   Yea: 38 Nay: 0,2011-02-03 00:00:00,other,38,0,1
ks,2011-2012,upper,SB 38,KSV00001725,upper,Final Action - Passed;   Yea: 38 Nay: 0,2011-02-09 00:00:00,other,38,0,1
ks,2011-2012,lower,HB 2104,KSV00002304,upper,Final Action - Passed as amended;  Yea: 39 Nay: 0,2011-03-23 00:00:00,other,39,0,1
ks,2011-2012,lower,HB 2218,KSV00002352,upper,Emergency Final Action - Passed as amended;  Yea: 24 Nay: 15,2011-03-23 00:00:00,other,24,15,1
ks,2011-2012,lower,HB 2218,KSV00002353,upper,Committee of the Whole - Amendment by  Senator Francisco was rejected  Yea: 13 Nay: 26,2011-03-23 00:00:00,other,13,26,1
ks,2011-2012,lower,HB 2182,KSV00002378,upper,Conference Committee Report was adopted;  Yea: 38 Nay: 1,2011-05-12 00:00:00,other,38,1,1
ks,2011-2012,lower,HB 2182,KSV00002381,upper,Committee of the Whole - Ruling of the chair was sustained  Yea: 26 Nay: 13,2011-03-22 00:00:00,other,26,13,1
ks,2011-2012,lower,HB 2067,KSV00002402,upper,Final Action - Passed as amended;  Yea: 36 Nay: 3,2011-03-23 00:00:00,other,36,3,1
ks,2013-2014,upper,SB 61,KSV00002454,upper,Final Action - Passed as amended;  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 58,KSV00002462,upper,Consent Calendar Passed  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 46,KSV00002455,upper,Final Action - Passed as amended;  Yea: 37 Nay: 1,2013-02-07 00:00:00,other,37,1,2
ks,2013-2014,upper,SB 40,KSV00002456,upper,Final Action - Passed as amended;  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 35,KSV00002457,upper,Final Action - Passed as amended;  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 34,KSV00002458,upper,Final Action - Passed as amended;  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 28,KSV00002463,upper,Consent Calendar Passed  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 26,KSV00002459,upper,Final Action - Passed;   Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 21,KSV00002460,upper,Final Action - Passed as amended;  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2013-2014,upper,SB 16,KSV00002461,upper,Final Action - Passed as amended;  Yea: 37 Nay: 0,2013-02-07 00:00:00,other,37,0,3
ks,2013-2014,upper,SB 19,KSV00002464,upper,Final Action - Passed as amended;  Yea: 38 Nay: 0,2013-02-07 00:00:00,other,38,0,2
ks,2011-2012,upper,SB 142,KSV00001184,upper,Emergency Final Action - Passed as amended;  Yea: 39 Nay: 0,2011-03-23 00:00:00,other,39,0,1
ks,2011-2012,upper,SB 17,KSV00001186,upper,Emergency Final Action - Passed;   Yea: 38 Nay: 0,2011-02-03 00:00:00,other,38,0,1
