state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ks,2011-2012,lower,HB 2001,Local law enforcement training reimbursement fund; expenditures approved by commission on peace officers' standards and training.,2011-12-07 01:27:27.747000,2012-10-17 02:51:00.825000,bill,
ks,2011-2012,lower,HB 2002,Amendments to the Kansas expanded lottery act.,2011-12-07 01:27:28.148000,2012-10-17 02:50:49.635000,bill,
ks,2011-2012,lower,HB 2003,Designating part of K-18 highway as the Medal of Honor recipient Donald K. Ross memorial highway,2011-12-07 01:27:24.862000,2012-10-17 02:51:00.745000,bill,
ks,2011-2012,lower,HB 2004,Senate Substitute for Substitute for House Bill 2004 by Committee on Education -- Authorizing certain contributions under the low-income family postsecondary savings account incentive program.,2011-12-07 01:27:28.131000,2012-10-17 02:50:51.649000,bill,
ks,2011-2012,lower,HB 2005,School districts; finance; establishing the base state aid per pupil for future school years.,2011-12-07 01:27:31.790000,2012-10-17 02:50:49.627000,bill,
ks,2011-2012,lower,HB 2006,"Repeal of K.S.A. 76-731a, which grants residency for tuition purposes to certain aliens who are unlawfully present in the United States.",2011-12-07 01:27:28.302000,2012-10-17 02:50:58.877000,bill,
ks,2011-2012,lower,HB 2007,Health exceptions to late-term and partial birth abortions.,2011-12-07 01:27:31.771000,2012-10-17 02:50:49.621000,bill,
ks,2011-2012,lower,HB 2008,Senate Substitute for HB 2008 by Committee on Judicary -- Creating a special sentencing rule for identity theft and identity fraud.,2011-12-07 01:27:24.843000,2012-10-17 02:51:00.387000,bill,
ks,2011-2012,lower,HB 2009,Defining the crime of home improvement fraud and providing penalties. ,2011-12-07 01:27:29.518000,2012-10-17 02:50:49.614000,bill,
ks,2011-2012,lower,HB 2010,Offenses and conduct giving rise to forfeiture.,2011-12-07 01:27:24.817000,2012-10-17 02:50:59.355000,bill,
ks,2011-2012,lower,HB 2011,Tax credits for certain contributions to community colleges.,2011-12-07 01:27:31.656000,2012-10-17 02:50:49.600000,bill,
ks,2011-2012,lower,HB 2012,The duties of the  legislative educational planning committee include matters or issues relating to school finance.,2011-12-07 01:27:31.124000,2012-10-17 02:50:49.594000,bill,
ks,2011-2012,lower,HB 2013,Sale and purchase of rifles and shotguns.,2011-12-07 01:27:26.175000,2012-10-17 02:51:00.428000,bill,
