leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
KSL000031,member,2011-2012,36,upper,ks,Democratic,,,,,
KSL000031,committee member,2011-2012,,joint,ks,,KSC000006,Joint Committee on Administrative Rules and Regulations,,,
KSL000031,committee member,2011-2012,,joint,ks,,KSC000005,Joint Committee on Kansas Security,,,
KSL000031,committee member,2011-2012,,joint,ks,,KSC000102,2012 Special Committee on Financial Institutions and Insurance,,,
KSL000031,committee member,2011-2012,,joint,ks,,KSC000106,2011 Special Committee on Financial Institutions and Insurance,,,
KSL000031,committee member,2011-2012,,upper,ks,,KSC000027,Education,,,
KSL000031,committee member,2011-2012,,upper,ks,,KSC000024,Financial Institutions and Insurance,,,
KSL000031,committee member,2011-2012,,upper,ks,,KSC000035,Natural Resources,,,
KSL000031,committee member,2011-2012,,upper,ks,,KSC000041,Agriculture,,,
KSL000019,member,2011-2012,13,upper,ks,Republican,,,,,
KSL000019,committee member,2011-2012,,joint,ks,,KSC000001,Joint Committee on Economic Development,,,
KSL000019,committee member,2011-2012,,joint,ks,,KSC000104,2012 Special Committee on Taxation,,,
KSL000019,committee member,2011-2012,,joint,ks,,KSC000105,2012 Special Committee on Transportation,,,
KSL000019,committee member,2011-2012,,joint,ks,,KSC000022,Legislative Educational Planning Committee,,,
KSL000019,committee member,2011-2012,,upper,ks,,KSC000027,Education,,,
KSL000019,committee member,2011-2012,,upper,ks,,KSC000033,Local Government,,,
KSL000019,committee member,2011-2012,,upper,ks,,KSC000025,Assessment and Taxation,,,
KSL000019,committee member,2011-2012,,upper,ks,,KSC000040,Confirmation Oversight,,,
KSL000019,committee member,2011-2012,,upper,ks,,KSC000031,KPERS Select,,,
KSL000019,committee member,2011-2012,,upper,ks,,KSC000037,Transportation,,,
KSL000011,committee member,2013-2014,,joint,ks,,KSC000108,Special Committee on KAN-ED Study Commission,,,
KSL000011,member,2011-2012,7,upper,ks,Republican,,,,,
KSL000011,committee member,2011-2012,,joint,ks,,KSC000101,2012 Special Committee on Elections,,,
KSL000011,committee member,2011-2012,,joint,ks,,KSC000022,Legislative Educational Planning Committee,,,
