state,session,chamber,bill_id,date,action,actor,type
ky,2011 Regular Session,lower,HB 1,2011-10-06 00:00:00,To: Interim Joint Committee on State Government,lower,other
ky,2011 Regular Session,lower,HB 1,2011-01-04 00:00:00,"introduced in House; to Elections, Const. Amendments & Intergovernmental Affairs (H)",lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 1,2011-02-03 00:00:00,posted in committee,lower,other
ky,2011 Regular Session,lower,HB 1,2011-02-08 00:00:00,"reported favorably, 1st reading, to Calendar",lower,bill:reading:1
ky,2011 Regular Session,lower,HB 1,2011-02-09 00:00:00,"2nd reading, to Rules; posted for passage in the Regular Orders of the Day for Thursday, February 10, 2011",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 1,2011-02-11 00:00:00,"3rd reading, passed 91-4; received in Senate",upper,bill:reading:3
ky,2011 Regular Session,lower,HB 1,2011-02-15 00:00:00,to State & Local Government (S),upper,committee:referred
ky,2011 Regular Session,lower,HB 1,2011-02-25 00:00:00,taken from State & Local Government (S); 1st reading; returned to State & Local Government (S),upper,bill:reading:1
ky,2011 Regular Session,lower,HB 1,2011-02-28 00:00:00,taken from State & Local Government (S); 2nd reading; returned to State & Local Government (S),upper,bill:reading:2
ky,2011 Regular Session,lower,HB 1,2011-03-02 00:00:00,"reported favorably, to Rules with Committee Substitute ; posted for passage in the Regular Orders of the Day for Wednesday, March 2, 2011; 3rd reading, passed 33-2 with Committee Substitute",lower,bill:reading:3
ky,2011 Regular Session,lower,HB 1,2011-03-03 00:00:00,received in House,lower,other
ky,2011 Regular Session,lower,HB 1,2011-03-04 00:00:00,"posted for passage for concurrence in Senate Committee Substitute ; House concurred in Senate Committee Substitute ; passed 94-1; enrolled, signed by each presiding officer",lower,other
ky,2011 Regular Session,lower,HB 1,2011-03-08 00:00:00,delivered to Secretary of State,lower,other
ky,2011 Regular Session,lower,HB 10,2011-01-06 00:00:00,introduced in House,lower,bill:introduced
ky,2011 Regular Session,lower,HB 10,2011-01-07 00:00:00,to Appropriations & Revenue (H),lower,committee:referred
ky,2011 Regular Session,lower,HB 10,2011-02-11 00:00:00,posted in committee,lower,other
ky,2011 Regular Session,lower,HB 10,2011-02-15 00:00:00,"reported favorably, 1st reading, to Consent Calendar with Committee Substitute",lower,bill:reading:1
ky,2011 Regular Session,lower,HB 10,2011-02-16 00:00:00,"2nd reading, to Rules; posted for passage in the Consent Orders of the Day for Friday, February 18, 2011",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 10,2011-02-18 00:00:00,"3rd reading, passed  96-0 with Committee Substitute ; received in Senate",upper,bill:reading:3
ky,2011 Regular Session,lower,HB 10,2011-02-23 00:00:00,to Appropriations & Revenue (S),upper,committee:referred
ky,2011 Regular Session,lower,HB 100,2011-01-04 00:00:00,introduced in House; to State Government (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 101,2011-01-04 00:00:00,introduced in House; to Health & Welfare (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 101,2011-02-01 00:00:00,posted in committee,lower,other
ky,2011 Regular Session,lower,HB 101,2011-02-10 00:00:00,"reported favorably, 1st reading, to Calendar with Committee Substitute",lower,bill:reading:1
ky,2011 Regular Session,lower,HB 101,2011-02-11 00:00:00,"2nd reading, to Rules",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 101,2011-02-14 00:00:00,floor amendment (1) filed to Committee Substitute,lower,amendment:introduced
ky,2011 Regular Session,lower,HB 101,2011-02-15 00:00:00,"posted for passage in the Regular Orders of the Day for  Wednesday, February 16, 2011; floor amendment (2) filed to Committee Substitute",lower,amendment:introduced
ky,2011 Regular Session,lower,HB 101,2011-02-16 00:00:00,floor amendment (3) filed to Committee Substitute,lower,amendment:introduced
ky,2011 Regular Session,lower,HB 101,2011-02-17 00:00:00,"3rd reading, passed 98-0 with Committee Substitute, floor amendments (1) and (3)",lower,bill:reading:3
ky,2011 Regular Session,lower,HB 101,2011-02-18 00:00:00,received in Senate,upper,other
ky,2011 Regular Session,lower,HB 101,2011-02-22 00:00:00,floor amendment (1) filed,lower,amendment:introduced
ky,2011 Regular Session,lower,HB 101,2011-02-23 00:00:00,to Judiciary (S); floor amendments (2) (3-title) (4) and (5) filed,lower,committee:referred|amendment:introduced
ky,2011 Regular Session,lower,HB 101,2011-02-25 00:00:00,taken from Judiciary (S); 1st reading; returned to Judiciary (S),upper,bill:reading:1
ky,2011 Regular Session,lower,HB 101,2011-03-01 00:00:00,floor amendments (1) (2) (3-title) (4) and (5) withdrawn,lower,other
ky,2011 Regular Session,lower,HB 101,2011-03-02 00:00:00,taken from Judiciary (S); 2nd reading; returned to Judiciary (S),upper,bill:reading:2
ky,2011 Regular Session,lower,HB 102,2011-01-04 00:00:00,introduced in House; to State Government (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 102,2011-02-08 00:00:00,posted in committee,lower,other
ky,2011 Regular Session,lower,HB 102,2011-02-10 00:00:00,"reported favorably, 1st reading, to Calendar with Committee Substitute",lower,bill:reading:1
ky,2011 Regular Session,lower,HB 102,2011-02-11 00:00:00,"2nd reading, to Rules; posted for passage in the Regular Orders of the Day for Monday, February 14, 2011",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 102,2011-02-15 00:00:00,"3rd reading, passed 99-0 with Committee Substitute",lower,bill:reading:3
ky,2011 Regular Session,lower,HB 102,2011-02-16 00:00:00,received in Senate,upper,other
ky,2011 Regular Session,lower,HB 102,2011-02-18 00:00:00,to Appropriations & Revenue (S),upper,committee:referred
ky,2011 Regular Session,lower,HB 103,2011-01-04 00:00:00,introduced in House; to Education (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 104,2011-01-04 00:00:00,introduced in House; to Judiciary (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 105,2011-01-04 00:00:00,introduced in House,lower,bill:introduced
ky,2011 Regular Session,lower,HB 105,2011-01-05 00:00:00,to Health & Welfare (H),lower,committee:referred
ky,2011 Regular Session,lower,HB 106,2011-01-04 00:00:00,introduced in House; to Judiciary (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 107,2011-01-04 00:00:00,introduced in House; to State Government (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 107,2011-02-08 00:00:00,posted in committee,lower,other
ky,2011 Regular Session,lower,HB 107,2011-02-10 00:00:00,"reported favorably, 1st reading, to Consent Calendar with Committee Substitute",lower,bill:reading:1
ky,2011 Regular Session,lower,HB 107,2011-02-11 00:00:00,"2nd reading, to Rules; posted for passage in the Consent Orders of the Day for Tuesday, February 15, 2011",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 107,2011-02-15 00:00:00,"3rd reading, passed 96-4 with Committee Substitute",lower,bill:reading:3
ky,2011 Regular Session,lower,HB 107,2011-02-16 00:00:00,received in Senate,upper,other
ky,2011 Regular Session,lower,HB 107,2011-02-18 00:00:00,to Appropriations & Revenue (S),upper,committee:referred
ky,2011 Regular Session,lower,HB 107,2011-02-28 00:00:00,taken from Appropriations & Revenue (S); 1st reading; returned to Appropriations & Revenue (S),upper,bill:reading:1
ky,2011 Regular Session,lower,HB 107,2011-03-01 00:00:00,"reported favorably, 2nd reading, to Rules with Committee Substitute as a Consent Bill",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 107,2011-03-03 00:00:00,"posted for passage in the Consent Orders of the Day for Thursday, March 3, 2011; 3rd reading, passed with Committee Substitute ; received in House",lower,bill:reading:3
ky,2011 Regular Session,lower,HB 107,2011-03-04 00:00:00,"posted for passage for concurrence in Senate Committee Substitute ; House concurred in Senate Committee Substitute ; passed 94-1; enrolled, signed by each presiding officer; delivered to Governor",lower,other
ky,2011 Regular Session,lower,HB 107,2011-03-16 00:00:00,vetoed,lower,other
ky,2011 Regular Session,lower,HB 109,2011-01-04 00:00:00,introduced in House; to Transportation (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 109,2011-02-01 00:00:00,posting waived; posted in committee,lower,other
ky,2011 Regular Session,lower,HB 109,2011-02-02 00:00:00,"reported favorably, 1st reading, to Consent Calendar; floor amendment (1) filed",lower,bill:reading:1|amendment:introduced
ky,2011 Regular Session,lower,HB 109,2011-02-03 00:00:00,"2nd reading, to Rules; posted for passage in the Consent Orders of the Day for Tuesday, February 8, 2011",lower,bill:reading:2
ky,2011 Regular Session,lower,HB 109,2011-02-07 00:00:00,"taken from the Consent Orders of the Day, placed in the Regular Orders of the Day",lower,other
ky,2011 Regular Session,lower,HB 109,2011-02-08 00:00:00,"3rd reading, passed 96-0 with floor amendment (1)",lower,bill:reading:3
ky,2011 Regular Session,lower,HB 109,2011-02-09 00:00:00,received in Senate,upper,other
ky,2011 Regular Session,lower,HB 109,2011-02-11 00:00:00,to Transportation (S),upper,committee:referred
ky,2011 Regular Session,lower,HB 11,2011-07-28 00:00:00,To: Interim Joint Committee on Licensing and Occupations,lower,other
ky,2011 Regular Session,lower,HB 11,2011-01-04 00:00:00,introduced in House; to Licensing & Occupations (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 110,2011-01-04 00:00:00,introduced in House; to Judiciary (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 111,2011-01-04 00:00:00,introduced in House; to Labor & Industry (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 111,2011-01-07 00:00:00,posted in committee,lower,other
ky,2011 Regular Session,lower,HB 112,2011-01-04 00:00:00,introduced in House; to Education (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 113,2011-01-04 00:00:00,introduced in House; to Judiciary (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 113,2011-02-10 00:00:00,floor amendment (1) filed,lower,amendment:introduced
ky,2011 Regular Session,lower,HB 114,2011-01-04 00:00:00,introduced in House; to Judiciary (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 115,2011-01-04 00:00:00,introduced in House; to Appropriations & Revenue (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 116,2011-01-04 00:00:00,introduced in House; to Appropriations & Revenue (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 117,2011-01-04 00:00:00,introduced in House; to Tourism Development & Energy (H),lower,bill:introduced|committee:referred
ky,2011 Regular Session,lower,HB 118,2011-01-04 00:00:00,introduced in House; to Appropriations & Revenue (H),lower,bill:introduced|committee:referred
