state,session,chamber,bill_id,type,name,leg_id
ky,2011 Regular Session,lower,HB 1,primary,L. Combs,KYL000053
ky,2011 Regular Session,lower,HB 1,primary,G. Stumbo,KYL000127
ky,2011 Regular Session,lower,HB 1,primary,R. Adams,KYL000040
ky,2011 Regular Session,lower,HB 1,primary,J. Arnold Jr.,KYL000042
ky,2011 Regular Session,lower,HB 1,primary,L. Belcher,KYL000043
ky,2011 Regular Session,lower,HB 1,primary,J. Bell,KYL000044
ky,2011 Regular Session,lower,HB 1,primary,K. Bratcher,
ky,2011 Regular Session,lower,HB 1,primary,D. Bunch,KYL000046
ky,2011 Regular Session,lower,HB 1,primary,D. Butler,KYL000048
ky,2011 Regular Session,lower,HB 1,primary,J. Carney,KYL000049
ky,2011 Regular Session,lower,HB 1,primary,M. Cherry,KYL000050
ky,2011 Regular Session,lower,HB 1,primary,L. Clark,KYL000051
ky,2011 Regular Session,lower,HB 1,primary,H. Collins,KYL000052
ky,2011 Regular Session,lower,HB 1,primary,J. Comer Jr.,KYL000054
ky,2011 Regular Session,lower,HB 1,primary,T. Couch,KYL000055
ky,2011 Regular Session,lower,HB 1,primary,W. Coursey,KYL000056
ky,2011 Regular Session,lower,HB 1,primary,R. Damron,KYL000059
ky,2011 Regular Session,lower,HB 1,primary,M. Denham,KYL000061
ky,2011 Regular Session,lower,HB 1,primary,M. Dossett,KYL000063
ky,2011 Regular Session,lower,HB 1,primary,T. Edmonds,KYL000064
ky,2011 Regular Session,lower,HB 1,primary,C. Embry Jr.,KYL000065
ky,2011 Regular Session,lower,HB 1,primary,J. Fischer,KYL000067
ky,2011 Regular Session,lower,HB 1,primary,D. Ford,KYL000070
ky,2011 Regular Session,lower,HB 1,primary,J. Glenn,KYL000071
ky,2011 Regular Session,lower,HB 1,primary,J. Greer,KYL000074
ky,2011 Regular Session,lower,HB 1,primary,S. Gregory,KYL000075
ky,2011 Regular Session,lower,HB 1,primary,K. Hall,KYL000076
ky,2011 Regular Session,lower,HB 1,primary,M. Harmon,KYL000077
ky,2011 Regular Session,lower,HB 1,primary,R. Henderson,KYL000078
ky,2011 Regular Session,lower,HB 1,primary,M. Henley,KYL000079
ky,2011 Regular Session,lower,HB 1,primary,D. Horlander,KYL000081
ky,2011 Regular Session,lower,HB 1,primary,B. Housman,KYL000082
ky,2011 Regular Session,lower,HB 1,primary,T. Kerr,KYL000086
ky,2011 Regular Session,lower,HB 1,primary,K. King,KYL000087
ky,2011 Regular Session,lower,HB 1,primary,M. King,KYL000088
ky,2011 Regular Session,lower,HB 1,primary,S. Lee,KYL000091
ky,2011 Regular Session,lower,HB 1,primary,Ji. Lee,KYL000090
ky,2011 Regular Session,lower,HB 1,primary,T. McKee,KYL000094
ky,2011 Regular Session,lower,HB 1,primary,M. Meredith,KYL000096
ky,2011 Regular Session,lower,HB 1,primary,C. Miller,KYL000097
ky,2011 Regular Session,lower,HB 1,primary,T. Mills,KYL000098
ky,2011 Regular Session,lower,HB 1,primary,B. Montell,KYL000099
ky,2011 Regular Session,lower,HB 1,primary,T. Moore,KYL000100
ky,2011 Regular Session,lower,HB 1,primary,R. Nelson,KYL000102
ky,2011 Regular Session,lower,HB 1,primary,M. Nemes,
ky,2011 Regular Session,lower,HB 1,primary,F. Nesler,KYL000104
ky,2011 Regular Session,lower,HB 1,primary,D. Osborne,KYL000105
ky,2011 Regular Session,lower,HB 1,primary,S. Overly,KYL000106
ky,2011 Regular Session,lower,HB 1,primary,R. Quarles,KYL000110
ky,2011 Regular Session,lower,HB 1,primary,M. Rader,KYL000111
ky,2011 Regular Session,lower,HB 1,primary,R. Rand,KYL000112
ky,2011 Regular Session,lower,HB 1,primary,J. Richards,KYL000113
ky,2011 Regular Session,lower,HB 1,primary,S. Riggs,KYL000114
ky,2011 Regular Session,lower,HB 1,primary,T. Riner,KYL000115
ky,2011 Regular Session,lower,HB 1,primary,C. Rollins II,KYL000116
ky,2011 Regular Session,lower,HB 1,primary,S. Rudy,KYL000117
ky,2011 Regular Session,lower,HB 1,primary,J. Short,KYL000119
ky,2011 Regular Session,lower,HB 1,primary,K. Sinnette,KYL000121
ky,2011 Regular Session,lower,HB 1,primary,F. Steele,KYL000124
ky,2011 Regular Session,lower,HB 1,primary,J. Stewart III,KYL000125
ky,2011 Regular Session,lower,HB 1,primary,W. Stone,KYL000126
ky,2011 Regular Session,lower,HB 1,primary,T. Thompson,KYL000128
ky,2011 Regular Session,lower,HB 1,primary,J. Tilley,KYL000129
ky,2011 Regular Session,lower,HB 1,primary,B. Waide,KYL000131
ky,2011 Regular Session,lower,HB 1,primary,D. Watkins,KYL000132
