state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ky,2011 Regular Session,lower,HB 1,"AN ACT proposing to amend the Constitution of Kentucky relating to hunting, fishing, and harvesting wildlife. Propose to amend the Constitution of Kentucky to create a right to hunt, fish, and harvest nonthreatened species using traditional methods; submit to the voters for approval or disapproval.",2011-06-16 21:49:11.284000,2011-09-21 00:28:23.313000,bill,Campaign Finance and Election Issues|Commerce|Recreation|Government Reform|Environmental|Guns|Animal Rights and Wildlife Issues
ky,2011 Regular Session,lower,HB 10,"AN ACT relating to tax credits for hiring legally blind or severely disabled individuals. Create a new section of KRS Chapter 141 to provide a nonrefundable income tax credit for tax years beginning on or after January 1, 2012, for taxpayers who contract with a resident nonprofit organization for services performed by indiviudals who are legally blind or severely disabled; amend KRS 141.0205 to provide the order in which the credit may be claimed.",2011-06-16 21:49:11.323000,2011-06-21 17:36:03.125000,bill,"Other|Health|Budget, Spending, and Taxes"
ky,2011 Regular Session,lower,HB 100,"AN ACT relating to retirement. Amend KRS 6.525 to prohibit members of the Legislators' Retirement Plan, who begin contributing on or after the effective date of the Act, from using salary earned in another state-administered retirement system or plan to calculate benefits in the Legislators' Retirement Plan.",2011-06-16 21:49:12.038000,2011-06-21 17:36:03.903000,bill,Labor and Employment|Other
ky,2011 Regular Session,lower,HB 101,"AN ACT relating to the protection of adults. Create a new section of KRS Chapter 209 to define the terms ""adult"" and ""cabinet""; require the Cabinet for Health and Family Services to establish a registry of persons found to have abused, neglected, or exploited an adult; require an appeal process for persons against whom allegations have been substantiated by the cabinet, and prohibit a licensed or certified facility or program from employing a person on the registry; create a new section of KRS Chapter 216B to prohibit health care facilities and services licensed under KRS Chapter 216B from employing, contracting with, or accepting volunteer services from a person whose name appears on the registry; amend KRS 205.5606 to prohibit persons who provide services or supports from employing, contracting with, or accepting volunteer services from a person whose name appears on the registry; amend KRS 210.795 to prohibit an individual whose name appears on the registry from being a provider and to prohibit a provider from employing, contracting with, or accepting volunteer services from a person whose name appears on the registry.",2011-06-16 21:49:12.046000,2011-06-21 17:36:03.912000,bill,Senior Issues|Other|Health|Family and Children Issues|Municipal and County Issues|Labor and Employment|State Agencies|Crime
ky,2011 Regular Session,lower,HB 102,"AN ACT relating to Rosenwald Schools. Create new sections of KRS Chapter 171 establishing within the Kentucky African-American Heritage Commission a Rosenwald Schools Advisory Council responsible for identifying, preserving, and opening to the public existing Rosenwald School sites in the Commonwealth of Kentucky; amend KRS 171.805 to list coordination of the council among the duties of the Kentucky African-American Heritage Commission.",2011-06-16 21:49:12.051000,2011-06-21 17:36:03.925000,bill,Public Services|Other|Recreation
ky,2011 Regular Session,lower,HB 103,"AN ACT relating to charter schools and making an appropriation therefor. Create new sections of KRS Chapter 160 to describe the intent of the General Assembly and the purposes of authorizing public charter schools; define terms; establish the Public Charter School Commission and identify membership selection and responsibilities of members; outline the requirements and limitations on the establishment of charter schools including identification of charter school authorizers; describe responsibilities of authorizers; describe charter school application, renewal, and revocation process; establish the Public Charter School Commission trust fund and identify uses of the fund; require the commissioner of education to distribute charter school information to potential authorizers; create a new section of KRS Chapter 159 to identify student enrollment and withdrawal requirements to be followed by a charter school; create a new section of KRS Chapter 161 to identify employment conditions for charter school staff; create a new section of KRS Chapter 157 to require local, state, and federal funds to be distributed to charter schools using formulas and allocation processes used in non-charter schools; amend KRS 161.220 to include a teacher employed by a board of directors of a public charter school as a member within the state retirement system; amend KRS 161.220 to include employees of boards of directors of public charter schools in the state-sponsored retirement system; amend KRS 78.510 to include noncertified employees of public charter schools in the state-sponsored retirement system; amend KRS 61.690 to conform.",2011-06-16 21:49:12.059000,2011-06-21 17:36:03.933000,bill,Labor and Employment|Other|Family and Children Issues|State Agencies|Education
ky,2011 Regular Session,lower,HB 104,AN ACT relating to drug offender information. Create a new section of KRS Chapter 27A to require the Administrative Office of the Courts to establish a public Web site containing information on persons convicted of felony drug trafficking offenses and provide for removal of that information under specified circumstances.,2011-06-16 21:49:12.095000,2011-06-21 17:36:03.939000,bill,Drugs|Health|Legal Issues|Crime
ky,2011 Regular Session,lower,HB 105,"AN ACT relating to health care mandates. Establish Subtitle 17D of KRS Chapter 304 and create new sections thereof to define terms and prohibit any federal or state law that compels a person, employer, or health care provider to participate in a health care system; define ""abortion,"" ""elective abortion,"" ""health benefit exchange,"" and ""small group""; prohibit elective abortion coverage by a qualified health benefit plan delivered or issued by a health benefit exchange in accordance with the opt-out provision of the federal Patient Protection and Affordable Care Act, as amended by the Health Care and Education Reconciliation Act; amend KRS 304.5-160 to conform.",2011-06-16 21:49:12.109000,2011-06-21 17:36:03.944000,bill,Other|Health|Insurance
ky,2011 Regular Session,lower,HB 106,"AN ACT relating to civil rights. Amend KRS 344.010 to include definitions for ""sexual orientation"" and ""gender identity""; amend KRS 344.020, relating to the purpose of the Kentucky's civil rights chapter, to include a prohibition against discrimination because of sexual orientation and gender identity; amend KRS 344.025, 344.050, 344.060, 344.070, and 344.080, relating to prohibited discrimination in various labor and employment practices, to include sexual orientation and gender identity; amend KRS 344.100 and 344.110 to conform; amend KRS 344.120 and 342.140, relating to prohibited discrimination in places of public accommodation and advertisements therefor, to include sexual orientation and gender identity; amend KRS 344.170, 344.180, 344.190, 344.300, and 344.310, relating to the state and local human rights commissions, to include prohibition of discrimination on the basis of sexual orientation and gender identity in the scope of their powers and duties; amend KRS 344.680, 344.370, 344.380, and 344.360, relating to prohibited discrimination in certain housing, real estate, and other financial transactions, to include sexual orientation and gender identity; amend KRS 344.367, relating to prohibited discrimination in certain insurance sales, to include sexual orientation and gender identity; amend KRS 344.400, relating to prohibited discrimination in certain credit transactions, to include sexual orientation and gender identity; make various technical amendments; amend KRS 18A.095 to conform.",2011-06-16 21:49:12.117000,2011-06-21 17:36:03.953000,bill,Labor and Employment|Other|Municipal and County Issues|Housing and Property|Civil Liberties and Civil Rights
ky,2011 Regular Session,lower,HB 107,"AN ACT relating to government contracts. Amend various sections in KRS Chapter 45A to expand and refine the list of entities included in definition of ""contracting body""; allow committee to determine the definition of ""governmental emergency""; refine the definition of ""memorandum of agreement""; correct references to universities and colleges and institutions of higher education; refine the definition of ""personal service contract"" to eliminate professional skill or judgment requirement and specifically include contracts for personal or professional services and group health care for public employees; allow the committee to establish reporting schedule for exempt personal service contracts and memoranda of agreement; exempt contracts between postsecondary institutions and health care providers, but require reporting of such contracts; require committee review of all personal service contracts and memoranda of agreement in excess of $1,000,000, except for contracts involving child support collections which are exempted; exempt contracts $40,000 and under from request for proposals process, but require three quotes when feasible, and determination of unfeasibility may be reviewed by the secretary of the Finance and Administration Cabinet or the committee; exempt contracts $40,000 and under not requiring professional skill or judgment from routine review process, but require filing within 30 days for informational purposes; prohibit delegation of decision-making authority by secretary of the Finance and Administration Cabinet, except with respect to institutions of higher education that have elected to implement procurement procedures in accordance with statutory authority; delete requirement for annual reports; delineate powers of the committee.",2011-06-16 21:49:12.127000,2011-06-21 17:36:03.965000,bill,Legislative Affairs|State Agencies|Legal Issues|Family and Children Issues
