id,state,chamber,committee,subcommittee,parent_id
KYC000075,ky,joint,Appropriations And Revenue,,
KYC000076,ky,joint,Banking And Insurance,,
KYC000078,ky,joint,Education,,
KYC000079,ky,joint,Energy Special Subcommittee,,
KYC000080,ky,joint,Health And Welfare,,
KYC000082,ky,joint,Labor And Industry,,
KYC000084,ky,joint,Local Government,,
KYC000085,ky,joint,Natural Resources & Environment,,
KYC000074,ky,joint,Agriculture,,
KYC000087,ky,joint,Transportation,,
KYC000077,ky,joint,Economic Development And Tourism,,
KYC000088,ky,joint,"Veterans, Military Affairs, And Public Protection",,
KYC000081,ky,joint,Judiciary,,
KYC000083,ky,joint,Licensing And Occupations,,
KYC000086,ky,joint,State Government,,
KYC000109,ky,lower,Education,,
KYC000119,ky,lower,State Government,,
KYC000104,ky,lower,Agriculture & Small Business,,
KYC000105,ky,lower,Appropriations & Revenue,,
KYC000106,ky,lower,Banking & Insurance,,
KYC000107,ky,lower,Committee On Committees,,
KYC000108,ky,lower,Economic Development,,
KYC000112,ky,lower,Health & Welfare,,
KYC000115,ky,lower,Licensing & Occupations,,
KYC000116,ky,lower,Local Government,,
KYC000117,ky,lower,Natural Resources & Environment,,
KYC000118,ky,lower,Rules,,
KYC000121,ky,lower,Transportation,,
KYC000111,ky,lower,Enrollment,,
KYC000110,ky,lower,"Elections, Const. Amendments & Intergovernmental Affairs",,
KYC000114,ky,lower,Labor & Industry,,
KYC000120,ky,lower,Tourism Development & Energy,,
KYC000122,ky,lower,"Veterans, Military Affairs, & Public Safety",,
KYC000113,ky,lower,Judiciary,,
KYC000089,ky,upper,Agriculture,,
KYC000090,ky,upper,Appropriations & Revenue,,
KYC000091,ky,upper,Banking & Insurance,,
KYC000092,ky,upper,Committee On Committees,,
KYC000096,ky,upper,Health & Welfare,,
KYC000097,ky,upper,Judiciary,,
KYC000098,ky,upper,"Licensing, Occupations, & Administrative Regulations",,
KYC000099,ky,upper,Natural Resources & Energy,,
KYC000100,ky,upper,Rules,,
KYC000101,ky,upper,State & Local Government,,
KYC000102,ky,upper,Transportation,,
KYC000103,ky,upper,"Veterans, Military Affairs, & Public Protection",,
KYC000095,ky,upper,Enrollment,,
KYC000094,ky,upper,Education,,
KYC000093,ky,upper,"Economic Development, Tourism & Labor",,
