leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
KYL000103,member,2011-2012,38,lower,ky,Republican,,,,,
KYL000103,committee member,2011-2012,,joint,ky,,KYC000066,JUDICIARY,,,
KYL000103,committee member,2011-2012,,joint,ky,,KYC000067,LABOR AND INDUSTRY,,,
KYL000103,committee member,2011-2012,,joint,ky,,KYC000068,LICENSING AND OCCUPATIONS,,,
KYL000103,committee member,2011-2012,,lower,ky,,KYC000049,JUDICIARY,,,
KYL000103,committee member,2011-2012,,lower,ky,,KYC000050,LABOR & INDUSTRY,,,
KYL000103,committee member,2011-2012,,lower,ky,,KYC000051,LICENSING & OCCUPATIONS,,,
KYL000046,member,2011-2012,82,lower,ky,Republican,,,,,2011-10-01 00:00:00
KYL000046,committee member,2011-2012,,lower,ky,,KYC000023,Education,,,
KYL000046,committee member,2011-2012,,lower,ky,,KYC000027,Labor and Industry,,,
KYL000046,committee member,2011-2012,,lower,ky,,KYC000034,"Veterans, Military Affairs and Public Safety",,,
KYL000014,member,2011-2012,21,upper,ky,Republican,,,,,
KYL000014,committee member,2011-2012,,joint,ky,,KYC000061,BANKING AND INSURANCE,,,
KYL000014,committee member,2011-2012,,joint,ky,,KYC000064,ENERGY SPECIAL SUBCOMMITTEE,,,
KYL000014,committee member,2011-2012,,joint,ky,,KYC000066,JUDICIARY,,,
KYL000014,committee member,2011-2012,,joint,ky,,KYC000069,LOCAL GOVERNMENT,,,
KYL000014,committee member,2011-2012,,joint,ky,,KYC000070,NATURAL RESOURCES & ENVIRONMENT,,,
KYL000014,committee member,2011-2012,,joint,ky,,KYC000071,STATE GOVERNMENT,,,
KYL000014,committee member,2011-2012,,upper,ky,,KYC000036,BANKING & INSURANCE,,,
KYL000014,committee member,2011-2012,,upper,ky,,KYC000010,JUDICIARY,,,
KYL000014,committee member,2011-2012,,upper,ky,,KYC000039,NATURAL RESOURCES & ENERGY,,,
KYL000014,committee member,2011-2012,,upper,ky,,KYC000013,STATE & LOCAL GOVERNMENT,,,
KYL000018,member,2011-2012,15,upper,ky,Republican,,,,,
KYL000018,committee member,2011-2012,,joint,ky,,KYC000059,AGRICULTURE,,,
KYL000018,committee member,2011-2012,,joint,ky,,KYC000060,APPROPRIATIONS AND REVENUE,,,
KYL000018,committee member,2011-2012,,joint,ky,,KYC000063,EDUCATION,,,
KYL000018,committee member,2011-2012,,joint,ky,,KYC000073,"VETERANS, MILITARY AFFAIRS, AND PUBLIC PROTECTION",,,
KYL000018,committee member,2011-2012,,upper,ky,,KYC000004,AGRICULTURE,,,
KYL000018,committee member,2011-2012,,upper,ky,,KYC000035,APPROPRIATIONS & REVENUE,,,
KYL000018,committee member,2011-2012,,upper,ky,,KYC000008,EDUCATION,,,
KYL000018,committee member,2011-2012,,upper,ky,,KYC000015,"VETERANS, MILITARY AFFAIRS, & PUBLIC PROTECTION",,,
KYL000022,member,2011-2012,3,upper,ky,Democratic,,,,,
KYL000022,committee member,2011-2012,,joint,ky,,KYC000059,AGRICULTURE,,,
KYL000022,committee member,2011-2012,,joint,ky,,KYC000060,APPROPRIATIONS AND REVENUE,,,
KYL000022,committee member,2011-2012,,joint,ky,,KYC000065,HEALTH AND WELFARE,,,
KYL000022,committee member,2011-2012,,joint,ky,,KYC000073,"VETERANS, MILITARY AFFAIRS, AND PUBLIC PROTECTION",,,
KYL000022,committee member,2011-2012,,upper,ky,,KYC000004,AGRICULTURE,,,
KYL000022,committee member,2011-2012,,upper,ky,,KYC000035,APPROPRIATIONS & REVENUE,,,
KYL000022,committee member,2011-2012,,upper,ky,,KYC000037,HEALTH & WELFARE,,,
KYL000022,committee member,2011-2012,,upper,ky,,KYC000015,"VETERANS, MILITARY AFFAIRS, & PUBLIC PROTECTION",,,
KYL000027,member,2011-2012,19,upper,ky,Democratic,,,,,
KYL000027,committee member,2011-2012,,upper,ky,,KYC000007,"ECONOMIC DEVELOPMENT, TOURISM & LABOR",,,
KYL000027,committee member,2011-2012,,upper,ky,,KYC000014,TRANSPORTATION,,,
KYL000027,committee member,2011-2012,,upper,ky,,KYC000015,"VETERANS, MILITARY AFFAIRS, & PUBLIC PROTECTION",,,
KYL000035,member,2011-2012,23,upper,ky,Republican,,,,,
KYL000035,committee member,2011-2012,,joint,ky,,KYC000060,APPROPRIATIONS AND REVENUE,,,
KYL000035,committee member,2011-2012,,joint,ky,,KYC000062,ECONOMIC DEVELOPMENT AND TOURISM,,,
KYL000035,committee member,2011-2012,,joint,ky,,KYC000063,EDUCATION,,,
KYL000035,committee member,2011-2012,,joint,ky,,KYC000065,HEALTH AND WELFARE,,,
KYL000035,committee member,2011-2012,,joint,ky,,KYC000067,LABOR AND INDUSTRY,,,
KYL000035,committee member,2011-2012,,joint,ky,,KYC000073,"VETERANS, MILITARY AFFAIRS, AND PUBLIC PROTECTION",,,
KYL000035,committee member,2011-2012,,upper,ky,,KYC000035,APPROPRIATIONS & REVENUE,,,
KYL000035,committee member,2011-2012,,upper,ky,,KYC000007,"ECONOMIC DEVELOPMENT, TOURISM & LABOR",,,
KYL000035,committee member,2011-2012,,upper,ky,,KYC000008,EDUCATION,,,
KYL000035,committee member,2011-2012,,upper,ky,,KYC000003,ENROLLMENT,,,
KYL000035,committee member,2011-2012,,upper,ky,,KYC000037,HEALTH & WELFARE,,,
KYL000035,committee member,2011-2012,,upper,ky,,KYC000015,"VETERANS, MILITARY AFFAIRS, & PUBLIC PROTECTION",,,
