state,session,chamber,bill_id,type,name,leg_id
la,2009,lower,HB 1,primary,"James R. ""Jim"" Fannin ",LAL000203
la,2009,lower,HB 10,primary,"Gary L. Smith, Jr.",LAL000262
la,2009,lower,HB 10,cosponsor,Juan A. LaFonta,LAL000231
la,2009,lower,HB 10,cosponsor,"Walt Leger, III",LAL000099
la,2009,lower,HB 10,cosponsor,Jerome Richard,LAL000253
la,2009,lower,HB 100,primary,Franklin J. Foil,LAL000204
la,2009,lower,HB 101,primary,Jerome Richard,LAL000253
la,2009,lower,HB 102,primary,Joseph P. Lopinto III,LAL000238
la,2009,lower,HB 103,primary,John LaBruzzo,LAL000230
la,2009,lower,HB 104,primary,Patricia Haynes Smith,LAL000264
la,2009,lower,HB 105,primary,Neil C. Abramson,LAL000172
la,2009,lower,HB 106,primary,Hunter V. Greene,LAL000209
la,2009,lower,HB 106,cosponsor,Damon J. Baldone,LAL000179
la,2009,lower,HB 106,cosponsor,Taylor F. Barras,LAL000180
la,2009,lower,HB 106,cosponsor,Stephen F. Carter,LAL000189
la,2009,lower,HB 106,cosponsor,Cameron Henry,LAL000216
la,2009,lower,HB 106,cosponsor,Frank A. Hoffmann,LAL000219
la,2009,lower,HB 106,cosponsor,Girod Jackson III,LAL000088
la,2009,lower,HB 106,cosponsor,Rickey L. Nowlin,LAL000247
la,2009,lower,HB 106,cosponsor,Jerome Richard,LAL000253
la,2009,lower,HB 106,cosponsor,Harold L. Ritchie,LAL000256
la,2009,lower,HB 106,cosponsor,Joel C. Robideaux,LAL000257
la,2009,lower,HB 106,cosponsor,Jane H. Smith,LAL000263
la,2009,lower,HB 106,cosponsor,Robert Adley,LAL000137
la,2009,lower,HB 106,cosponsor,"John A. Alario, Jr.",LAL000138
la,2009,lower,HB 106,cosponsor,"Lee ""Jody"" Amedee",LAL000139
la,2009,lower,HB 106,cosponsor,Conrad Appel,LAL000140
la,2009,lower,HB 106,cosponsor,Sharon Weston Broome,LAL000141
la,2009,lower,HB 106,cosponsor,Sherri Smith Cheek,LAL000144
la,2009,lower,HB 106,cosponsor,Jack Donahue,LAL000276
la,2009,lower,HB 106,cosponsor,Yvonne Dorsey,LAL000147
la,2009,lower,HB 106,cosponsor,Ann D. Duplessis,
la,2009,lower,HB 106,cosponsor,Dale M. Erdey,LAL000148
la,2009,lower,HB 106,cosponsor,Elbert L. Guillory,LAL000151
la,2009,lower,HB 106,cosponsor,Troy Hebert,LAL000152
la,2009,lower,HB 106,cosponsor,Gerald Long,LAL000156
la,2009,lower,HB 106,cosponsor,Daniel R. Martiny,LAL000158
la,2009,lower,HB 106,cosponsor,"William Joseph McPherson, Jr.",LAL000159
la,2009,lower,HB 106,cosponsor,"Michael J. ""Mike"" Michot",LAL000160
la,2009,lower,HB 106,cosponsor,"Jean-Paul ""JP"" Morrell",LAL000161
la,2009,lower,HB 106,cosponsor,Edwin R. Murray,LAL000164
la,2009,lower,HB 106,cosponsor,Ben W. Nevers,LAL000165
la,2009,lower,HB 106,cosponsor,Julie Quinn,LAL000167
la,2009,lower,HB 106,cosponsor,"B. L. ""Buddy"" Shaw",LAL000168
la,2009,lower,HB 106,cosponsor,John R. Smith,LAL000169
la,2009,lower,HB 106,cosponsor,Francis C. Thompson,LAL000170
la,2009,lower,HB 107,primary,James H. Morris,LAL000245
la,2009,lower,HB 108,primary,Jerry Gisclair,LAL000208
la,2009,lower,HB 109,primary,Robert E. Billiot,LAL000182
la,2009,lower,HB 11,primary,Rickey Hardy,LAL000212
la,2009,lower,HB 110,primary,Jane H. Smith,LAL000263
la,2009,lower,HB 110,cosponsor,"Nicholas ""Nick"" Gautreaux",LAL000150
la,2009,lower,HB 110,cosponsor,Neil C. Abramson,LAL000172
la,2009,lower,HB 110,cosponsor,"John F. ""Andy"" Anders",LAL000173
la,2009,lower,HB 110,cosponsor,James K. Armes III,LAL000174
la,2009,lower,HB 110,cosponsor,"Jeffery ""Jeff"" J. Arnold",LAL000175
la,2009,lower,HB 110,cosponsor,Damon J. Baldone,LAL000179
la,2009,lower,HB 110,cosponsor,Robert E. Billiot,LAL000182
la,2009,lower,HB 110,cosponsor,Richard T. Burford,LAL000184
la,2009,lower,HB 110,cosponsor,Henry L. Burns,LAL000185
la,2009,lower,HB 110,cosponsor,"Timothy G. ""Tim"" Burns",LAL000186
la,2009,lower,HB 110,cosponsor,Roy A. Burrell,LAL000187
la,2009,lower,HB 110,cosponsor,"Thomas G. Carmody, Jr.",LAL000188
la,2009,lower,HB 110,cosponsor,Stephen F. Carter,LAL000189
la,2009,lower,HB 110,cosponsor,Simone B. Champagne,LAL000190
la,2009,lower,HB 110,cosponsor,Patrick Connick,LAL000193
la,2009,lower,HB 110,cosponsor,Patrick Page Cortez,LAL000194
la,2009,lower,HB 110,cosponsor,Michael E. Danahay,LAL000196
la,2009,lower,HB 110,cosponsor,Jean M. Doerge,LAL000198
la,2009,lower,HB 110,cosponsor,"Gordon E. Dove, Sr.",LAL000199
la,2009,lower,HB 110,cosponsor,Hollis Downs,LAL000200
la,2009,lower,HB 110,cosponsor,Noble E. Ellington,LAL000202
la,2009,lower,HB 110,cosponsor,Franklin J. Foil,LAL000204
la,2009,lower,HB 110,cosponsor,"Richard ""Rick"" Gallot, Jr.",LAL000070
la,2009,lower,HB 110,cosponsor,Jerry Gisclair,LAL000208
la,2009,lower,HB 110,cosponsor,Hunter V. Greene,LAL000209
la,2009,lower,HB 110,cosponsor,Mickey James Guillory,LAL000210
la,2009,lower,HB 110,cosponsor,John E.  Guinn,LAL000211
la,2009,lower,HB 110,cosponsor,Joe Harrison,LAL000213
la,2009,lower,HB 110,cosponsor,Lowell C. Hazel,LAL000214
la,2009,lower,HB 110,cosponsor,Reed S. Henderson,LAL000215
la,2009,lower,HB 110,cosponsor,Cameron Henry,LAL000216
la,2009,lower,HB 110,cosponsor,Walker Hines,LAL000218
la,2009,lower,HB 110,cosponsor,Frank A. Hoffmann,LAL000219
la,2009,lower,HB 110,cosponsor,Frank A. Howard,LAL000221
la,2009,lower,HB 110,cosponsor,Sam Jones,LAL000227
la,2009,lower,HB 110,cosponsor,Kay Kellogg Katz,LAL000228
la,2009,lower,HB 110,cosponsor,"Charles E. ""Chuck"" Kleckley",LAL000229
la,2009,lower,HB 110,cosponsor,Eddie J. Lambert,LAL000232
la,2009,lower,HB 110,cosponsor,Nancy R. Landry,LAL000233
la,2009,lower,HB 110,cosponsor,"Anthony V. Ligi, Jr.",LAL000236
la,2009,lower,HB 110,cosponsor,Samuel P. Little,LAL000237
la,2009,lower,HB 110,cosponsor,Thomas H. McVea,LAL000240
la,2009,lower,HB 110,cosponsor,"Fred H. Mills, Jr.",LAL000105
la,2009,lower,HB 110,cosponsor,James H. Morris,LAL000245
la,2009,lower,HB 110,cosponsor,Barbara M. Norton,LAL000246
la,2009,lower,HB 110,cosponsor,Rickey L. Nowlin,LAL000247
la,2009,lower,HB 110,cosponsor,J. Kevin Pearson,LAL000248
la,2009,lower,HB 110,cosponsor,Jonathan W. Perry,LAL000249
la,2009,lower,HB 110,cosponsor,Erich E. Ponti,LAL000250
la,2009,lower,HB 110,cosponsor,J. Rogers Pope,LAL000251
la,2009,lower,HB 110,cosponsor,Jerome Richard,LAL000253
la,2009,lower,HB 110,cosponsor,Clifton R. Richardson,LAL000254
la,2009,lower,HB 110,cosponsor,Harold L. Ritchie,LAL000256
la,2009,lower,HB 110,cosponsor,Joel C. Robideaux,LAL000257
la,2009,lower,HB 110,cosponsor,"John M. Schroder, Sr.",LAL000259
la,2009,lower,HB 110,cosponsor,Scott M. Simon,LAL000260
la,2009,lower,HB 110,cosponsor,"Gary L. Smith, Jr.",LAL000262
la,2009,lower,HB 110,cosponsor,Karen Gaudet St. Germain,LAL000265
la,2009,lower,HB 110,cosponsor,Jim Tucker,LAL000271
la,2009,lower,HB 110,cosponsor,Wayne Waddell,LAL000136
la,2009,lower,HB 110,cosponsor,"Mack A. ""Bodi"" White, Jr.",LAL000272
la,2009,lower,HB 110,cosponsor,Patrick C. Williams,LAL000273
la,2009,lower,HB 110,cosponsor,Thomas P.  Willmott,LAL000274
la,2009,lower,HB 110,cosponsor,Robert Adley,LAL000137
la,2009,lower,HB 110,cosponsor,"John A. Alario, Jr.",LAL000138
la,2009,lower,HB 110,cosponsor,"Lee ""Jody"" Amedee",LAL000139
la,2009,lower,HB 110,cosponsor,Sherri Smith Cheek,LAL000144
la,2009,lower,HB 110,cosponsor,A. G. Crowe,LAL000146
la,2009,lower,HB 110,cosponsor,"D.A. ""Butch"" Gautreaux",LAL000149
la,2009,lower,HB 110,cosponsor,Elbert L. Guillory,LAL000151
la,2009,lower,HB 110,cosponsor,Troy Hebert,LAL000152
la,2009,lower,HB 110,cosponsor,David Heitmeier,LAL000277
la,2009,lower,HB 110,cosponsor,Gerald Long,LAL000156
la,2009,lower,HB 110,cosponsor,"Robert M. Marionneaux, Jr.",LAL000157
la,2009,lower,HB 110,cosponsor,Daniel R. Martiny,LAL000158
la,2009,lower,HB 110,cosponsor,"William Joseph McPherson, Jr.",LAL000159
la,2009,lower,HB 110,cosponsor,"Jean-Paul ""JP"" Morrell",LAL000161
la,2009,lower,HB 110,cosponsor,Willie L. Mount,LAL000163
la,2009,lower,HB 110,cosponsor,Edwin R. Murray,LAL000164
la,2009,lower,HB 110,cosponsor,Julie Quinn,LAL000167
la,2009,lower,HB 110,cosponsor,Neil Riser,LAL000278
la,2009,lower,HB 110,cosponsor,John R. Smith,LAL000169
la,2009,lower,HB 110,cosponsor,Francis C. Thompson,LAL000170
la,2009,lower,HB 110,cosponsor,Michael A. Walsworth,LAL000171
la,2009,lower,HB 111,primary,Eddie J. Lambert,LAL000232
la,2009,lower,HB 112,primary,Jack Montoucet,LAL000243
la,2009,lower,HB 113,primary,Robert A. Johnson,LAL000225
la,2009,lower,HB 114,primary,Rickey Hardy,LAL000212
la,2009,lower,HB 115,primary,John E.  Guinn,LAL000211
la,2009,lower,HB 116,primary,John E.  Guinn,LAL000211
la,2009,lower,HB 117,primary,Michael E. Danahay,LAL000196
la,2009,lower,HB 118,primary,Jane H. Smith,LAL000263
la,2009,lower,HB 118,cosponsor,"Robert M. Marionneaux, Jr.",LAL000157
la,2009,lower,HB 119,primary,Henry L. Burns,LAL000185
la,2009,lower,HB 12,primary,Ernest D. Wooton,LAL000275
la,2009,lower,HB 120,primary,"Major Thibaut, Jr.",LAL000269
la,2009,lower,HB 121,primary,John E.  Guinn,LAL000211
la,2009,lower,HB 122,primary,Harold L. Ritchie,LAL000256
la,2009,lower,HB 123,primary,Ernest D. Wooton,LAL000275
la,2009,lower,HB 124,primary,Ernest D. Wooton,LAL000275
la,2009,lower,HB 125,primary,Harold L. Ritchie,LAL000256
la,2009,lower,HB 126,primary,John LaBruzzo,LAL000230
la,2009,lower,HB 127,primary,John LaBruzzo,LAL000230
la,2009,lower,HB 128,primary,Cameron Henry,LAL000216
la,2009,lower,HB 128,cosponsor,James K. Armes III,LAL000174
la,2009,lower,HB 128,cosponsor,Bobby G. Badon,LAL000177
la,2009,lower,HB 128,cosponsor,"Timothy G. ""Tim"" Burns",LAL000186
la,2009,lower,HB 128,cosponsor,"Thomas G. Carmody, Jr.",LAL000188
la,2009,lower,HB 128,cosponsor,Patrick Connick,LAL000193
la,2009,lower,HB 128,cosponsor,Patrick Page Cortez,LAL000194
la,2009,lower,HB 128,cosponsor,Noble E. Ellington,LAL000202
la,2009,lower,HB 128,cosponsor,Brett F. Geymann,LAL000207
la,2009,lower,HB 128,cosponsor,Jerry Gisclair,LAL000208
la,2009,lower,HB 128,cosponsor,Hunter V. Greene,LAL000209
la,2009,lower,HB 128,cosponsor,John E.  Guinn,LAL000211
la,2009,lower,HB 128,cosponsor,Joe Harrison,LAL000213
la,2009,lower,HB 128,cosponsor,Lowell C. Hazel,LAL000214
la,2009,lower,HB 128,cosponsor,Reed S. Henderson,LAL000215
la,2009,lower,HB 128,cosponsor,Frank A. Hoffmann,LAL000219
la,2009,lower,HB 128,cosponsor,Frank A. Howard,LAL000221
