state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
la,2011,upper,SB 133,LAV00006974,upper,QUORUM CALL (#335),2011-06-01 00:00:00,other,0,0,2
la,2009,lower,HB 1,LAV00000001,lower,PREVIOUS QUESTION (#780),2009-06-11 00:00:00,other,57,31,16
la,2009,lower,HB 1,LAV00000002,lower,CONCUR IN SENATE AMENDMENTS (#781),2009-06-11 00:00:00,other,69,25,10
la,2009,lower,HB 1,LAV00000003,upper,FINAL PASSAGE (#552),2009-06-05 00:00:00,passage,37,0,2
la,2009,lower,HB 1,LAV00000004,upper,AMENDMENT # 2666 BY NEVERS (#551),2009-06-05 00:00:00,amendment,19,15,5
la,2009,lower,HB 1,LAV00000005,upper,AMENDMENT # 2576 BY GUILLORY (#550),2009-06-05 00:00:00,amendment,8,27,4
la,2009,lower,HB 1,LAV00000006,upper,AMENDMENT # 2602 BY NEVERS (#549),2009-06-05 00:00:00,amendment,12,23,4
la,2009,lower,HB 1,LAV00000007,upper,AMENDMENT # 2646 BY GAUTREAUX B (#548),2009-06-05 00:00:00,amendment,12,25,2
la,2009,lower,HB 1,LAV00000008,upper,AMENDMENT # 2627 BY MARIONNEAUX (#547),2009-06-05 00:00:00,amendment,14,21,4
la,2009,lower,HB 1,LAV00000009,upper,AMENDMENT # 2652 BY HEBERT (#546),2009-06-05 00:00:00,amendment,6,27,6
la,2009,lower,HB 1,LAV00000010,lower,FINAL PASSAGE (#246),2009-05-14 00:00:00,passage,87,17,1
la,2009,lower,HB 1,LAV00000011,lower,"AMENDMENT A-14, MOTION TO ADOPT (#235)",2009-05-14 00:00:00,amendment,30,59,16
la,2009,lower,HB 1,LAV00000012,lower,"AMENDMENT A-29, MOTION TO ADOPT (#230)",2009-05-14 00:00:00,amendment,38,46,21
la,2009,lower,HB 1,LAV00000013,lower,"AMENDMENT A-36, MOTION TO ADOPT (#245)",2009-05-14 00:00:00,amendment,41,59,5
la,2009,lower,HB 1,LAV00000014,lower,"AMENDMENT A-16, MOTION TO ADOPT (#244)",2009-05-14 00:00:00,amendment,23,68,14
la,2009,lower,HB 1,LAV00000015,lower,"AMENDMENT A-33, MOTION TO ADOPT (#243)",2009-05-14 00:00:00,amendment,27,57,21
la,2009,lower,HB 1,LAV00000016,lower,"AMENDMENT A-37, MOTION TO ADOPT (#242)",2009-05-14 00:00:00,amendment,33,60,12
la,2009,lower,HB 1,LAV00000017,lower,"AMENDMENT A-35A, MOTION TO ADOPT (#241)",2009-05-14 00:00:00,amendment,43,47,15
la,2009,lower,HB 1,LAV00000018,lower,"AMENDMENT A-31, MOTION TO ADOPT (#240)",2009-05-14 00:00:00,amendment,29,70,6
la,2009,lower,HB 1,LAV00000019,lower,"AMENDMENT A-5, MOTION TO ADOPT (#239)",2009-05-14 00:00:00,amendment,34,63,8
