leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
LAL000125,member,2008-2011,88,lower,la,Republican,,,,,
LAL000428,member,2008-2011,25,lower,la,Democratic,,,,,
LAL000458,member,2012-2015,104,lower,la,Republican,,,,,
LAL000458,committee member,2012-2015,,lower,la,,LAC000014,Retirement,,,
LAL000458,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000458,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000458,member,2012-2015,104,lower,la,Republican,,,,,
LAL000245,member,2012-2015,14,lower,la,Republican,,,,,
LAL000245,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000245,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000245,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000245,member,2012-2015,14,lower,la,Republican,,,,,
LAL000213,member,2012-2015,51,lower,la,Republican,,,,,
LAL000213,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000213,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000213,committee member,2012-2015,,lower,la,,LAC000034,Natural Resources and Environment,,,
LAL000254,member,2012-2015,65,lower,la,Republican,,,,,
LAL000216,member,2012-2015,82,lower,la,Republican,,,,,
LAL000216,committee member,2012-2015,,lower,la,,LAC000019,Civil Law and Procedure,,,
LAL000216,committee member,2012-2015,,lower,la,,LAC000025,State Bond Commission,,,
LAL000216,committee member,2012-2015,,lower,la,,LAC000031,Legislative Audit Advisory Council,,,
LAL000216,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000216,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000216,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000462,member,2012-2015,101,lower,la,Democratic,,,,,
LAL000462,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000462,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000462,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000462,committee member,2012-2015,,lower,la,,LAC000034,Natural Resources and Environment,,,
LAL000280,member,2012-2015,5,lower,la,Republican,,,,,
LAL000280,committee member,2012-2015,,lower,la,,LAC000014,Retirement,,,
LAL000280,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000280,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000280,committee member,2012-2015,,lower,la,,LAC000007,Insurance,,,
LAL000233,member,2012-2015,31,lower,la,Republican,,,,,
LAL000233,committee member,2012-2015,,lower,la,,LAC000019,Civil Law and Procedure,,,
LAL000233,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000233,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000447,member,2012-2015,43,lower,la,Republican,,,,,
LAL000447,committee member,2012-2015,,lower,la,,LAC000035,Labor and Industrial Relations,,,
LAL000447,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000447,committee member,2012-2015,,joint,la,,LAC000043,Joint Legislative Committee on Capital Outlay,,,
LAL000447,committee member,2012-2015,,lower,la,,LAC000034,Natural Resources and Environment,,,
LAL000455,member,2012-2015,25,lower,la,Republican,,,,,
LAL000455,committee member,2012-2015,,lower,la,,LAC000052,"Appropriations, Interim Member",,,
LAL000455,committee member,2012-2015,,lower,la,,LAC000035,Labor and Industrial Relations,,,
LAL000455,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000455,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000455,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000455,member,2012-2015,25,lower,la,Republican,,,,,
LAL000478,member,2012-2015,8,lower,la,Republican,,,,,
LAL000478,committee member,2012-2015,,lower,la,,LAC000014,Retirement,,,
LAL000478,committee member,2012-2015,,lower,la,,LAC000020,House Committee on Homeland Security,,,
LAL000478,committee member,2012-2015,,joint,la,,LAC000043,Joint Legislative Committee on Capital Outlay,,,
LAL000478,committee member,2012-2015,,joint,la,,LAC000044,Joint Committee on Homeland Security,,,
LAL000478,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000478,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000478,committee member,2012-2015,,lower,la,,LAC000038,Ways and Means,,,
LAL000478,member,2012-2015,8,lower,la,Republican,,,,,
LAL000461,member,2012-2015,16,lower,la,Democratic,,,,,
LAL000461,committee member,2012-2015,,lower,la,,LAC000052,"Appropriations, Interim Member",,,
LAL000461,committee member,2012-2015,,lower,la,,LAC000053,"House and Governmental Affairs, Interim Member",,,
LAL000461,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000461,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000461,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000461,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000461,committee member,2012-2015,,lower,la,,LAC000001,"Agriculture, Forestry, Aquaculture, and Rural Development",,,
LAL000461,member,2012-2015,16,lower,la,Democratic,,,,,
LAL000463,member,2012-2015,11,lower,la,Democratic,,,,,
LAL000463,committee member,2012-2015,,lower,la,,LAC000019,Civil Law and Procedure,,,
LAL000463,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000463,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000463,member,2012-2015,11,lower,la,Democratic,,,,,
LAL000042,member,2012-2015,100,lower,la,Democratic,,,,,
LAL000042,committee member,2012-2015,,lower,la,,LAC000018,Administration of Criminal Justice,,,
LAL000042,committee member,2012-2015,,lower,la,,LAC000033,"Transportation, Highways, and Public Works",,,
LAL000042,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000042,member,2012-2015,100,lower,la,Democratic,,,,,
LAL000042,member,2012-2015,100,lower,la,Democratic,,,,,
LAL000088,member,2012-2015,87,lower,la,Democratic,,,,,
LAL000088,committee member,2012-2015,,lower,la,,LAC000020,House Committee on Homeland Security,,,
LAL000088,committee member,2012-2015,,lower,la,,LAC000024,House and Governmental Affairs,,,
LAL000088,committee member,2012-2015,,lower,la,,LAC000031,Legislative Audit Advisory Council,,,
LAL000088,committee member,2012-2015,,joint,la,,LAC000044,Joint Committee on Homeland Security,,,
LAL000088,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000088,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000088,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000088,member,2012-2015,87,lower,la,Democratic,,,,,
LAL000099,member,2012-2015,91,lower,la,Democratic,,,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000018,Administration of Criminal Justice,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000019,Civil Law and Procedure,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000014,Retirement,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000020,House Committee on Homeland Security,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000035,Labor and Industrial Relations,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000024,House and Governmental Affairs,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000099,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000033,"Transportation, Highways, and Public Works",,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000034,Natural Resources and Environment,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000036,Legislative Budgetary Control Council,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000007,Insurance,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000038,Ways and Means,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000001,"Agriculture, Forestry, Aquaculture, and Rural Development",,,
LAL000099,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000099,member,2012-2015,91,lower,la,Democratic,,,,,
LAL000172,member,2012-2015,98,lower,la,Democratic,,,,,
LAL000172,committee member,2012-2015,,lower,la,,LAC000019,Civil Law and Procedure,,,
LAL000172,committee member,2012-2015,,lower,la,,LAC000049,Select Committee on Hurricane Recovery,,,
LAL000173,member,2012-2015,21,lower,la,Democratic,,,,,
LAL000173,committee member,2012-2015,,lower,la,,LAC000020,House Committee on Homeland Security,,,
LAL000173,committee member,2012-2015,,joint,la,,LAC000044,Joint Committee on Homeland Security,,,
LAL000173,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000173,committee member,2012-2015,,lower,la,,LAC000001,"Agriculture, Forestry, Aquaculture, and Rural Development",,,
LAL000173,member,2012-2015,21,lower,la,Democratic,,,,,
LAL000174,member,2012-2015,30,lower,la,Democratic,,,,,
LAL000174,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000174,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000174,committee member,2012-2015,,lower,la,,LAC000034,Natural Resources and Environment,,,
LAL000174,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000175,member,2012-2015,102,lower,la,Democratic,,,,,
LAL000175,committee member,2012-2015,,lower,la,,LAC000019,Civil Law and Procedure,,,
LAL000175,committee member,2012-2015,,lower,la,,LAC000026,Judiciary,,,
LAL000175,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000175,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000180,member,2012-2015,48,lower,la,Republican,,,,,
LAL000180,committee member,2012-2015,,lower,la,,LAC000024,House and Governmental Affairs,,,
LAL000180,committee member,2012-2015,,joint,la,,LAC000043,Joint Legislative Committee on Capital Outlay,,,
LAL000180,committee member,2012-2015,,lower,la,,LAC000036,Legislative Budgetary Control Council,,,
LAL000180,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000180,committee member,2012-2015,,lower,la,,LAC000038,Ways and Means,,,
LAL000180,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000181,member,2012-2015,29,lower,la,Democratic,,,,,
LAL000181,committee member,2012-2015,,joint,la,,LAC000043,Joint Legislative Committee on Capital Outlay,,,
LAL000181,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000181,committee member,2012-2015,,lower,la,,LAC000037,House Executive Committee,,,
LAL000181,committee member,2012-2015,,lower,la,,LAC000038,Ways and Means,,,
LAL000181,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000181,committee member,2012-2015,,lower,la,,LAC000051,Legislative Bureau,,,
LAL000181,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000182,member,2012-2015,83,lower,la,Democratic,,,,,
LAL000182,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000182,committee member,2012-2015,,lower,la,,LAC000049,Select Committee on Hurricane Recovery,,,
LAL000182,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000182,committee member,2012-2015,,lower,la,,LAC000034,Natural Resources and Environment,,,
LAL000182,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000183,member,2012-2015,97,lower,la,Democratic,,,,,
LAL000183,committee member,2012-2015,,lower,la,,LAC000020,House Committee on Homeland Security,,,
LAL000183,committee member,2012-2015,,lower,la,,LAC000024,House and Governmental Affairs,,,
LAL000183,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000183,committee member,2012-2015,,lower,la,,LAC000049,Select Committee on Hurricane Recovery,,,
LAL000183,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000183,committee member,2012-2015,,joint,la,,LAC000044,Joint Committee on Homeland Security,,,
LAL000183,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000184,member,2012-2015,7,lower,la,Republican,,,,,
LAL000184,committee member,2012-2015,,joint,la,,LAC000043,Joint Legislative Committee on Capital Outlay,,,
LAL000184,committee member,2012-2015,,lower,la,,LAC000038,Ways and Means,,,
LAL000184,committee member,2012-2015,,lower,la,,LAC000021,Health and Welfare,,,
LAL000184,committee member,2012-2015,,lower,la,,LAC000001,"Agriculture, Forestry, Aquaculture, and Rural Development",,,
LAL000185,member,2012-2015,9,lower,la,Republican,,,,,
LAL000185,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000185,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000185,committee member,2012-2015,,lower,la,,LAC000023,Special Committee on Military and Veterans Affairs,,,
LAL000185,committee member,2012-2015,,lower,la,,LAC000003,Education,,,
LAL000185,committee member,2012-2015,,lower,la,,LAC000001,"Agriculture, Forestry, Aquaculture, and Rural Development",,,
LAL000186,member,2012-2015,89,lower,la,Republican,,,,,
LAL000186,committee member,2012-2015,,lower,la,,LAC000024,House and Governmental Affairs,,,
LAL000186,committee member,2012-2015,,lower,la,,LAC000036,Legislative Budgetary Control Council,,,
LAL000187,member,2012-2015,2,lower,la,Democratic,,,,,
LAL000187,committee member,2012-2015,,lower,la,,LAC000018,Administration of Criminal Justice,,,
LAL000187,committee member,2012-2015,,joint,la,,LAC000042,Joint Legislative Committee on the Budget,,,
LAL000187,committee member,2012-2015,,joint,la,,LAC000043,Joint Legislative Committee on Capital Outlay,,,
LAL000187,committee member,2012-2015,,lower,la,,LAC000030,Appropriations,,,
LAL000187,committee member,2012-2015,,lower,la,,LAC000039,"Municipal, Parochial and Cultural Affairs",,,
LAL000188,member,2012-2015,6,lower,la,Republican,,,,,
LAL000188,committee member,2012-2015,,lower,la,,LAC000050,House Committee on Enrollment,,,
LAL000188,committee member,2012-2015,,lower,la,,LAC000028,Commerce,,,
