state,session,chamber,bill_id,type,name,leg_id
ma,187th,lower,H 100,primary,Carlo Basile,MAL000051
ma,187th,lower,H 1000,primary,Demetrius J. Atsalis,MAL000047
ma,187th,lower,H 1001,primary,Demetrius J. Atsalis,MAL000047
ma,187th,lower,H 1002,primary,Ruth B. Balser,MAL000049
ma,187th,lower,H 1003,primary,Ruth B. Balser,MAL000049
ma,187th,lower,H 1004,primary,Jennifer E. Benson,MAL000054
ma,187th,lower,H 1005,primary,Robert F. Fennell,MAL000090
ma,187th,lower,H 1006,primary,Robert F. Fennell,MAL000090
ma,187th,lower,H 1007,primary,Robert F. Fennell,MAL000090
ma,187th,lower,H 1008,primary,Linda Dorcena Forry,MAL000095
ma,187th,lower,H 1009,primary,Colleen M. Garry,MAL000102
ma,187th,lower,H 101,primary,Richard Bastien,MAL000052
ma,187th,lower,H 1010,primary,Colleen M. Garry,MAL000102
ma,187th,lower,H 1011,primary,Colleen M. Garry,MAL000102
ma,187th,lower,H 1012,primary,Michael F. Kane,MAL000119
ma,187th,lower,H 1013,primary,Michael F. Kane,MAL000119
ma,187th,lower,H 1014,primary,Timothy R. Madden,MAL000133
ma,187th,lower,H 1015,primary,James M. Murphy,MAL000144
ma,187th,lower,H 1016,primary,Kevin J. Murphy,MAL000145
ma,187th,lower,H 1017,primary,Vincent A. Pedone,MAL000154
ma,187th,lower,H 1018,primary,Vincent A. Pedone,MAL000154
ma,187th,lower,H 1019,primary,Vincent A. Pedone,MAL000154
ma,187th,lower,H 102,primary,Garrett J. Bradley,MAL000057
ma,187th,lower,H 102,primary,Kathi-Anne Reinstein,MAL000162
ma,187th,lower,H 1020,primary,Vincent A. Pedone,MAL000154
ma,187th,lower,H 1021,primary,Vincent A. Pedone,MAL000154
ma,187th,lower,H 1022,primary,Vincent A. Pedone,MAL000154
ma,187th,lower,H 1023,primary,"George N. Peterson, Jr.",MAL000156
ma,187th,lower,H 1024,primary,"George N. Peterson, Jr.",MAL000156
ma,187th,lower,H 1025,primary,Theodore C. Speliotis,MAL000176
ma,187th,lower,H 1026,primary,Theodore C. Speliotis,MAL000176
ma,187th,lower,H 1027,primary,Joyce A. Spiliotis,MAL000178
ma,187th,lower,H 1028,primary,David M. Torrisi,MAL000187
ma,187th,lower,H 1029,primary,David M. Torrisi,MAL000187
ma,187th,lower,H 103,primary,William N. Brownsberger,MAL000060
ma,187th,lower,H 1030,primary,David M. Torrisi,MAL000187
ma,187th,lower,H 1031,primary,David M. Torrisi,MAL000187
ma,187th,lower,H 1032,primary,James E. Vallee,MAL000189
ma,187th,lower,H 1032,primary,Jennifer L. Flanagan,MAL000016
ma,187th,lower,H 1033,primary,Steven M. Walsh,MAL000194
ma,187th,lower,H 1034,primary,Steven M. Walsh,MAL000194
ma,187th,lower,H 1035,primary,Steven M. Walsh,MAL000194
ma,187th,lower,H 1036,primary,Anthony W. Petruccelli,MAL000030
ma,187th,lower,H 1036,primary,Carlo Basile,MAL000051
ma,187th,lower,H 1037,primary,Angelo L. D'Emilia,MAL000076
ma,187th,lower,H 1038,primary,Stephen L. DiNatale,MAL000082
ma,187th,lower,H 1039,primary,Robert M. Koczera,MAL000124
ma,187th,lower,H 104,primary,James M. Cantwell,MAL000065
ma,187th,lower,H 1040,primary,Jennifer E. Benson,MAL000054
ma,187th,lower,H 1041,primary,Paul Brodeur,MAL000059
ma,187th,lower,H 1042,primary,William N. Brownsberger,MAL000060
ma,187th,lower,H 1043,primary,Christine E. Canavan,MAL000064
ma,187th,lower,H 1044,primary,James M. Cantwell,MAL000065
ma,187th,lower,H 1045,primary,Angelo L. D'Emilia,MAL000076
ma,187th,lower,H 1046,primary,Brian S. Dempsey,MAL000079
ma,187th,lower,H 1047,primary,Paul J. Donato,MAL000083
ma,187th,lower,H 1048,primary,Paul J. Donato,MAL000083
ma,187th,lower,H 1049,primary,James J. Dwyer,MAL000085
ma,187th,lower,H 105,primary,James M. Cantwell,MAL000065
ma,187th,lower,H 1050,primary,James J. Dwyer,MAL000085
ma,187th,lower,H 1051,primary,James J. Dwyer,MAL000085
ma,187th,lower,H 1052,primary,James J. Dwyer,MAL000085
ma,187th,lower,H 1053,primary,Gloria L. Fox,MAL000096
ma,187th,lower,H 1054,primary,Sean Garballey,MAL000100
ma,187th,lower,H 1055,primary,John D. Keenan,MAL000121
ma,187th,lower,H 1056,primary,Kay Khan,MAL000122
ma,187th,lower,H 1057,primary,Peter J. Koutoujian,
ma,187th,lower,H 1058,primary,Steven L. Levy,MAL000128
ma,187th,lower,H 1059,primary,Marc T. Lombardo,MAL000131
ma,187th,lower,H 106,primary,Viriato Manuel deMacedo,MAL000078
ma,187th,lower,H 1060,primary,Marc T. Lombardo,MAL000131
ma,187th,lower,H 1061,primary,Elizabeth A. Malia,MAL000135
ma,187th,lower,H 1062,primary,Kevin J. Murphy,MAL000145
ma,187th,lower,H 1063,primary,James J. O'Day,MAL000150
ma,187th,lower,H 1064,primary,Sarah K. Peake,MAL000153
ma,187th,lower,H 1065,primary,Jeffrey Sánchez,MAL000167
ma,187th,lower,H 1066,primary,Tom Sannicandro,MAL000168
ma,187th,lower,H 1067,primary,Frank I. Smizik,MAL000174
ma,187th,lower,H 1068,primary,Todd M. Smola,MAL000175
ma,187th,lower,H 1069,primary,Bruce E. Tarr,MAL000036
ma,187th,lower,H 1069,primary,Harriett L. Stanley,MAL000179
ma,187th,lower,H 107,primary,James J. Dwyer,MAL000085
ma,187th,lower,H 1070,primary,Benjamin Swan,MAL000184
ma,187th,lower,H 1071,primary,Walter F. Timilty,MAL000185
ma,187th,lower,H 1072,primary,Walter F. Timilty,MAL000185
ma,187th,lower,H 1073,primary,"Timothy J. Toomey, Jr.",MAL000186
ma,187th,lower,H 1074,primary,Karen E. Spilka,MAL000035
ma,187th,lower,H 1074,primary,James E. Vallee,MAL000189
ma,187th,lower,H 1075,primary,Chris Walsh,MAL000191
ma,187th,lower,H 1076,primary,Steven M. Walsh,MAL000194
ma,187th,lower,H 1077,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1078,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1079,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 108,primary,Susan Williams Gifford,MAL000103
ma,187th,lower,H 1080,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1081,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1082,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1083,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1084,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1085,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1086,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1087,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1088,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1089,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 109,primary,Peter J. Koutoujian,
ma,187th,lower,H 1090,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1091,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1092,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1093,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1094,primary,Martha M. Walz,MAL000195
ma,187th,lower,H 1095,primary,Christine E. Canavan,MAL000064
