state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ma,187th,lower,H 1,"Message from His Excellency the Governor submitting the annual budget of the Commonwealth for the fiscal year beginning July first, two thousand eleven",2011-07-08 21:34:46.703000,2012-08-24 04:23:56.548000,bill,
ma,187th,lower,H 10,An Act relative to special state police,2011-07-08 21:34:46.736000,2012-08-24 04:23:57.324000,bill,
ma,187th,lower,H 100,An Act relative to clear and conspicuous price disclosures,2011-07-08 21:34:47.118000,2012-10-13 04:13:40.345000,bill,
ma,187th,lower,H 1000,An Act regulating the licensing of cosmetology schools,2011-07-08 21:34:51.080000,2012-08-29 04:26:35.256000,bill,
ma,187th,lower,H 1001,An Act relative to membership of the Cosmetology Board of Registration.,2011-07-08 21:34:51.083000,2012-08-29 04:26:35.259000,bill,
ma,187th,lower,H 1002,An Act relative to the licensure of behavior analysts,2011-07-08 21:34:51.086000,2012-08-24 04:24:13.665000,bill,
ma,187th,lower,H 1003,An Act relative to psychology training,2011-07-08 21:34:51.088000,2012-10-10 04:14:37.439000,bill,
ma,187th,lower,H 1004,An Act pertaining to green energy career development,2011-07-08 21:34:51.091000,2012-08-24 04:24:13.671000,bill,
ma,187th,lower,H 1005,An Act to encourage well qualified practitioners in the field of personal training,2011-07-08 21:34:51.096000,2012-08-24 04:24:13.675000,bill,
ma,187th,lower,H 1006,An Act relative to secondhand dealers,2011-07-08 21:34:51.098000,2012-08-24 04:24:13.678000,bill,
ma,187th,lower,H 1007,An Act relative to requiring photo identification for credit card purchases,2011-07-08 21:34:51.101000,2012-09-06 04:16:22.375000,bill,
ma,187th,lower,H 1008,An Act to streamline the advertisement of gasoline prices,2011-07-08 21:34:51.104000,2012-09-06 04:16:22.379000,bill,
ma,187th,lower,H 1009,An Act relative to the sale of alcoholic beverages,2011-07-08 21:34:51.108000,2012-08-24 04:24:13.687000,bill,
ma,187th,lower,H 101,An Act to create jobs in the automobile industry,2011-07-08 21:34:47.139000,2012-09-06 04:16:16.181000,bill,
ma,187th,lower,H 1010,An Act relative to the sale of alcoholic beverages,2011-07-08 21:34:51.111000,2012-10-04 04:19:36.887000,bill,
ma,187th,lower,H 1011,An Act restricting the sale of certain items at flea markets,2011-07-08 21:34:51.113000,2012-08-24 04:24:13.693000,bill,
ma,187th,lower,H 1012,An Act relative to identification for the sale of alcoholic beverages,2011-07-08 21:34:51.116000,2012-08-24 04:24:13.696000,bill,
ma,187th,lower,H 1013,An Act relative to liquor licenses,2011-07-08 21:34:51.119000,2012-08-24 04:24:13.699000,bill,
ma,187th,lower,H 1014,An Act to prohibit negative option sales and disclosure of financial and personal information without a consumer’s express agreement ,2011-07-08 21:34:51.122000,2012-08-24 04:24:13.702000,bill,
ma,187th,lower,H 1015,An Act realtive to surety bonds,2011-07-08 21:34:51.125000,2012-10-18 04:08:26.380000,bill,
