leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MAL000179,member,187,Second Essex,lower,ma,Democratic,,,,,
MAL000179,committee member,187,,joint,ma,,MAC000063,Revenue,,,
MAL000179,committee member,187,,lower,ma,,MAC000036,"Bonding, Capital Expenditures and State Assets",,,
MAL000179,committee member,187,,lower,ma,,MAC000038,Global Warming and Climate Change,,,
MAL000179,committee member,187,,lower,ma,,MAC000040,Post Audit and Oversight,,,
MAL000001,member,187,First Essex,upper,ma,Democratic,,,,,
MAL000001,committee member,187,,upper,ma,,MAC000007,Ways and Means,,,
MAL000119,member,187,Fifth Hampden,lower,ma,Democratic,,,,,
MAL000154,member,187,Fifteenth Worcester,lower,ma,Democratic,,,,,2012-01-01 00:00:00
MAL000154,committee member,187,,lower,ma,,MAC000035,Bills in the Third Reading,,,
MAL000177,member,187,Third Berkshire,lower,ma,Republican,,,,,2011-07-13 00:00:00
MAL000177,committee member,187,,lower,ma,,MAC000043,Ways and Means,,,
MAL000189,member,187,Tenth Norfolk,lower,ma,Democratic,,,,,
MAL000002,member,187,Second Essex,upper,ma,Democratic,,,,,
MAL000002,committee member,187,,upper,ma,,MAC000003,Ethics and Rules,,,
MAL000002,committee member,187,,joint,ma,,MAC000064,Rules,,,
MAL000014,member,187,Third Middlesex,upper,ma,Democratic,,,,,
MAL000014,committee member,187,,joint,ma,,MAC000044,"Children, Families and Persons with Disabilities",,,
MAL000014,committee member,187,,joint,ma,,MAC000049,Elder Affairs,,,
MAL000014,committee member,187,,joint,ma,,MAC000055,Housing,,,
MAL000014,committee member,187,,joint,ma,,MAC000060,Public Health,,,
MAL000014,committee member,187,,joint,ma,,MAC000065,State Administration and Regulatory Oversight,,,
MAL000038,committee member,187,,upper,ma,,MAC000028,Rules,,,
MAL000038,committee member,187,,joint,ma,,MAC000064,Rules,,,
MAL000038,member,187,Second Suffolk And Middlesex,upper,ma,Republican,,,,,2011-10-01 00:00:00
