state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
md,2012s1,upper,SB 1301,MDV00014223,upper,FavorableSuspend Rule 24/Constitutional Provision Kasemeyer,2012-05-14 00:00:00,other,36,10,1
md,2012s1,upper,SB 1301,MDV00014224,upper,Floor amendment Kittleman /503625/1,2012-05-14 00:00:00,other,14,32,1
md,2012s1,upper,SB 1301,MDV00014225,upper,Floor amendment Kittleman /663627/1,2012-05-14 00:00:00,other,16,30,1
md,2012s1,upper,SB 1301,MDV00014226,upper,Floor amendment Brinkley /213921/1,2012-05-14 00:00:00,other,15,30,2
md,2012s1,upper,SB 1301,MDV00014227,upper,Floor amendment Pipkin /103828/1,2012-05-14 00:00:00,other,13,33,1
md,2012s1,upper,SB 1302,MDV00014237,upper,FavorableSuspend Rule 24/Constitutional Provision,2012-05-14 00:00:00,other,36,10,1
md,2012s1,upper,SB 1302,MDV00014238,upper,Floor amendment Kittleman /783922/1,2012-05-14 00:00:00,other,17,29,1
md,2012s1,upper,SB 1302,MDV00014239,upper,Floor amendment Shank /313123/1,2012-05-14 00:00:00,other,15,31,1
md,2012s1,upper,SB 1302,MDV00014240,upper,Floor amendment Reilly /383424/1,2012-05-14 00:00:00,other,16,30,1
md,2012s1,upper,SB 1302,MDV00014241,upper,Floor amendment Reilly /843724/1,2012-05-14 00:00:00,other,17,29,1
md,2012s1,upper,SB 1302,MDV00014242,upper,Floor amendment Jennings /833828/1,2012-05-14 00:00:00,other,15,31,1
md,2012s1,upper,SB 1302,MDV00014243,upper,Floor amendment Brinkley /553023/1,2012-05-14 00:00:00,other,15,31,1
md,2012s1,upper,SB 1302,MDV00014244,upper,Floor amendment Pipkin /863626/1,2012-05-14 00:00:00,other,14,32,1
md,2012s1,upper,SB 1302,MDV00014245,upper,Floor amendment Pipkin /793029/1,2012-05-14 00:00:00,other,19,27,1
md,2012s1,upper,SB 1303,MDV00014254,upper,FavorableSuspend Rule 24/Constitutional Provision,2012-05-14 00:00:00,other,38,8,1
md,2012s1,upper,SB 1303,MDV00014255,upper,On Third Reading,2012-05-15 00:00:00,other,46,0,1
md,2007,lower,HB 10,MDV00000001,lower,On Third Reading                                     ,2007-03-06 00:00:00,passage,130,9,2
md,2007,lower,HB 10,MDV00000002,upper,On Third Reading                                     ,2007-03-30 00:00:00,passage,47,0,0
md,2007,lower,HB 1001,MDV00000003,lower,On Third Reading                                     ,2007-03-21 00:00:00,passage,137,0,4
md,2007,lower,HB 1001,MDV00000004,upper,On Third Reading                                     ,2007-03-31 00:00:00,passage,47,0,0
md,2007,lower,HB 1003,MDV00000005,lower,On Third Reading                                     ,2007-03-21 00:00:00,passage,133,0,8
md,2007,lower,HB 1004,MDV00000006,lower,On Third Reading                                     ,2007-03-29 00:00:00,passage,137,0,4
md,2007,lower,HB 1004,MDV00000007,upper,On Third Reading                                     ,2007-04-04 00:00:00,passage,46,0,1
md,2007,lower,HB 1006,MDV00000008,lower,On Third Reading                                     ,2007-03-20 00:00:00,passage,135,0,6
md,2007,lower,HB 1006,MDV00000009,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-04 00:00:00,passage,137,1,3
md,2007,lower,HB 1006,MDV00000010,upper,On Third Reading                              (Amend),2007-04-02 00:00:00,passage,47,0,0
md,2007,lower,HB 1009,MDV00000011,lower,On Third Reading                                     ,2007-03-09 00:00:00,passage,137,0,4
md,2007,lower,HB 1009,MDV00000012,upper,On Third Reading                                     ,2007-03-28 00:00:00,passage,45,0,2
md,2007,lower,HB 101,MDV00000013,lower,On Third Reading                                     ,2007-04-03 00:00:00,passage,140,0,1
md,2007,lower,HB 1013,MDV00000014,lower,On Third Reading                                     ,2007-03-18 00:00:00,passage,140,0,1
md,2007,lower,HB 1013,MDV00000015,upper,On Third Reading                              (Emerg),2007-03-29 00:00:00,passage,47,0,0
md,2007,lower,HB 1016,MDV00000016,lower,On Third Reading                                     ,2007-03-22 00:00:00,passage,128,7,6
md,2007,lower,HB 1016,MDV00000017,lower,On Third Reading and Final Passage       (CCR adp)   ,2007-04-05 00:00:00,passage,133,2,6
md,2007,lower,HB 1016,MDV00000018,upper,On Third Reading                              (Amend),2007-04-02 00:00:00,passage,31,16,0
md,2007,lower,HB 1016,MDV00000019,upper,On third reading                                     ,2007-04-04 00:00:00,passage,29,18,0
md,2007,lower,HB 1017,MDV00000020,lower,On Third Reading                                     ,2007-03-20 00:00:00,passage,111,22,8
md,2007,lower,HB 1017,MDV00000021,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-06 00:00:00,passage,113,20,8
md,2007,lower,HB 1017,MDV00000022,upper,On Third Reading                              (Amend),2007-04-04 00:00:00,passage,28,18,1
md,2007,lower,HB 102,MDV00000023,lower,On Third Reading                                     ,2007-02-27 00:00:00,passage,137,0,4
md,2007,lower,HB 102,MDV00000024,upper,On Third Reading                                     ,2007-04-03 00:00:00,passage,47,0,0
md,2007,lower,HB 1020,MDV00000025,lower,On Third Reading                                     ,2007-03-31 00:00:00,passage,119,17,5
md,2007,lower,HB 1027,MDV00000026,lower,On Third Reading                                     ,2007-03-22 00:00:00,passage,136,0,5
md,2007,lower,HB 1027,MDV00000027,upper,On Third Reading                              (Emerg),2007-03-28 00:00:00,passage,45,0,2
md,2007,lower,HB 103,MDV00000028,lower,On Third Reading                                     ,2007-03-01 00:00:00,passage,134,0,7
md,2007,lower,HB 103,MDV00000029,upper,On Third Reading                                     ,2007-03-29 00:00:00,passage,33,13,1
md,2007,lower,HB 1030,MDV00000030,lower,On Third Reading                                     ,2007-03-22 00:00:00,passage,138,0,3
md,2007,lower,HB 1030,MDV00000031,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-05 00:00:00,passage,140,0,1
md,2007,lower,HB 1030,MDV00000032,upper,On Third Reading                                     ,2007-04-03 00:00:00,passage,47,0,0
md,2007,lower,HB 1031,MDV00000033,lower,On Third Reading                                     ,2007-03-16 00:00:00,passage,140,0,1
md,2007,lower,HB 1031,MDV00000034,upper,On Third Reading                                     ,2007-03-28 00:00:00,passage,45,0,2
md,2007,lower,HB 1033,MDV00000035,lower,On Third Reading                                     ,2007-03-16 00:00:00,passage,139,0,2
md,2007,lower,HB 1033,MDV00000036,upper,On Third Reading                                     ,2007-03-29 00:00:00,passage,47,0,0
md,2007,lower,HB 1034,MDV00000037,lower,On Third Reading                                     ,2007-03-21 00:00:00,passage,137,0,4
md,2007,lower,HB 1035,MDV00000038,lower,On Third Reading                              (Emerg),2007-03-15 00:00:00,passage,135,2,4
md,2007,lower,HB 1036,MDV00000039,lower,On Third Reading                                     ,2007-03-20 00:00:00,passage,135,0,6
md,2007,lower,HB 1036,MDV00000040,upper,On Third Reading                                     ,2007-04-02 00:00:00,passage,46,0,1
md,2007,lower,HB 1041,MDV00000041,lower,On Third Reading                                     ,2007-03-15 00:00:00,passage,136,0,5
md,2007,lower,HB 1041,MDV00000042,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-01 00:00:00,passage,140,0,1
md,2007,lower,HB 1041,MDV00000043,upper,On Third Reading                              (Amend),2007-04-02 00:00:00,passage,46,0,1
md,2007,lower,HB 1042,MDV00000044,lower,On Third Reading                                     ,2007-03-22 00:00:00,passage,136,0,5
md,2007,lower,HB 1042,MDV00000045,upper,                  ,2007-04-05 00:00:00,other,20,26,1
md,2007,lower,HB 1042,MDV00000046,upper,On third reading                                     ,2007-04-05 00:00:00,passage,46,0,1
md,2007,lower,HB 1043,MDV00000047,lower,On Third Reading                                     ,2007-04-04 00:00:00,passage,137,0,4
md,2007,lower,HB 1045,MDV00000048,lower,On Third Reading                                     ,2007-03-17 00:00:00,passage,136,0,5
md,2007,lower,HB 1046,MDV00000049,lower,On Third Reading                                     ,2007-03-22 00:00:00,passage,137,1,3
md,2007,lower,HB 1046,MDV00000050,upper,On Third Reading                                     ,2007-04-04 00:00:00,passage,47,0,0
md,2007,lower,HB 1049,MDV00000051,lower,On Third Reading                                     ,2007-03-21 00:00:00,passage,137,0,4
md,2007,lower,HB 1049,MDV00000052,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-05 00:00:00,passage,140,0,1
md,2007,lower,HB 1049,MDV00000053,upper,On Third Reading                                     ,2007-04-03 00:00:00,passage,45,2,0
md,2007,lower,HB 105,MDV00000054,lower,On Third Reading                                     ,2007-03-20 00:00:00,passage,134,1,6
md,2007,lower,HB 105,MDV00000055,upper,On Third Reading                              (Emerg),2007-03-29 00:00:00,passage,47,0,0
md,2007,lower,HB 1056,MDV00000056,lower,On Third Reading                                     ,2007-03-18 00:00:00,passage,140,0,1
md,2007,lower,HB 1056,MDV00000057,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-01 00:00:00,passage,140,0,1
md,2007,lower,HB 1056,MDV00000058,upper,On third reading                                     ,2007-04-02 00:00:00,passage,47,0,0
md,2007,lower,HB 1057,MDV00000059,lower,On Third Reading                                     ,2007-03-22 00:00:00,passage,104,30,7
md,2007,lower,HB 1057,MDV00000060,lower,On Third Reading and Final Passage    (Hse concurred),2007-04-06 00:00:00,passage,122,18,1
md,2007,lower,HB 1057,MDV00000061,upper,OONEY                    ,2007-04-03 00:00:00,other,14,31,2
md,2007,lower,HB 1057,MDV00000062,upper,                  ,2007-04-03 00:00:00,other,13,32,2
md,2007,lower,HB 1057,MDV00000063,upper,MOTION TO LIMIT DEBATE TO 15 MINUTES                 ,2007-04-04 00:00:00,other,31,16,0
md,2007,lower,HB 1057,MDV00000064,upper,                  ,2007-04-04 00:00:00,other,15,24,8
md,2007,lower,HB 1057,MDV00000065,upper,                 ,2007-04-04 00:00:00,other,14,28,5
md,2007,lower,HB 1057,MDV00000066,upper,                  ,2007-04-04 00:00:00,other,13,28,6
md,2007,lower,HB 1057,MDV00000067,upper,On third reading                                     ,2007-04-04 00:00:00,passage,28,17,2
md,2007,lower,HB 1067,MDV00000068,lower,On Third Reading                                     ,2007-03-21 00:00:00,passage,134,0,7
md,2007,lower,HB 1067,MDV00000069,lower,On Third Reading and Final Passage       (CCR adp)   ,2007-04-04 00:00:00,passage,139,0,2
md,2007,lower,HB 1067,MDV00000070,upper,On Third Reading                              (Amend),2007-03-29 00:00:00,passage,47,0,0
md,2007,lower,HB 1067,MDV00000071,upper,On third reading                                     ,2007-04-03 00:00:00,passage,47,0,0
