leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MDL000242,member,2007-2010,43,lower,md,Democratic,,,,,
MDL000389,member,2011-2014,24,lower,md,Democratic,,,,,2012-10-09 00:00:00
MDL000350,member,2011-2014,22,lower,md,Democratic,,,,,2012-11-09 00:00:00
MDL000350,committee member,2011-2014,,lower,md,,MDC000026,WAYS & MEANS COMMITTEE,,,
MDL000350,committee member,2011-2014,,lower,md,,MDC000027,WAYS & MEANS COMMITTEE,EDUCATION SUBCOMMITTEE,,
MDL000350,committee member,2011-2014,,lower,md,,MDC000028,WAYS & MEANS COMMITTEE,ELECTION LAW SUBCOMMITTEE,,
MDL000350,committee member,2011-2014,,lower,md,,MDC000030,WAYS & MEANS COMMITTEE,REVENUES SUBCOMMITTEE,,
MDL000350,committee member,2011-2014,,lower,md,,MDC000033,SPECIAL COMMITTEE ON DRUG & ALCOHOL ABUSE,,,
MDL000350,committee member,2011-2014,,joint,md,,MDC000082,"JOINT COMMITTEE ON ADMINISTRATIVE,",,,
MDL000350,member,2007-2010,22,lower,md,Democratic,,,,,
MDL000080,member,2007-2010,43,lower,md,Democratic,,,,,
MDL000197,member,2007-2010,46,upper,md,Democratic,,,,,
MDL000206,member,2007-2010,5,upper,md,Republican,,,,,
MDL000207,member,2007-2010,47,upper,md,Democratic,,,,,
MDL000208,member,2007-2010,7,upper,md,Republican,,,,,
MDL000216,member,2007-2010,14,upper,md,Democratic,,,,,
MDL000217,member,2007-2010,19,upper,md,Democratic,,,,,
MDL000222,member,2007-2010,3,upper,md,Republican,,,,,
MDL000223,member,2007-2010,2,upper,md,Republican,,,,,
MDL000243,member,2007-2010,4A,lower,md,Republican,,,,,
MDL000254,member,2007-2010,16,lower,md,Democratic,,,,,
MDL000263,member,2007-2010,30,lower,md,Democratic,,,,,
MDL000274,member,2007-2010,38A,lower,md,Republican,,,,,
MDL000292,member,2007-2010,19,lower,md,Democratic,,,,,
MDL000302,member,2007-2010,3B,lower,md,Republican,,,,,
MDL000308,member,2007-2010,33A,lower,md,Republican,,,,,
MDL000310,member,2007-2010,44,lower,md,Democratic,,,,,
MDL000313,member,2007-2010,46,lower,md,Democratic,,,,,
MDL000317,member,2007-2010,23A,lower,md,Democratic,,,,,
MDL000318,member,2007-2010,28,lower,md,Democratic,,,,,
MDL000353,member,2007-2010,8,lower,md,Democratic,,,,,
MDL000356,member,2007-2010,5A,lower,md,Republican,,,,,
MDL000360,member,2007-2010,36,lower,md,Republican,,,,,
MDL000365,member,2007-2010,4A,lower,md,Republican,,,,,
MDL000367,member,2007-2010,14,lower,md,Democratic,,,,,
MDL000288,committee member,2011-2014,,lower,md,,MDC000201,Economic Matters,,,
MDL000288,committee member,2011-2014,,lower,md,,MDC000264,Economic Matters,Alcoholic Beverages Subcommittee,,
MDL000288,committee member,2011-2014,,lower,md,,MDC000270,Economic Matters,Unemployment Insurance Subcommittee,,
MDL000288,member,2011-2014,45,lower,md,Democratic,,,,,2013-01-28 00:00:00
MDL000288,committee member,2011-2014,,lower,md,,MDC000201,Economic Matters,,,
MDL000288,committee member,2011-2014,,lower,md,,MDC000264,Economic Matters,Alcoholic Beverages Subcommittee,,
MDL000288,committee member,2011-2014,,lower,md,,MDC000270,Economic Matters,Unemployment Insurance Subcommittee,,
MDL000288,member,2007-2010,45,lower,md,Democratic,,,,,
MDL000200,member,2007-2010,24,upper,md,Democratic,,,,,
MDL000200,committee member,2007-2010,,upper,md,,MDC000015,FINANCE COMMITTEE,,,
MDL000200,committee member,2007-2010,,upper,md,,MDC000019,SPECIAL COMMITTEE ON SUBSTANCE ABUSE,,,
MDL000234,member,2007-2010,38,upper,md,Republican,,,,,
MDL000234,committee member,2007-2010,,upper,md,,MDC000003,BUDGET & TAXATION COMMITTEE,,,
MDL000234,committee member,2007-2010,,upper,md,,MDC000005,BUDGET & TAXATION COMMITTEE,"HEALTH, EDUCATION & HUMAN RESOURCES SUBCOMMITTEE",,
MDL000237,member,2007-2010,39,lower,md,Democratic,,,,,
MDL000237,committee member,2007-2010,,lower,md,,MDC000052,ENVIRONMENTAL MATTERS COMMITTEE,,,
MDL000237,committee member,2007-2010,,lower,md,,MDC000054,ENVIRONMENTAL MATTERS COMMITTEE,ENVIRONMENT SUBCOMMITTEE,,
MDL000237,committee member,2007-2010,,lower,md,,MDC000055,ENVIRONMENTAL MATTERS COMMITTEE,HOUSING & REAL PROPERTY SUBCOMMITTEE,,
MDL000237,committee member,2007-2010,,lower,md,,MDC000058,ENVIRONMENTAL MATTERS COMMITTEE,MOTOR VEHICLES & TRANSPORTATION SUBCOMMITTEE,,
MDL000291,member,2007-2010,3A,lower,md,Democratic,,,,,
MDL000291,committee member,2007-2010,,lower,md,,MDC000042,ECONOMIC MATTERS COMMITTEE,,,
MDL000291,committee member,2007-2010,,lower,md,,MDC000044,ECONOMIC MATTERS COMMITTEE,"BANKING, ECONOMIC DEVELOPMENT, SCIENCE & TECHNOLOGY SUBCOMMITTEE",,
MDL000291,committee member,2007-2010,,lower,md,,MDC000046,ECONOMIC MATTERS COMMITTEE,CONSUMER PROTECTION & COMMERCIAL LAW SUBCOMMITTEE,,
MDL000291,committee member,2007-2010,,lower,md,,MDC000048,ECONOMIC MATTERS COMMITTEE,PUBLIC UTILITIES SUBCOMMITTEE,,
MDL000291,committee member,2007-2010,,lower,md,,MDC000051,ECONOMIC MATTERS COMMITTEE,WORKERS' COMPENSATION SUBCOMMITTEE,,
MDL000314,member,2007-2010,27B,lower,md,Democratic,,,,,
MDL000314,committee member,2007-2010,,lower,md,,MDC000036,HEALTH & GOVERNMENT OPERATIONS COMMITTEE,,,
MDL000314,committee member,2007-2010,,lower,md,,MDC000039,HEALTH & GOVERNMENT OPERATIONS COMMITTEE,INSURANCE SUBCOMMITTEE,,
MDL000314,committee member,2007-2010,,lower,md,,MDC000040,HEALTH & GOVERNMENT OPERATIONS COMMITTEE,MINORITY HEALTH DISPARITIES SUBCOMMITTEE,,
MDL000346,member,2007-2010,15,lower,md,Democratic,,,,,
MDL000346,committee member,2007-2010,,lower,md,,MDC000026,WAYS & MEANS COMMITTEE,,,
MDL000346,committee member,2007-2010,,lower,md,,MDC000027,WAYS & MEANS COMMITTEE,EDUCATION SUBCOMMITTEE,,
MDL000346,committee member,2007-2010,,lower,md,,MDC000030,WAYS & MEANS COMMITTEE,REVENUES SUBCOMMITTEE,,
MDL000347,member,2007-2010,34A,lower,md,Democratic,,,,,
MDL000347,committee member,2007-2010,,lower,md,,MDC000036,HEALTH & GOVERNMENT OPERATIONS COMMITTEE,,,
MDL000347,committee member,2007-2010,,lower,md,,MDC000038,HEALTH & GOVERNMENT OPERATIONS COMMITTEE,HEALTH FACILITIES & OCCUPATIONS SUBCOMMITTEE,,
MDL000347,committee member,2007-2010,,lower,md,,MDC000039,HEALTH & GOVERNMENT OPERATIONS COMMITTEE,INSURANCE SUBCOMMITTEE,,
MDL000375,member,2007-2010,36,lower,md,Republican,,,,,
MDL000375,committee member,2007-2010,,lower,md,,MDC000034,RULES & EXECUTIVE NOMINATIONS COMMITTEE,,,
MDL000375,committee member,2007-2010,,lower,md,,MDC000042,ECONOMIC MATTERS COMMITTEE,,,
MDL000375,committee member,2007-2010,,lower,md,,MDC000044,ECONOMIC MATTERS COMMITTEE,"BANKING, ECONOMIC DEVELOPMENT, SCIENCE & TECHNOLOGY SUBCOMMITTEE",,
MDL000375,committee member,2007-2010,,lower,md,,MDC000048,ECONOMIC MATTERS COMMITTEE,PUBLIC UTILITIES SUBCOMMITTEE,,
MDL000375,committee member,2007-2010,,lower,md,,MDC000051,ECONOMIC MATTERS COMMITTEE,WORKERS' COMPENSATION SUBCOMMITTEE,,
MDL000244,member,2011-2014,17,lower,md,Democratic,,,,,
MDL000244,committee member,2011-2014,,lower,md,,MDC000229,Ways and Means,,,
MDL000244,committee member,2011-2014,,lower,md,,MDC000290,Ways and Means,Election Law Subcommittee,,
MDL000244,committee member,2011-2014,,lower,md,,MDC000291,Ways and Means,Finance Resources Subcommittee,,
MDL000244,committee member,2011-2014,,lower,md,,MDC000292,Ways and Means,Revenues Subcommittee,,
MDL000244,committee member,2011-2014,,lower,md,,MDC000293,Ways and Means,Transportation Subcommittee,,
MDL000244,member,2011-2014,17,lower,md,Democratic,,,,,
MDL000244,member,2007-2010,17,lower,md,Democratic,,,,,
MDL000252,member,2011-2014,45,lower,md,Democratic,,,,,
MDL000252,committee member,2011-2014,,lower,md,,MDC000224,Rules and Executive Nominations,,,
MDL000252,committee member,2011-2014,,lower,md,,MDC000229,Ways and Means,,,
MDL000252,committee member,2011-2014,,lower,md,,MDC000289,Ways and Means,Education Subcommittee,,
MDL000252,committee member,2011-2014,,lower,md,,MDC000290,Ways and Means,Election Law Subcommittee,,
MDL000252,committee member,2011-2014,,lower,md,,MDC000291,Ways and Means,Finance Resources Subcommittee,,
MDL000252,member,2011-2014,45,lower,md,Democratic,,,,,
MDL000252,member,2007-2010,45,lower,md,Democratic,,,,,
MDL000252,committee member,2007-2010,,lower,md,,MDC000034,RULES & EXECUTIVE NOMINATIONS COMMITTEE,,,
MDL000252,committee member,2007-2010,,lower,md,,MDC000050,APPROPRIATIONS COMMITTEE,,,
MDL000252,committee member,2007-2010,,lower,md,,MDC000060,APPROPRIATIONS COMMITTEE,CAPITAL BUDGET SUBCOMMITTEE,,
MDL000252,committee member,2007-2010,,lower,md,,MDC000064,APPROPRIATIONS COMMITTEE,TRANSPORTATION & THE ENVIRONMENT SUBCOMMITTEE,,
MDL000257,member,2011-2014,30,lower,md,Democratic,,,,,
MDL000257,member,2011-2014,30,lower,md,Democratic,,,,,
MDL000257,member,2007-2010,30,lower,md,Democratic,,,,,
MDL000258,member,2011-2014,37A,lower,md,Democratic,,,,,
MDL000258,committee member,2011-2014,,lower,md,,MDC000210,Environmental Matters,,,
MDL000258,committee member,2011-2014,,lower,md,,MDC000272,Environmental Matters,"Agriculture, Agriculture  Preservation and Open Space Subcommittee",,
MDL000258,committee member,2011-2014,,lower,md,,MDC000276,Environmental Matters,Local Government and Bi-County Agencies Subcommittee,,
MDL000258,committee member,2011-2014,,lower,md,,MDC000278,Environmental Matters,Natural Resources Subcommittee,,
MDL000258,member,2011-2014,37A,lower,md,Democratic,,,,,
MDL000258,member,2007-2010,37A,lower,md,Democratic,,,,,
MDL000262,member,2011-2014,3A,lower,md,Democratic,,,,,
MDL000262,committee member,2011-2014,,lower,md,,MDC000201,Economic Matters,,,
MDL000262,committee member,2011-2014,,lower,md,,MDC000267,Economic Matters,Consumer Protection and Commercial Law Subcommittee,,
MDL000262,committee member,2011-2014,,lower,md,,MDC000270,Economic Matters,Unemployment Insurance Subcommittee,,
MDL000262,member,2011-2014,3A,lower,md,Democratic,,,,,
MDL000262,member,2007-2010,3A,lower,md,Democratic,,,,,
MDL000265,member,2011-2014,38B,lower,md,Democratic,,,,,
MDL000265,committee member,2011-2014,,lower,md,,MDC000193,Appropriations,,,
MDL000265,committee member,2011-2014,,lower,md,,MDC000224,Rules and Executive Nominations,,,
MDL000265,member,2011-2014,38B,lower,md,Democratic,,,,,
MDL000265,member,2007-2010,38B,lower,md,Democratic,,,,,
MDL000266,member,2011-2014,33B,lower,md,Republican,,,,,
MDL000266,committee member,2011-2014,,lower,md,,MDC000218,Health and Government Operations,,,
MDL000266,committee member,2011-2014,,lower,md,,MDC000282,Health and Government Operations,Minority Health Disparitites Subcommittee,,
MDL000266,committee member,2011-2014,,lower,md,,MDC000283,Health and Government Operations,Public Health & Long Term Care Subcommittee,,
