vote_id,leg_id,name,vote
MEV00000452,MEL000008,ALFOND of Cumberland,yes
MEV00000452,MEL000006,BARTLETT of Cumberland,yes
MEV00000452,MEL000009,BRANNIGAN of Cumberland,yes
MEV00000452,MEL000002,COLLINS of York,yes
MEV00000452,MEL000003,COURTNEY of York,yes
MEV00000452,MEL000016,CRAVEN of Androscoggin,yes
MEV00000452,MEL000012,DIAMOND of Cumberland,yes
MEV00000452,MEL000188,DILL of Cumberland,yes
MEV00000452,MEL000032,FARNHAM of Penobscot,yes
MEV00000452,MEL000010,GERZOFSKY of Cumberland,yes
MEV00000452,MEL000019,GOODALL of Sagadahoc,yes
MEV00000452,MEL000013,HASTINGS of Oxford,yes
MEV00000452,MEL000001,HILL of York,yes
MEV00000452,MEL000005,HOBBINS of York,yes
MEV00000452,MEL000024,KATZ of Kennebec,yes
MEV00000452,MEL000028,LANGLEY of Hancock,yes
MEV00000452,MEL000025,MARTIN of Kennebec,yes
MEV00000452,MEL000017,MASON of Androscoggin,yes
MEV00000452,MEL000021,McCORMICK of Kennebec,yes
MEV00000452,MEL000014,PATRICK of Oxford,yes
MEV00000452,MEL000033,PLOWMAN of Penobscot,yes
MEV00000452,MEL000029,RAYE of Washington,yes
MEV00000452,MEL000022,RECTOR of Knox,yes
MEV00000452,MEL000031,ROSEN of Hancock,yes
MEV00000452,MEL000018,SAVIELLO of Franklin,yes
MEV00000452,MEL000030,SCHNEIDER of Penobscot,yes
MEV00000452,MEL000034,SHERMAN of Aroostook,yes
MEV00000452,MEL000015,SNOWE-MELLO of Androscoggin,yes
MEV00000452,MEL000004,SULLIVAN of York,yes
MEV00000452,MEL000023,THIBODEAU of Waldo,yes
MEV00000452,MEL000027,THOMAS of Somerset,yes
MEV00000452,MEL000020,TRAHAN of Lincoln,yes
MEV00000452,MEL000026,WHITTEMORE of Somerset,yes
MEV00000452,MEL000011,WOODBURY of Cumberland,yes
MEV00000452,MEL000035,JACKSON of Aroostook,other
MEV00000019,MEL000002,COLLINS of York,yes
MEV00000019,MEL000003,COURTNEY of York,yes
MEV00000019,MEL000032,FARNHAM of Penobscot,yes
MEV00000019,MEL000013,HASTINGS of Oxford,yes
MEV00000019,MEL000024,KATZ of Kennebec,yes
MEV00000019,MEL000028,LANGLEY of Hancock,yes
MEV00000019,MEL000025,MARTIN of Kennebec,yes
MEV00000019,MEL000017,MASON of Androscoggin,yes
MEV00000019,MEL000021,McCORMICK of Kennebec,yes
MEV00000019,MEL000033,PLOWMAN of Penobscot,yes
MEV00000019,MEL000029,RAYE of Washington,yes
MEV00000019,MEL000022,RECTOR of Knox,yes
MEV00000019,MEL000031,ROSEN of Hancock,yes
MEV00000019,MEL000018,SAVIELLO of Franklin,yes
MEV00000019,MEL000034,SHERMAN of Aroostook,yes
MEV00000019,MEL000015,SNOWE-MELLO of Androscoggin,yes
MEV00000019,MEL000023,THIBODEAU of Waldo,yes
MEV00000019,MEL000027,THOMAS of Somerset,yes
MEV00000019,MEL000020,TRAHAN of Lincoln,yes
MEV00000019,MEL000026,WHITTEMORE of Somerset,yes
MEV00000019,MEL000011,WOODBURY of Cumberland,yes
MEV00000019,MEL000008,ALFOND of Cumberland,no
MEV00000019,MEL000006,BARTLETT of Cumberland,no
MEV00000019,MEL000007,BLISS of Cumberland,no
MEV00000019,MEL000009,BRANNIGAN of Cumberland,no
MEV00000019,MEL000016,CRAVEN of Androscoggin,no
MEV00000019,MEL000012,DIAMOND of Cumberland,no
MEV00000019,MEL000010,GERZOFSKY of Cumberland,no
MEV00000019,MEL000019,GOODALL of Sagadahoc,no
MEV00000019,MEL000001,HILL of York,no
MEV00000019,MEL000005,HOBBINS of York,no
MEV00000019,MEL000035,JACKSON of Aroostook,no
MEV00000019,MEL000014,PATRICK of Oxford,no
MEV00000019,MEL000030,SCHNEIDER of Penobscot,no
MEV00000019,MEL000004,SULLIVAN of York,no
MEV00000021,MEL000008,ALFOND of Cumberland,yes
MEV00000021,MEL000006,BARTLETT of Cumberland,yes
MEV00000021,MEL000009,BRANNIGAN of Cumberland,yes
MEV00000021,MEL000016,CRAVEN of Androscoggin,yes
MEV00000021,MEL000012,DIAMOND of Cumberland,yes
MEV00000021,MEL000010,GERZOFSKY of Cumberland,yes
MEV00000021,MEL000019,GOODALL of Sagadahoc,yes
MEV00000021,MEL000001,HILL of York,yes
MEV00000021,MEL000005,HOBBINS of York,yes
MEV00000021,MEL000035,JACKSON of Aroostook,yes
MEV00000021,MEL000014,PATRICK of Oxford,yes
MEV00000021,MEL000030,SCHNEIDER of Penobscot,yes
MEV00000021,MEL000004,SULLIVAN of York,yes
MEV00000021,MEL000002,COLLINS of York,no
MEV00000021,MEL000003,COURTNEY of York,no
MEV00000021,MEL000032,FARNHAM of Penobscot,no
MEV00000021,MEL000013,HASTINGS of Oxford,no
MEV00000021,MEL000024,KATZ of Kennebec,no
MEV00000021,MEL000028,LANGLEY of Hancock,no
MEV00000021,MEL000025,MARTIN of Kennebec,no
MEV00000021,MEL000017,MASON of Androscoggin,no
