state,session,chamber,bill_id,type,name,leg_id
me,125,lower,HP 10,primary,EDGECOMB,MEL000039
me,125,lower,HP 10,cosponsor,AYOTTE,MEL000038
me,125,lower,HP 100,primary,HARVELL,MEL000124
me,125,lower,HP 100,cosponsor,DOW,MEL000085
me,125,lower,HP 1000,primary,TREAT,MEL000114
me,125,lower,HP 1000,cosponsor,BERRY,MEL000102
me,125,lower,HP 1001,primary,DUNPHY,MEL000123
me,125,lower,HP 1001,cosponsor,BLACK,MEL000125
me,125,lower,HP 1002,primary,CEBRA,MEL000136
me,125,lower,HP 1002,cosponsor,CHASE,MEL000181
me,125,lower,HP 1003,primary,FITTS,MEL000064
me,125,lower,HP 1003,cosponsor,BRANNIGAN,MEL000009
me,125,lower,HP 1004,primary,HINCK,MEL000153
me,125,lower,HP 1004,cosponsor,BARTLETT,MEL000006
me,125,lower,HP 1005,primary,GIFFORD,MEL000047
me,125,lower,HP 1005,cosponsor,CRAY,MEL000063
me,125,lower,HP 1006,primary,DILL,MEL000049
me,125,lower,HP 1007,primary,CURTIS,MEL000121
me,125,lower,HP 1007,cosponsor,WHITTEMORE,MEL000026
me,125,lower,HP 1008,primary,WINSOR,MEL000130
me,125,lower,HP 1008,cosponsor,CURTIS,MEL000121
me,125,lower,HP 1009,primary,CUSHING,MEL000074
me,125,lower,HP 1009,cosponsor,CURTIS,MEL000121
me,125,lower,HP 101,primary,CEBRA,MEL000136
me,125,lower,HP 101,cosponsor,EDGECOMB,MEL000039
me,125,lower,HP 1010,primary,KNIGHT,MEL000116
me,125,lower,HP 1010,cosponsor,BERRY,MEL000102
me,125,lower,HP 1011,primary,FLOOD,MEL000117
me,125,lower,HP 1011,cosponsor,HILL,MEL000001
me,125,lower,HP 1012,primary,WILLETTE,
me,125,lower,HP 1012,cosponsor,CLARK,
me,125,lower,HP 1013,primary,NASS,MEL000178
me,125,lower,HP 1013,cosponsor,BENNETT,MEL000175
me,125,lower,HP 1014,primary,MacDONALD,MEL000096
me,125,lower,HP 1014,cosponsor,TREAT,MEL000114
me,125,lower,HP 1015,primary,NUTTING,MEL000113
me,125,lower,HP 1015,cosponsor,CEBRA,MEL000136
me,125,lower,HP 1016,primary,SANBORN,MEL000164
me,125,lower,HP 1016,cosponsor,BRANNIGAN,MEL000009
me,125,lower,HP 1017,primary,STRANG BURGESS,MEL000143
me,125,lower,HP 1017,cosponsor,AYOTTE,MEL000038
me,125,lower,HP 1018,primary,EVES,MEL000180
me,125,lower,HP 1018,cosponsor,BERRY,MEL000102
me,125,lower,HP 1019,primary,STEVENS,MEL000052
me,125,lower,HP 1019,cosponsor,ALFOND,MEL000008
me,125,lower,HP 102,primary,CLARK,
me,125,lower,HP 102,cosponsor,CRAFTS,MEL000139
me,125,lower,HP 1020,primary,CEBRA,MEL000136
me,125,lower,HP 1020,cosponsor,SAVIELLO,MEL000018
me,125,lower,HP 1021,primary,CASAVANT,MEL000171
me,125,lower,HP 1021,cosponsor,BOLDUC,MEL000104
me,125,lower,HP 1022,primary,BOLAND,MEL000176
me,125,lower,HP 1022,cosponsor,BEAUDOIN,MEL000169
me,125,lower,HP 1023,primary,STRANG BURGESS,MEL000143
me,125,lower,HP 1023,cosponsor,BRANNIGAN,MEL000009
me,125,lower,HP 1024,primary,CEBRA,MEL000136
me,125,lower,HP 1025,primary,BOLAND,MEL000176
me,125,lower,HP 1025,cosponsor,BOLDUC,MEL000104
me,125,lower,HP 1026,primary,PRIEST,MEL000098
me,125,lower,HP 1026,cosponsor,ALFOND,MEL000008
me,125,lower,HP 1027,primary,HAMPER,MEL000135
me,125,lower,HP 1027,cosponsor,DUCHESNE,MEL000048
me,125,lower,HP 1028,primary,PLUMMER,MEL000146
me,125,lower,HP 1029,primary,PLUMMER,MEL000146
me,125,lower,HP 103,primary,SOCTOMAH,
me,125,lower,HP 103,cosponsor,MAKER,MEL000066
me,125,lower,HP 1030,primary,DOW,MEL000085
me,125,lower,HP 1031,primary,CLARKE,MEL000097
me,125,lower,HP 1031,cosponsor,DION,MEL000148
me,125,lower,HP 1032,primary,PILON,MEL000167
me,125,lower,HP 1032,cosponsor,ALFOND,MEL000008
me,125,lower,HP 1033,primary,KESCHL,MEL000118
me,125,lower,HP 1033,cosponsor,CHIPMAN,MEL000154
me,125,lower,HP 1034,primary,CURTIS,MEL000121
me,125,lower,HP 1035,primary,TILTON,MEL000068
me,125,lower,HP 1035,cosponsor,DOW,MEL000085
me,125,lower,HP 1036,primary,CAREY,MEL000107
me,125,lower,HP 1036,cosponsor,COURTNEY,MEL000003
me,125,lower,HP 1037,primary,FOSSEL,MEL000088
me,125,lower,HP 1038,primary,INNES,MEL000142
me,125,lower,HP 1038,cosponsor,CHIPMAN,MEL000154
me,125,lower,HP 1039,primary,PLUMMER,MEL000146
me,125,lower,HP 104,primary,KESCHL,MEL000118
me,125,lower,HP 104,cosponsor,COTTA,MEL000090
me,125,lower,HP 1040,primary,CASAVANT,MEL000171
me,125,lower,HP 1040,cosponsor,BRIGGS,MEL000128
me,125,lower,HP 1041,primary,FREDETTE,MEL000060
me,125,lower,HP 1041,cosponsor,DAVIS,MEL000061
me,125,lower,HP 1042,primary,McKANE,MEL000086
me,125,lower,HP 1042,cosponsor,COTTA,MEL000090
me,125,lower,HP 1043,primary,FITTS,MEL000064
me,125,lower,HP 1043,cosponsor,PLOWMAN,MEL000033
me,125,lower,HP 1044,primary,DAMON,MEL000051
me,125,lower,HP 1044,cosponsor,FARNHAM,MEL000032
me,125,lower,HP 1045,primary,PLUMMER,MEL000146
me,125,lower,HP 1045,cosponsor,BURNS,MEL000172
me,125,lower,HP 1046,primary,HOGAN,MEL000166
me,125,lower,HP 1047,primary,VOLK,MEL000161
me,125,lower,HP 1047,cosponsor,MASON,MEL000017
me,125,lower,HP 1048,primary,EVES,MEL000180
me,125,lower,HP 1049,primary,HASKELL,MEL000152
me,125,lower,HP 1049,cosponsor,GERZOFSKY,MEL000010
me,125,lower,HP 105,primary,DAVIS,MEL000061
me,125,lower,HP 105,cosponsor,BLACK,MEL000125
me,125,lower,HP 1050,primary,MARTIN,MEL000036
me,125,lower,HP 1050,cosponsor,NUTTING,MEL000113
me,125,lower,HP 1051,primary,GOODE,MEL000050
me,125,lower,HP 1051,cosponsor,FARNHAM,MEL000032
me,125,lower,HP 1052,primary,STUCKEY,MEL000149
me,125,lower,HP 1052,cosponsor,ALFOND,MEL000008
me,125,lower,HP 1053,primary,STUCKEY,MEL000149
me,125,lower,HP 1053,cosponsor,ALFOND,MEL000008
me,125,lower,HP 1054,primary,INNES,MEL000142
me,125,lower,HP 1054,cosponsor,BRANNIGAN,MEL000009
me,125,lower,HP 1055,primary,MARTIN,MEL000036
me,125,lower,HP 1055,cosponsor,DUCHESNE,MEL000048
me,125,lower,HP 1056,primary,MARTIN,MEL000036
me,125,lower,HP 1056,cosponsor,NUTTING,MEL000113
me,125,lower,HP 1057,primary,McKANE,MEL000086
me,125,lower,HP 1057,cosponsor,COURTNEY,MEL000003
me,125,lower,HP 1058,primary,CROCKETT,MEL000126
me,125,lower,HP 1059,primary,HAYES,MEL000129
me,125,lower,HP 1059,cosponsor,DUCHESNE,MEL000048
me,125,lower,HP 106,primary,HARVELL,MEL000124
me,125,lower,HP 106,cosponsor,BLACK,MEL000125
me,125,lower,HP 1060,primary,McCABE,MEL000120
me,125,lower,HP 1060,cosponsor,ALFOND,MEL000008
me,125,lower,HP 1061,primary,RUSSELL,MEL000155
me,125,lower,HP 1061,cosponsor,ALFOND,MEL000008
me,125,lower,HP 1062,primary,CROCKETT,MEL000126
me,125,lower,HP 1062,cosponsor,BLISS,MEL000007
me,125,lower,HP 1063,primary,HINCK,MEL000153
me,125,lower,HP 1063,cosponsor,BERRY,MEL000102
me,125,lower,HP 1064,primary,RUSSELL,MEL000155
