state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
me,125,upper,SP 88,MEV00000452,upper,ENACTMENT,2011-06-29 00:00:00,other,34,0,1
me,125,upper,SP 94,MEV00000019,upper,ACCEPT MAJ ONTP RPT,2011-04-12 00:00:00,other,21,14,0
me,125,upper,SP 100,MEV00000021,upper,COMMIT,2011-04-27 00:00:00,other,13,21,1
me,125,upper,SP 100,MEV00000022,upper,SUBSTITUTE BILL FOR REPORT,2011-04-27 00:00:00,other,13,21,1
me,125,upper,SP 100,MEV00000023,upper,ACCEPT MAJ ONTP RPT,2011-04-27 00:00:00,other,21,13,1
me,125,upper,SP 102,MEV00000024,upper,ACCEPT MAJ ONTP RPT,2011-05-18 00:00:00,other,18,17,0
me,125,upper,SP 102,MEV00000025,upper,RECEDE AND CONCUR,2011-05-24 00:00:00,other,18,17,0
me,125,upper,SP 102,MEV00000026,upper,ENACTMENT,2011-05-26 00:00:00,other,32,3,0
me,125,upper,SP 102,MEV00000693,upper,VETO OVERRIDE (2/3),2011-06-08 00:00:00,other,16,18,1
me,125,upper,SP 111,MEV00000028,upper,ACCEPT MAJ OTP-A RPT,2011-06-06 00:00:00,other,17,16,2
me,125,upper,SP 130,MEV00000029,upper,ACCEPT MAJ ONTP RPT,2011-05-16 00:00:00,other,34,0,1
me,125,upper,SP 137,MEV00000030,upper,PTBE-A,2011-04-06 00:00:00,other,28,7,0
me,125,upper,SP 149,MEV00000032,upper,ACCEPT MAJ OTP-A RPT,2011-05-10 00:00:00,other,21,13,1
me,125,upper,SP 155,MEV00000035,upper,ACCEPT MAJ OTP-A RPT,2011-06-03 00:00:00,other,24,9,2
me,125,upper,SP 155,MEV00000036,upper,ADOPT CAS-154 AS AMENDED S-284,2011-06-08 00:00:00,other,28,7,0
me,125,upper,SP 155,MEV00000431,upper,FINAL PASSAGE-CONRES 2/3 VOTE,2011-06-28 00:00:00,other,22,12,1
me,125,upper,SP 164,MEV00000038,upper,ACCEPT MIN OTP-A RPT,2011-05-23 00:00:00,other,19,15,1
me,125,upper,SP 170,MEV00000041,upper,ACCEPT MAJ ONTP RPT,2011-06-08 00:00:00,other,13,21,1
me,125,upper,SP 176,MEV00000453,upper,ENACTMENT,2011-06-29 00:00:00,other,34,0,1
me,125,upper,SP 183,MEV00000043,upper,ACCEPT MAJ OTP-A RPT,2011-06-03 00:00:00,other,20,14,1
me,125,upper,SP 183,MEV00000432,upper,FINAL PASSAGE-CONRES 2/3 VOTE,2011-06-28 00:00:00,other,17,17,1
me,125,upper,SP 187,MEV00000045,upper,ACCEPT MAJ ONTP RPT,2011-04-12 00:00:00,other,21,14,0
me,125,upper,SP 227,MEV00000046,upper,ACCEPT MAJ ONTP RPT,2011-06-01 00:00:00,other,20,15,0
me,125,upper,SP 232,MEV00000049,upper,ACCEPT MAJ ONTP RPT,2011-06-01 00:00:00,other,21,14,0
me,125,upper,SP 235,MEV00000050,upper,ACCEPT MAJ OTP-A RPT,2011-05-18 00:00:00,other,35,0,0
