state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
me,125,lower,HP 10,An Act To Extend the School Year,2011-06-13 17:13:43.431000,2012-10-31 03:47:31.128000,bill,Education
me,125,lower,HP 100,An Act To Protect Private Enterprise from Tax-subsidized Competition by Imposing Requirements on Certain Postsecondary Institutions,2011-06-13 17:13:44.064000,2012-10-31 03:47:32.226000,bill,Education|Business and Consumers|Trade
me,125,lower,HP 1000,"Resolve, To Ensure Patient Safety in the Use of Certain Imaging Equipment",2011-06-13 17:13:49.958000,2012-10-31 03:47:39.483000,bill,Health|Family and Children Issues
me,125,lower,HP 1001,An Act To Ensure Accurate Valuation of a Community Benefits Package for Communities That Host Wind Energy Developments,2011-06-13 17:13:49.972000,2012-10-31 03:47:39.494000,bill,Energy|Municipal and County Issues
me,125,lower,HP 1002,An Act Regarding the Publication of Information Related to Persons Convicted of Operating under the Influence of Alcohol or Drugs,2011-06-13 17:13:49.975000,2012-10-31 03:47:39.498000,bill,Transportation
me,125,lower,HP 1003,An Act To Improve the Quality and Reduce the Cost of Health Care,2011-06-13 17:13:49.978000,2012-10-31 03:47:39.501000,bill,Drugs|Health
me,125,lower,HP 1004,An Act Regarding Protection Orders,2011-06-13 17:13:49.981000,2012-10-31 03:47:39.506000,bill,Family and Children Issues
me,125,lower,HP 1005,"Resolve, To Clarify the Expectation for the 2012 Assessment of Progress on Meeting Wind Energy Development Goals",2011-06-13 17:13:49.984000,2012-10-31 03:47:39.511000,bill,Energy
me,125,lower,HP 1006,"Joint Order, Directing the Joint Standing Committee on Veterans and Legal Affairs To Report Out a Bill Establishing a Process for the Recall of the Governor, Legislators and Constitutional Officers by the Citizens of the State",2011-06-13 17:13:43.171000,2012-10-31 03:47:30.592000,joint resolution,
me,125,lower,HP 1007,An Act To Adjust Payroll Processor License Fees,2011-06-13 17:13:49.987000,2012-10-31 03:47:39.522000,bill,Labor and Employment|Business and Consumers
me,125,lower,HP 1008,An Act To Simplify the Maine Income Tax Law,2011-06-13 17:13:49.990000,2012-10-31 03:47:39.526000,bill,"Budget, Spending, and Taxes"
me,125,lower,HP 1009,An Act To Amend the Laws Governing General Assistance Programs,2011-06-13 17:13:49.993000,2012-10-31 03:47:39.530000,bill,
me,125,lower,HP 101,An Act To Allow a Tax Credit for Students Enrolled in Postsecondary Nondegree Programs,2011-06-13 17:13:44.068000,2012-10-31 03:47:32.230000,bill,Education
me,125,lower,HP 1010,An Act To Promote Fair and Efficient Resolutions in Tax Disputes,2011-06-13 17:13:49.996000,2012-10-31 03:47:39.535000,bill,"Housing and Property|Legal Issues|Budget, Spending, and Taxes"
me,125,lower,HP 1011,"An Act To Make Additional Supplemental Appropriations and Allocations for the Fiscal Year Ending June 30, 2011",2011-06-13 17:13:49.999000,2012-10-31 03:47:39.545000,bill,
me,125,lower,HP 1012,"Resolve, To Produce Cost Savings by Requiring the State E-mail System To Be Hosted by Google",2011-06-13 17:13:50.012000,2012-10-31 03:47:39.549000,bill,Technology and Communication
me,125,lower,HP 1013,An Act To Protect Seniors and Incapacitated or Dependent Adults from Abuse,2011-06-13 17:13:50.016000,2012-10-31 03:47:39.579000,bill,Senior Issues|Crime
me,125,lower,HP 1014,An Act To Require a Boating Safety Course for New Boat Registrants,2011-06-13 17:13:50.023000,2012-10-31 03:47:39.587000,bill,Recreation|Transportation
me,125,lower,HP 1015,An Act To Preserve the Integrity of the Voter Registration and Election Process,2011-06-13 17:13:50.070000,2012-10-31 03:47:39.606000,bill,
me,125,lower,HP 1016,An Act To Adopt the Uniform Adult Guardianship and Protective Proceedings Jurisdiction Act,2011-06-13 17:13:50.075000,2012-10-31 03:47:39.634000,bill,Legal Issues|Family and Children Issues
me,125,lower,HP 1017,An Act To Provide a Sales Tax Holiday,2011-06-13 17:13:50.079000,2012-10-31 03:47:39.639000,bill,"Budget, Spending, and Taxes"
me,125,lower,HP 1018,An Act To Provide Tax Relief to Residents Deployed for Military Duty or Stationed outside of Maine,2011-06-13 17:13:50.082000,2012-10-31 03:47:39.644000,bill,"Military|Budget, Spending, and Taxes"
me,125,lower,HP 1019,An Act To Authorize a General Fund Bond Issue To Fund the Challenger Learning Center of Maine,2011-06-13 17:13:50.085000,2012-10-31 03:47:39.648000,bill,Education|Technology and Communication
me,125,lower,HP 102,An Act To End Taxpayer-funded Campaigns for Gubernatorial Candidates,2011-06-13 17:13:44.070000,2012-10-31 03:47:32.234000,bill,Campaign Finance and Election Issues
me,125,lower,HP 1020,An Act To Restore Exemptions in the Natural Resources Protection Act,2011-06-13 17:13:50.089000,2012-10-31 03:47:39.652000,bill,
me,125,lower,HP 1021,An Act To Allow Schools To Adopt Approved Alternative Curricula,2011-06-13 17:13:50.091000,2012-10-31 03:47:39.656000,bill,Education
me,125,lower,HP 1022,An Act To Require Estimates of Patient Costs in Any Plan of Care prior to Treatment,2011-06-13 17:13:50.095000,2012-10-31 03:47:39.660000,bill,Health
me,125,lower,HP 1023,An Act To Impose Penalties for Certain Transfers of Assets at Less Than Fair Market Value by Individuals Receiving Long-term Care Services,2011-06-13 17:13:50.098000,2012-10-31 03:47:39.664000,bill,Health
me,125,lower,HP 1024,An Act To Authorize a Highway Fund Bond Issue To Improve Maine's Roads and Bridges,2011-06-13 17:13:50.101000,2012-10-31 03:47:39.667000,bill,Transportation
me,125,lower,HP 1025,An Act To Require a Transmission and Distribution Utility To Provide Safeguards to Consumers Prior To Installing Wireless Smart Meters,2011-06-13 17:13:50.104000,2012-10-31 03:47:39.671000,bill,Energy|Transportation
me,125,lower,HP 1026,An Act To Establish a Single-payor Health Care System To Be Effective in 2017,2011-06-13 17:13:50.114000,2012-10-31 03:47:39.679000,bill,Health|Insurance
me,125,lower,HP 1027,An Act To Amend the Laws Administered by the Department of Environmental Protection,2011-06-13 17:13:50.118000,2012-10-31 03:47:39.714000,bill,Environmental|Judiciary
me,125,lower,HP 1028,An Act To Implement the Recommendations of the Criminal Law Advisory Commission Relative to the Maine Criminal Code and Related Statutes,2011-06-13 17:13:50.121000,2012-10-31 03:47:39.720000,bill,
me,125,lower,HP 1029,An Act To Address Certain Aspects of Bail,2011-06-13 17:13:50.124000,2012-10-31 03:47:39.726000,bill,
me,125,lower,HP 103,An Act To Amend the Laws Regarding Public Health Infrastructure,2011-06-13 17:13:44.074000,2012-10-31 03:47:32.238000,bill,Health|Indigenous Peoples
me,125,lower,HP 1030,An Act To Extend Employment Reference Immunity to School Administrative Units,2011-06-13 17:13:50.143000,2012-10-31 03:47:39.729000,bill,
me,125,lower,HP 1031,An Act To Allow Eligible Nonprofit Organizations To Hold Two Card Games Per Month,2011-06-13 17:13:50.146000,2012-10-31 03:47:39.733000,bill,
me,125,lower,HP 1032,An Act To Enhance Public Safety Response to High-risk Events,2011-06-13 17:13:50.149000,2012-10-31 03:47:39.737000,bill,Judiciary
me,125,lower,HP 1033,An Act To Amend the Laws Restricting Advertising on Public Ways,2011-06-13 17:13:50.152000,2012-10-31 03:47:39.741000,bill,Business and Consumers|Transportation
me,125,lower,HP 1034,"JOINT RESOLUTION MEMORIALIZING THE PRESIDENT OF THE UNITED STATES, THE UNITED STATES CONGRESS AND THE UNITED STATES SECRETARY OF EDUCATION TO OPPOSE THE MOVE TOWARD COMPETITIVE GRANTS IN THE DISTRIBUTION OF FEDERAL EDUCATION AID",2011-06-13 17:13:43.175000,2012-10-31 03:47:30.610000,joint resolution,Education
me,125,lower,HP 1035,An Act Concerning the Labeling of Maine Shellfish Products,2011-06-13 17:13:50.155000,2012-10-31 03:47:39.745000,bill,
me,125,lower,HP 1036,An Act To Amend the Maine Administrative Procedure Act,2011-06-13 17:13:50.159000,2012-10-31 03:47:39.749000,bill,
me,125,lower,HP 1037,An Act To Facilitate Transparency and Accountability while Reducing Electricity Costs,2011-06-13 17:13:50.162000,2012-10-31 03:47:39.753000,bill,Energy|Government Reform|Legislative Affairs
me,125,lower,HP 1038,An Act To Promote the Proper Disposal of Used Medical Sharps,2011-06-13 17:13:50.165000,2012-10-31 03:47:39.757000,bill,Environmental|Health
me,125,lower,HP 1039,An Act To Amend the Maine Juvenile Code To Address the Issue of Competency,2011-06-13 17:13:50.168000,2012-10-31 03:47:39.761000,bill,
