id,state,chamber,committee,subcommittee,parent_id
MEC000006,me,joint,"Agriculture, Conservation and Forestry",,
MEC000007,me,joint,Appropriations and Financial Affairs,,
MEC000008,me,joint,Criminal Justice and Public Safety,,
MEC000009,me,joint,Education and Cultural Affairs,,
MEC000010,me,joint,"Energy, Utilities and Technology",,
MEC000011,me,joint,Environment and Natural Resources,,
MEC000012,me,joint,Health and Human Services,,
MEC000013,me,joint,Inland Fisheries and Wildlife,,
MEC000014,me,joint,Insurance and Financial Services,,
MEC000015,me,joint,Judiciary,,
MEC000016,me,joint,"Labor, Commerce, Research and Economic Development",,
MEC000017,me,joint,Marine Resources,,
MEC000018,me,joint,State and Local Government,,
MEC000019,me,joint,Taxation,,
MEC000020,me,joint,Transportation,,
MEC000021,me,joint,Veterans and Legal Affairs,,
MEC000024,me,joint,Government Oversight Committee,,
MEC000022,me,joint,Joint Rules,,
MEC000031,me,joint,Maine’s Workforce and Economic Future,,
MEC000025,me,lower,Bills in the Second Reading,,
MEC000026,me,lower,Elections,,
MEC000027,me,lower,Engrossed Bills,,
MEC000029,me,lower,Leaves of Absence,,
MEC000028,me,lower,Ethics,,
MEC000030,me,lower,Rules and Business of the House,,
MEC000001,me,upper,Bills In Second Reading,,
MEC000002,me,upper,Engrossed Bills,,
MEC000003,me,upper,Conduct And Ethics,,
MEC000004,me,upper,Senatorial Vote,,
MEC000005,me,upper,Senate Rules,,
