leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MEL000056,member,2011-2012,21,lower,me,Republican,,,,,
MEL000188,member,2011-2012,7,upper,me,Democratic,,,,,
MEL000188,committee member,2011-2012,,joint,me,,MEC000015,Judiciary,,,
MEL000007,member,2011-2012,7,upper,me,Democratic,,,,,2011-04-15 00:00:00
MEL000059,member,2011-2012,24,lower,me,Republican,,,,,2011-09-13 00:00:00
MEL000165,member,2011-2012,131,lower,me,Democratic,,,,,
MEL000165,committee member,2011-2012,,joint,me,,MEC000016,"Labor, Commerce, Research and Economic Development",,,
MEL000172,member,2011-2012,138,lower,me,Republican,,,,,2012-01-31 00:00:00
MEL000172,committee member,2011-2012,,joint,me,,MEC000019,Taxation,,,
MEL000172,committee member,2011-2012,,lower,me,,MEC000027,Engrossed Bills,,,
MEL000020,member,2011-2012,20,upper,me,Republican,,,,,
MEL000029,member,2011-2012,29,upper,me,Republican,,,,,
MEL000097,member,2011-2012,62,lower,me,Democratic,,,,,
MEL000097,committee member,2011-2012,,joint,me,,MEC000008,Criminal Justice and Public Safety,,,
MEL000105,member,2011-2012,70,lower,me,Republican,,,,,
MEL000105,committee member,2011-2012,,joint,me,,MEC000019,Taxation,,,
MEL000108,member,2011-2012,73,lower,me,Democratic,,,,,
MEL000108,committee member,2011-2012,,joint,me,,MEC000009,Education and Cultural Affairs,,,
MEL000121,member,2011-2012,86,lower,me,Republican,,,,,
MEL000121,committee member,2011-2012,,lower,me,,MEC000030,Rules and Business of the House,,,
MEL000141,member,2011-2012,106,lower,me,Democratic,,,,,
MEL000141,committee member,2011-2012,,joint,me,,MEC000007,Appropriations and Financial Affairs,,,
MEL000143,member,2011-2012,108,lower,me,Republican,,,,,
MEL000143,committee member,2011-2012,,joint,me,,MEC000012,Health and Human Services,,,
MEL000150,member,2011-2012,115,lower,me,Democratic,,,,,
MEL000150,committee member,2011-2012,,joint,me,,MEC000009,Education and Cultural Affairs,,,
MEL000153,member,2011-2012,118,lower,me,Democratic,,,,,
MEL000153,committee member,2011-2012,,joint,me,,MEC000010,"Energy, Utilities and Technology",,,
MEL000157,member,2011-2012,123,lower,me,Democratic,,,,,
MEL000157,committee member,2011-2012,,joint,me,,MEC000013,Inland Fisheries and Wildlife,,,
MEL000160,member,2011-2012,126,lower,me,Democratic,,,,,
MEL000160,committee member,2011-2012,,joint,me,,MEC000016,"Labor, Commerce, Research and Economic Development",,,
MEL000160,committee member,2011-2012,,lower,me,,MEC000025,Bills in the Second Reading,,,
MEL000163,member,2011-2012,129,lower,me,Republican,,,,,
MEL000163,committee member,2011-2012,,joint,me,,MEC000011,Environment and Natural Resources,,,
MEL000163,committee member,2011-2012,,joint,me,,MEC000017,Marine Resources,,,
MEL000166,member,2011-2012,132,lower,me,Democratic,,,,,
MEL000166,committee member,2011-2012,,joint,me,,MEC000020,Transportation,,,
MEL000167,member,2011-2012,133,lower,me,Democratic,,,,,
MEL000167,committee member,2011-2012,,joint,me,,MEC000019,Taxation,,,
MEL000167,committee member,2011-2012,,joint,me,,MEC000024,Government Oversight Committee,,,
MEL000179,member,2011-2012,145,lower,me,Republican,,,,,
MEL000179,committee member,2011-2012,,joint,me,,MEC000012,Health and Human Services,,,
MEL000183,member,2011-2012,149,lower,me,Republican,,,,,
MEL000183,committee member,2011-2012,,joint,me,,MEC000015,Judiciary,,,
MEL000183,committee member,2011-2012,,joint,me,,MEC000018,State and Local Government,,,
MEL000185,member,2011-2012,151,lower,me,Democratic,,,,,
MEL000185,committee member,2011-2012,,joint,me,,MEC000017,Marine Resources,,,
MEL000039,member,2011-2012,4,lower,me,Republican,,,,,
MEL000039,committee member,2011-2012,,joint,me,,MEC000006,"Agriculture, Conservation and Forestry",,,
MEL000039,committee member,2011-2012,,joint,me,,MEC000009,Education and Cultural Affairs,,,
MEL000079,member,2011-2012,44,lower,me,Democratic,,,,,
MEL000079,committee member,2011-2012,,joint,me,,MEC000006,"Agriculture, Conservation and Forestry",,,
MEL000031,committee member,2013-2014,,upper,me,,MEC000001,Bills In Second Reading,,,
MEL000031,member,2011-2012,31,upper,me,Republican,,,,,
MEL000031,committee member,2011-2012,,upper,me,,MEC000001,Bills In Second Reading,,,
MEL000031,committee member,2011-2012,,joint,me,,MEC000007,Appropriations and Financial Affairs,,,
MEL000036,member,2011-2012,1,lower,me,Democratic,,,,,
MEL000036,committee member,2011-2012,,joint,me,,MEC000007,Appropriations and Financial Affairs,,,
