state,session,chamber,bill_id,type,name,leg_id
mi,2011-2012,lower,HB 4001,primary,Kurt Heise,MIL000058
mi,2011-2012,lower,HB 4001,cosponsor,Vicki Barnett,MIL000075
mi,2011-2012,lower,HB 4001,cosponsor,Barb Byrum,MIL000105
mi,2011-2012,lower,HB 4001,cosponsor,Ray Franz,MIL000139
mi,2011-2012,lower,HB 4001,cosponsor,Richard Hammel,MIL000086
mi,2011-2012,lower,HB 4001,cosponsor,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4001,cosponsor,Kenneth Horn,MIL000132
mi,2011-2012,lower,HB 4001,cosponsor,Andrea LaFontaine,MIL000070
mi,2011-2012,lower,HB 4002,primary,Bruce Rendon,MIL000141
mi,2011-2012,lower,HB 4003,primary,Paul Opsommer,MIL000131
mi,2011-2012,lower,HB 4003,cosponsor,Dave Agema,MIL000112
mi,2011-2012,lower,HB 4003,cosponsor,Jon Bumstead,MIL000138
mi,2011-2012,lower,HB 4003,cosponsor,Kevin Cotter,MIL000137
mi,2011-2012,lower,HB 4003,cosponsor,Hugh D. Crawford,MIL000076
mi,2011-2012,lower,HB 4003,cosponsor,Kurt Damrow,MIL000122
mi,2011-2012,lower,HB 4003,cosponsor,Jeff Farrington,MIL000068
mi,2011-2012,lower,HB 4003,cosponsor,Frank Foster,MIL000145
mi,2011-2012,lower,HB 4003,cosponsor,Ray Franz,MIL000139
mi,2011-2012,lower,HB 4003,cosponsor,Bob Genetski,MIL000126
mi,2011-2012,lower,HB 4003,cosponsor,Judson Gilbert,MIL000119
mi,2011-2012,lower,HB 4003,cosponsor,Ben Glardon,MIL000123
mi,2011-2012,lower,HB 4003,cosponsor,Joe Haveman,MIL000128
mi,2011-2012,lower,HB 4003,cosponsor,Kurt Heise,MIL000058
mi,2011-2012,lower,HB 4003,cosponsor,Thomas Hooker,MIL000115
mi,2011-2012,lower,HB 4003,cosponsor,Kenneth Horn,MIL000132
mi,2011-2012,lower,HB 4003,cosponsor,Matt Huuki,MIL000148
mi,2011-2012,lower,HB 4003,cosponsor,Marty Knollenberg,MIL000079
mi,2011-2012,lower,HB 4003,cosponsor,Kenneth Kurtz,MIL000096
mi,2011-2012,lower,HB 4003,cosponsor,Lisa Lyons,MIL000124
mi,2011-2012,lower,HB 4003,cosponsor,Peter MacGregor,MIL000111
mi,2011-2012,lower,HB 4003,cosponsor,Greg MacMaster,MIL000143
mi,2011-2012,lower,HB 4003,cosponsor,Tom McMillin,MIL000083
mi,2011-2012,lower,HB 4003,cosponsor,Aric Nesbitt,MIL000118
mi,2011-2012,lower,HB 4003,cosponsor,Margaret O'Brien,MIL000099
mi,2011-2012,lower,HB 4003,cosponsor,Rick Olson,MIL000093
mi,2011-2012,lower,HB 4003,cosponsor,Peter Pettalia,MIL000144
mi,2011-2012,lower,HB 4003,cosponsor,Philip Potvin,MIL000140
mi,2011-2012,lower,HB 4003,cosponsor,Amanda Price,MIL000127
mi,2011-2012,lower,HB 4003,cosponsor,Bruce Rendon,MIL000141
mi,2011-2012,lower,HB 4003,cosponsor,Deb Shaughnessy,MIL000109
mi,2011-2012,lower,HB 4003,cosponsor,Dale W. Zorn,MIL000094
mi,2011-2012,lower,HB 4004,primary,Kenneth Kurtz,MIL000096
mi,2011-2012,lower,HB 4005,primary,Kurt Heise,MIL000058
mi,2011-2012,lower,HB 4006,primary,Kurt Heise,MIL000058
mi,2011-2012,lower,HB 4007,primary,Kurt Heise,MIL000058
mi,2011-2012,lower,HB 4008,primary,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4009,primary,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4010,primary,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4011,primary,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4012,primary,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4013,primary,Richard LeBlanc,MIL000056
mi,2011-2012,lower,HB 4013,cosponsor,Bob Constan,MIL000054
mi,2011-2012,lower,HB 4013,cosponsor,Hugh D. Crawford,MIL000076
mi,2011-2012,lower,HB 4013,cosponsor,Kurt Damrow,MIL000122
mi,2011-2012,lower,HB 4013,cosponsor,George Darany,MIL000053
mi,2011-2012,lower,HB 4013,cosponsor,Jeff Farrington,MIL000068
mi,2011-2012,lower,HB 4013,cosponsor,Anthony Forlini,MIL000062
mi,2011-2012,lower,HB 4013,cosponsor,Ray Franz,MIL000139
mi,2011-2012,lower,HB 4013,cosponsor,Douglas Geiss,MIL000060
mi,2011-2012,lower,HB 4013,cosponsor,Kurt Heise,MIL000058
mi,2011-2012,lower,HB 4013,cosponsor,Thomas Hooker,MIL000115
