state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
mi,2011-2012,lower,HR 2,MIV00000104,lower, Roll Call # 2 Yeas 110 Nays 0,2011-01-12 00:00:00,other,0,0,0
mi,2013-2014,upper,SB 52,MIV00003103,upper,PASSED ROLL CALL # 14 YEAS 35 NAYS 0 EXCUSED 2 NOT VOTING 0,2013-02-12 00:00:00,other,35,0,2
mi,2013-2014,upper,SB 53,MIV00003104,upper,PASSED ROLL CALL # 15 YEAS 35 NAYS 0 EXCUSED 2 NOT VOTING 0,2013-02-12 00:00:00,other,35,0,2
mi,2013-2014,upper,SB 54,MIV00003105,upper,PASSED ROLL CALL # 16 YEAS 35 NAYS 0 EXCUSED 2 NOT VOTING 0,2013-02-12 00:00:00,other,35,0,2
mi,2013-2014,upper,SB 55,MIV00003106,upper,PASSED ROLL CALL # 17 YEAS 36 NAYS 0 EXCUSED 1 NOT VOTING 0,2013-02-12 00:00:00,other,36,0,1
mi,2013-2014,upper,SB 60,MIV00003093,upper,PASSED ROLL CALL # 2 YEAS 31 NAYS 5 EXCUSED 1 NOT VOTING 0,2013-01-24 00:00:00,other,31,5,1
mi,2011-2012,upper,SB 5,MIV00000001,upper,PASSED ROLL CALL # 76 YEAS 37 NAYS 1 EXCUSED 0 NOT VOTING 0,2011-03-17 00:00:00,other,37,1,0
mi,2011-2012,upper,SB 7,MIV00000264,upper,PASSED ROLL CALL # 214 YEAS 25 NAYS 13 EXCUSED 0 NOT VOTING 0,2011-05-18 00:00:00,other,25,13,0
mi,2011-2012,upper,SB 7,MIV00000625,upper, ROLL CALL # 447 YEAS 0 NAYS 36 EXCUSED 2 NOT VOTING 0,2011-07-13 00:00:00,other,0,36,2
mi,2011-2012,upper,SB 7,MIV00000630,upper,SENATE ADOPTED CONFERENCE REPORT WITH IMMEDIATE EFFECT ROLL CALL # 450 YEAS 25 NAYS 13 EXCUSED 0 NOT VOTING 0,2011-08-24 00:00:00,other,25,13,0
mi,2011-2012,upper,SB 8,MIV00000428,upper,PASSED ROLL CALL # 333 YEAS 26 NAYS 12 EXCUSED 0 NOT VOTING 0,2011-06-22 00:00:00,other,26,12,0
mi,2011-2012,upper,SB 8,MIV00000922,upper, ROLL CALL # 652 YEAS 25 NAYS 10 EXCUSED 0 NOT VOTING 3,2011-11-03 00:00:00,other,25,10,3
mi,2011-2012,upper,SB 8,MIV00000923,upper, ROLL CALL # 653 YEAS 26 NAYS 11 EXCUSED 1 NOT VOTING 0,2011-11-03 00:00:00,other,26,11,1
mi,2011-2012,upper,SB 9,MIV00000429,upper,PASSED ROLL CALL # 334 YEAS 26 NAYS 12 EXCUSED 0 NOT VOTING 0,2011-06-22 00:00:00,other,26,12,0
mi,2011-2012,upper,SB 12,MIV00000165,upper,PASSED ROLL CALL # 121 YEAS 26 NAYS 12 EXCUSED 0 NOT VOTING 0,2011-05-03 00:00:00,other,26,12,0
mi,2011-2012,upper,SB 19,MIV00000003,upper,PASSED ROLL CALL # 11 YEAS 34 NAYS 2 EXCUSED 2 NOT VOTING 0,2011-02-09 00:00:00,other,34,2,2
mi,2011-2012,upper,SB 20,MIV00000004,upper,PASSED ROLL CALL # 13 YEAS 25 NAYS 12 EXCUSED 1 NOT VOTING 0,2011-02-10 00:00:00,other,25,12,1
mi,2011-2012,upper,SB 20,MIV00000006,upper, ROLL CALL # 29 YEAS 26 NAYS 11 EXCUSED 1 NOT VOTING 0,2011-03-08 00:00:00,other,26,11,1
mi,2011-2012,upper,SB 21,MIV00001704,upper,PASSED ROLL CALL # 304 YEAS 26 NAYS 12 EXCUSED 0 NOT VOTING 0,2012-05-03 00:00:00,other,26,12,0
mi,2011-2012,upper,SB 22,MIV00000007,upper,PASSED ROLL CALL # 8 YEAS 37 NAYS 0 EXCUSED 1 NOT VOTING 0,2011-01-27 00:00:00,other,37,0,1
mi,2011-2012,upper,SB 23,MIV00000009,upper,PASSED ROLL CALL # 9 YEAS 36 NAYS 0 EXCUSED 2 NOT VOTING 0,2011-02-01 00:00:00,other,36,0,2
mi,2011-2012,upper,SB 24,MIV00000286,upper,PASSED ROLL CALL # 224 YEAS 37 NAYS 0 EXCUSED 1 NOT VOTING 0,2011-05-24 00:00:00,other,37,0,1
mi,2011-2012,upper,SB 25,MIV00000859,upper,PASSED ROLL CALL # 584 YEAS 33 NAYS 5 EXCUSED 0 NOT VOTING 0,2011-10-20 00:00:00,other,33,5,0
mi,2011-2012,upper,SB 28,MIV00000189,upper,PASSED ROLL CALL # 138 YEAS 38 NAYS 0 EXCUSED 0 NOT VOTING 0,2011-05-10 00:00:00,other,38,0,0
