state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
mi,2011-2012,lower,HB 4001,Michigan business tax; surcharge; surcharge tax; repeal. Repeals sec. 281 of 2007 PA 36 (MCL 208.1281).,2011-04-07 20:15:38.672000,2012-12-13 02:27:15.541000,bill,"Business and Consumers|Budget, Spending, and Taxes"
mi,2011-2012,lower,HB 4002,"Income tax; property tax credit; definition of income and the income qualifier phaseout, and amount of credit; revise. Amends secs. 510, 520 & 522 of 1967 PA 281 (MCL 206.510 et seq.).",2011-04-07 20:15:38.675000,2012-12-13 02:27:15.545000,bill,"Budget, Spending, and Taxes"
mi,2011-2012,lower,HB 4003,"Labor; public service employment; requirement for agency fee for nonunion members; prohibit in bargaining agreements and as a condition of employment. Amends secs. 1, 9, 10, 14 & 15 of 1947 PA 336 (MCL 423.201 et seq.).",2011-04-07 20:15:38.678000,2012-12-13 02:27:15.561000,bill,Labor and Employment|State Agencies
mi,2011-2012,lower,HB 4004,Transportation; railroads; certain segment of property formerly used for railway; exempt from divestiture provision. Amends sec. 10 of 1976 PA 295 (MCL 474.60).,2011-04-07 20:15:38.685000,2012-12-13 02:27:15.582000,bill,Transportation
mi,2011-2012,lower,HB 4005,"Elections; school; dates of school elections; require to be in November of even numbered years. Amends secs. 302, 642, 642a & 644g of 1954 PA 116 (MCL 168.302 et seq.) & adds sec. 642c.  TIE BAR WITH: SB 0427'11",2011-04-07 20:15:38.688000,2012-12-13 02:27:15.607000,bill,Campaign Finance and Election Issues|Education
mi,2011-2012,lower,HB 4006,"Elections; school; technical amendments to revised school code concerning school board elections; provide for. Amends secs. 4, 5 & 614 of 1976 PA 451 (MCL 380.4 et seq.).  TIE BAR WITH: HB 4005'11",2011-04-07 20:15:38.691000,2012-12-13 02:27:15.628000,bill,Campaign Finance and Election Issues|Education
mi,2011-2012,lower,HB 4007,Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).,2011-04-07 20:15:38.694000,2012-12-13 02:27:15.680000,bill,Municipal and County Issues
mi,2011-2012,lower,HB 4008,Vehicles; motorcycles; motorcycle helmet requirement; abolish under certain circumstances. Amends sec. 658 of 1949 PA 300 (MCL 257.658).,2011-04-07 20:15:38.696000,2012-12-13 02:27:15.684000,bill,Transportation
mi,2011-2012,lower,HB 4009,Weapons; concealed; specified premises on which a person licensed to carry a concealed weapon may not carry that weapon; eliminate. Amends sec. 5c of 1927 PA 372 (MCL 28.425c) & repeals sec. 5o of 1927 PA 372 (MCL 28.425o).,2011-04-07 20:15:38.699000,2012-12-13 02:27:15.687000,bill,Guns
mi,2011-2012,lower,HB 4010,Criminal procedure; sentencing guidelines; crime of carrying a concealed weapon in a prohibited place; delete from guidelines due to repeal of section establishing the violation. Amends sec. 11b of 1927 PA 175 (MCL 777.11b).  TIE BAR WITH: HB 4009'11,2011-04-07 20:15:38.702000,2012-12-13 02:27:15.691000,bill,Guns|Crime
mi,2011-2012,lower,HB 4011,Local government; other; fingerprinting of applicants or licensees in certain occupations for the purpose of receiving state and national criminal history record information; allow. Creates new act.,2011-04-07 20:15:38.704000,2012-12-13 02:27:15.694000,bill,Municipal and County Issues|Judiciary|Crime|Other|State Agencies|Business and Consumers
mi,2011-2012,lower,HB 4012,Crimes; weapons; penalty for brandishing firearm in public; increase. Amends sec. 234e of 1931 PA 328 (MCL 750.234e).,2011-04-07 20:15:38.707000,2012-12-13 02:27:15.698000,bill,Guns|Crime
mi,2011-2012,lower,HB 4013,"Law enforcement; other; possession and operation of electrical devices designed to temporarily incapacitate persons; allow for reserve peace officers, auxiliary officers, and reserve officers. Amends sec. 224a of 1931 PA 328 (MCL 750.224a).",2011-04-07 20:15:38.715000,2012-12-13 02:27:15.704000,bill,Public Services|Guns|Crime
mi,2011-2012,lower,HB 4014,"Occupations; inspectors; licensure and regulation of home inspection services; provide for, and require certain disclosures and contract provisions. Amends secs. 303a, 401 & 601 of 1980 PA 299 (MCL 339.303a et seq.) & adds art. 14.",2011-04-07 20:15:38.729000,2012-12-13 02:27:15.713000,bill,State Agencies|Other
mi,2011-2012,lower,HB 4015,Human services; fraud; use of public assistance data cross-referenced with certain state employment tax data; allow. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 57v.,2011-04-07 20:15:38.732000,2012-12-13 02:27:15.717000,bill,Public Services|Crime
mi,2011-2012,lower,HB 4016,Environmental protection; other; NREPA programs; require peer review or benchmark analysis. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 27.,2011-04-07 20:15:38.735000,2012-12-13 02:27:15.724000,bill,Environmental
mi,2011-2012,lower,HB 4017,Environmental protection; other; fair sampling process; require for inspections under NREPA. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 1505.,2011-04-07 20:15:38.738000,2012-12-13 02:27:15.737000,bill,Environmental
mi,2011-2012,lower,HB 4018,State agencies (existing); natural resources and environment; application review process; limit to 6 months. Amends sec. 1301 of 1994 PA 451 (MCL 324.1301),2011-04-07 20:15:38.752000,2012-12-13 02:27:15.751000,bill,Environmental|State Agencies
mi,2011-2012,lower,HB 4019,"Education; public school academies; cap on number of public school academies authorized by state public universities under part 6a; eliminate. Amends secs. 502, 502a & 503 of 1976 PA 451 (MCL 380.502 et seq.).",2011-04-07 20:15:38.755000,2012-12-13 02:27:15.754000,bill,Education
mi,2011-2012,lower,HB 4020,Economic development; other; small business loan guarantee program; create. Amends sec. 88d of 1984 PA 270 (MCL 125.2088d).,2011-04-07 20:15:38.758000,2012-12-13 02:27:15.757000,bill,Commerce
