id,state,chamber,committee,subcommittee,parent_id
MIC000024,mi,lower,Commerce,,
MIC000025,mi,lower,Education,,
MIC000026,mi,lower,Energy and Technology,,
MIC000027,mi,lower,"Families, Children, and Seniors",,
MIC000076,mi,lower,Criminal Justice,,
MIC000077,mi,lower,Elections and Ethics,,
MIC000078,mi,lower,Financial Liability Reform,,
MIC000079,mi,lower,Financial Services,,
MIC000080,mi,lower,Local Government,,
MIC000081,mi,lower,Michigan Competitiveness,,
MIC000082,mi,lower,Military and Veterans Affairs,,
MIC000083,mi,lower,Natural Resources,,
MIC000084,mi,lower,Oversight,,
MIC000085,mi,lower,Tourism,,
MIC000086,mi,lower,Transportation and Infrastructure,,
MIC000021,mi,lower,Agriculture,,
MIC000022,mi,lower,Appropriations,,
MIC000028,mi,lower,Government Operations,,
MIC000029,mi,lower,Health Policy,,
MIC000030,mi,lower,Insurance,,
MIC000031,mi,lower,Judiciary,,
MIC000037,mi,lower,Regulatory Reform,,
MIC000038,mi,lower,Tax Policy,,
MIC000041,mi,upper,Appropriations,Agriculture and Rural Development,MIC000057
MIC000042,mi,upper,Appropriations,Capital Outlay,MIC000057
MIC000043,mi,upper,Appropriations,Community Colleges,MIC000057
MIC000044,mi,upper,Appropriations,Department of Community Health,MIC000057
MIC000045,mi,upper,Appropriations,Department of Corrections,MIC000057
MIC000046,mi,upper,Appropriations,Department of Environmental Quality,MIC000057
MIC000047,mi,upper,Appropriations,Department of Human Services,MIC000057
MIC000048,mi,upper,Appropriations,Department of Licensing and Regulatory Affairs,MIC000057
MIC000050,mi,upper,Appropriations,General Government,MIC000057
MIC000051,mi,upper,Appropriations,Higher Education,MIC000057
MIC000052,mi,upper,Appropriations,Judiciary,MIC000057
MIC000053,mi,upper,Appropriations,"K-12, School Aid, Education",MIC000057
MIC000054,mi,upper,Appropriations,Retirement,MIC000057
MIC000055,mi,upper,Appropriations,State Police and Military Affairs,MIC000057
MIC000056,mi,upper,Appropriations,Transportation,MIC000057
MIC000061,mi,upper,Energy and Technology,,
MIC000062,mi,upper,"Families, Seniors and Human Services",,
MIC000064,mi,upper,Government Operations,,
MIC000068,mi,upper,Local Government and Elections,,
MIC000069,mi,upper," Natural Resources, Environment and Great Lakes",,
MIC000073,mi,upper,Regulatory Reform,,
MIC000075,mi,upper,"Veterans, Military and Homeland Security",,
MIC000049,mi,upper,Appropriations,Department of Natural Resources,MIC000057
MIC000057,mi,upper,Appropriations,,
MIC000060,mi,upper,Education,,
MIC000063,mi,upper,Finance,,
MIC000065,mi,upper,Health Policy,,
MIC000066,mi,upper,Insurance,,
MIC000067,mi,upper,Judiciary,,
MIC000070,mi,upper,Outdoor Recreation and Tourism,,
MIC000071,mi,upper,Redistricting,,
MIC000072,mi,upper,"Reforms, Restructuring and Reinventing",,
MIC000087,mi,upper,Banking and Financial,,
MIC000088,mi,upper,Infrastructure Modernization,,
MIC000040,mi,upper,Agriculture,,
MIC000059,mi,upper,Economic Development,,
MIC000074,mi,upper,Transportation,,
