leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MIL000067,member,2011-2012,29,lower,mi,Democratic,,,,,2011-08-01 00:00:00
MIL000067,committee member,2011-2012,,lower,mi,,MIC000024,Commerce,,,
MIL000067,committee member,2011-2012,,lower,mi,,MIC000026,Energy and Technology,,,
MIL000067,committee member,2011-2012,,lower,mi,,MIC000037,Regulatory Reform,,,
MIL000048,member,2011-2012,10,lower,mi,Democratic,,,,,
MIL000078,member,2011-2012,40,lower,mi,Republican,,,,,
MIL000078,committee member,2011-2012,,lower,mi,,MIC000022,Appropriations,,,
MIL000086,member,2011-2012,48,lower,mi,Democratic,,,,,
MIL000106,member,2011-2012,68,lower,mi,Democratic,,,,,
MIL000106,committee member,2011-2012,,lower,mi,,MIC000022,Appropriations,,,
MIL000107,member,2011-2012,69,lower,mi,Democratic,,,,,
MIL000107,committee member,2011-2012,,lower,mi,,MIC000031,Judiciary,,,
MIL000107,committee member,2011-2012,,lower,mi,,MIC000038,Tax Policy,,,
MIL000109,member,2011-2012,71,lower,mi,Republican,,,,,
MIL000112,member,2011-2012,74,lower,mi,Republican,,,,,
MIL000112,committee member,2011-2012,,lower,mi,,MIC000022,Appropriations,,,
MIL000056,member,2011-2012,18,lower,mi,Democratic,,,,,
MIL000056,committee member,2011-2012,,lower,mi,,MIC000022,Appropriations,,,
MIL000047,member,2011-2012,9,lower,mi,Democratic,,,,,
MIL000047,committee member,2011-2012,,lower,mi,,MIC000022,Appropriations,,,
MIL000116,member,2011-2012,78,lower,mi,Republican,,,,,
MIL000116,committee member,2011-2012,,lower,mi,,MIC000021,Agriculture,,,
MIL000116,committee member,2011-2012,,lower,mi,,MIC000024,Commerce,,,
MIL000116,committee member,2011-2012,,lower,mi,,MIC000033,Military and Veterans Affairs and Homeland Security,,,
MIL000116,committee member,2011-2012,,lower,mi,,MIC000036,Redistricting and Elections,,,
MIL000066,member,2011-2012,28,lower,mi,Democratic,,,,,
MIL000066,committee member,2011-2012,,lower,mi,,MIC000029,Health Policy,,,
MIL000066,committee member,2011-2012,,lower,mi,,MIC000033,Military and Veterans Affairs and Homeland Security,,,
MIL000066,committee member,2011-2012,,lower,mi,,MIC000039,Transportation,,,
MIL000119,member,2011-2012,81,lower,mi,Republican,,,,,
MIL000132,member,2011-2012,94,lower,mi,Republican,,,,,
MIL000147,member,2011-2012,109,lower,mi,Democratic,,,,,
MIL000147,committee member,2011-2012,,lower,mi,,MIC000022,Appropriations,,,
MIL000027,member,2011-2012,27,upper,mi,Democratic,,,,,
MIL000027,committee member,2011-2012,,upper,mi,,MIC000040,Agriculture,,,
MIL000027,committee member,2011-2012,,upper,mi,,MIC000065,Health Policy,,,
MIL000027,committee member,2011-2012,,upper,mi,,MIC000070,Outdoor Recreation and Tourism,,,
MIL000027,committee member,2011-2012,,upper,mi,,MIC000074,Transportation,,,
MIL000079,member,2011-2012,41,lower,mi,Republican,,,,,
MIL000079,committee member,2011-2012,,lower,mi,,MIC000023,Banking and Financial Services,,,
MIL000079,committee member,2011-2012,,lower,mi,,MIC000024,Commerce,,,
MIL000079,committee member,2011-2012,,lower,mi,,MIC000036,Redistricting and Elections,,,
MIL000040,member,2011-2012,2,lower,mi,Democratic,,,,,
MIL000040,committee member,2011-2012,,lower,mi,,MIC000025,Education,,,
MIL000040,committee member,2011-2012,,lower,mi,,MIC000030,Insurance,,,
MIL000042,member,2011-2012,4,lower,mi,Democratic,,,,,
MIL000042,committee member,2011-2012,,lower,mi,,MIC000027,"Families, Children, and Seniors",,,
MIL000042,committee member,2011-2012,,lower,mi,,MIC000032,"Local, Intergovernmental, and Regional Affairs",,,
MIL000042,committee member,2011-2012,,lower,mi,,MIC000034,"Natural Resources, Tourism, and Outdoor Recreation",,,
MIL000131,member,2011-2012,93,lower,mi,Republican,,,,,
MIL000131,committee member,2011-2012,,lower,mi,,MIC000026,Energy and Technology,,,
MIL000131,committee member,2011-2012,,lower,mi,,MIC000029,Health Policy,,,
MIL000131,committee member,2011-2012,,lower,mi,,MIC000030,Insurance,,,
MIL000131,committee member,2011-2012,,lower,mi,,MIC000037,Regulatory Reform,,,
MIL000131,committee member,2011-2012,,lower,mi,,MIC000039,Transportation,,,
MIL000114,member,2011-2012,76,lower,mi,Republican,,,,,
MIL000114,committee member,2011-2012,,lower,mi,,MIC000026,Energy and Technology,,,
MIL000114,committee member,2011-2012,,lower,mi,,MIC000030,Insurance,,,
MIL000114,committee member,2011-2012,,lower,mi,,MIC000039,Transportation,,,
MIL000077,member,2011-2012,39,lower,mi,Democratic,,,,,
MIL000077,committee member,2011-2012,,lower,mi,,MIC000025,Education,,,
