leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
MIL000067,Tim Melton,Tim,,Melton,,,False,mi,,,,3ea61ca5184f48e0a76fcf3a10fffac6,,2011-04-07 20:15:35.688000,2012-06-05 16:04:50.115000
MIL000048,Harvey Santana,Harvey,,Santana,,,False,mi,,,,39d165a80cf5464eb0ba32bfffde7e43,,2011-04-07 20:15:35.569000,2013-01-10 00:03:00.224000
MIL000078,Charles Moss,Charles,,Moss,,,False,mi,,,,669fd3c8d0f44f95a1678a03cf5f3739,,2011-04-07 20:15:35.867000,2013-01-10 00:03:00.164000
MIL000086,Richard Hammel,Richard E.,,Hammel,,,False,mi,,,,d55308c1d62c434fb5a1f1283327e7f7,,2011-04-07 20:15:35.897000,2013-01-10 00:03:00.227000
MIL000106,Joan Bauer,Joan,,Bauer,,,False,mi,,,,0c876b4e8f52432f9ea727f7fff4016c,,2011-04-07 20:15:35.932000,2013-01-10 00:03:00.173000
MIL000107,Mark Meadows,Mark S.,,Meadows,,,False,mi,,,,992abefd02dc41b9a4111c7b761e20c0,,2011-04-07 20:15:35.933000,2013-01-10 00:03:00.177000
MIL000109,Deb Shaughnessy,Deb Lynn,,Shaughnessy,,,False,mi,,,,95c38afd8c104c76bb5b0c8abceb5da9,,2011-04-07 20:15:35.937000,2013-01-10 00:03:00.230000
MIL000112,David Agema,David,,Agema,,,False,mi,,,,7b736af122e6411ea5bc62ab5330c888,,2011-04-07 20:15:35.942000,2013-01-10 00:03:00.172000
MIL000056,Richard LeBlanc,Richard,,LeBlanc,,,False,mi,,,,4c9576409bd14962ae3ed88057bb3b7c,,2011-04-07 20:15:35.631000,2013-01-10 00:03:00.166000
MIL000047,Shanelle Jackson,Shanelle,,Jackson,,,False,mi,,,,6e365ab8d5554216ac899831e766654e,,2011-04-07 20:15:35.567000,2013-01-10 00:03:00.167000
MIL000116,Sharon Tyler,Sharon,,Tyler,,,False,mi,,,,9c956176a4844320b9e6195758b43353,,2011-04-07 20:15:35.949000,2013-01-10 00:03:00.169000
MIL000066,Lesia Liss,Lesia,,Liss,,,False,mi,,,,cb1ef095398a42ada62926a2276b9af4,,2011-04-07 20:15:35.686000,2013-01-10 00:03:00.171000
MIL000119,Judson Gilbert II,Judson S.,,Gilbert,II,,False,mi,,,,6a0ee303421b4837be53d0c2ede1f702,,2011-04-07 20:15:35.954000,2013-01-10 00:03:00.231000
MIL000132,Kenneth Horn,Kenneth B.,,Horn,,,False,mi,,,,0be5ff8541c1434f8677792589afff59,,2011-04-07 20:15:35.977000,2013-01-10 00:03:00.232000
MIL000147,Steven Lindberg,Steven,,Lindberg,,,False,mi,,,,65ec304119544db182f6d77fb90bdf85,,2011-04-07 20:15:36.003000,2013-01-10 00:03:00.180000
MIL000027,John Gleason,John,,Gleason,,,False,mi,,,,ee69eaac9fa3451698b4b90ff2dc3d9d,,2011-04-07 20:15:35.294000,2013-01-10 00:03:00.223000
MIL000079,Martin Knollenberg,Martin,,Knollenberg,,,False,mi,,,,acce50273bd94d8ba633678841f0628d,,2011-04-07 20:15:35.869000,2013-01-10 00:03:00.185000
MIL000040,Lisa Howze,Lisa,,Howze,,,False,mi,,,,7d7040e8027440339d8ebb9e7e7eee9b,,2011-04-07 20:15:35.525000,2013-01-10 00:03:00.178000
MIL000042,Maureen Stapleton,Maureen L.,,Stapleton,,,False,mi,,,,6ad2ba2195384da0bd554e0ec08701d0,,2011-04-07 20:15:35.556000,2013-01-10 00:03:00.197000
MIL000131,Paul Opsommer,Paul E.,,Opsommer,,,False,mi,,,,15cc8dc0b1c249acac4bcc7e7571f5d5,,2011-04-07 20:15:35.975000,2013-01-10 00:03:00.201000
MIL000114,Roy Schmidt,Roy,,Schmidt,,,False,mi,,,,2abe3c5ccdca4109ad59edf681231492,,2011-04-07 20:15:35.946000,2013-01-10 00:03:00.203000
MIL000077,Lisa Brown,Lisa,,Brown,,,False,mi,,,,bff10b6e9f344e03baaec857648edb6c,,2011-04-07 20:15:35.865000,2013-01-10 00:03:00.208000
MIL000054,Bob Constan,Bob,,Constan,,,False,mi,,,,31793d70bb084554abff58f99c2b415b,,2011-04-07 20:15:35.627000,2013-01-10 00:03:00.210000
MIL000129,Holly Hughes,Holly,,Hughes,,,False,mi,,,,ef7fed7a25094551aaa3c153db76e117,,2011-04-07 20:15:35.971000,2013-01-10 00:03:00.212000
MIL000148,Matt Huuki,Matt,,Huuki,,,False,mi,,,,5a7f28a634844bcbb0a437fc383e36cf,,2011-04-07 20:15:36.004000,2013-01-10 00:03:00.214000
MIL000122,Kurt Damrow,Kurt,,Damrow,,,False,mi,,,,84abed43b8d044a0a9858d9ff0e92425,,2011-04-07 20:15:35.959000,2013-01-10 00:03:00.216000
MIL000105,Barb Byrum,Barb,,Byrum,,,False,mi,,,,68e228f53f184cc6a67be5d87b4666b6,,2011-04-07 20:15:35.930000,2013-01-10 00:03:00.218000
