state,session,chamber,bill_id,type,name,leg_id
mn,2009-2010,lower,HC 1,primary,Sertich,MNL000077
mn,2009-2010,lower,HC 2,primary,Sertich,MNL000077
mn,2009-2010,lower,HC 3,primary,Sertich,MNL000077
mn,2009-2010,lower,HC 4,primary,Urdahl,MNL000103
mn,2009-2010,lower,HC 4,cosponsor,Pelowski,MNL000128
mn,2009-2010,lower,HC 4,cosponsor,Kelly,MNL000122
mn,2009-2010,lower,HC 4,cosponsor,Koenen,MNL000107
mn,2009-2010,lower,HC 5,primary,Sertich,MNL000077
mn,2009-2010,lower,HF 1,primary,Sertich,MNL000077
mn,2009-2010,lower,HF 1,cosponsor,Hausman,MNL000199
mn,2009-2010,lower,HF 1,cosponsor,Huntley,MNL000080
mn,2009-2010,lower,HF 1,cosponsor,Lieder,MNL000069
mn,2009-2010,lower,HF 1,cosponsor,Carlson,MNL000157
mn,2009-2010,lower,HF 1,cosponsor,Kelliher,MNL000186
mn,2009-2010,lower,HF 1,cosponsor,Obermueller,MNL000143
mn,2009-2010,lower,HF 1,cosponsor,Solberg,MNL000073
mn,2009-2010,lower,HF 1,cosponsor,Hornstein,MNL000187
mn,2009-2010,lower,HF 1,cosponsor,"Murphy, M.",MNL000079
mn,2009-2010,lower,HF 1,cosponsor,Morgan,MNL000146
mn,2009-2010,lower,HF 1,cosponsor,Pelowski,MNL000128
mn,2009-2010,lower,HF 1,cosponsor,Knuth,MNL000167
mn,2009-2010,lower,HF 1,cosponsor,Hayden,MNL000189
mn,2009-2010,lower,HF 1,cosponsor,"Murphy, E.",MNL000194
mn,2009-2010,lower,HF 1,cosponsor,Thissen,MNL000192
mn,2009-2010,lower,HF 1,cosponsor,Poppe,MNL000121
mn,2009-2010,lower,HF 1,cosponsor,Swails,MNL000179
mn,2009-2010,lower,HF 1,cosponsor,Kalin,MNL000101
mn,2009-2010,lower,HF 1,cosponsor,Champion,MNL000183
mn,2009-2010,lower,HF 1,cosponsor,Hansen,MNL000144
mn,2009-2010,lower,HF 1,cosponsor,Sterner,MNL000141
mn,2009-2010,lower,HF 1,cosponsor,Dittrich,MNL000160
mn,2009-2010,lower,HF 1,cosponsor,Nelson,MNL000158
mn,2009-2010,lower,HF 1,cosponsor,Gardner,MNL000172
mn,2009-2010,lower,HF 1,cosponsor,Bunn,MNL000178
mn,2009-2010,lower,HF 1,cosponsor,Masin,MNL000142
mn,2009-2010,lower,HF 1,cosponsor,Mahoney,MNL000200
mn,2009-2010,lower,HF 1,cosponsor,Wagenius,MNL000191
mn,2009-2010,lower,HF 1,cosponsor,Slawik,MNL000177
mn,2009-2010,lower,HF 1,cosponsor,Peterson,MNL000156
mn,2009-2010,lower,HF 1,cosponsor,Loeffler,MNL000184
mn,2009-2010,lower,HF 1,cosponsor,Tillberry,MNL000169
mn,2009-2010,lower,HF 1,cosponsor,Bigham,MNL000180
mn,2009-2010,lower,HF 1,cosponsor,Lillie,MNL000176
mn,2009-2010,lower,HF 10,primary,Doty,MNL000091
mn,2009-2010,lower,HF 10,cosponsor,Poppe,MNL000121
mn,2009-2010,lower,HF 10,cosponsor,Hosch,MNL000095
