state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
mn,2009-2010,lower,HF 1053,MNV00000001,lower,Oral Amendment,2009-05-13 00:00:00,other,52,82,0
mn,2009-2010,lower,HF 1053,MNV00000002,lower,Passage,2009-05-13 00:00:00,other,86,48,0
mn,2009-2010,lower,HF 1053,MNV00000003,lower,"Repassage, as amended by the Senate",2009-05-17 00:00:00,other,86,48,0
mn,2009-2010,lower,HF 1056,MNV00000004,lower,Passage,2009-04-29 00:00:00,other,134,0,0
mn,2009-2010,lower,HF 108,MNV00000005,lower,Amendment HDA-316,2009-05-18 00:00:00,other,65,68,0
mn,2009-2010,lower,HF 108,MNV00000006,lower,Amendment HDA-701,2009-05-18 00:00:00,other,52,78,0
mn,2009-2010,lower,HF 108,MNV00000007,lower,"Passage, as amended",2009-05-18 00:00:00,other,73,60,0
mn,2009-2010,lower,HF 111,MNV00000008,lower,Passage,2009-04-25 00:00:00,other,82,46,0
mn,2009-2010,lower,HF 111,MNV00000009,lower,"Repassage, as amended by the Senate",2009-05-13 00:00:00,other,106,22,0
mn,2009-2010,lower,HF 1122,MNV00000010,lower,Lay on the Table,2009-04-20 00:00:00,other,86,47,0
mn,2009-2010,lower,HF 1122,MNV00000011,lower,Adoption,2009-04-20 00:00:00,other,87,47,0
mn,2009-2010,lower,HF 1122,MNV00000012,lower,Amendment H1122A67,2009-04-22 00:00:00,other,100,31,0
mn,2009-2010,lower,HF 1122,MNV00000013,lower,Oral Amendment to Amendment,2009-04-22 00:00:00,other,131,0,0
mn,2009-2010,lower,HF 1122,MNV00000014,lower,"Amendment, as amended H1122A56",2009-04-22 00:00:00,other,131,0,0
mn,2009-2010,lower,HF 1122,MNV00000015,lower,Amendment H1122A51,2009-04-22 00:00:00,other,32,99,0
mn,2009-2010,lower,HF 1122,MNV00000016,lower,Amendment H1122A63,2009-04-22 00:00:00,other,49,81,0
mn,2009-2010,lower,HF 1122,MNV00000017,lower,Amendment H1122A75,2009-04-22 00:00:00,other,53,79,0
mn,2009-2010,lower,HF 1122,MNV00000018,lower,Amendment H1122A47,2009-04-22 00:00:00,other,43,89,0
mn,2009-2010,lower,HF 1122,MNV00000019,lower,Amendment HDA-103,2009-04-22 00:00:00,other,132,0,0
