state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
mn,2009-2010,lower,HC 1,A House concurrent resolution deleting the fifth bill deadline.,2010-12-17 03:19:15.595000,2011-02-10 02:52:18.483000,concurrent resolution,Resolutions
mn,2009-2010,lower,HC 2,A house concurrent resolution relating to adjournment until 2010.,2010-12-17 03:19:15.593000,2011-02-10 02:52:18.480000,concurrent resolution,Resolutions
mn,2009-2010,lower,HC 3,A house concurrent resolution adopting deadlines for the 2010 legislative session.,2010-12-17 03:19:15.590000,2011-02-10 02:52:18.477000,concurrent resolution,Resolutions|Legislative Affairs
mn,2009-2010,lower,HC 4,A house concurrent resolution expressing regret for conflicts between Native Americans and European settlers.,2010-12-17 03:19:15.587000,2011-02-10 02:52:18.475000,concurrent resolution,Resolutions|Indigenous Peoples
mn,2009-2010,lower,HC 5,A house concurrent resolution relating to adjournment for more than three days.,2010-12-17 03:19:15.585000,2011-02-10 02:52:18.472000,concurrent resolution,Resolutions
mn,2009-2010,lower,HF 1,"State partnership created with federal efforts to restore the American economy, federal Economic Rescue and Recovery Act supplemented, bonds issued, and money appropriated.",2010-12-17 03:19:06.141000,2011-02-10 02:52:06.740000,bill,"Commerce|Federal, State, and Local Relations|Labor and Employment"
mn,2009-2010,lower,HF 10,2008 Green Acres law changes repealed.,2010-12-17 03:19:06.099000,2011-02-10 02:52:06.655000,bill,"Housing and Property|Budget, Spending, and Taxes"
mn,2009-2010,lower,HF 100,"I-35W bridge collapse survivor compensation process provisions clarified, indemnification rights specified, records of the special master panel access limited, testimonial privileges specified, and third-party subrogation or recovery claims prohibition clarified.",2010-12-17 03:19:05.808000,2011-02-10 02:52:06.171000,bill,"Federal, State, and Local Relations|Business and Consumers|Legal Issues|Technology and Communication"
mn,2009-2010,lower,HF 1000,Highway 14 designated as Black and Yellow Trail.,2010-12-17 03:19:08.731000,2011-02-10 02:52:10.328000,bill,Transportation
mn,2009-2010,lower,HF 1001,"K-12 education state grants authorized to leverage quality improvements, and money appropriated. ",2010-12-17 03:19:08.729000,2011-02-10 02:52:10.325000,bill,"Budget, Spending, and Taxes"
mn,2009-2010,lower,HF 1002,"Nursing education demonstration project grant established, and money appropriated.",2010-12-17 03:19:08.727000,2011-02-10 02:52:10.323000,bill,"Health|Budget, Spending, and Taxes"
mn,2009-2010,lower,HF 1003,"Rebuttable presumption of minimum parenting time changed, rebuttal factors specified, and parenting expense adjustment changed.",2010-12-17 03:19:08.725000,2011-02-10 02:52:10.320000,bill,Legal Issues|Family and Children Issues|Judiciary
mn,2009-2010,lower,HF 1004,Cottonwood County; intermediate care facility relocation provided.,2010-12-17 03:19:08.723000,2011-02-10 02:52:10.317000,bill,Public Services|Health|State Agencies|Municipal and County Issues
mn,2009-2010,lower,HF 1005,"Enhanced driver's license and enhanced identification card created, application, issuance, and appearance of card provided, and Homeland Security secretary approval sought.",2010-12-17 03:19:08.720000,2011-02-10 02:52:10.315000,bill,"Federal, State, and Local Relations|Transportation"
mn,2009-2010,lower,HF 1006,Combative Sports Commission requirements modified.,2010-12-17 03:19:08.717000,2011-02-10 02:52:10.298000,bill,"Recreation|Federal, State, and Local Relations|State Agencies"
mn,2009-2010,lower,HF 1007,"Environmental and natural resources funding provided, Legislative-Citizen Commission on Minnesota Resources membership terms modified, and money appropriated.",2010-12-17 03:19:08.715000,2011-02-10 02:52:10.296000,bill,"Environmental|Federal, State, and Local Relations|Budget, Spending, and Taxes|State Agencies|Energy"
mn,2009-2010,lower,HF 1008,Public television and noncommercial radio station grant timing and requirements modified.,2010-12-17 03:19:08.713000,2011-02-10 02:52:10.206000,bill,Commerce|Technology and Communication
mn,2009-2010,lower,HF 1009,Wine sales and samples allowed at farmer's markets.,2010-12-17 03:19:08.709000,2011-02-10 02:52:10.200000,bill,Legal Issues
mn,2009-2010,lower,HF 101,"Taylor Falls; border city development zone powers established, and money appropriated.",2010-12-17 03:19:05.806000,2011-02-10 02:52:06.168000,bill,Municipal and County Issues
