leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MNL000309,member,2013-2014,41B,lower,mn,Republican,,,,,2013-01-01 00:00:00
MNL000309,committee member,2013-2014,,lower,mn,,MNC000049,Civil Law,,,
MNL000309,committee member,2013-2014,,lower,mn,,MNC000050,Commerce and Regulatory Reform,,,
MNL000309,committee member,2013-2014,,lower,mn,,MNC000057,Higher Education Policy and Finance,,,
MNL000309,committee member,2013-2014,,lower,mn,,MNC000064,Judiciary Policy and Finance,,,
MNL000309,member,2011-2012,41B,lower,mn,Republican,,,,,
MNL000309,committee member,2011-2012,,lower,mn,,MNC000049,Civil Law,,,
MNL000309,committee member,2011-2012,,lower,mn,,MNC000050,Commerce and Regulatory Reform,,,
MNL000309,committee member,2011-2012,,lower,mn,,MNC000057,Higher Education Policy and Finance,,,
MNL000309,committee member,2011-2012,,lower,mn,,MNC000064,Judiciary Policy and Finance,,,
MNL000238,member,2013-2014,37B,lower,mn,Republican,,,,,2013-01-01 00:00:00
MNL000238,committee member,2013-2014,,lower,mn,,MNC000048,Capital Investment,,,
MNL000238,committee member,2013-2014,,lower,mn,,MNC000051,Education Finance,,,
MNL000238,committee member,2013-2014,,lower,mn,,MNC000038,Taxes,,,
MNL000238,member,2011-2012,37B,lower,mn,Republican,,,,,
MNL000238,committee member,2011-2012,,lower,mn,,MNC000048,Capital Investment,,,
MNL000238,committee member,2011-2012,,lower,mn,,MNC000051,Education Finance,,,
MNL000238,committee member,2011-2012,,lower,mn,,MNC000038,Taxes,,,
MNL000265,member,2013-2014,60A,lower,mn,Democratic-Farmer-Labor,,,,,2013-01-01 00:00:00
MNL000265,committee member,2013-2014,,lower,mn,,MNC000054,Government Operations and Elections,,,
MNL000265,committee member,2013-2014,,lower,mn,,MNC000062,State Government Finance,,,
MNL000265,member,2011-2012,60A,lower,mn,Democratic-Farmer-Labor,,,,,
MNL000265,committee member,2011-2012,,lower,mn,,MNC000054,Government Operations and Elections,,,
MNL000265,committee member,2011-2012,,lower,mn,,MNC000062,State Government Finance,,,
MNL000297,member,2013-2014,12B,lower,mn,Republican,,,,,2013-01-01 00:00:00
MNL000297,committee member,2013-2014,,lower,mn,,MNC000047,Agriculture and Rural Development Policy and Finance,,,
MNL000297,committee member,2013-2014,,lower,mn,,MNC000058,Jobs and Economic Development Finance,,,
MNL000297,member,2011-2012,12B,lower,mn,Republican,,,,,
MNL000297,committee member,2011-2012,,lower,mn,,MNC000047,Agriculture and Rural Development Policy and Finance,,,
MNL000297,committee member,2011-2012,,lower,mn,,MNC000058,Jobs and Economic Development Finance,,,
MNL000271,member,2013-2014,2B,lower,mn,Republican,,,,,2013-01-01 00:00:00
MNL000271,committee member,2013-2014,,lower,mn,,MNC000053,"Environment, Energy and Natural Resources Policy and Finance",,,
MNL000271,committee member,2013-2014,,lower,mn,,MNC000054,Government Operations and Elections,,,
MNL000271,committee member,2013-2014,,lower,mn,,MNC000057,Higher Education Policy and Finance,,,
MNL000271,member,2011-2012,2B,lower,mn,Republican,,,,,
MNL000271,committee member,2011-2012,,lower,mn,,MNC000053,"Environment, Energy and Natural Resources Policy and Finance",,,
MNL000271,committee member,2011-2012,,lower,mn,,MNC000054,Government Operations and Elections,,,
MNL000271,committee member,2011-2012,,lower,mn,,MNC000057,Higher Education Policy and Finance,,,
