state,session,chamber,bill_id,date,action,actor,type
mo,2012,lower,HB 1029,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1029,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1029,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1029,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1029,2012-01-05 00:00:00,Referred: Budget(H),lower,committee:referred
mo,2012,lower,HB 1029,2012-02-08 00:00:00,Executive Session Completed (H),lower,other
mo,2012,lower,HB 1029,2012-02-15 00:00:00,Public Hearing Completed (H),lower,other
mo,2012,lower,HB 1029,2012-02-15 00:00:00,Voted Do Pass (H),lower,other
mo,2012,lower,HB 1029,2012-02-15 00:00:00,Reported Do Pass (H),lower,other
mo,2012,lower,HB 1029,2012-02-15 00:00:00,Referred: Rules - Pursuant to Rule 25(32)(f)(H),lower,committee:referred
mo,2012,lower,HB 1029,2012-02-23 00:00:00,Rules - Executive Session Completed (H),lower,other
mo,2012,lower,HB 1029,2012-02-23 00:00:00,Rules - Voted Do Pass (H),lower,other
mo,2012,lower,HB 1029,2012-02-23 00:00:00,Rules - Reported Do Pass (H),lower,other
mo,2012,lower,HB 1029,2012-03-06 00:00:00,Perfected (H),lower,other
mo,2012,lower,HB 1029,2012-03-08 00:00:00,Third Read and Passed (H) - AYES:  134                                        NOES:  14 AYES: 134 NOES: 14,lower,bill:reading:3
mo,2012,lower,HB 1029,2012-03-08 00:00:00,Reported to the Senate and First Read (S),upper,bill:reading:1
mo,2012,lower,HB 1029,2012-03-22 00:00:00,"Second Read and Referred: Commerce, Consumer Protection, Energy, and the Environment (S)",upper,bill:reading:2|committee:referred
mo,2012,lower,HB 1029,2012-03-30 00:00:00,"Public Hearing Scheduled (S) - TUESDAY, APRIL 3, 2012, 1:30 PM, SENATE LOUNGE",upper,other
mo,2012,lower,HB 1029,2012-04-02 00:00:00,"Public Hearing Scheduled (S) - TUESDAY, APRIL 3, 1:30PM, SENATE LOUNGE",upper,other
mo,2012,lower,HB 1029,2012-04-03 00:00:00,Public Hearing Held (S),upper,other
mo,2012,lower,HB 1029,2012-05-01 00:00:00,Executive Session Held (S) - VOTED DO PASS,upper,other
mo,2012,lower,HB 1029,2012-05-15 00:00:00,Reported Do Pass (S),upper,other
mo,2012,lower,HB 1029,2012-05-18 00:00:00,Truly Agreed To and Finally Passed - YEAS:  32                                         NAYS:  0,lower,other
mo,2012,lower,HB 1029,2012-05-30 00:00:00,Signed by House Speaker(H),lower,other
mo,2012,lower,HB 1029,2012-05-30 00:00:00,Signed by President Pro Tem (S),upper,other
mo,2012,lower,HB 1029,2012-05-30 00:00:00,Delivered to Governor,Governor,other
mo,2012,lower,HB 1029,2012-07-10 00:00:00,Approved by Governor (G),lower,governor:signed
mo,2012,lower,HB 1029,2012-07-10 00:00:00,Delivered to Secretary of State (G),lower,other
mo,2012,lower,HB 1030,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1030,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1030,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1030,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1030,2012-01-19 00:00:00,Referred: Budget(H),lower,committee:referred
mo,2012,lower,HB 1030,2012-02-08 00:00:00,Public Hearing Completed (H),lower,other
mo,2012,lower,HB 1030,2012-02-15 00:00:00,Executive Session Completed (H),lower,other
mo,2012,lower,HB 1030,2012-02-15 00:00:00,HCS Voted Do Pass (H),lower,other
mo,2012,lower,HB 1030,2012-02-15 00:00:00,HCS Reported Do Pass (H),lower,other
mo,2012,lower,HB 1030,2012-02-15 00:00:00,Referred: Rules - Pursuant to Rule 25(32)(f)(H),lower,committee:referred
mo,2012,lower,HB 1030,2012-02-23 00:00:00,Rules - Executive Session Completed (H),lower,other
mo,2012,lower,HB 1030,2012-02-23 00:00:00,Rules - Voted Do Pass (H),lower,other
mo,2012,lower,HB 1030,2012-02-23 00:00:00,Rules - Reported Do Pass (H),lower,other
mo,2012,lower,HB 1030,2012-02-29 00:00:00,Perfected with Amendments (H) - HA 2 ADOPTED                                                                                        AYES:  145                                        NOES:  4,lower,other
mo,2012,lower,HB 1030,2012-03-01 00:00:00,Third Read and Passed (H) - AYES: 146                                         NOES: 000,lower,bill:reading:3
mo,2012,lower,HB 1030,2012-03-01 00:00:00,Emergency Clause Adopted (H) - AYES: 142                                         NOES: 000,lower,other
mo,2012,lower,HB 1030,2012-03-01 00:00:00,Reported to the Senate and First Read (S),upper,bill:reading:1
mo,2012,lower,HB 1030,2012-03-08 00:00:00,Second Read and Referred: Ways and Means (S),upper,bill:reading:2|committee:referred
mo,2012,lower,HB 1030,2012-05-14 00:00:00,"Public Hearing Scheduled (S) - TUESDAY, MAY 15, 2:00PM, SCR 2",upper,other
mo,2012,lower,HB 1031,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1031,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1031,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1031,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1031,2012-04-26 00:00:00,Referred: Ways and Means (H),lower,committee:referred
mo,2012,lower,HB 1032,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1032,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1032,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1032,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1032,2012-01-25 00:00:00,Referred: Professional Registration and Licensing (H),lower,committee:referred
mo,2012,lower,HB 1032,2012-02-01 00:00:00,Public Hearing Completed (H),lower,other
mo,2012,lower,HB 1032,2012-02-08 00:00:00,Executive Session Completed (H),lower,other
mo,2012,lower,HB 1032,2012-02-08 00:00:00,HCS Voted Do Pass (H),lower,other
mo,2012,lower,HB 1033,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1033,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1033,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1033,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1033,2012-01-25 00:00:00,Referred: Health Care Policy (H),lower,committee:referred
mo,2012,lower,HB 1033,2012-02-01 00:00:00,Public Hearing Completed (H),lower,other
mo,2012,lower,HB 1033,2012-04-04 00:00:00,Executive Session Completed (H),lower,other
mo,2012,lower,HB 1033,2012-04-04 00:00:00,HCS Voted Do Pass (H),lower,other
mo,2012,lower,HB 1034,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1034,2011-12-06 00:00:00,Withdrawn (H),lower,bill:withdrawn
mo,2012,lower,HB 1035,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1035,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1035,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1035,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1035,2012-02-07 00:00:00,Referred: Ways and Means (H),lower,committee:referred
mo,2012,lower,HB 1036,2011-12-01 00:00:00,Prefiled (H),lower,other
mo,2012,lower,HB 1036,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1036,2012-01-04 00:00:00,Read First Time (H),lower,other
mo,2012,lower,HB 1036,2012-01-05 00:00:00,Read Second Time (H),lower,bill:reading:2
mo,2012,lower,HB 1036,2012-01-12 00:00:00,Referred: Elections (H),lower,committee:referred
mo,2012,lower,HB 1036,2012-01-24 00:00:00,Public Hearing Completed (H),lower,other
mo,2012,lower,HB 1036,2012-01-24 00:00:00,Executive Session Completed (H),lower,other
mo,2012,lower,HB 1036,2012-01-24 00:00:00,Voted Do Pass - Consent (H),lower,other
