vote_id,leg_id,name,vote
MOV00000142,MOL000001,Brown,yes
MOV00000142,MOL000002,Callahan,yes
MOV00000142,MOL000005,Cunningham,yes
MOV00000142,MOL000006,Curls,yes
MOV00000142,MOL000007,Dempsey,yes
MOV00000142,MOL000008,Dixon,yes
MOV00000142,MOL000011,Green,yes
MOV00000142,MOL000010,Goodman,yes
MOV00000142,MOL000012,Justus,yes
MOV00000142,MOL000013,Keaveny,yes
MOV00000142,MOL000014,Kehoe,yes
MOV00000142,MOL000016,Lager,yes
MOV00000142,MOL000017,Lamping,yes
MOV00000142,MOL000019,Mayer,yes
MOV00000142,MOL000021,Munzlinger,yes
MOV00000142,MOL000023,Parson,yes
MOV00000142,MOL000024,Pearce,yes
MOV00000142,MOL000025,Purgason,yes
MOV00000142,MOL000026,Richard,yes
MOV00000142,MOL000027,Ridgeway,yes
MOV00000142,MOL000028,Rupp,yes
MOV00000142,MOL000029,Schaaf,yes
MOV00000142,MOL000030,Schaefer,yes
MOV00000142,MOL000031,Schmitt,yes
MOV00000142,MOL000033,Wasson,yes
MOV00000142,MOL000003,Chappelle-Nadal,no
MOV00000142,MOL000004,Crowell,no
MOV00000142,MOL000009,Engler,no
MOV00000142,MOL000015,Kraus,no
MOV00000142,MOL000018,Lembke,no
MOV00000142,MOL000020,McKenna,no
MOV00000142,MOL000022,Nieves,no
MOV00000142,MOL000032,Stouffer,no
MOV00000142,MOL000034,Wright-Jones,other
MOV00000185,MOL000001,Brown,yes
MOV00000185,MOL000002,Callahan,yes
MOV00000185,MOL000004,Crowell,yes
MOV00000185,MOL000198,Cunningham,yes
MOV00000185,MOL000006,Curls,yes
MOV00000185,MOL000007,Dempsey,yes
MOV00000185,MOL000008,Dixon,yes
MOV00000185,MOL000009,Engler,yes
MOV00000185,MOL000010,Goodman,yes
MOV00000185,MOL000011,Green,yes
MOV00000185,MOL000012,Justus,yes
MOV00000185,MOL000013,Keaveny,yes
MOV00000185,MOL000014,Kehoe,yes
MOV00000185,MOL000015,Kraus,yes
MOV00000185,MOL000016,Lager,yes
MOV00000185,MOL000017,Lamping,yes
MOV00000185,MOL000018,Lembke,yes
MOV00000185,MOL000019,Mayer,yes
MOV00000185,MOL000020,McKenna,yes
MOV00000185,MOL000021,Munzlinger,yes
MOV00000185,MOL000022,Nieves,yes
MOV00000185,MOL000023,Parson,yes
MOV00000185,MOL000024,Pearce,yes
MOV00000185,MOL000026,Richard,yes
MOV00000185,MOL000027,Ridgeway,yes
MOV00000185,MOL000028,Rupp,yes
MOV00000185,MOL000029,Schaaf,yes
MOV00000185,MOL000030,Schaefer,yes
MOV00000185,MOL000031,Schmitt,yes
MOV00000185,MOL000032,Stouffer,yes
MOV00000185,MOL000033,Wasson,yes
MOV00000185,MOL000034,Wright-Jones,yes
MOV00000185,MOL000003,Chappelle-Nadal,other
MOV00000185,MOL000025,Purgason,other
MOV00000001,MOL000001,Brown,yes
MOV00000001,MOL000002,Callahan,yes
MOV00000001,MOL000003,Chappelle-Nadal,yes
MOV00000001,MOL000004,Crowell,yes
MOV00000001,MOL000005,Cunningham,yes
MOV00000001,MOL000006,Curls,yes
MOV00000001,MOL000007,Dempsey,yes
MOV00000001,MOL000008,Dixon,yes
MOV00000001,MOL000009,Engler,yes
MOV00000001,MOL000010,Goodman,yes
MOV00000001,MOL000011,Green,yes
MOV00000001,MOL000012,Justus,yes
MOV00000001,MOL000013,Keaveny,yes
MOV00000001,MOL000014,Kehoe,yes
MOV00000001,MOL000015,Kraus,yes
MOV00000001,MOL000016,Lager,yes
MOV00000001,MOL000017,Lamping,yes
MOV00000001,MOL000018,Lembke,yes
MOV00000001,MOL000019,Mayer,yes
MOV00000001,MOL000020,McKenna,yes
MOV00000001,MOL000021,Munzlinger,yes
MOV00000001,MOL000022,Nieves,yes
MOV00000001,MOL000023,Parson,yes
MOV00000001,MOL000024,Pearce,yes
MOV00000001,MOL000025,Purgason,yes
MOV00000001,MOL000026,Richard,yes
MOV00000001,MOL000027,Ridgeway,yes
MOV00000001,MOL000028,Rupp,yes
MOV00000001,MOL000029,Schaaf,yes
MOV00000001,MOL000030,Schaefer,yes
MOV00000001,MOL000031,Schmitt,yes
MOV00000001,MOL000032,Stouffer,yes
MOV00000001,MOL000033,Wasson,yes
MOV00000001,MOL000034,Wright-Jones,yes
MOV00000096,MOL000001,Brown,yes
