state,session,chamber,bill_id,type,name,leg_id
mo,2012,lower,HB 1029,primary,"Flanigan, Tom",MOL000076
mo,2012,lower,HB 1029,cosponsor,"Allen, Sue",MOL000035
mo,2012,lower,HB 1030,primary,"Flanigan, Tom",MOL000076
mo,2012,lower,HB 1030,cosponsor,"Allen, Sue",MOL000035
mo,2012,lower,HB 1031,primary,"Flanigan, Tom",MOL000076
mo,2012,lower,HB 1031,cosponsor,"Allen, Sue",MOL000035
mo,2012,lower,HB 1032,primary,"Allen, Sue",MOL000035
mo,2012,lower,HB 1033,primary,"Allen, Sue",MOL000035
mo,2012,lower,HB 1034,primary,"Allen, Sue",MOL000035
mo,2012,lower,HB 1035,primary,"Swinger, Terry",MOL000177
mo,2012,lower,HB 1035,cosponsor,"Kelley, Mike",MOL000106
mo,2012,lower,HB 1036,primary,"Dugger, Tony",MOL000069
mo,2012,lower,HB 1037,primary,"Dugger, Tony",MOL000069
mo,2012,lower,HB 1038,primary,"Leara, Mike",MOL000120
mo,2012,lower,HB 1039,primary,"Leara, Mike",MOL000120
mo,2012,lower,HB 1040,primary,"Hinson, Dave",MOL000091
mo,2012,lower,HB 1041,primary,"Thomson, Mike",MOL000180
mo,2012,lower,HB 1042,primary,"Thomson, Mike",MOL000180
mo,2012,lower,HB 1043,primary,"Thomson, Mike",MOL000180
mo,2012,lower,HB 1044,primary,"Weter, Ray",MOL000188
mo,2012,lower,HB 1045,primary,"Day, David",MOL000065
mo,2012,lower,HB 1046,primary,"Rowland, Lyle",MOL000155
mo,2012,lower,HB 1047,primary,"Rowland, Lyle",MOL000155
mo,2012,lower,HB 1048,primary,"Schneider, Vicki",MOL000163
mo,2012,lower,HB 1049,primary,"Allen, Sue",MOL000035
mo,2012,lower,HB 1049,cosponsor,"Flanigan, Tom",MOL000076
mo,2012,lower,HB 1050,primary,"Molendorp, Chris",MOL000135
mo,2012,lower,HB 1051,primary,"Allen, Sue",MOL000035
mo,2012,lower,HB 1051,cosponsor,"Flanigan, Tom",MOL000076
mo,2012,lower,HB 1052,primary,"Allen, Sue",MOL000035
