state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
mo,2012,upper,SCR 17,MOV00000142,upper,"On motion of Senator Lamping, SCR 17, as amended by the SCS, was adopted by the following vote:",2012-03-29 00:00:00,other,25,8,1
mo,2013,lower,HCR 1,MOV00000185,upper,"On motion of Senator Dempsey, HCR 1 was adopted by the following vote:",2012-01-09 00:00:00,other,32,0,2
mo,2012,upper,SB 450,MOV00000001,upper,"On motion of Senator Rupp, SB 450 was read the 3rd time and passed by the following vote:",2012-02-16 00:00:00,other,34,0,0
mo,2012,upper,SB 455,MOV00000096,upper,"On motion of Senator Pearce, SB 455 was read the 3rd time and passed by the following vote:",2012-02-16 00:00:00,other,33,0,1
mo,2012,upper,SB 464,MOV00000097,upper,"On motion of Senator Schaaf, SS for SB 464 was read the 3rd time and passed by the following vote:",2012-02-02 00:00:00,other,25,8,1
mo,2012,upper,SB 480,MOV00000098,upper,"On motion of Senator Stouffer, SCS for SB 480 was read the 3rd time and passed by the following vote:",2012-03-08 00:00:00,other,28,3,3
mo,2012,upper,SB 482,MOV00000099,upper,"On motion of Senator Stouffer, SB 482 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,33,0,1
mo,2012,upper,SB 504,MOV00000100,upper,"On motion of Senator Wright-Jones, SB 504 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,25,8,1
mo,2012,upper,SB 557,MOV00000101,upper,"On motion of Senator Brown, SB 557 was read the 3rd time and passed by the following vote:",2012-03-22 00:00:00,other,32,1,1
mo,2012,upper,SB 562,MOV00000102,upper,"On motion of Senator Dixon, SCS for SB 562 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,31,2,1
mo,2012,upper,SB 563,MOV00000103,upper,"On motion of Senator Dixon, SCS for SB 563 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,32,0,2
mo,2012,upper,SB 564,MOV00000104,upper,"On motion of Senator Brown, SB 564 was read the 3rd time and passed by the following vote:",2012-02-09 00:00:00,other,32,0,2
mo,2012,upper,SB 565,MOV00000011,upper,"On motion of Senator Schaaf, SCS for SB 565 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,26,8,0
mo,2012,upper,SB 566,MOV00000012,upper,"On motion of Senator Brown, SCS for SB 566 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,22,12,0
mo,2012,upper,SB 568,MOV00000105,upper,"On motion of Senator Parson, SB 568 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,33,0,1
mo,2012,upper,SB 569,MOV00000106,upper,"On motion of Senator Kraus, SCS for SB 569 was read the 3rd time and passed by the following vote:",2012-03-08 00:00:00,other,29,4,1
mo,2012,upper,SB 578,MOV00000107,upper,"On motion of Senator Parson, SB 578 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,33,0,1
mo,2012,upper,SB 591,MOV00000108,upper,"On motion of Senator Parson, SCS for SB 591 was read the 3rd time and passed by the following vote:",2012-03-08 00:00:00,other,31,0,3
mo,2012,upper,SB 594,MOV00000017,upper,"On motion of Senator Kraus, SB 594 was read the 3rd time and passed by the following vote:",2012-02-16 00:00:00,other,34,0,0
mo,2012,upper,SB 599,MOV00000109,upper,"On motion of Senator Schaefer, SB 599 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,33,1,0
mo,2012,upper,SB 607,MOV00000110,upper,"On motion of Senator Stouffer, SS for SB 607 was read the 3rd time and passed by the following vote:",2012-03-08 00:00:00,other,28,5,1
mo,2012,upper,SB 611,MOV00000111,upper,"On motion of Senator Lembke, SB 611 was read the 3rd time and passed by the following vote:",2012-02-16 00:00:00,other,33,0,1
mo,2012,upper,SB 620,MOV00000112,upper,"On motion of Senator Rupp, SB 620 was read the 3rd time and passed by the following vote:",2012-03-22 00:00:00,other,33,0,1
mo,2012,upper,SB 625,MOV00000022,upper,"On motion of Senator Kehoe, SCS for SB 625 was read the 3rd time and passed by the following vote:",2012-04-26 00:00:00,other,34,0,0
mo,2012,upper,SB 626,MOV00000113,upper,"On motion of Senator Kehoe, SCS for SB 626 was read the 3rd time and passed by the following vote:",2012-03-22 00:00:00,other,27,5,2
mo,2012,upper,SB 628,MOV00000114,upper,"On motion of Senator Schaefer, SB 628 was read the 3rd time and passed by the following vote:",2012-04-12 00:00:00,other,33,0,1
mo,2012,upper,SB 631,MOV00000025,upper,"On motion of Senator Parson, SCS for SB 631 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,34,0,0
mo,2012,upper,SB 635,MOV00000115,upper,"On motion of Senator Pearce, SCS for SB 635 was read the 3rd time and passed by the following vote:",2012-03-08 00:00:00,other,30,1,3
mo,2012,upper,SB 636,MOV00000116,upper,"On motion of Senator Keaveny, SB 636 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,32,0,2
mo,2012,upper,SB 655,MOV00000117,upper,"On motion of Senator Green, SCS for SB 655 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,31,2,1
mo,2012,upper,SB 665,MOV00000118,upper,"On motion of Senator Stouffer, SS for SB 665 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,33,0,1
mo,2012,upper,SB 667,MOV00000119,upper,"On motion of Senator Wasson, SB 667 was read the 3rd time and passed by the following vote:",2012-03-22 00:00:00,other,30,1,3
mo,2012,upper,SB 668,MOV00000120,upper,"On motion of Senator Lembke, SB 668 was read the 3rd time and passed by the following vote:",2012-04-12 00:00:00,other,33,0,1
mo,2012,upper,SB 671,MOV00000121,upper,"On motion of Senator Parson, SCS for SB 671 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,33,0,1
mo,2012,upper,SB 673,MOV00000033,upper,"On motion of Senator Brown, SCS for SB 673 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,34,0,0
mo,2012,upper,SB 683,MOV00000122,upper,"On motion of Senator Crowell, SCS for SB 683 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,32,0,2
mo,2012,upper,SB 690,MOV00000123,upper,"On motion of Senator Engler, SB 690 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,33,0,1
mo,2012,upper,SB 692,MOV00000036,upper,"On motion of Senator Stouffer, SCS for SB 692 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,34,0,0
mo,2012,upper,SB 701,MOV00000124,upper,"On motion of Senator Mayer, SB 701 was read the 3rd time and passed by the following vote:",2012-02-23 00:00:00,other,32,0,2
mo,2012,upper,SB 714,MOV00000125,upper,"On motion of Senator Lager, SCS for SB 714 was read the 3rd time and passed by the following vote:",2012-03-22 00:00:00,other,33,0,1
mo,2012,upper,SB 715,MOV00000039,upper,"On motion of Senator Kraus, SCS for SB 715 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,34,0,0
mo,2012,upper,SB 721,MOV00000040,upper,"On motion of Senator Rupp, SB 721 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,34,0,0
mo,2012,upper,SB 726,MOV00000126,upper,"On motion of Senator Parson, SCS for SB 726 was read the 3rd time and passed by the following vote:",2012-03-08 00:00:00,other,28,1,5
mo,2012,upper,SB 727,MOV00000127,upper,"On motion of Senator Schaaf, SS for SB 727 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,33,1,0
mo,2012,upper,SB 729,MOV00000128,upper,"On motion of Senator Schaefer, SCS for SB 729 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,33,0,1
mo,2012,upper,SB 736,MOV00000129,upper,"On motion of Senator Engler, SB 736 was read the 3rd time and passed by the following vote:",2012-03-01 00:00:00,other,33,0,1
mo,2012,upper,SB 739,MOV00000045,upper,"On motion of Senator Keaveny, SB 739 was read the 3rd time and passed by the following vote:",2012-04-19 00:00:00,other,34,0,0
mo,2012,upper,SB 742,MOV00000130,upper,"On motion of Senator Brown, SS for SB 742 was read the 3rd time and passed by the following vote:",2012-04-12 00:00:00,other,30,2,2
mo,2012,upper,SB 749,MOV00000131,upper,"On motion of Senator Lamping, SS for SB 749 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,26,5,3
mo,2012,upper,SB 758,MOV00000048,upper,"On motion of Senator Wasson, SCS for SB 758 was read the 3rd time and passed by the following vote:",2012-04-19 00:00:00,other,34,0,0
mo,2012,upper,SB 760,MOV00000132,upper,"On motion of Senator Dempsey, SB 760 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,20,13,1
mo,2012,upper,SB 769,MOV00000133,upper,"On motion of Senator Kraus, SS for SB 769 was read the 3rd time and passed by the following vote:",2012-03-22 00:00:00,other,33,0,1
mo,2012,upper,SB 773,MOV00000051,upper,"On motion of Senator Parson, SCS for SB 773 was read the 3rd time and passed by the following vote:",2012-02-16 00:00:00,other,34,0,0
mo,2012,upper,SB 781,MOV00000052,upper,"On motion of Senator Goodman, SS for SB 781 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,34,0,0
mo,2012,upper,SB 788,MOV00000134,upper,"On motion of Senator Keaveny, SCS for SB 788 was read the 3rd time and passed by the following vote:",2012-05-02 00:00:00,other,30,3,1
mo,2012,upper,SB 789,MOV00000054,upper,"On motion of Senator Kraus, SCS for SB 789 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,20,14,0
mo,2012,upper,SB 804,MOV00000135,upper,"On motion of Senator Engler, SB 804 was read the 3rd time and passed by the following vote:",2012-04-12 00:00:00,other,30,3,1
mo,2012,upper,SB 811,MOV00000136,upper,"On motion of Senator Dixon, SB 811 was read the 3rd time and passed by the following vote:",2012-03-29 00:00:00,other,32,0,2
mo,2012,upper,SB 813,MOV00000057,upper,"On motion of Senator Richard, SB 813 was read the 3rd time and passed by the following vote:",2012-04-05 00:00:00,other,34,0,0
mo,2012,upper,SB 835,MOV00000137,upper,"On motion of Senator Kehoe, SCS for SB 835 was read the 3rd time and passed by the following vote:",2012-05-01 00:00:00,other,33,0,1
