state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
mo,2012,lower,HB 1029,"Requires the Oversight Division of the Committee on Legislative Research to conduct program evaluations of state agencies, including budget transparency and accountability",2012-03-07 01:44:59.629000,2012-10-29 02:16:31.690000,bill,"State Agencies|Legal Issues|Legislative Affairs|Budget, Spending, and Taxes"
mo,2012,lower,HB 1030,Changes the laws regarding the collection of money owed to the state and establishes a state amnesty program,2012-03-07 01:44:59.646000,2012-10-29 02:16:31.697000,bill,"Transportation|Legal Issues|Legislative Affairs|Drugs|Municipal and County Issues|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
mo,2012,lower,HB 1031,Establishes a tax amnesty program,2012-03-07 01:44:59.678000,2012-09-14 02:15:50.285000,bill,"State Agencies|Budget, Spending, and Taxes"
mo,2012,lower,HB 1032,Adds a licensed professional counselor to the list of those authorized to conduct a full investigation into whether an individual is suitable as an adoptive parent,2012-03-07 01:44:59.707000,2012-09-15 02:15:40.125000,bill,State Agencies|Social Issues|Judiciary|Family and Children Issues|Legal Issues
mo,2012,lower,HB 1033,Requires health care providers to provide a mammography patient with a copy of the mammography report and information regarding the benefit of supplemental screenings for dense breast tissue patients,2012-03-07 01:44:59.720000,2012-09-15 02:15:40.131000,bill,Labor and Employment|Health|Legal Issues
mo,2012,lower,HB 1034,"Requires the State Auditor to conduct a one-time comparative audit of at least five, but no more than 10, of the largest state agencies",2012-03-07 01:44:59.733000,2012-08-22 02:09:11.420000,bill,"State Agencies|Budget, Spending, and Taxes"
mo,2012,lower,HB 1035,"Authorizes a one-time income tax deduction to a taxpayer for the cost of the construction or $5,000, whichever is less, of a storm shelter which was made in America",2012-03-07 01:44:59.749000,2012-09-14 02:15:50.408000,bill,"Housing and Property|State Agencies|Budget, Spending, and Taxes"
mo,2012,lower,HB 1036,Changes the laws regarding elections,2012-03-07 01:44:59.773000,2012-10-29 02:16:31.723000,bill,"Commerce|Campaign Finance and Election Issues|Federal, State, and Local Relations|Budget, Spending, and Taxes|Housing and Property|Resolutions|Education|State Agencies"
mo,2012,lower,HB 1037,"Authorizes commissioners of certain road districts, upon majority vote, to be compensated up to $100 per month for their services",2012-03-07 01:44:59.803000,2012-10-29 02:16:31.732000,bill,"Transportation|Legislative Affairs|Municipal and County Issues|Campaign Finance and Election Issues|Labor and Employment|Federal, State, and Local Relations"
mo,2012,lower,HB 1038,Phases out the current distribution method of the St. Louis County sales tax over 10 years until all the tax revenue is distributed based upon the location in which the sales were deemed consummated,2012-03-07 01:44:59.815000,2012-10-06 02:15:32.591000,bill,"Business and Consumers|Budget, Spending, and Taxes|Municipal and County Issues"
mo,2012,lower,HB 1039,Allows a retiree of the Missouri Local Government Employees' Retirement System to have his or her health insurance or long-term care insurance premium deducted from his or her retirement allowance,2012-03-07 01:44:59.861000,2012-10-29 02:16:31.741000,bill,Labor and Employment|State Agencies|Health|Insurance|Legislative Affairs
mo,2012,lower,HB 1040,"Adds certain state-owned vehicles which are operated by Department of Transportation employees to the definition of ""emergency vehicle"" as it applies to Section 304.022, RSMo",2012-03-07 01:44:59.920000,2012-10-06 02:15:32.601000,bill,State Agencies|Transportation|Legal Issues
mo,2012,lower,HB 1041,"Authorizes the governing board of any state university to convey or transfer real property, except in fee simple, without an authorizing act of the General Assembly through August 28, 2017",2012-03-07 01:44:59.949000,2012-10-29 02:16:31.751000,bill,Housing and Property|Education|Legal Issues|Legislative Affairs
mo,2012,lower,HB 1042,Changes the laws regarding higher education,2012-03-07 01:44:59.966000,2012-10-29 02:16:31.757000,bill,"Legal Issues|Legislative Affairs|Executive Branch|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers"
mo,2012,lower,HB 1043,Changes the laws regarding the elementary and secondary school education funding formula,2012-03-07 01:44:59.983000,2012-10-06 02:15:32.619000,bill,State Agencies|Education|Legal Issues|Legislative Affairs
mo,2012,lower,HB 1044,Requires wholesalers to notify retailers and retailers to notify the general public of a price increase of three cents or more for a gallon of motor fuel at least 24 hours prior to the increase,2012-03-07 01:44:59.995000,2012-09-15 02:15:40.234000,bill,Commerce|Energy|Business and Consumers
mo,2012,lower,HB 1045,"Specifies that the amendments to the requirements for obtaining a concealed carry endorsement enacted in 2011 do not apply to renewals of unexpired endorsements issued prior to August 28, 2011",2012-03-07 01:45:00.010000,2012-09-14 02:15:50.502000,bill,State Agencies|Guns|Legal Issues
mo,2012,lower,HB 1046,Requires proof of identity and status as a United States natural born citizen for the office of President and Vice President to be submitted with other required certification documents to the Secretary of State,2012-03-07 01:45:00.024000,2012-10-29 02:16:31.773000,bill,"Campaign Finance and Election Issues|State Agencies|Federal, State, and Local Relations|Immigration"
mo,2012,lower,HB 1047,Establishes the Common Interest Owners Bill of Rights Act,2012-03-07 01:45:00.035000,2012-09-15 02:15:40.249000,bill,Housing and Property|Legal Issues|Legislative Affairs
mo,2012,lower,HB 1048,Specifies that any district that becomes an urban school district as the result of the 2010 census will continue to have the same number of board members and hold elections on its current schedule,2012-03-07 01:45:00.049000,2012-10-29 02:16:31.796000,bill,State Agencies|Education|Municipal and County Issues
mo,2012,lower,HB 1049,Changes the laws regarding bullying in schools and establishes specific components that a district must include in its antibullying policy,2012-03-07 01:45:00.063000,2012-10-29 02:16:31.801000,bill,"Legislative Affairs|Family and Children Issues|Crime|Federal, State, and Local Relations|Technology and Communication|State Agencies|Education"
mo,2012,lower,HB 1050,Prohibits any contract between a health carrier or health benefit plan and a dentist or optometrist from requiring a fee schedule established by the insurer if the services are not covered under the plan,2012-03-07 01:45:00.075000,2012-10-06 02:15:32.664000,bill,Health|Legal Issues|Insurance
mo,2012,lower,HB 1051,"Requires the State Auditor to perform, on a one-time basis, a comparative audit of at least five, but no more than 10, of the largest state agencies and of each chamber of the General Assembly",2012-03-07 01:45:00.088000,2012-10-29 02:16:31.809000,bill,"State Agencies|Legislative Affairs|Budget, Spending, and Taxes|Legal Issues"
mo,2012,lower,HB 1052,Establishes a closed primary election system,2012-03-07 01:45:00.099000,2012-09-14 02:15:50.667000,bill,"Campaign Finance and Election Issues|Federal, State, and Local Relations"
mo,2012,lower,HB 1053,"Establishes the Disaster Area Construction Act which exempts certain construction work done for a school district or a county, city, town, or village from the prevailing wage if it is in a disaster area",2012-03-07 01:45:00.116000,2012-09-15 02:15:40.402000,bill,Municipal and County Issues|Legislative Affairs|Public Services|Campaign Finance and Election Issues|Labor and Employment|Housing and Property|State Agencies|Education
mo,2012,lower,HB 1054,Changes the laws regarding unlawful picketing or protesting of a funeral,2012-03-07 01:45:00.130000,2012-10-06 02:15:32.686000,bill,Legislative Affairs|Family and Children Issues|Crime
mo,2012,lower,HB 1055,"Authorizes a one-time income tax deduction to a taxpayer for the cost of the construction or $5,000, whichever is less, of a storm shelter which was made in America",2012-03-07 01:45:00.148000,2012-09-14 02:15:50.681000,bill,"Housing and Property|State Agencies|Budget, Spending, and Taxes"
mo,2012,lower,HB 1056,"Authorizes McDonald County to impose, upon voter approval, a surcharge on the rental of rooms and certain recreational equipment to offset the costs of providing emergency services in the county",2012-03-07 01:45:00.160000,2012-10-06 02:15:32.694000,bill,"Recreation|Municipal and County Issues|Public Services|Environmental|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
mo,2012,lower,HB 1057,Requires all inmates receiving on-site medical examination or treatment from correctional center personnel to be charged $1.50 per visit,2012-03-07 01:45:00.174000,2012-10-06 02:15:32.698000,bill,State Agencies|Health|Legal Issues|Crime
mo,2012,lower,HB 1058,"Establishes Chloe's Law which requires, subject to appropriations, the newborn screening requirements to include a pulse oximetry screening",2012-03-07 01:45:00.185000,2012-09-15 02:15:40.423000,bill,State Agencies|Health|Family and Children Issues
mo,2012,lower,HB 1059,Changes the required percentage necessary to initiate a recount of the votes cast in an election,2012-03-07 01:45:00.201000,2012-10-29 02:16:31.831000,bill,"Campaign Finance and Election Issues|State Agencies|Federal, State, and Local Relations"
mo,2012,lower,HB 1060,Changes the laws regarding elections,2012-03-07 01:45:00.234000,2012-10-29 02:16:31.848000,bill,"Municipal and County Issues|Legislative Affairs|Public Services|Campaign Finance and Election Issues|Labor and Employment|Federal, State, and Local Relations|Technology and Communication|State Agencies"
mo,2012,lower,HB 1061,"Specifies that an employee of the Department of Economic Development will be guilty of a class D felony if he or she authorizes, allocates, or recommends the issuance of bonds without all documentation",2012-03-07 01:45:00.254000,2012-09-14 02:15:50.735000,bill,Commerce|State Agencies
mo,2012,lower,HB 1062,Requires a school district to include in its annual school accountability report card whether it has a state-approved gifted education program or services and the number of students served,2012-03-07 01:45:00.268000,2012-10-29 02:16:31.855000,bill,State Agencies|Education|Family and Children Issues
mo,2012,lower,HB 1063,"Designates the exercise commonly known as ""jumping jacks"" as the official state exercise",2012-03-07 01:45:00.289000,2012-10-29 02:16:31.859000,bill,Resolutions
mo,2012,lower,HB 1064,Allows a scrap metal operator to acquire a vehicle or parts of a vehicle that is 10 years old or older without receiving the original certificate or title,2012-03-07 01:45:00.310000,2012-09-14 02:15:50.759000,bill,"Environmental|State Agencies|Transportation|Legal Issues|Budget, Spending, and Taxes"
mo,2012,lower,HB 1065,Authorizes a corporation or unincorporated association to be represented in small claims court for certain actions by its president or vice-president for any claim of $500 or less,2012-03-07 01:45:00.348000,2012-09-15 02:15:40.465000,bill,Commerce|Judiciary|Legal Issues|Housing and Property|Civil Liberties and Civil Rights
