id,state,chamber,committee,subcommittee,parent_id
MOC000142,mo,joint,Joint Committee On Corrections,,
MOC000172,mo,joint,Joint Interim Committee On State Employee Wages,,
MOC000170,mo,joint,Joint Interim Committee On Reducing The Size Of State Government,,
MOC000164,mo,joint,Joint Review Committee On Downtown And Rural Economic Stimulus Act,,
MOC000157,mo,joint,Joint Committee On Urban Agriculture,,
MOC000144,mo,joint,Joint Committee On Gaming And Wagering,,
MOC000140,mo,joint,Joint Committee On Capital Improvements And Leases Oversight,,
MOC000141,mo,joint,Joint Committee On Child Abuse And Neglect,,
MOC000145,mo,joint,Joint Committee On Government Accountability,,
MOC000147,mo,joint,Joint Committee On Life Sciences,,
MOC000175,mo,joint,Joint Legislative Committee On Court Automation,,
MOC000149,mo,joint,Joint Committee On Mo Health Net,,
MOC000152,mo,joint,Joint Committee On Tax Policy,,
MOC000143,mo,joint,Joint Committee On Education,,
MOC000148,mo,joint,Joint Committee On Missouri'S Promise,,
MOC000156,mo,joint,Joint Committee On Transportation Oversight,,
MOC000173,mo,joint,Joint Interim Committee On The Missouri Criminal Code,,
MOC000169,mo,joint,Joint Committee On Real Property Tax Increment Allocation Redevelopment,,
MOC000146,mo,joint,Joint Committee On Legislative Research,,
MOC000174,mo,joint,Joint Interim Committee On Transportation Needs,,
MOC000171,mo,joint,Joint Interim Committee On School Accreditation,,
MOC000139,mo,joint,Joint Committee On Administrative Rules,,
MOC000150,mo,joint,Joint Committee On Public Employee Retirement,,
MOC000178,mo,lower,Wetlands Management Issue Development,,
MOC000167,mo,lower,Special Standing Committee On Small Business,,
MOC000020,mo,lower,Agri-Business,,
MOC000023,mo,lower,Appropriations - Education,,
MOC000024,mo,lower,Appropriations - General Administration,,
MOC000026,mo,lower,Appropriations - Public Safety And Corrections,,
MOC000032,mo,lower,Downsizing State Government,,
MOC000038,mo,lower,Financial Institutions,,
MOC000039,mo,lower,Fiscal Review,,
MOC000044,mo,lower,Insurance Policy,,
MOC000079,mo,lower,Rules,,
MOC000081,mo,lower,Small Business,,
MOC000094,mo,lower,Utilities,,
MOC000097,mo,lower,Workforce Development And Workplace Safety,,
MOC000132,mo,lower,Appropriations - Infrastructure And Job Creation,,
MOC000019,mo,lower,Administration And Accounts,,
MOC000134,mo,lower,Children,,
MOC000030,mo,lower,Corrections,,
MOC000136,mo,lower,Government Oversight And Accountability,,
MOC000041,mo,lower,Health Care Policy,,
MOC000042,mo,lower,Health Insurance,,
MOC000137,mo,lower,International Trade,,
MOC000074,mo,lower,Judiciary,,
MOC000078,mo,lower,Retirement,,
MOC000138,mo,lower,Special Standing Committee On Emerging Issues In Health Care,,
MOC000093,mo,lower,Urban Issues,,
MOC000133,mo,lower,Appropriations - Revenue,,
MOC000075,mo,lower,Local Government,,
MOC000166,mo,lower,Special Standing Committee On Corrections,,
MOC000168,mo,lower,Special Standing Committee On Urban Issues,,
MOC000135,mo,lower,Emerging Issues In Agriculture,,
MOC000040,mo,lower,General Laws,,
MOC000096,mo,lower,Ways And Means,,
MOC000165,mo,lower,Missouri Job Training Joint Legislative Oversight Committee,,
MOC000021,mo,lower,Agriculture Policy,,
MOC000025,mo,lower,Appropriations - Health,,
MOC000028,mo,lower,Budget,,
MOC000031,mo,lower,Crime Prevention And Public Safety,,
MOC000033,mo,lower,Economic Development,,
MOC000034,mo,lower,Elections,,
MOC000037,mo,lower,Ethics,,
MOC000043,mo,lower,Higher Education,,
MOC000077,mo,lower,Professional Registration And Licensing,,
MOC000091,mo,lower,Transportation,,
MOC000095,mo,lower,Veterans,,
MOC000176,mo,lower,Leadership For Missouri Issue Development,,
MOC000022,mo,lower,Appropriations - Agriculture And Natural Resources,,
MOC000035,mo,lower,Elementary And Secondary Education,,
MOC000090,mo,lower,Tourism And Natural Resources,,
MOC000177,mo,lower,Oral Health Issue Development,,
MOC000004,mo,upper,"Commerce, Consumer Protection, Energy and the Environment",,
MOC000005,mo,upper,Education,,
MOC000009,mo,upper,Gubernatorial Appointments,,
MOC000131,mo,upper,Ways and Means,,
MOC000001,mo,upper,Administration,,
MOC000002,mo,upper,"Agriculture, Food Production and Outdoor Resources",,
MOC000007,mo,upper,General Laws,,
MOC000014,mo,upper,"Rules, Joint Rules, Resolutions & Ethics",,
MOC000128,mo,upper,"Seniors, Families and Pensions",,
MOC000129,mo,upper,Transportation and Infrastructure,,
MOC000130,mo,upper,Veterans' Affairs and Health,,
MOC000006,mo,upper,Financial and Governmental Organizations and Elections,,
MOC000127,mo,upper,Governmental Accountability and Fiscal Oversight,,
MOC000011,mo,upper,"Jobs, Economic Development and Local Government",,
MOC000012,mo,upper,Judiciary and Civil and Criminal Jurisprudence,,
MOC000013,mo,upper,Progress and Development,,
MOC000015,mo,upper,"Small Business, Insurance and Industry",,
MOC000003,mo,upper,Appropriations,,
