leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MOL000019,member,2011-2012,25,upper,mo,Republican,,,,,
MOL000019,committee member,2011-2012,,upper,mo,,,Administration,,,
MOL000019,committee member,2011-2012,,upper,mo,,,Gubernatorial Appointments,,,
MOL000019,committee member,2011-2012,,upper,mo,,,"Rules, Joint Rules, Resolutions and Ethics",,,
MOL000019,committee member,2011-2012,,upper,mo,,,Joint Committee on Wetlands,,,
MOL000019,committee member,2011-2012,,upper,mo,,MOC000001,Administration,,,
MOL000019,committee member,2011-2012,,upper,mo,,MOC000009,Gubernatorial Appointments,,,
MOL000019,committee member,2011-2012,,upper,mo,,MOC000014,"Rules, Joint Rules, Resolutions & Ethics",,,
MOL000164,member,2011-2012,139,lower,mo,Republican,,,,,
MOL000164,committee member,2011-2012,,lower,mo,,,"Interim Committee on Disaster Recovery, Chairman",,,
MOL000164,committee member,2011-2012,,lower,mo,,,Administration and Accounts,,,
MOL000164,committee member,2011-2012,,lower,mo,,,Ethics,,,
MOL000164,committee member,2011-2012,,lower,mo,,MOC000019,Administration And Accounts,,,
MOL000164,committee member,2011-2012,,lower,mo,,MOC000037,Ethics,,,
MOL000164,committee member,2011-2012,,lower,mo,,MOC000048,Interim Committee On Disaster Recovery,,,
MOL000034,member,2011-2012,5,upper,mo,Democratic,,,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Administration,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Financial and Governmental Organizations and Elections,,,
MOL000034,committee member,2011-2012,,upper,mo,,,General Laws,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Transportation,,,
MOL000034,committee member,2011-2012,,upper,mo,,,"Veterans' Affairs, Emerging Issues, Pensions and Urban Affairs",,,
MOL000034,committee member,2011-2012,,upper,mo,,,Joint Committee on Corrections,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Joint Committee on Legislative Research,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Joint Committee on Tax Policy,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Senate Select Committee on Redistricting,,,
MOL000034,committee member,2011-2012,,upper,mo,,,Joint Committee on Transportation Oversight,,,
MOL000034,committee member,2011-2012,,upper,mo,,MOC000001,Administration,,,
MOL000034,committee member,2011-2012,,upper,mo,,MOC000006,Financial and Governmental Organizations and Elections,,,
MOL000034,committee member,2011-2012,,upper,mo,,MOC000007,General Laws,,,
MOL000034,committee member,2011-2012,,upper,mo,,MOC000016,Transportation,,,
MOL000034,committee member,2011-2012,,upper,mo,,MOC000017,"Veterans' Affairs, Emerging Issues, Pensions and Urban Affairs",,,
MOL000034,committee member,2011-2012,,joint,mo,,MOC000054,Joint Committee On Corrections,,,
MOL000034,committee member,2011-2012,,joint,mo,,MOC000058,Joint Committee On Legislative Research,,,
MOL000034,committee member,2011-2012,,joint,mo,,MOC000064,Joint Committee On Tax Policy,,,
