state,session,chamber,bill_id,type,name,leg_id
ms,2008,lower,HB 1,primary,Warren,MSL000141
ms,2008,lower,HB 10,primary,Woods,MSL000161
ms,2008,lower,HB 10,cosponsor,Buck,
ms,2008,lower,HB 10,cosponsor,Gadd,MSL000163
ms,2008,lower,HB 100,primary,Formby,MSL000148
ms,2008,lower,HB 1000,primary,Blackmon,MSL000107
ms,2008,lower,HB 1001,primary,Gadd,MSL000163
ms,2008,lower,HB 1002,primary,Compretta,MSL000173
ms,2008,lower,HB 1003,primary,Compretta,MSL000173
ms,2008,lower,HB 1004,primary,Compretta,MSL000173
ms,2008,lower,HB 1005,primary,Martinson,MSL000159
ms,2008,lower,HB 1006,primary,Peranich,MSL000135
ms,2008,lower,HB 1006,cosponsor,Carpenter,MSL000162
ms,2008,lower,HB 1006,cosponsor,DuVall,MSL000103
ms,2008,lower,HB 1006,cosponsor,Thomas,MSL000116
ms,2008,lower,HB 1006,cosponsor,Burnett,MSL000142
ms,2008,lower,HB 1006,cosponsor,Upshaw,MSL000126
ms,2008,lower,HB 1006,cosponsor,Moak,MSL000075
ms,2008,lower,HB 1006,cosponsor,McGee,MSL000060
ms,2008,lower,HB 1006,cosponsor,Broomfield,MSL000122
ms,2008,lower,HB 1006,cosponsor,Scott,MSL000066
ms,2008,lower,HB 1006,cosponsor,Bennett,MSL000102
ms,2008,lower,HB 1007,primary,Evans,
ms,2008,lower,HB 1008,primary,Scott,MSL000066
ms,2008,lower,HB 1009,primary,Coleman,
ms,2008,lower,HB 101,primary,Warren,MSL000141
ms,2008,lower,HB 1010,primary,Janus,
ms,2008,lower,HB 1011,primary,Jones,
ms,2008,lower,HB 1012,primary,Wooten,MSL000166
ms,2008,lower,HB 1013,primary,Flaggs,MSL000143
ms,2008,lower,HB 1014,primary,Robinson,MSL000170
ms,2008,lower,HB 1015,primary,Evans,
ms,2008,lower,HB 1016,primary,Brown,MSL000127
ms,2008,lower,HB 1017,primary,Blackmon,MSL000107
ms,2008,lower,HB 1018,primary,Johnson,MSL000134
ms,2008,lower,HB 1019,primary,Robinson,MSL000170
ms,2008,lower,HB 102,primary,Martinson,MSL000159
ms,2008,lower,HB 1020,primary,Robinson,MSL000170
ms,2008,lower,HB 1021,primary,Staples,MSL000091
ms,2008,lower,HB 1022,primary,Brown,MSL000127
ms,2008,lower,HB 1023,primary,Reed,MSL000160
ms,2008,lower,HB 1023,cosponsor,Mayo,MSL000169
ms,2008,lower,HB 1023,cosponsor,Scott,MSL000066
