state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ms,2013,upper,SB 2039,MSV00012230,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2040,MSV00012231,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2042,MSV00012232,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2046,MSV00012233,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2047,MSV00012234,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2048,MSV00012235,upper,Passage as Amended,2013-02-06 00:00:00,other,49,1,1
ms,2013,upper,SB 2067,MSV00012236,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2074,MSV00012237,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2173,MSV00012238,upper,Passage,2013-02-06 00:00:00,other,49,1,1
ms,2013,upper,SB 2177,MSV00012239,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2181,MSV00012240,upper,Passage as Amended,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2189,MSV00012060,upper,Passage as Amended,2013-01-16 00:00:00,other,31,17,0
ms,2013,upper,SB 2197,MSV00012242,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2207,MSV00012243,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2208,MSV00012244,upper,Passage,2013-02-06 00:00:00,other,49,1,1
ms,2013,upper,SB 2223,MSV00012245,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2231,MSV00012246,upper,Passage,2013-02-06 00:00:00,other,49,0,2
ms,2013,upper,SB 2233,MSV00012247,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2255,MSV00012248,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2322,MSV00012250,upper,Passage,2013-02-06 00:00:00,other,33,16,2
ms,2013,upper,SB 2375,MSV00012251,upper,Passage,2013-02-06 00:00:00,other,50,0,1
ms,2013,upper,SB 2385,MSV00012252,upper,Passage,2013-02-06 00:00:00,other,50,0,1
