state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ms,2008,lower,HB 1,Crossbow hunting; delete the repealer on requirement for physician to certify disability for person to use crossbow.,2011-01-12 03:14:40.227000,2012-04-02 16:40:20.113000,bill,Animal Rights and Wildlife Issues
ms,2008,lower,HB 10,Mississippi Highway 737; delete from state highway system.,2011-01-12 03:14:40.281000,2012-04-02 16:40:20.279000,bill,Transportation
ms,2008,lower,HB 100,Mississippi Highway 43; Transportation Department to construct four-lane segment in Pearl River County.,2011-01-12 03:14:40.682000,2012-04-02 16:40:21.052000,bill,Transportation
ms,2008,lower,HB 1000,Supreme Court Justices and Court of Appeal Judges; increase salaries of and law clerks for.,2011-01-12 03:14:44.795000,2012-04-02 16:40:28.363000,bill,Commerce|State Agencies
ms,2008,lower,HB 1001,"Building permit fees; exempt school districts, community colleges and IHLs from paying.",2011-01-12 03:14:44.797000,2012-04-02 16:40:28.369000,bill,Commerce|Education
ms,2008,lower,HB 1002,Mississippi Residential Property Insurance Underwriting Association; expand purpose of.,2011-01-12 03:14:44.800000,2012-04-02 16:40:28.381000,bill,Insurance
ms,2008,lower,HB 1003,Bail agents; clarify submission of proof of continuing education.,2011-01-12 03:14:44.804000,2012-04-02 16:40:28.390000,bill,Judiciary
ms,2008,lower,HB 1004,Appearance bond; clarify notice to bail agent for defendant to appear before court.,2011-01-12 03:14:44.811000,2012-04-02 16:40:28.403000,bill,Judiciary
ms,2008,lower,HB 1005,Failure to stop or yield right-of-way; prescribe penalties whenever injury or death results.,2011-01-12 03:14:44.814000,2012-04-02 16:40:28.412000,bill,Transportation|Judiciary
ms,2008,lower,HB 1006,Tourism; create Mississippi Tourism Advisory Board.,2011-01-12 03:14:44.821000,2012-04-02 16:40:28.424000,bill,Recreation
ms,2008,lower,HB 1007,Mississippi Postsecondary Textbook Pricing and Access Act of 2008; create.,2011-01-12 03:14:44.824000,2012-04-02 16:40:28.431000,bill,Education
ms,2008,lower,HB 1008,Community development corporations; establish grant program under Mississippi Development Authority.,2011-01-12 03:14:44.826000,2012-04-02 16:40:28.437000,bill,State Agencies
