leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MSL000032,member,2012-2015,16,upper,ms,Republican,,,,,2012-11-27 00:00:00
MSL000032,member,2008-2011,16,upper,ms,Democratic,,,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000068,Appropriations,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000071,Constitution,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000010,Economic Development,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000074,Education,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000012,Elections,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000079,Insurance,,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000026,"Judiciary, Division B",,,
MSL000032,committee member,2008-2011,,upper,ms,,MSC000035,Public Health and Welfare,,,
MSL000060,member,2012-2015,59,lower,ms,Republican,,,,,2012-11-19 00:00:00
MSL000060,member,2008-2011,59,lower,ms,Republican,,,,,
MSL000060,committee member,2008-2011,,lower,ms,,MSC000011,Education,,,
MSL000060,committee member,2008-2011,,lower,ms,,MSC000024,Investigate State Offices,,,
MSL000060,committee member,2008-2011,,lower,ms,,MSC000037,Public Utilities,,,
MSL000060,committee member,2008-2011,,lower,ms,,MSC000062,Select Cmte on Utility Cost Recovery,,,
MSL000060,committee member,2008-2011,,lower,ms,,MSC000040,Tourism,,,
MSL000060,committee member,2008-2011,,lower,ms,,MSC000041,Universities and Colleges,,,
MSL000144,member,2008-2011,82,lower,ms,Democratic,,,,,
MSL000144,committee member,2008-2011,,lower,ms,,MSC000047,Fees and Salaries of Public Officers,,,
MSL000144,committee member,2008-2011,,lower,ms,,MSC000060,Public Health and Human Services,,,
MSL000144,committee member,2008-2011,,lower,ms,,MSC000064,Select Committee on Poverty,,,
MSL000144,committee member,2008-2011,,lower,ms,,MSC000041,Universities and Colleges,,,
MSL000012,member,2008-2011,6,upper,ms,Republican,,,,,
MSL000016,member,2008-2011,4,upper,ms,Democratic,,,,,
MSL000016,committee member,2008-2011,,upper,ms,,MSC000009,Drug Policy,,,
MSL000016,committee member,2008-2011,,upper,ms,,MSC000018,Finance,,,
MSL000016,committee member,2008-2011,,upper,ms,,MSC000078,Forestry,,,
MSL000016,committee member,2008-2011,,upper,ms,,MSC000081,Labor,,,
MSL000016,committee member,2008-2011,,upper,ms,,MSC000034,Ports and Marine Resources,,,
MSL000016,committee member,2008-2011,,upper,ms,,MSC000091,Tourism,,,
