id,state,chamber,committee,subcommittee,parent_id
MTC000053,mt,joint,Joint Appropriations/Finance & Claims,General Government,
MTC000052,mt,joint,Joint Appropriations/Finance & Claims,Education,
MTC000055,mt,joint,Joint Appropriations/Finance & Claims,"Judicial Branch, Law Enforcement, and Justice",
MTC000062,mt,joint,Joint Appropriations/Finance & Claims,Pensions,
MTC000061,mt,joint,Joint Appropriations/Finance & Claims,Redistricting,
MTC000056,mt,joint,Joint Appropriations/Finance & Claims,Long-Range Planning,
MTC000057,mt,joint,Joint Appropriations/Finance & Claims,Natural Resources and Transportation,
MTC000054,mt,joint,Joint Appropriations/Finance & Claims,Health and Human Services,
MTC000059,mt,joint,Joint Appropriations/Finance & Claims,Joint Select Committee on Pensions,
MTC000018,mt,lower,Agriculture,,
MTC000019,mt,lower,Business & Labor,,
MTC000020,mt,lower,Ethics,,
MTC000025,mt,lower,Transportation,,
MTC000028,mt,lower,"Federal Relations, Energy, and Telecommunications",,
MTC000030,mt,lower,Legislative Administration,,
MTC000031,mt,lower,Local Government,,
MTC000032,mt,lower,Rules,,
MTC000026,mt,lower,Appropriations,,
MTC000027,mt,lower,Education,,
MTC000021,mt,lower,"Fish, Wildlife, and Parks",,
MTC000029,mt,lower,Human Services,,
MTC000024,mt,lower,State Administration,,
MTC000033,mt,lower,Taxation,,
MTC000060,mt,lower,Natural Resources,,
MTC000022,mt,lower,Judiciary,,
MTC000002,mt,upper,Committee on Committees,,
MTC000007,mt,upper,"Public Health, Welfare, and Safety",,
MTC000008,mt,upper,State Administration,,
MTC000009,mt,upper,"Business, Labor, and Economic Affairs",,
MTC000016,mt,upper,Rules,,
MTC000001,mt,upper,"Agriculture, Livestock, and Irrigation",,
MTC000010,mt,upper,Education and Cultural Resources,,
MTC000003,mt,upper,Energy and Telecommunications,,
MTC000011,mt,upper,Ethics,,
MTC000004,mt,upper,Finance and Claims,,
MTC000012,mt,upper,Fish and Game,,
MTC000005,mt,upper,Highways and Transportation,,
MTC000013,mt,upper,Judiciary,,
MTC000015,mt,upper,Legislative Administration,,
MTC000006,mt,upper,Local Government,,
MTC000017,mt,upper,Taxation,,
MTC000058,mt,upper,Natural Resources,,
