leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MTL000035,member,2011-2012,45,upper,mt,Republican,,,,,
MTL000035,committee member,2011-2012,,upper,mt,,MTC000002,Committee on Committees,,,
MTL000035,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000035,committee member,2011-2012,,upper,mt,,MTC000011,Ethics,,,
MTL000035,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000035,committee member,2011-2012,,upper,mt,,MTC000013,Judiciary,,,
MTL000035,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000039,member,2011-2012,17,upper,mt,Republican,,,,,
MTL000039,committee member,2011-2012,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000039,committee member,2011-2012,,upper,mt,,MTC000007,"Public Health, Welfare, and Safety",,,
MTL000039,committee member,2011-2012,,upper,mt,,MTC000013,Judiciary,,,
MTL000074,member,2011-2012,16,lower,mt,Republican,,,,,
MTL000074,committee member,2011-2012,,lower,mt,,MTC000018,Agriculture,,,
MTL000074,committee member,2011-2012,,lower,mt,,MTC000019,Business & Labor,,,
MTL000074,committee member,2011-2012,,lower,mt,,MTC000027,Education,,,
MTL000086,member,2011-2012,85,lower,mt,Democratic,,,,,
MTL000086,committee member,2011-2012,,joint,mt,,MTC000037,Appropriations,"Judicial Branch, Law Enforcement,       and Justice",,
MTL000086,committee member,2011-2012,,lower,mt,,MTC000026,Appropriations,,,
MTL000114,member,2011-2012,70,lower,mt,Republican,,,,,
MTL000114,committee member,2011-2012,,lower,mt,,MTC000020,Ethics,,,
MTL000114,committee member,2011-2012,,lower,mt,,MTC000022,Judiciary,,,
MTL000114,committee member,2011-2012,,lower,mt,,MTC000029,Human Services,,,
MTL000114,committee member,2011-2012,,lower,mt,,MTC000031,Local Government,,,
MTL000114,committee member,2011-2012,,lower,mt,,MTC000032,Rules,,,
MTL000128,member,2011-2012,56,lower,mt,Republican,,,,,
MTL000128,committee member,2011-2012,,joint,mt,,MTC000036,Appropriations,Health and Human Services,,
MTL000128,committee member,2011-2012,,lower,mt,,MTC000026,Appropriations,,,
MTL000029,member,2011-2012,6,upper,mt,Republican,,,,,
MTL000029,committee member,2011-2012,,upper,mt,,MTC000005,Highways and Transportation,,,
MTL000029,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000029,committee member,2011-2012,,upper,mt,,MTC000009,"Business, Labor, and Economic Affairs",,,
MTL000006,member,2011-2012,27,upper,mt,Democratic,,,,,
MTL000006,committee member,2011-2012,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000006,committee member,2011-2012,,upper,mt,,MTC000010,Education and Cultural Resources,,,
MTL000006,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000011,member,2011-2012,47,upper,mt,Democratic,,,,,
MTL000011,committee member,2011-2012,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000011,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000014,member,2011-2012,37,upper,mt,Democratic,,,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000006,Local Government,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000014,committee member,2011-2012,,joint,mt,,MTC000037,Appropriations,"Judicial Branch, Law Enforcement,       and Justice",,
MTL000015,member,2011-2012,24,upper,mt,Democratic,,,,,
MTL000015,committee member,2011-2012,,upper,mt,,MTC000007,"Public Health, Welfare, and Safety",,,
MTL000015,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000015,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000017,member,2011-2012,33,upper,mt,Democratic,,,,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000010,Education and Cultural Resources,,,
