leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
MTL000035,Jim Shockley,Jim,,Shockley,,,False,mt,,,,,/images/legislators_62nd/0415.jpg,2012-03-08 02:14:26.589000,2013-01-09 19:39:40.579000
MTL000039,Craig Tilleman,Craig,,Tilleman,,,False,mt,,,,,/images/legislators_62nd/3750.jpg,2012-03-08 02:14:26.627000,2013-01-09 19:39:40.581000
MTL000074,Lila Evans,Lila,,Evans,,,False,mt,,,,,/images/legislators_62nd/8070.jpg,2012-03-08 02:14:27.021000,2013-01-09 19:39:40.530000
MTL000086,Cynthia Hiner,Cynthia,,Hiner,,,False,mt,,,,,/images/legislators_62nd/3862.jpg,2012-03-08 02:14:27.170000,2013-01-09 19:39:40.518000
MTL000114,Michael More,Michael,,More,,,False,mt,,,,,/images/legislators_62nd/6477.jpg,2012-03-08 02:14:27.566000,2013-01-09 19:39:40.551000
MTL000128,Don Roberts,Don,,Roberts,,,False,mt,,,,,/images/legislators_62nd/6481.jpg,2012-03-08 02:14:27.733000,2013-01-09 19:39:40.521000
MTL000029,Carmine Mowbray,Carmine,,Mowbray,,,False,mt,,,,d55a9edc214e4c7aa6788aef89022412,/images/legislators_62nd/9041.jpg,2012-03-08 02:14:26.527000,2013-01-09 19:39:40.571000
MTL000006,Gary Branae,Gary,,Branae,,,False,mt,,,,9a0fa8aa8e564c7b8bb26f3e17fd2e22,/images/legislators_62nd/1424.jpg,2012-03-08 02:14:26.174000,2013-01-09 19:39:40.572000
MTL000011,Ron Erickson,Ron,,Erickson,,,False,mt,,,,43929a770db8493a938d31b22f5f2d4f,/images/legislators_62nd/5157.jpg,2012-03-08 02:14:26.261000,2013-01-09 19:39:40.573000
MTL000014,Steve Gallus,Steve,,Gallus,,,False,mt,,,,8252f55835f44be59ed3095d02ef8d8a,/images/legislators_62nd/0399.jpg,2012-03-08 02:14:26.293000,2013-01-09 19:39:40.504000
MTL000015,Kim Gillan,Kim,,Gillan,,,False,mt,,,,2a4b4a13bea243f0a383de266d8ec5e3,/images/legislators_62nd/0444.jpg,2012-03-08 02:14:26.332000,2013-01-09 19:39:40.574000
MTL000017,Bob Hawks,Bob,,Hawks,,,False,mt,,,,ba2fe9746525461aaf165ced5acbc011,/images/legislators_62nd/3871.jpg,2012-03-08 02:14:26.370000,2013-01-09 19:39:40.507000
MTL000018,Greg Hinkle,Greg,,Hinkle,,,False,mt,,,,21bcf45fba2942db94ebf230a5aed3c2,/images/legislators_62nd/6467.jpg,2012-03-08 02:14:26.377000,2013-01-09 19:39:40.575000
MTL000024,Bob Lake,Bob,,Lake,,,False,mt,,,,38d4aa5ca3d144b2919ba8dfb390a36f,/images/legislators_62nd/2604.jpg,2012-03-08 02:14:26.458000,2013-01-09 19:39:40.576000
MTL000028,Lynda Moss,Lynda,,Moss,,,False,mt,,,,e6e0b418783f4f86b9ec5a6787157122,/images/legislators_62nd/3870.jpg,2012-03-08 02:14:26.518000,2013-01-09 19:39:40.578000
MTL000037,Donald Steinbeisser,Donald,,Steinbeisser,,,False,mt,,,,f27a3ec3b46e4126bb8815e1fdb7d227,/images/legislators_62nd/1417.jpg,2012-03-08 02:14:26.605000,2013-01-09 19:39:40.580000
MTL000047,Carol Williams,Carol,,Williams,,,False,mt,,,,17deaed4c6214afcb2f69830ab1fb38d,/images/legislators_62nd/3872.jpg,2012-03-08 02:14:26.700000,2013-01-09 19:39:40.508000
MTL000050,Ryan Zinke,Ryan,,Zinke,,,False,mt,,,,6391a211788541d9a7375fc493f6708b,/images/legislators_62nd/6491.jpg,2012-03-08 02:14:26.723000,2013-01-09 19:39:40.513000
MTL000055,Bill Beck,Bill,,Beck,,,False,mt,,,,b4273328aa704afca940efedb1b06640,/images/legislators_62nd/5140.jpg,2012-03-08 02:14:26.762000,2013-01-09 19:39:40.514000
MTL000056,Tony Belcourt,Tony,,Belcourt,,,False,mt,,,,249aa46d0ab940ddbf1dcaaadd10424c,/images/legislators_62nd/6457.jpg,2012-03-08 02:14:26.771000,2013-01-09 19:39:40.515000
MTL000064,Tom Burnett,Tom,,Burnett,,,False,mt,,,,5b76a1053d5c480290e630f0b43d75fe,/images/legislators_62nd/8088.jpg,2012-03-08 02:14:26.887000,2013-01-09 19:39:40.516000
MTL000073,John Esp,John,,Esp,,,False,mt,,,,270fd5b830454abebf3c73857ddca35e,/images/legislators_62nd/2650.jpg,2012-03-08 02:14:27.014000,2013-01-09 19:39:40.517000
MTL000077,Tim Furey,Tim,,Furey,,,False,mt,,,,e91cd9fd000e408eaa3b06135deaddbd,/images/legislators_62nd/6216.jpg,2012-03-08 02:14:27.058000,2013-01-09 19:39:40.531000
MTL000080,Alan Hale,Alan,,Hale,,,False,mt,,,,ac3c3d868e1a4c9485cf4ca8376b2fc1,/images/legislators_62nd/8093.jpg,2012-03-08 02:14:27.105000,2013-01-09 19:39:40.532000
MTL000081,Betsy Hands,Betsy,,Hands,,,False,mt,,,,bb9237edc23a4c03b98c79fd29ad2e80,/images/legislators_62nd/5159.jpg,2012-03-08 02:14:27.117000,2013-01-09 19:39:40.533000
MTL000084,Gordon Hendrick,Gordon,,Hendrick,,,False,mt,,,,55e3d0d6b5be42e1994701ebcd36c968,/images/legislators_62nd/3841.jpg,2012-03-08 02:14:27.150000,2013-01-09 19:39:40.534000
MTL000094,Dan Kennedy,Dan,,Kennedy,,,False,mt,,,,ac03880789d74f9f9342fbe837363eb0,/images/legislators_62nd/7882.jpg,2012-03-08 02:14:27.340000,2013-01-09 19:39:40.538000
MTL000096,Harry Klock,Harry,,Klock,,,False,mt,,,,0e3b3694ac71449bbe8e8fc13693113f,/images/legislators_62nd/3707.jpg,2012-03-08 02:14:27.356000,2013-01-09 19:39:40.539000
MTL000097,James Knox,James,,Knox,,,False,mt,,,,73bc3e6ecf574b219f474cf4c09aca1a,/images/legislators_62nd/8082.jpg,2012-03-08 02:14:27.370000,2013-01-09 19:39:40.540000
MTL000100,Cleve Loney,Cleve,,Loney,,,False,mt,,,,5860b6e54739490ba39487627bd4022e,/images/legislators_62nd/8074.jpg,2012-03-08 02:14:27.393000,2013-01-09 19:39:40.541000
MTL000102,Gary MacLaren,Gary,,MacLaren,,,False,mt,,,,66d30579c92247cc877f894c7b710904,/images/legislators_62nd/3863.jpg,2012-03-08 02:14:27.414000,2013-01-09 19:39:40.543000
MTL000106,Tom McGillvray,Tom,,McGillvray,,,False,mt,,,,07e9f6858be3446fa87468e0528b7f29,/images/legislators_62nd/3851.jpg,2012-03-08 02:14:27.464000,2013-01-09 19:39:40.546000
MTL000109,Walter McNutt,Walter,,McNutt,,,False,mt,,,,d5726ce268794cbc93801b21fbab5a37,/images/legislators_62nd/0134.jpg,2012-03-08 02:14:27.507000,2013-01-09 19:39:40.520000
MTL000111,Mike Menahan,Mike,,Menahan,,,False,mt,,,,0a09fe1fd7f844e88f3f1c2a6e74da49,/images/legislators_62nd/6475.jpg,2012-03-08 02:14:27.542000,2013-01-09 19:39:40.549000
MTL000112,Mike Milburn,Mike,,Milburn,,,False,mt,,,,74edb25ecb90404dace6a923a4288e59,/images/legislators_62nd/3842.jpg,2012-03-08 02:14:27.550000,2013-01-09 19:39:40.550000
MTL000120,Ken Peterson,Ken,,Peterson,,,False,mt,,,,8a53d90d39e54baaa7996da01f6f736c,/images/legislators_62nd/5152.jpg,2012-03-08 02:14:27.625000,2013-01-09 19:39:40.556000
MTL000124,Joe Read,Joe,,Read,,,False,mt,,,,b51b6ca82b0549e895d359b53e1fcb5c,/images/legislators_62nd/8069.jpg,2012-03-08 02:14:27.682000,2013-01-09 19:39:40.558000
MTL000127,Michele Reinhart,Michele,,Reinhart,,,False,mt,,,,02971817c865411696e9f3a118fbb954,/images/legislators_62nd/5158.jpg,2012-03-08 02:14:27.725000,2013-01-09 19:39:40.559000
MTL000131,Diane Sands,Diane,,Sands,,,False,mt,,,,19f36dc7ca89484d8f9fd39d120778a0,/images/legislators_62nd/1041.jpg,2012-03-08 02:14:27.799000,2013-01-09 19:39:40.561000
MTL000132,Trudi Schmidt,Trudi,,Schmidt,,,False,mt,,,,05128a6c421742a28c1d2c6946e74f05,/images/legislators_62nd/2654.jpg,2012-03-08 02:14:27.807000,2013-01-09 19:39:40.522000
MTL000134,Dan Skattum,Dan,,Skattum,,,False,mt,,,,02b6717de99d4482a6d9e73974ff381e,/images/legislators_62nd/8143.jpg,2012-03-08 02:14:27.845000,2013-01-09 19:39:40.562000
MTL000135,Derek Skees,Derek,,Skees,,,False,mt,,,,2fe18dcc8aba47da9b79652bcb63f63f,/images/legislators_62nd/8065.jpg,2012-03-08 02:14:27.861000,2013-01-09 19:39:40.563000
MTL000136,Sterling Small,Sterling,,Small,,,False,mt,,,,d58113c6efb14041864eeb87626dde5d,/images/legislators_62nd/8080.jpg,2012-03-08 02:14:27.879000,2013-01-09 19:39:40.565000
MTL000140,Wayne Stahl,Wayne,,Stahl,,,False,mt,,,,45a60417b4fc4eaab2479975d64a511b,/images/legislators_62nd/3846.jpg,2012-03-08 02:14:27.955000,2013-01-09 19:39:40.566000
