state,session,chamber,bill_id,type,name,leg_id
nc,2009,lower,HB 10,primary,Moore,NCL000143
nc,2009,lower,HB 10,primary,Wiley,NCL000175
nc,2009,lower,HB 10,cosponsor,Brown,
nc,2009,lower,HB 10,cosponsor,Hilton,NCL000111
nc,2009,lower,HB 10,cosponsor,Hurley,NCL000116
nc,2009,lower,HB 10,cosponsor,Starnes,NCL000158
nc,2009,lower,HB 100,primary,Glazier,NCL000098
nc,2009,lower,HB 100,primary,Harrison,NCL000108
nc,2009,lower,HB 100,primary,Martin,NCL000133
nc,2009,lower,HB 100,primary,Bryant,NCL000072
nc,2009,lower,HB 100,cosponsor,Fisher,NCL000091
nc,2009,lower,HB 100,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 100,cosponsor,Insko,NCL000119
nc,2009,lower,HB 100,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 100,cosponsor,Luebke,NCL000131
nc,2009,lower,HB 100,cosponsor,Mackey,NCL000132
nc,2009,lower,HB 100,cosponsor,Weiss,NCL000172
nc,2009,lower,HB 1000,primary,Stevens,
nc,2009,lower,HB 1001,primary,Burr,NCL000073
nc,2009,lower,HB 1002,primary,Farmer-Butterfield,NCL000090
nc,2009,lower,HB 1002,primary,Earle,NCL000087
nc,2009,lower,HB 1002,primary,England,NCL000088
nc,2009,lower,HB 1002,primary,Brisson,NCL000069
nc,2009,lower,HB 1002,cosponsor,Barnhart,NCL000060
nc,2009,lower,HB 1002,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1002,cosponsor,Harrison,NCL000108
nc,2009,lower,HB 1002,cosponsor,Insko,NCL000119
nc,2009,lower,HB 1002,cosponsor,Justus,NCL000125
nc,2009,lower,HB 1002,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1002,cosponsor,Neumann,NCL000144
nc,2009,lower,HB 1002,cosponsor,Pierce,NCL000148
nc,2009,lower,HB 1002,cosponsor,Rapp,NCL000150
nc,2009,lower,HB 1003,primary,Farmer-Butterfield,NCL000090
nc,2009,lower,HB 1003,primary,Earle,NCL000087
nc,2009,lower,HB 1003,primary,England,NCL000088
nc,2009,lower,HB 1003,primary,Insko,NCL000119
nc,2009,lower,HB 1003,cosponsor,Barnhart,NCL000060
nc,2009,lower,HB 1003,cosponsor,Brisson,NCL000069
nc,2009,lower,HB 1003,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1003,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 1003,cosponsor,Justice,NCL000124
nc,2009,lower,HB 1003,cosponsor,Justus,NCL000125
nc,2009,lower,HB 1003,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1003,cosponsor,Neumann,NCL000144
nc,2009,lower,HB 1003,cosponsor,Pierce,NCL000148
nc,2009,lower,HB 1003,cosponsor,Rapp,NCL000150
nc,2009,lower,HB 1004,primary,Carney,NCL000075
nc,2009,lower,HB 1004,primary,Cole,NCL000078
nc,2009,lower,HB 1004,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1004,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 1004,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1004,cosponsor,Wray,NCL000179
nc,2009,lower,HB 1005,primary,Carney,NCL000075
nc,2009,lower,HB 1005,primary,Cole,NCL000078
nc,2009,lower,HB 1005,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1005,cosponsor,Harrison,NCL000108
nc,2009,lower,HB 1005,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 1005,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1005,cosponsor,Rapp,NCL000150
nc,2009,lower,HB 1005,cosponsor,Wray,NCL000179
nc,2009,lower,HB 1006,primary,McLawhorn,NCL000139
nc,2009,lower,HB 1006,primary,Womble,NCL000178
nc,2009,lower,HB 1006,primary,Farmer-Butterfield,NCL000090
nc,2009,lower,HB 1006,primary,E. Warren,NCL000170
nc,2009,lower,HB 1006,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1006,cosponsor,Tarleton,NCL000164
nc,2009,lower,HB 1006,cosponsor,Wainwright,NCL000169
nc,2009,lower,HB 1007,primary,Love,NCL000129
nc,2009,lower,HB 1008,primary,England,NCL000088
nc,2009,lower,HB 1009,primary,Bell,NCL000061
nc,2009,lower,HB 1009,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1009,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 1009,cosponsor,Wray,NCL000179
nc,2009,lower,HB 101,primary,Setzer,NCL000155
nc,2009,lower,HB 101,cosponsor,Howard,NCL000114
nc,2009,lower,HB 101,cosponsor,Hurley,NCL000116
nc,2009,lower,HB 101,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 101,cosponsor,Spear,NCL000156
nc,2009,lower,HB 101,cosponsor,Tarleton,NCL000164
nc,2009,lower,HB 1010,primary,Jones,
nc,2009,lower,HB 1011,primary,Blue,NCL000010
nc,2009,lower,HB 1012,primary,Owens,NCL000145
nc,2009,lower,HB 1012,primary,Weiss,NCL000172
nc,2009,lower,HB 1012,cosponsor,Adams,NCL000054
nc,2009,lower,HB 1012,cosponsor,Cole,NCL000078
nc,2009,lower,HB 1012,cosponsor,Gillespie,NCL000097
nc,2009,lower,HB 1012,cosponsor,Holliman,NCL000112
nc,2009,lower,HB 1012,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 1012,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1012,cosponsor,Luebke,NCL000131
nc,2009,lower,HB 1012,cosponsor,Pierce,NCL000148
nc,2009,lower,HB 1012,cosponsor,Tarleton,NCL000164
nc,2009,lower,HB 1012,cosponsor,Tolson,NCL000166
nc,2009,lower,HB 1012,cosponsor,Wainwright,NCL000169
nc,2009,lower,HB 1012,cosponsor,Wray,NCL000179
nc,2009,lower,HB 1013,primary,Cleveland,NCL000076
nc,2009,lower,HB 1013,primary,Hilton,NCL000111
nc,2009,lower,HB 1013,cosponsor,Blackwood,NCL000063
nc,2009,lower,HB 1013,cosponsor,Brown,
nc,2009,lower,HB 1013,cosponsor,Dollar,NCL000086
nc,2009,lower,HB 1013,cosponsor,Gulley,NCL000103
nc,2009,lower,HB 1013,cosponsor,McElraft,NCL000137
nc,2009,lower,HB 1013,cosponsor,McGee,NCL000138
nc,2009,lower,HB 1013,cosponsor,Samuelson,NCL000154
nc,2009,lower,HB 1014,primary,Folwell,NCL000093
nc,2009,lower,HB 1014,primary,Holliman,NCL000112
nc,2009,lower,HB 1014,primary,Wainwright,NCL000169
nc,2009,lower,HB 1014,primary,Burris-Floyd,NCL000074
nc,2009,lower,HB 1014,cosponsor,Dockham,NCL000085
nc,2009,lower,HB 1014,cosponsor,Gillespie,NCL000097
nc,2009,lower,HB 1014,cosponsor,Glazier,NCL000098
nc,2009,lower,HB 1014,cosponsor,Harrison,NCL000108
nc,2009,lower,HB 1014,cosponsor,Hughes,NCL000115
nc,2009,lower,HB 1014,cosponsor,Hurley,NCL000116
nc,2009,lower,HB 1014,cosponsor,Jackson,NCL000120
nc,2009,lower,HB 1014,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1014,cosponsor,Neumann,NCL000144
nc,2009,lower,HB 1014,cosponsor,Pierce,NCL000148
nc,2009,lower,HB 1014,cosponsor,Samuelson,NCL000154
nc,2009,lower,HB 1014,cosponsor,Tarleton,NCL000164
nc,2009,lower,HB 1014,cosponsor,Wray,NCL000179
nc,2009,lower,HB 1015,primary,Fisher,NCL000091
nc,2009,lower,HB 1015,primary,Goforth,NCL000099
nc,2009,lower,HB 1015,primary,Whilden,NCL000174
nc,2009,lower,HB 1015,cosponsor,Harrison,NCL000108
nc,2009,lower,HB 1016,primary,Fisher,NCL000091
nc,2009,lower,HB 1016,primary,Goforth,NCL000099
nc,2009,lower,HB 1016,primary,Whilden,NCL000174
nc,2009,lower,HB 1017,primary,Fisher,NCL000091
nc,2009,lower,HB 1017,primary,Faison,NCL000089
nc,2009,lower,HB 1017,primary,Harrison,NCL000108
nc,2009,lower,HB 1017,primary,Earle,NCL000087
nc,2009,lower,HB 1017,cosponsor,K. Alexander,NCL000055
nc,2009,lower,HB 1017,cosponsor,Allred,NCL000058
nc,2009,lower,HB 1017,cosponsor,Carney,NCL000075
nc,2009,lower,HB 1017,cosponsor,Cotham,NCL000080
nc,2009,lower,HB 1017,cosponsor,Crawford,NCL000081
nc,2009,lower,HB 1017,cosponsor,Goforth,NCL000099
nc,2009,lower,HB 1017,cosponsor,Haire,NCL000105
nc,2009,lower,HB 1017,cosponsor,Jeffus,NCL000121
nc,2009,lower,HB 1017,cosponsor,Luebke,NCL000131
nc,2009,lower,HB 1017,cosponsor,Ross,NCL000152
nc,2009,lower,HB 1018,primary,Allred,NCL000058
nc,2009,lower,HB 1019,primary,Allred,NCL000058
nc,2009,lower,HB 102,primary,Holliman,NCL000112
nc,2009,lower,HB 102,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1020,primary,Earle,NCL000087
nc,2009,lower,HB 1020,primary,Adams,NCL000054
nc,2009,lower,HB 1020,cosponsor,M. Alexander,NCL000056
nc,2009,lower,HB 1020,cosponsor,Burris-Floyd,NCL000074
nc,2009,lower,HB 1020,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1020,cosponsor,Glazier,NCL000098
nc,2009,lower,HB 1020,cosponsor,Harrison,NCL000108
nc,2009,lower,HB 1020,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1020,cosponsor,Mobley,NCL000142
nc,2009,lower,HB 1020,cosponsor,Stewart,NCL000161
nc,2009,lower,HB 1020,cosponsor,Tarleton,NCL000164
nc,2009,lower,HB 1020,cosponsor,Wainwright,NCL000169
nc,2009,lower,HB 1020,cosponsor,Wray,NCL000179
nc,2009,lower,HB 1021,primary,Tucker,NCL000167
nc,2009,lower,HB 1021,primary,Hall,NCL000106
nc,2009,lower,HB 1021,primary,Cleveland,NCL000076
nc,2009,lower,HB 1021,primary,Stam,NCL000157
nc,2009,lower,HB 1021,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1022,primary,Goforth,NCL000099
nc,2009,lower,HB 1022,primary,Folwell,NCL000093
nc,2009,lower,HB 1022,primary,Hill,NCL000110
nc,2009,lower,HB 1022,primary,Rhyne,NCL000151
nc,2009,lower,HB 1022,cosponsor,Hurley,NCL000116
nc,2009,lower,HB 1022,cosponsor,Owens,NCL000145
nc,2009,lower,HB 1022,cosponsor,Rapp,NCL000150
nc,2009,lower,HB 1023,primary,Goforth,NCL000099
nc,2009,lower,HB 1024,primary,Folwell,NCL000093
nc,2009,lower,HB 1024,primary,Harrison,NCL000108
nc,2009,lower,HB 1024,primary,Hurley,NCL000116
nc,2009,lower,HB 1024,primary,Burr,NCL000073
nc,2009,lower,HB 1024,cosponsor,Avila,NCL000059
nc,2009,lower,HB 1024,cosponsor,Blackwell,NCL000062
nc,2009,lower,HB 1024,cosponsor,Brown,
nc,2009,lower,HB 1024,cosponsor,Burris-Floyd,NCL000074
nc,2009,lower,HB 1024,cosponsor,Cleveland,NCL000076
nc,2009,lower,HB 1024,cosponsor,Gillespie,NCL000097
nc,2009,lower,HB 1024,cosponsor,Guice,NCL000102
nc,2009,lower,HB 1024,cosponsor,Gulley,NCL000103
nc,2009,lower,HB 1024,cosponsor,Hilton,NCL000111
nc,2009,lower,HB 1024,cosponsor,Jones,
nc,2009,lower,HB 1024,cosponsor,Killian,NCL000126
nc,2009,lower,HB 1024,cosponsor,Langdon,NCL000127
nc,2009,lower,HB 1024,cosponsor,Martin,NCL000133
nc,2009,lower,HB 1024,cosponsor,McCormick,NCL000136
nc,2009,lower,HB 1024,cosponsor,McElraft,NCL000137
nc,2009,lower,HB 1024,cosponsor,Mills,NCL000141
nc,2009,lower,HB 1024,cosponsor,Randleman,NCL000149
nc,2009,lower,HB 1024,cosponsor,Sager,NCL000153
nc,2009,lower,HB 1024,cosponsor,Setzer,NCL000155
nc,2009,lower,HB 1024,cosponsor,Stevens,
nc,2009,lower,HB 1024,cosponsor,West,NCL000173
nc,2009,lower,HB 1024,cosponsor,Wiley,NCL000175
nc,2009,lower,HB 1025,primary,Mackey,NCL000132
nc,2009,lower,HB 1025,cosponsor,K. Alexander,NCL000055
nc,2009,lower,HB 1025,cosponsor,Earle,NCL000087
nc,2009,lower,HB 1026,primary,Sutton,NCL000163
nc,2009,lower,HB 1026,primary,Yongue,NCL000180
nc,2009,lower,HB 1026,primary,Pierce,NCL000148
nc,2009,lower,HB 1026,cosponsor,Insko,NCL000119
nc,2009,lower,HB 1027,primary,Brubaker,NCL000071
nc,2009,lower,HB 1027,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1028,primary,Sutton,NCL000163
nc,2009,lower,HB 1028,cosponsor,Pierce,NCL000148
nc,2009,lower,HB 1029,primary,Folwell,NCL000093
nc,2009,lower,HB 1029,primary,Glazier,NCL000098
nc,2009,lower,HB 1029,primary,Wiley,NCL000175
nc,2009,lower,HB 1029,primary,Parmon,NCL000147
nc,2009,lower,HB 1029,cosponsor,Fisher,NCL000091
nc,2009,lower,HB 1029,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 103,primary,Spear,NCL000156
nc,2009,lower,HB 1030,primary,Howard,NCL000114
nc,2009,lower,HB 1030,primary,Allred,NCL000058
nc,2009,lower,HB 1030,cosponsor,Dockham,NCL000085
nc,2009,lower,HB 1030,cosponsor,Starnes,NCL000158
nc,2009,lower,HB 1031,primary,Folwell,NCL000093
nc,2009,lower,HB 1031,primary,Carney,NCL000075
nc,2009,lower,HB 1031,primary,Goforth,NCL000099
nc,2009,lower,HB 1031,primary,Dollar,NCL000086
nc,2009,lower,HB 1031,cosponsor,Faison,NCL000089
nc,2009,lower,HB 1031,cosponsor,Lucas,NCL000130
nc,2009,lower,HB 1032,primary,Jeffus,NCL000121
nc,2009,lower,HB 1032,primary,Lucas,NCL000130
nc,2009,lower,HB 1032,primary,Bell,NCL000061
nc,2009,lower,HB 1032,primary,Rapp,NCL000150
nc,2009,lower,HB 1032,cosponsor,Cotham,NCL000080
nc,2009,lower,HB 1032,cosponsor,England,NCL000088
