state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nc,2011,upper,SB 8,NCV00003525,upper,Third Reading,2011-02-24 11:10:00,other,33,17,0
nc,2011,upper,SB 847,NCV00007297,upper,Amendment 10,2012-06-28 16:27:00,other,17,28,5
nc,2011,lower,HB 200,NCV00004437,upper,Second Reading,2011-06-01 14:21:00,other,31,18,1
nc,2013,upper,SR 1,NCV00007449,upper,,2013-01-09 09:54:00,other,47,0,3
nc,2013,upper,SJR 2,NCV00007450,upper,,2013-01-09 10:18:00,other,48,0,2
nc,2011,lower,HB 950,NCV00006923,upper,Amendment 9,2012-06-14 11:34:00,other,19,30,1
nc,2009,lower,HB 1002,NCV00000001,upper,Second Reading,2009-08-06 19:54:00,other,36,0,14
nc,2009,lower,HB 1002,NCV00000002,lower,Second Reading,2009-05-13 20:02:00,other,114,0,6
nc,2009,lower,HB 1002,NCV00000003,lower,M11 Concur,2009-08-10 21:09:00,other,113,0,7
nc,2009,lower,HB 1005,NCV00000004,upper,Third Reading,2009-07-15 17:06:00,other,42,5,3
nc,2009,lower,HB 1005,NCV00000005,upper,Second Reading,2009-07-07 16:09:00,other,44,4,2
nc,2009,lower,HB 1005,NCV00000006,lower,Second Reading,2009-05-14 16:42:00,other,106,8,6
nc,2009,lower,HB 1005,NCV00000007,lower,M11 Concur,2009-07-23 13:24:00,other,101,13,6
nc,2009,lower,HB 1009,NCV00000008,upper,Second Reading,2009-06-29 19:18:00,other,47,0,3
nc,2009,lower,HB 1009,NCV00000009,lower,M11 Concur,2009-07-02 13:35:00,other,113,1,6
nc,2009,lower,HB 1009,NCV00000010,lower,A1 Bell\Second Reading,2009-05-14 16:46:00,other,111,2,7
nc,2009,lower,HB 1009,NCV00000011,lower,Second Reading,2009-05-14 16:47:00,other,109,2,9
nc,2009,lower,HB 1011,NCV00000012,upper,Second Reading,2009-07-08 14:09:00,other,45,1,4
nc,2009,lower,HB 1011,NCV00000013,upper,Third Reading,2009-07-09 12:16:00,other,38,2,10
nc,2009,lower,HB 1011,NCV00000014,lower,Third Reading,2009-06-01 19:16:00,other,95,10,13
nc,2009,lower,HB 1011,NCV00000015,lower,Second Reading,2009-05-28 13:20:00,other,112,3,4
nc,2009,lower,HB 1014,NCV00000016,lower,Second Reading,2009-04-23 10:44:00,other,108,0,12
nc,2009,lower,HB 102,NCV00000017,upper,Conference Rpt\Motion 7\To Adopt,2009-07-30 13:50:00,other,37,1,12
nc,2009,lower,HB 102,NCV00000018,upper,Amendment 1\Motion 1\To Table,2009-07-29 16:02:00,other,28,19,3
nc,2009,lower,HB 102,NCV00000019,upper,Second Reading,2009-07-29 16:03:00,other,46,1,3
nc,2009,lower,HB 102,NCV00000020,lower,C Rpt Adopt,2009-07-30 14:06:00,other,102,5,13
nc,2009,lower,HB 102,NCV00000021,lower,M11 Not Concur,2009-07-30 11:24:00,other,108,0,12
nc,2009,lower,HB 102,NCV00000022,lower,Second Reading,2009-03-16 19:22:00,other,113,0,7
nc,2009,lower,HB 1020,NCV00000023,upper,Second Reading,2009-08-04 17:11:00,other,46,0,4
nc,2009,lower,HB 1020,NCV00000024,lower,Second Reading,2009-05-14 10:20:00,other,118,0,2
nc,2009,lower,HB 1021,NCV00000025,upper,Second Reading,2009-06-11 12:22:00,other,45,0,5
nc,2009,lower,HB 1021,NCV00000026,lower,Second Reading,2009-05-14 16:51:00,other,114,0,6
nc,2009,lower,HB 1021,NCV00000027,lower,M11 Concur,2009-06-17 15:27:00,other,115,0,3
nc,2009,lower,HB 1021,NCV00000028,lower,COMM AMEND 1\Second Reading,2009-05-14 16:49:00,other,112,0,8
nc,2009,lower,HB 1027,NCV00000029,upper,Second Reading,2009-06-01 19:19:00,other,48,0,2
nc,2009,lower,HB 1027,NCV00000030,lower,Second Reading,2009-05-07 14:43:00,other,108,0,12
nc,2009,lower,HB 103,NCV00000031,upper,Second Reading,2009-06-11 11:15:00,other,44,1,5
nc,2009,lower,HB 103,NCV00000032,lower,Second Reading,2009-03-30 19:30:00,other,115,1,4
nc,2009,lower,HB 103,NCV00000033,lower,M11 Concur,2009-06-17 15:23:00,other,115,0,3
nc,2009,lower,HB 1031,NCV00000034,upper,Second Reading,2009-06-04 11:42:00,other,45,0,5
nc,2009,lower,HB 1031,NCV00000035,lower,Second Reading,2009-05-14 11:40:00,other,116,0,4
nc,2009,lower,HB 1031,NCV00000036,lower,M11 Concur,2009-06-10 15:36:00,other,115,0,3
nc,2009,lower,HB 1032,NCV00000037,upper,Second Reading,2009-06-11 12:24:00,other,41,4,5
nc,2009,lower,HB 1032,NCV00000038,lower,M11 Concur,2009-06-18 13:29:00,other,109,9,2
nc,2009,lower,HB 1032,NCV00000039,lower,A1 Glazier\Second Reading,2009-05-06 16:48:00,other,114,0,6
nc,2009,lower,HB 1032,NCV00000040,lower,A2 Starnes\Second Reading,2009-05-06 16:50:00,other,113,1,6
nc,2009,lower,HB 1032,NCV00000041,lower,Second Reading,2009-05-06 16:58:00,other,100,14,6
nc,2009,lower,HB 1034,NCV00000042,upper,Second Reading,2009-07-08 15:22:00,other,45,0,5
nc,2009,lower,HB 1034,NCV00000043,lower,M11 Concur,2009-07-15 15:39:00,other,116,0,4
nc,2009,lower,HB 1034,NCV00000044,lower,Second Reading,2009-04-29 14:13:00,other,115,0,5
nc,2009,lower,HB 1035,NCV00000045,upper,Third Reading,2010-07-08 10:31:00,other,34,13,3
nc,2009,lower,HB 1035,NCV00000046,upper,Amendment 1,2010-07-07 17:50:00,other,48,0,2
nc,2009,lower,HB 1035,NCV00000047,upper,Second Reading,2010-07-07 17:52:00,other,30,18,2
nc,2009,lower,HB 1035,NCV00000048,lower,M11 Concur,2010-07-08 17:09:00,other,59,50,11
nc,2009,lower,HB 1035,NCV00000049,lower,Second Reading,2009-05-14 16:53:00,other,111,0,9
nc,2009,lower,HB 1037,NCV00000050,upper,Second Reading,2009-06-01 19:21:00,other,48,0,2
nc,2009,lower,HB 1037,NCV00000051,lower,Second Reading,2009-04-28 16:11:00,other,112,1,7
nc,2009,lower,HB 1039,NCV00000052,upper,Second Reading,2009-06-01 19:22:00,other,48,0,2
nc,2009,lower,HB 1039,NCV00000053,lower,Second Reading,2009-04-28 16:14:00,other,113,0,7
nc,2009,lower,HB 104,NCV00000054,upper,Second Reading,2009-08-05 16:15:00,other,47,0,3
nc,2009,lower,HB 104,NCV00000055,lower,M11 Concur,2009-08-10 21:35:00,other,113,0,7
nc,2009,lower,HB 104,NCV00000056,lower,Second Reading,2009-03-04 15:59:00,other,117,0,3
nc,2009,lower,HB 1046,NCV00000057,upper,Second Reading,2009-06-11 12:26:00,other,44,0,6
nc,2009,lower,HB 1046,NCV00000058,lower,Second Reading,2009-05-14 11:42:00,other,114,0,6
nc,2009,lower,HB 1048,NCV00000059,lower,Second Reading,2009-05-04 20:19:00,other,115,0,5
nc,2009,lower,HB 105,NCV00000060,upper,Second Reading,2009-04-07 16:25:00,other,48,0,2
nc,2009,lower,HB 105,NCV00000061,lower,Second Reading,2009-03-24 15:22:00,other,113,0,7
nc,2009,lower,HB 1057,NCV00000062,upper,Second Reading,2009-07-27 19:21:00,other,41,5,4
nc,2009,lower,HB 1057,NCV00000063,lower,M11 Concur,2009-07-30 13:38:00,other,104,5,11
nc,2009,lower,HB 1057,NCV00000064,lower,Third Reading,2009-05-12 15:26:00,other,68,46,6
nc,2009,lower,HB 1057,NCV00000065,lower,A1 Stam\Third Reading,2009-05-12 15:16:00,other,114,0,6
nc,2009,lower,HB 1057,NCV00000066,lower,Second Reading,2009-05-11 20:03:00,other,75,42,3
