state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
nc,2009,lower,HB 10,Garnish Wages to Satisfy a Judgment.,2010-12-02 22:39:01.299000,2012-04-03 19:54:55.065000,bill,
nc,2009,lower,HB 100,Conform State Law to Lawrence v. Texas.,2010-12-02 22:39:01.678000,2012-04-03 19:55:32.842000,bill,
nc,2009,lower,HB 1000,Alleghany/Surry Delinquent Tax - No Permit.,2010-12-02 22:39:05.307000,2012-04-03 20:03:21.844000,bill,
nc,2009,lower,HB 1001,Modify School Calendar Law/3 County LEAs.,2010-12-02 22:39:05.309000,2012-04-03 20:03:22.110000,bill,
nc,2009,lower,HB 1002,Amend Public Health-Related Laws.,2010-12-02 22:39:05.333000,2012-04-03 20:03:22.778000,bill,
nc,2009,lower,HB 1003,Public Health/Investig. & Control Msurs.,2010-12-02 22:39:05.336000,2012-04-03 20:03:23.062000,bill,
nc,2009,lower,HB 1004,Allow DOT to Provide Direct Funding.,2010-12-02 22:39:05.338000,2012-04-03 20:03:23.390000,bill,
nc,2009,lower,HB 1005,DOT Participation in Fixed Rail Projects.,2010-12-02 22:39:05.343000,2012-04-03 20:03:24.147000,bill,
nc,2009,lower,HB 1006,Funds for Athletic Trainers at High Schools.,2010-12-02 22:39:05.345000,2012-04-03 20:03:24.517000,bill,
nc,2009,lower,HB 1007,Harnett/Subdivision Recreation Facilities.,2010-12-02 22:39:05.347000,2012-04-03 20:03:24.770000,bill,
nc,2009,lower,HB 1008,Rutherford County to Regulate Golf Carts.,2010-12-02 22:39:05.349000,2012-04-03 20:03:25.028000,bill,
nc,2009,lower,HB 1009,End DOA Supervision of Local Veterans Service.,2010-12-02 22:39:05.354000,2012-04-03 20:03:25.935000,bill,
nc,2009,lower,HB 101,NC Flag Special Plate.,2010-12-02 22:39:01.680000,2012-04-03 19:55:33.113000,bill,
nc,2009,lower,HB 1010,Greensboro City Attorney Appointment.,2010-12-02 22:39:05.356000,2012-04-03 20:03:26.199000,bill,
nc,2009,lower,HB 1011,Raleigh Stormwater Assessment.,2010-12-02 22:39:05.360000,2012-04-03 20:03:26.715000,bill,
nc,2009,lower,HB 1012,Make Better Use of Economic Incentives.,2010-12-02 22:39:05.362000,2012-04-03 20:03:27.001000,bill,
nc,2009,lower,HB 1013,Home Schoolers Participate in School Sports.,2010-12-02 22:39:05.364000,2012-04-03 20:03:27.259000,bill,
nc,2009,lower,HB 1014,Organ Donation Month.,2010-12-02 22:39:05.368000,2012-04-03 20:03:27.523000,bill,
nc,2009,lower,HB 1015,Asheville/Energy Improvement Assessments.,2010-12-02 22:39:05.370000,2012-04-03 20:03:27.780000,bill,
nc,2009,lower,HB 1016,Bent Creek Institute Funds.,2010-12-02 22:39:05.372000,2012-04-03 20:03:28.059000,bill,
nc,2009,lower,HB 1017,Increase Small Brewery Limits.,2010-12-02 22:39:05.374000,2012-04-03 20:03:28.389000,bill,
nc,2009,lower,HB 1018,Delay Alamance County Revaluation.,2010-12-02 22:39:05.377000,2012-04-03 20:03:28.810000,bill,
nc,2009,lower,HB 1019,Alamance Agriculture Fairs/Carnival Permits.,2010-12-02 22:39:05.378000,2012-04-03 20:03:29.072000,bill,
nc,2009,lower,HB 102,Continuing Budget Authority.,2010-12-02 22:39:01.685000,2012-04-03 19:55:33.874000,bill,
nc,2009,lower,HB 1020,Cancer Patient Assistance.,2010-12-02 22:39:05.383000,2012-04-03 20:03:29.836000,bill,
nc,2009,lower,HB 1021,U.S. 17/U.S. 70 Marine Corps Highway,2010-12-02 22:39:05.387000,2012-04-03 20:03:30.682000,bill,
nc,2009,lower,HB 1022,Workers' Comp./Duration of Total Disability.,2010-12-02 22:39:05.390000,2012-04-03 20:03:31.094000,bill,
nc,2009,lower,HB 1023,PEO Amendments.,2010-12-02 22:39:05.412000,2012-04-03 20:03:31.347000,bill,
nc,2009,lower,HB 1024,Lottery Advertising Compliance Act.,2010-12-02 22:39:05.415000,2012-04-03 20:03:31.858000,bill,
nc,2009,lower,HB 1025,Hospital Authority Board Appts./Mecklnbg.,2010-12-02 22:39:05.418000,2012-04-03 20:03:32.115000,bill,
nc,2009,lower,HB 1026,Expand Chemical Dependency Treatment Beds.,2010-12-02 22:39:05.420000,2012-04-03 20:03:32.371000,bill,
nc,2009,lower,HB 1027,Prepaid Wireless Telephone Service/Sunset.,2010-12-02 22:39:05.423000,2012-04-03 20:03:32.959000,bill,
nc,2009,lower,HB 1028,American Indian Mothers Cannery Funds.,2010-12-02 22:39:05.425000,2012-04-03 20:03:33.157000,bill,
nc,2009,lower,HB 1029,Impact of Student Mobility on Academic Perf.,2010-12-02 22:39:05.427000,2012-04-03 20:03:33.475000,bill,
nc,2009,lower,HB 103,Delinquent Tax - Deny Building Permit.,2010-12-02 22:39:01.709000,2012-04-03 19:55:34.750000,bill,
nc,2009,lower,HB 1030,Exempt Plumb'g Contractor/Well Contractr Reqs.,2010-12-02 22:39:05.430000,2012-04-03 20:03:33.728000,bill,
nc,2009,lower,HB 1031,Bldg. Stds./Pre-K Classes in Public Schools.,2010-12-02 22:39:05.434000,2012-04-03 20:03:34.589000,bill,
nc,2009,lower,HB 1032,Modify History and Geography Curricula.,2010-12-02 22:39:05.440000,2012-04-03 20:03:35.520000,bill,
nc,2009,lower,HB 1033,Firefighter/EMS Payroll Deduction.,2010-12-02 22:39:05.443000,2012-04-03 20:03:35.740000,bill,
nc,2009,lower,HB 1034,Allow Recorded Phone Messages/Public Safety.,2010-12-02 22:39:05.447000,2012-04-03 20:03:36.663000,bill,
nc,2009,lower,HB 1035,Performance & Payment Bond Modification.,2010-12-02 22:39:05.452000,2012-04-03 20:03:37.427000,bill,
