leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NCL000109,member,2009-2010,41,lower,nc,Democratic,,,,,
NCL000110,member,2009-2010,20,lower,nc,Democratic,,,,,
NCL000110,member,2011-2012,20,lower,nc,Democratic,,,,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000026,Agriculture,,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000082,Commerce and Job Development,,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000084,Commerce and Job Development Subcommittee on Business and Labor,,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000087,Environment,,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000011,Finance,,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000059,"Rules, Calendar, and Operations of the House",,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000136,"Agricultural Regulations, House Select Committee on",,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000144,"Extraterritorial Jurisdiction, House Select Committee on",,,
NCL000110,committee member,2011-2012,,lower,nc,,NCC000153,"Tort Reform, House Select Committee on",,,
NCL000118,member,2009-2010,64,lower,nc,Republican,,,,,
NCL000118,member,2011-2012,64,lower,nc,Republican,,,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000026,Agriculture,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000028,Appropriations,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000033,Appropriations Subcommittee on Justice and Public Safety,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000088,Government,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000091,Judiciary,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000093,Judiciary Subcommittee B,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000108,Redistricting,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000096,State Personnel,,,
NCL000118,committee member,2011-2012,,lower,nc,,NCC000020,Transportation,,,
NCL000134,member,2009-2010,49,lower,nc,Democratic,,,,,
NCL000225,member,2011-2012,1,upper,nc,Democratic,,,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000097,Agriculture / Environment / Natural Resources,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000009,Commerce,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000100,Education / Higher Education,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000073,Finance,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000078,Insurance,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000101,Program Evaluation,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000019,State and Local Government,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000076,Transportation,,,
NCL000225,committee member,2011-2012,,upper,nc,,NCC000134,"Emergency Preparedness and Response, Senate Select Committee on",,,
NCL000242,member,2011-2012,12,lower,nc,Democratic,,,,,
NCL000244,member,2011-2012,10,lower,nc,Republican,,,,,
NCL000001,member,2009-2010,10,upper,nc,Democratic,,,,,
NCL000005,member,2009-2010,1,upper,nc,Democratic,,,,,
NCL000005,member,2011-2012,1,upper,nc,Democratic,,,,,2011-01-25 00:00:00
NCL000011,member,2009-2010,9,upper,nc,Democratic,,,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000003,Appropriations on Education/Higher Education,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000018,Rules and Operations of the Senate,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000019,State and Local Government,,,
NCL000011,committee member,2009-2010,,upper,nc,,NCC000076,Transportation,,,
NCL000015,member,2009-2010,46,upper,nc,Republican,,,,,
NCL000015,member,2011-2012,46,upper,nc,Republican,,,,,2012-01-10 00:00:00
NCL000019,member,2009-2010,19,upper,nc,Democratic,,,,,
NCL000020,member,2009-2010,28,upper,nc,Democratic,,,,,
NCL000022,member,2009-2010,24,upper,nc,Democratic,,,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000003,Appropriations on Education/Higher Education,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000022,committee member,2009-2010,,upper,nc,,NCC000017,Pensions & Retirement & Aging,,,
NCL000025,member,2009-2010,35,upper,nc,Republican,,,,,
NCL000026,member,2009-2010,45,upper,nc,Democratic,,,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000002,Appropriations on Department of Transportation,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000076,Transportation,,,
NCL000026,committee member,2009-2010,,upper,nc,,NCC000021,Ways & Means,,,
NCL000029,member,2009-2010,43,upper,nc,Democratic,,,,,
NCL000031,member,2009-2010,44,upper,nc,Republican,,,,,
NCL000031,committee member,2009-2010,,upper,nc,,NCC000007,Appropriations on Natural and Economic Resources,,,
NCL000031,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000031,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000031,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000031,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000031,committee member,2009-2010,,upper,nc,,NCC000016,Mental Health & Youth Services,,,
NCL000035,member,2009-2010,14,upper,nc,Democratic,,,,,
NCL000041,member,2009-2010,19,upper,nc,Democratic,,,,,
NCL000044,member,2009-2010,21,upper,nc,Democratic,,,,,
NCL000044,committee member,2009-2010,,upper,nc,,NCC000002,Appropriations on Department of Transportation,,,
NCL000044,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000044,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000044,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000044,committee member,2009-2010,,upper,nc,,NCC000016,Mental Health & Youth Services,,,
NCL000044,committee member,2009-2010,,upper,nc,,NCC000076,Transportation,,,
NCL000045,member,2009-2010,50,upper,nc,Democratic,,,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000001,Agriculture/Environment/Natural Resources,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000006,Appropriations on Justice and Public Safety,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000016,Mental Health & Youth Services,,,
NCL000045,committee member,2009-2010,,upper,nc,,NCC000076,Transportation,,,
NCL000049,member,2009-2010,11,upper,nc,Democratic,,,,,
NCL000053,member,2009-2010,13,upper,nc,Democratic,,,,,
NCL000057,member,2009-2010,49,lower,nc,Democratic,,,,,
NCL000058,member,2009-2010,64,lower,nc,Republican,,,,,
NCL000060,member,2009-2010,82,lower,nc,Republican,,,,,
NCL000060,member,2011-2012,82,lower,nc,Republican,,,,,2011-09-30 00:00:00
NCL000063,member,2009-2010,68,lower,nc,Republican,,,,,
NCL000068,member,2009-2010,10,lower,nc,Democratic,,,,,
NCL000071,member,2009-2010,78,lower,nc,Republican,,,,,
NCL000071,member,2011-2012,78,lower,nc,Republican,,,,,2012-07-12 00:00:00
NCL000074,member,2009-2010,110,lower,nc,Republican,,,,,
NCL000077,member,2009-2010,77,lower,nc,Democratic,,,,,
NCL000078,member,2009-2010,65,lower,nc,Democratic,,,,,
NCL000079,member,2009-2010,39,lower,nc,Democratic,,,,,
NCL000088,member,2009-2010,112,lower,nc,Democratic,,,,,
NCL000095,member,2009-2010,69,lower,nc,Democratic,,,,,
NCL000095,member,2011-2012,69,lower,nc,Democratic,,,,,2011-03-01 00:00:00
NCL000099,member,2009-2010,115,lower,nc,Democratic,,,,,
NCL000100,member,2009-2010,66,lower,nc,Democratic,,,,,
NCL000101,member,2009-2010,15,lower,nc,Republican,,,,,
NCL000102,member,2009-2010,113,lower,nc,Republican,,,,,
NCL000102,member,2011-2012,113,lower,nc,Republican,,,,,2012-01-01 00:00:00
NCL000103,member,2009-2010,103,lower,nc,Republican,,,,,
NCL000107,member,2009-2010,41,lower,nc,Democratic,,,,,
NCL000112,member,2009-2010,81,lower,nc,Democratic,,,,,
NCL000115,member,2009-2010,18,lower,nc,Democratic,,,,,
NCL000123,member,2009-2010,60,lower,nc,Democratic,,,,,
NCL000125,member,2009-2010,117,lower,nc,Republican,,,,,
NCL000129,member,2009-2010,51,lower,nc,Democratic,,,,,
NCL000132,member,2009-2010,99,lower,nc,Democratic,,,,,
NCL000144,member,2009-2010,108,lower,nc,Republican,,,,,
NCL000151,member,2009-2010,97,lower,nc,Republican,,,,,
NCL000151,member,2011-2012,97,lower,nc,Republican,,,,,2011-08-15 00:00:00
NCL000161,member,2009-2010,25,lower,nc,Democratic,,,,,
NCL000162,member,2009-2010,17,lower,nc,Republican,,,,,
NCL000163,member,2009-2010,47,lower,nc,Democratic,,,,,
NCL000164,member,2009-2010,93,lower,nc,Democratic,,,,,
NCL000167,member,2009-2010,4,lower,nc,Democratic,,,,,
NCL000168,member,2009-2010,3,lower,nc,Democratic,,,,,
NCL000169,member,2009-2010,12,lower,nc,Democratic,,,,,
NCL000169,member,2011-2012,12,lower,nc,Democratic,,,,,2012-07-17 00:00:00
NCL000171,member,2009-2010,88,lower,nc,Democratic,,,,,
NCL000174,member,2009-2010,116,lower,nc,Democratic,,,,,
NCL000175,member,2009-2010,61,lower,nc,Republican,,,,,
NCL000177,member,2009-2010,6,lower,nc,Democratic,,,,,
NCL000180,member,2009-2010,46,lower,nc,Democratic,,,,,
NCL000181,member,2009-2010,115,lower,nc,Democratic,,,,,
NCL000181,member,2011-2012,115,lower,nc,Democratic,,,,,
NCL000181,committee member,2011-2012,,lower,nc,,NCC000026,Agriculture,,,
NCL000181,committee member,2011-2012,,lower,nc,,NCC000028,Appropriations,,,
NCL000181,committee member,2011-2012,,lower,nc,,NCC000033,Appropriations Subcommittee on Justice and Public Safety,,,
NCL000181,committee member,2011-2012,,lower,nc,,NCC000087,Environment,,,
NCL000181,committee member,2011-2012,,lower,nc,,NCC000088,Government,,,
NCL000181,committee member,2011-2012,,lower,nc,,NCC000096,State Personnel,,,
NCL000189,member,2011-2012,21,upper,nc,Democratic,,,,,
NCL000189,committee member,2011-2012,,upper,nc,,NCC000005,Appropriations on Health and Human Services,,,
NCL000189,committee member,2011-2012,,upper,nc,,NCC000012,Health Care,,,
NCL000189,committee member,2011-2012,,upper,nc,,NCC000074,Judiciary I,,,
NCL000189,committee member,2011-2012,,upper,nc,,NCC000101,Program Evaluation,,,
NCL000189,committee member,2011-2012,,upper,nc,,NCC000018,Rules and Operations of the Senate,,,
NCL000233,member,2011-2012,46,upper,nc,Republican,,,,,
NCL000233,committee member,2011-2012,,upper,nc,,NCC000097,Agriculture / Environment / Natural Resources,,,
NCL000233,committee member,2011-2012,,upper,nc,,NCC000007,Appropriations on Natural and Economic Resources,,,
NCL000233,committee member,2011-2012,,upper,nc,,NCC000009,Commerce,,,
NCL000233,committee member,2011-2012,,upper,nc,,NCC000073,Finance,,,
NCL000233,committee member,2011-2012,,upper,nc,,NCC000075,Judiciary II,,,
NCL000233,committee member,2011-2012,,upper,nc,,NCC000101,Program Evaluation,,,
NCL000246,member,2011-2012,73,lower,nc,Republican,,,,,
NCL000097,member,2009-2010,85,lower,nc,Republican,,,,,
NCL000097,member,2013-2014,85,lower,nc,Republican,,,,,2013-01-06 00:00:00
NCL000097,member,2011-2012,85,lower,nc,Republican,,,,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000028,Appropriations,,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000037,Education,,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000087,Environment,,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000059,"Rules, Calendar, and Operations of the House",,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000020,Transportation,,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000139,"Dentistry Management Arrangement Limits, House Select Committee on",,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000142,"Energy Independence and Alternative Fuel, House Select Committee on",,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000155,"Select Committee to Investigate the Handling of the CTS Contamination Site In Buncombe County, House Select Committee on",,,
NCL000097,committee member,2011-2012,,lower,nc,,NCC000153,"Tort Reform, House Select Committee on",,,
NCL000004,member,2009-2010,18,upper,nc,Democratic,,,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000001,Agriculture/Environment/Natural Resources,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000004,Appropriations on General Government and Information Technology,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000017,Pensions & Retirement & Aging,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000021,Ways & Means,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000023,Select Committee on Employee Hospital and Medical Benefits,,,
NCL000004,committee member,2009-2010,,upper,nc,,NCC000024,"Select Committee on Energy, Science and Technology",,,
NCL000004,member,2011-2012,18,upper,nc,Democratic,,,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000097,Agriculture / Environment / Natural Resources,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000007,Appropriations on Natural and Economic Resources,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000073,Finance,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000012,Health Care,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000078,Insurance,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000079,Pensions & Retirement and Aging,,,
NCL000004,committee member,2011-2012,,upper,nc,,NCC000101,Program Evaluation,,,
NCL000006,member,2009-2010,7,upper,nc,Democratic,,,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000005,Appropriations on Health and Human Services,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000006,committee member,2009-2010,,upper,nc,,NCC000022,Select Committee on Economic Recovery,,,
NCL000006,member,2011-2012,7,upper,nc,Democratic,,,,,
NCL000006,committee member,2011-2012,,upper,nc,,NCC000005,Appropriations on Health and Human Services,,,
NCL000006,committee member,2011-2012,,upper,nc,,NCC000009,Commerce,,,
NCL000006,committee member,2011-2012,,upper,nc,,NCC000012,Health Care,,,
NCL000006,committee member,2011-2012,,upper,nc,,NCC000078,Insurance,,,
NCL000006,committee member,2011-2012,,upper,nc,,NCC000075,Judiciary II,,,
NCL000009,member,2009-2010,22,upper,nc,Republican,,,,,
NCL000009,committee member,2009-2010,,upper,nc,,NCC000005,Appropriations on Health and Human Services,,,
NCL000009,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000009,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000009,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000009,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000009,committee member,2009-2010,,upper,nc,,NCC000019,State and Local Government,,,
NCL000009,member,2011-2012,22,upper,nc,Republican,,,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000097,Agriculture / Environment / Natural Resources,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000098,Appropriations / Base Budget,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000007,Appropriations on Natural and Economic Resources,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000009,Commerce,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000073,Finance,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000012,Health Care,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000075,Judiciary II,,,
NCL000009,committee member,2011-2012,,upper,nc,,NCC000019,State and Local Government,,,
NCL000017,member,2009-2010,38,upper,nc,Democratic,,,,,
NCL000017,member,2011-2012,38,upper,nc,Democratic,,,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000098,Appropriations / Base Budget,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000099,Appropriations on Education / Higher Education,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000100,Education / Higher Education,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000073,Finance,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000075,Judiciary II,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000079,Pensions & Retirement and Aging,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000021,Ways & Means,,,
NCL000017,committee member,2011-2012,,upper,nc,,NCC000135,"UNC Board of Governors, Senate Select Committee on",,,
NCL000021,member,2009-2010,30,upper,nc,Republican,,,,,
NCL000021,committee member,2009-2010,,upper,nc,,NCC000004,Appropriations on General Government and Information Technology,,,
NCL000021,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000021,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000021,committee member,2009-2010,,upper,nc,,NCC000017,Pensions & Retirement & Aging,,,
NCL000021,committee member,2009-2010,,upper,nc,,NCC000019,State and Local Government,,,
NCL000021,committee member,2009-2010,,upper,nc,,NCC000076,Transportation,,,
NCL000021,member,2011-2012,30,upper,nc,Republican,,,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000097,Agriculture / Environment / Natural Resources,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000098,Appropriations / Base Budget,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000006,Appropriations on Justice and Public Safety,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000007,Appropriations on Natural and Economic Resources,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000078,Insurance,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000075,Judiciary II,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000101,Program Evaluation,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000019,State and Local Government,,,
NCL000021,committee member,2011-2012,,upper,nc,,NCC000076,Transportation,,,
NCL000023,member,2009-2010,41,upper,nc,Republican,,,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000005,Appropriations on Health and Human Services,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000012,Health Care,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000016,Mental Health & Youth Services,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000018,Rules and Operations of the Senate,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000021,Ways & Means,,,
NCL000023,committee member,2009-2010,,upper,nc,,NCC000023,Select Committee on Employee Hospital and Medical Benefits,,,
NCL000023,member,2011-2012,41,upper,nc,Republican,,,,,2011-10-31 00:00:00
NCL000024,member,2009-2010,32,upper,nc,Democratic,,,,,
NCL000024,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000024,committee member,2009-2010,,upper,nc,,NCC000009,Commerce,,,
NCL000024,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000024,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
NCL000024,committee member,2009-2010,,upper,nc,,NCC000017,Pensions & Retirement & Aging,,,
NCL000024,committee member,2009-2010,,upper,nc,,NCC000023,Select Committee on Employee Hospital and Medical Benefits,,,
NCL000024,member,2011-2012,32,upper,nc,Democratic,,,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000098,Appropriations / Base Budget,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000099,Appropriations on Education / Higher Education,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000009,Commerce,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000100,Education / Higher Education,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000073,Finance,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000078,Insurance,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000079,Pensions & Retirement and Aging,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000018,Rules and Operations of the Senate,,,
NCL000024,committee member,2011-2012,,upper,nc,,NCC000135,"UNC Board of Governors, Senate Select Committee on",,,
NCL000033,member,2009-2010,4,upper,nc,Democratic,,,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000006,Appropriations on Justice and Public Safety,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000075,Judiciary II,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000016,Mental Health & Youth Services,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000018,Rules and Operations of the Senate,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000019,State and Local Government,,,
NCL000033,committee member,2009-2010,,upper,nc,,NCC000021,Ways & Means,,,
NCL000033,member,2011-2012,4,upper,nc,Democratic,,,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000098,Appropriations / Base Budget,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000006,Appropriations on Justice and Public Safety,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000075,Judiciary II,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000016,Mental Health & Youth Services,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000080,Redistricting,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000019,State and Local Government,,,
NCL000033,committee member,2011-2012,,upper,nc,,NCC000134,"Emergency Preparedness and Response, Senate Select Committee on",,,
NCL000038,member,2009-2010,2,upper,nc,Republican,,,,,
NCL000038,committee member,2009-2010,,upper,nc,,NCC000001,Agriculture/Environment/Natural Resources,,,
NCL000038,committee member,2009-2010,,upper,nc,,NCC000003,Appropriations on Education/Higher Education,,,
NCL000038,committee member,2009-2010,,upper,nc,,NCC000008,Appropriations/Base Budget,,,
NCL000038,committee member,2009-2010,,upper,nc,,NCC000010,Education/Higher Education,,,
NCL000038,committee member,2009-2010,,upper,nc,,NCC000073,Finance,,,
