state,session,chamber,bill_id,date,action,actor,type
nd,62,lower,HB 1001,2011-01-04 00:00:00,"Introduced, first reading, (emergency), referred Appropriations Committee",lower,bill:introduced|bill:reading:1
nd,62,lower,HB 1001,2011-01-12 00:00:00,Committee Hearing 10:30,lower,other
nd,62,lower,HB 1001,2011-02-04 00:00:00,Committee Hearing 08:30,lower,other
nd,62,lower,HB 1001,2011-02-18 00:00:00,"Reported back amended, do pass, amendment placed on calendar 16 3 2",lower,committee:passed:favorable
nd,62,lower,HB 1001,2011-02-21 00:00:00,"Amendment adopted, placed on calendar",lower,amendment:passed
nd,62,lower,HB 1001,2011-02-23 00:00:00,"Second reading, passed, yeas 83 nays 9, Emergency clause carried",lower,bill:passed|bill:reading:2
nd,62,lower,HB 1001,2011-02-24 00:00:00,Received from House,upper,bill:introduced
nd,62,lower,HB 1001,2011-03-02 00:00:00,"Introduced, first reading, (emergency), referred Appropriations Committee",upper,bill:introduced|bill:reading:1
nd,62,lower,HB 1001,2011-03-02 00:00:00,Committee Hearing 09:30,lower,other
nd,62,lower,HB 1001,2011-04-07 00:00:00,"Reported back amended, do pass, amendment placed on calendar 11 2 0",upper,committee:passed:favorable
nd,62,lower,HB 1001,2011-04-12 00:00:00,"Amendment adopted, placed on calendar",upper,amendment:passed
nd,62,lower,HB 1001,2011-04-12 00:00:00,"Second reading, passed as amended, yeas 41 nays 6",upper,bill:passed|bill:reading:2
nd,62,lower,HB 1001,2011-04-12 00:00:00,Emergency clause carried,upper,other
nd,62,lower,HB 1001,2011-04-12 00:00:00,Returned to House (12),lower,other
nd,62,lower,HB 1001,2011-04-13 00:00:00,Refused to concur,lower,other
nd,62,lower,HB 1001,2011-04-13 00:00:00,Conference committee appointed Thoreson Klein Kroeber,lower,other
nd,62,lower,HB 1001,2011-04-14 00:00:00,Conference committee appointed Christmann Holmberg O'Connell,upper,other
nd,62,lower,HB 1001,2011-04-26 00:00:00,"Reported back from conference committee, placed on calendar (House accede)",lower,other
nd,62,lower,HB 1001,2011-04-26 00:00:00,Conference committee report adopted,lower,other
nd,62,lower,HB 1001,2011-04-26 00:00:00,"Second reading, passed, yeas 63 nays 28, Emergency clause carried",lower,bill:passed|bill:reading:2
nd,62,lower,HB 1001,2011-04-26 00:00:00,"Reported back from conference committee, placed on calendar (House accede)",upper,other
nd,62,lower,HB 1001,2011-04-26 00:00:00,Conference committee report adopted,upper,other
nd,62,lower,HB 1001,2011-04-27 00:00:00,Signed by President,upper,other
nd,62,lower,HB 1001,2011-04-27 00:00:00,Signed by Speaker,lower,other
nd,62,lower,HB 1001,2011-04-27 00:00:00,Sent to Governor,lower,governor:received
nd,62,lower,HB 1001,2011-05-20 00:00:00,Signed by Governor 05/05,lower,governor:signed
nd,62,lower,HB 1001,2011-05-20 00:00:00,Filed with Secretary Of State 05/05,lower,other
nd,62,lower,HB 1002,2011-01-04 00:00:00,"Introduced, first reading, referred Appropriations Committee",lower,bill:introduced|bill:reading:1
nd,62,lower,HB 1002,2011-01-17 00:00:00,Committee Hearing 08:30,lower,other
nd,62,lower,HB 1002,2011-02-02 00:00:00,Committee Hearing 08:30,lower,other
nd,62,lower,HB 1002,2011-02-21 00:00:00,"Reported back amended, do pass, amendment placed on calendar 20 0 1",lower,committee:passed:favorable
nd,62,lower,HB 1002,2011-02-22 00:00:00,"Amendment adopted, placed on calendar",lower,amendment:passed
nd,62,lower,HB 1002,2011-02-23 00:00:00,"Second reading, passed, yeas 90 nays 2",lower,bill:passed|bill:reading:2
nd,62,lower,HB 1002,2011-02-24 00:00:00,Received from House,upper,bill:introduced
nd,62,lower,HB 1002,2011-03-02 00:00:00,"Introduced, first reading, referred Appropriations Committee",upper,bill:introduced|bill:reading:1
nd,62,lower,HB 1002,2011-03-02 00:00:00,Committee Hearing 01:30,lower,other
nd,62,lower,HB 1002,2011-03-30 00:00:00,"Reported back amended, do pass, amendment placed on calendar 13 0 0",upper,committee:passed:favorable
nd,62,lower,HB 1002,2011-03-31 00:00:00,"Amendment adopted, placed on calendar",upper,amendment:passed
nd,62,lower,HB 1002,2011-03-31 00:00:00,"Second reading, passed as amended, yeas 46 nays 0",upper,bill:passed|bill:reading:2
nd,62,lower,HB 1002,2011-04-01 00:00:00,Returned to House (12),lower,other
nd,62,lower,HB 1002,2011-04-06 00:00:00,Refused to concur,lower,other
nd,62,lower,HB 1002,2011-04-06 00:00:00,Conference committee appointed Dahl Kempenich Kroeber,lower,other
nd,62,lower,HB 1002,2011-04-07 00:00:00,Conference committee appointed Kilzer Wanzek Warner,upper,other
nd,62,lower,HB 1002,2011-04-19 00:00:00,"Reported back from conference committee, amend, placed on calendar",lower,other
nd,62,lower,HB 1002,2011-04-20 00:00:00,Conference committee report adopted,lower,other
nd,62,lower,HB 1002,2011-04-20 00:00:00,"Second reading, passed, yeas 91 nays 2",lower,bill:passed|bill:reading:2
nd,62,lower,HB 1002,2011-04-20 00:00:00,"Reported back from conference committee, amend, placed on calendar",upper,other
nd,62,lower,HB 1002,2011-04-20 00:00:00,Conference committee report adopted,upper,other
nd,62,lower,HB 1002,2011-04-20 00:00:00,"Second reading, passed as amended, yeas 47 nays 0",upper,bill:passed|bill:reading:2
nd,62,lower,HB 1002,2011-04-21 00:00:00,Signed by President,upper,other
nd,62,lower,HB 1002,2011-04-27 00:00:00,Signed by Speaker,lower,other
nd,62,lower,HB 1002,2011-04-27 00:00:00,Sent to Governor,lower,governor:received
nd,62,lower,HB 1002,2011-05-20 00:00:00,Signed by Governor 05/05,lower,governor:signed
nd,62,lower,HB 1002,2011-05-20 00:00:00,Filed with Secretary Of State 05/05,lower,other
nd,62,lower,HB 1003,2011-01-04 00:00:00,"Introduced, first reading, (emergency), referred Appropriations Committee",lower,bill:introduced|bill:reading:1
nd,62,lower,HB 1003,2011-01-17 00:00:00,Committee Hearing 09:00,lower,other
nd,62,lower,HB 1003,2011-01-17 00:00:00,Committee Hearing 10:30,lower,other
nd,62,lower,HB 1003,2011-01-17 00:00:00,Committee Hearing 02:00,lower,other
nd,62,lower,HB 1003,2011-01-17 00:00:00,Committee Hearing 03:30,lower,other
nd,62,lower,HB 1003,2011-01-18 00:00:00,Committee Hearing 09:00,lower,other
nd,62,lower,HB 1003,2011-01-18 00:00:00,Committee Hearing 10:30,lower,other
nd,62,lower,HB 1003,2011-01-18 00:00:00,Committee Hearing 02:00,lower,other
nd,62,lower,HB 1003,2011-01-18 00:00:00,Committee Hearing 03:30,lower,other
nd,62,lower,HB 1003,2011-01-19 00:00:00,Committee Hearing 09:00,lower,other
nd,62,lower,HB 1003,2011-01-19 00:00:00,Committee Hearing 02:00,lower,other
nd,62,lower,HB 1003,2011-01-20 00:00:00,Committee Hearing 09:00,lower,other
nd,62,lower,HB 1003,2011-01-24 00:00:00,Committee Hearing 09:00,lower,other
nd,62,lower,HB 1003,2011-01-24 00:00:00,Committee Hearing 10:30,lower,other
nd,62,lower,HB 1003,2011-01-25 00:00:00,Committee Hearing 11:00,lower,other
nd,62,lower,HB 1003,2011-01-25 00:00:00,Committee Hearing 02:00,lower,other
