vote_id,leg_id,name,vote
NDV00003663,NDL000002,Andrist,yes
NDV00003663,NDL000028,Berry,yes
NDV00003663,NDL000041,Bowman,yes
NDV00003663,NDL000005,Burckhard,yes
NDV00003663,NDL000035,Christmann,yes
NDV00003663,NDL000036,Cook,yes
NDV00003663,NDL000034,Dever,yes
NDV00003663,NDL000027,Dotzenrod,yes
NDV00003663,NDL000029,Erbele,yes
NDV00003663,,Fischer,yes
NDV00003663,NDL000046,Flakoll,yes
NDV00003663,NDL000008,Freborg,yes
NDV00003663,NDL000024,Heckaman,yes
NDV00003663,NDL000040,Hogue,yes
NDV00003663,NDL000017,Holmberg,yes
NDV00003663,NDL000049,Kilzer,yes
NDV00003663,NDL000014,Klein,yes
NDV00003663,NDL000042,Krebsbach,yes
NDV00003663,NDL000045,Laffen,yes
NDV00003663,NDL000003,Larsen,yes
NDV00003663,NDL000023,"Lee, G.",yes
NDV00003663,NDL000013,"Lee, J.",yes
NDV00003663,NDL000026,Luick,yes
NDV00003663,NDL000001,Lyson,yes
NDV00003663,NDL000009,Marcellais,yes
NDV00003663,NDL000011,Mathern,yes
NDV00003663,NDL000016,Miller,yes
NDV00003663,NDL000021,Murphy,yes
NDV00003663,NDL000022,Nelson,yes
NDV00003663,NDL000012,Nething,yes
NDV00003663,NDL000038,Nodland,yes
NDV00003663,NDL000006,O'Connell,yes
NDV00003663,NDL000015,Oehlke,yes
NDV00003663,NDL000010,Olafson,yes
NDV00003663,NDL000025,Robinson,yes
NDV00003663,NDL000033,Schaible,yes
NDV00003663,NDL000044,Schneider,yes
NDV00003663,NDL000037,Sitte,yes
NDV00003663,NDL000047,Sorvaag,yes
NDV00003663,,Stenehjem,yes
NDV00003663,NDL000007,Taylor,yes
NDV00003663,NDL000018,Triplett,yes
NDV00003663,NDL000019,Uglem,yes
NDV00003663,NDL000030,Wanzek,yes
NDV00003663,NDL000039,Wardner,yes
NDV00003663,NDL000004,Warner,yes
NDV00003663,NDL000043,Grindberg,other
NDV00003664,NDL000028,Berry,yes
NDV00003664,NDL000005,Burckhard,yes
NDV00003664,NDL000034,Dever,yes
NDV00003664,NDL000029,Erbele,yes
NDV00003664,,Fischer,yes
NDV00003664,NDL000008,Freborg,yes
NDV00003664,NDL000024,Heckaman,yes
NDV00003664,NDL000040,Hogue,yes
NDV00003664,NDL000017,Holmberg,yes
NDV00003664,NDL000042,Krebsbach,yes
NDV00003664,NDL000045,Laffen,yes
NDV00003664,NDL000023,"Lee, G.",yes
NDV00003664,NDL000013,"Lee, J.",yes
NDV00003664,NDL000016,Miller,yes
NDV00003664,NDL000021,Murphy,yes
NDV00003664,NDL000038,Nodland,yes
NDV00003664,NDL000047,Sorvaag,yes
NDV00003664,NDL000019,Uglem,yes
NDV00003664,NDL000030,Wanzek,yes
NDV00003664,NDL000004,Warner,yes
NDV00003664,NDL000002,Andrist,no
NDV00003664,NDL000041,Bowman,no
NDV00003664,NDL000035,Christmann,no
NDV00003664,NDL000036,Cook,no
NDV00003664,NDL000027,Dotzenrod,no
NDV00003664,NDL000046,Flakoll,no
NDV00003664,NDL000043,Grindberg,no
NDV00003664,NDL000049,Kilzer,no
NDV00003664,NDL000014,Klein,no
NDV00003664,NDL000003,Larsen,no
NDV00003664,NDL000026,Luick,no
NDV00003664,NDL000001,Lyson,no
NDV00003664,NDL000009,Marcellais,no
NDV00003664,NDL000011,Mathern,no
NDV00003664,NDL000022,Nelson,no
NDV00003664,NDL000012,Nething,no
NDV00003664,NDL000006,O'Connell,no
NDV00003664,NDL000015,Oehlke,no
NDV00003664,NDL000010,Olafson,no
NDV00003664,NDL000025,Robinson,no
NDV00003664,NDL000033,Schaible,no
NDV00003664,NDL000044,Schneider,no
NDV00003664,NDL000037,Sitte,no
NDV00003664,,Stenehjem,no
NDV00003664,NDL000007,Taylor,no
NDV00003664,NDL000039,Wardner,no
NDV00003664,NDL000018,Triplett,other
NDV00003666,NDL000002,Andrist,yes
NDV00003666,NDL000028,Berry,yes
NDV00003666,NDL000041,Bowman,yes
NDV00003666,NDL000005,Burckhard,yes
NDV00003666,NDL000035,Christmann,yes
NDV00003666,NDL000036,Cook,yes
NDV00003666,NDL000034,Dever,yes
NDV00003666,NDL000027,Dotzenrod,yes
NDV00003666,NDL000029,Erbele,yes
NDV00003666,,Fischer,yes
NDV00003666,NDL000046,Flakoll,yes
NDV00003666,NDL000008,Freborg,yes
NDV00003666,NDL000024,Heckaman,yes
NDV00003666,NDL000040,Hogue,yes
NDV00003666,NDL000017,Holmberg,yes
NDV00003666,NDL000049,Kilzer,yes
NDV00003666,NDL000014,Klein,yes
NDV00003666,NDL000042,Krebsbach,yes
NDV00003666,NDL000045,Laffen,yes
NDV00003666,NDL000023,"Lee, G.",yes
NDV00003666,NDL000013,"Lee, J.",yes
NDV00003666,NDL000026,Luick,yes
NDV00003666,NDL000001,Lyson,yes
NDV00003666,NDL000009,Marcellais,yes
NDV00003666,NDL000011,Mathern,yes
NDV00003666,NDL000016,Miller,yes
NDV00003666,NDL000021,Murphy,yes
NDV00003666,NDL000022,Nelson,yes
NDV00003666,NDL000012,Nething,yes
NDV00003666,NDL000038,Nodland,yes
NDV00003666,NDL000006,O'Connell,yes
NDV00003666,NDL000015,Oehlke,yes
NDV00003666,NDL000010,Olafson,yes
NDV00003666,NDL000025,Robinson,yes
NDV00003666,NDL000033,Schaible,yes
NDV00003666,NDL000044,Schneider,yes
NDV00003666,NDL000037,Sitte,yes
NDV00003666,NDL000047,Sorvaag,yes
NDV00003666,,Stenehjem,yes
NDV00003666,NDL000007,Taylor,yes
NDV00003666,NDL000018,Triplett,yes
NDV00003666,NDL000019,Uglem,yes
NDV00003666,NDL000030,Wanzek,yes
NDV00003666,NDL000039,Wardner,yes
NDV00003666,NDL000004,Warner,yes
NDV00003666,NDL000003,Larsen,no
NDV00003666,NDL000043,Grindberg,other
NDV00003668,NDL000002,Andrist,yes
NDV00003668,NDL000041,Bowman,yes
NDV00003668,NDL000035,Christmann,yes
NDV00003668,NDL000027,Dotzenrod,yes
NDV00003668,NDL000029,Erbele,yes
NDV00003668,NDL000008,Freborg,yes
NDV00003668,NDL000024,Heckaman,yes
NDV00003668,NDL000014,Klein,yes
NDV00003668,NDL000042,Krebsbach,yes
NDV00003668,NDL000003,Larsen,yes
NDV00003668,NDL000009,Marcellais,yes
NDV00003668,NDL000038,Nodland,yes
NDV00003668,NDL000006,O'Connell,yes
NDV00003668,NDL000033,Schaible,yes
NDV00003668,NDL000019,Uglem,yes
NDV00003668,NDL000039,Wardner,yes
NDV00003668,NDL000004,Warner,yes
NDV00003668,NDL000028,Berry,no
NDV00003668,NDL000005,Burckhard,no
NDV00003668,NDL000036,Cook,no
NDV00003668,NDL000034,Dever,no
NDV00003668,,Fischer,no
NDV00003668,NDL000046,Flakoll,no
NDV00003668,NDL000043,Grindberg,no
NDV00003668,NDL000040,Hogue,no
NDV00003668,NDL000017,Holmberg,no
NDV00003668,NDL000049,Kilzer,no
NDV00003668,NDL000045,Laffen,no
NDV00003668,NDL000023,"Lee, G.",no
NDV00003668,NDL000013,"Lee, J.",no
NDV00003668,NDL000026,Luick,no
NDV00003668,NDL000001,Lyson,no
NDV00003668,NDL000011,Mathern,no
NDV00003668,NDL000016,Miller,no
NDV00003668,NDL000021,Murphy,no
NDV00003668,NDL000022,Nelson,no
NDV00003668,NDL000012,Nething,no
NDV00003668,NDL000015,Oehlke,no
NDV00003668,NDL000010,Olafson,no
NDV00003668,NDL000044,Schneider,no
NDV00003668,NDL000037,Sitte,no
NDV00003668,NDL000047,Sorvaag,no
NDV00003668,,Stenehjem,no
NDV00003668,NDL000007,Taylor,no
NDV00003668,NDL000018,Triplett,no
NDV00003668,NDL000030,Wanzek,no
NDV00003668,NDL000025,Robinson,other
NDV00003669,NDL000002,Andrist,yes
NDV00003669,NDL000028,Berry,yes
NDV00003669,NDL000041,Bowman,yes
NDV00003669,NDL000005,Burckhard,yes
NDV00003669,NDL000035,Christmann,yes
NDV00003669,NDL000036,Cook,yes
NDV00003669,NDL000034,Dever,yes
NDV00003669,NDL000027,Dotzenrod,yes
NDV00003669,NDL000029,Erbele,yes
NDV00003669,,Fischer,yes
NDV00003669,NDL000046,Flakoll,yes
NDV00003669,NDL000008,Freborg,yes
NDV00003669,NDL000043,Grindberg,yes
NDV00003669,NDL000024,Heckaman,yes
NDV00003669,NDL000040,Hogue,yes
NDV00003669,NDL000017,Holmberg,yes
NDV00003669,NDL000049,Kilzer,yes
NDV00003669,NDL000014,Klein,yes
NDV00003669,NDL000042,Krebsbach,yes
NDV00003669,NDL000045,Laffen,yes
NDV00003669,NDL000003,Larsen,yes
NDV00003669,NDL000023,"Lee, G.",yes
NDV00003669,NDL000013,"Lee, J.",yes
NDV00003669,NDL000001,Lyson,yes
NDV00003669,NDL000009,Marcellais,yes
NDV00003669,NDL000011,Mathern,yes
NDV00003669,NDL000021,Murphy,yes
NDV00003669,NDL000022,Nelson,yes
NDV00003669,NDL000012,Nething,yes
NDV00003669,NDL000038,Nodland,yes
NDV00003669,NDL000006,O'Connell,yes
NDV00003669,NDL000015,Oehlke,yes
NDV00003669,NDL000010,Olafson,yes
NDV00003669,NDL000025,Robinson,yes
NDV00003669,NDL000033,Schaible,yes
NDV00003669,NDL000044,Schneider,yes
NDV00003669,NDL000037,Sitte,yes
NDV00003669,NDL000047,Sorvaag,yes
NDV00003669,,Stenehjem,yes
NDV00003669,NDL000007,Taylor,yes
NDV00003669,NDL000018,Triplett,yes
NDV00003669,NDL000019,Uglem,yes
NDV00003669,NDL000030,Wanzek,yes
NDV00003669,NDL000039,Wardner,yes
NDV00003669,NDL000004,Warner,yes
NDV00003669,NDL000026,Luick,no
NDV00003669,NDL000016,Miller,no
NDV00003671,NDL000002,Andrist,yes
NDV00003671,NDL000028,Berry,yes
NDV00003671,NDL000041,Bowman,yes
NDV00003671,NDL000005,Burckhard,yes
NDV00003671,NDL000035,Christmann,yes
NDV00003671,NDL000036,Cook,yes
NDV00003671,NDL000034,Dever,yes
NDV00003671,NDL000027,Dotzenrod,yes
NDV00003671,NDL000029,Erbele,yes
NDV00003671,,Fischer,yes
NDV00003671,NDL000046,Flakoll,yes
NDV00003671,NDL000008,Freborg,yes
NDV00003671,NDL000043,Grindberg,yes
NDV00003671,NDL000024,Heckaman,yes
NDV00003671,NDL000040,Hogue,yes
NDV00003671,NDL000017,Holmberg,yes
NDV00003671,NDL000049,Kilzer,yes
NDV00003671,NDL000014,Klein,yes
NDV00003671,NDL000042,Krebsbach,yes
NDV00003671,NDL000003,Larsen,yes
NDV00003671,NDL000023,"Lee, G.",yes
NDV00003671,NDL000013,"Lee, J.",yes
NDV00003671,NDL000026,Luick,yes
NDV00003671,NDL000001,Lyson,yes
NDV00003671,NDL000009,Marcellais,yes
NDV00003671,NDL000011,Mathern,yes
NDV00003671,NDL000016,Miller,yes
NDV00003671,NDL000021,Murphy,yes
NDV00003671,NDL000022,Nelson,yes
NDV00003671,NDL000038,Nodland,yes
NDV00003671,NDL000006,O'Connell,yes
NDV00003671,NDL000015,Oehlke,yes
NDV00003671,NDL000010,Olafson,yes
NDV00003671,NDL000025,Robinson,yes
NDV00003671,NDL000033,Schaible,yes
NDV00003671,NDL000044,Schneider,yes
NDV00003671,NDL000037,Sitte,yes
NDV00003671,NDL000047,Sorvaag,yes
NDV00003671,,Stenehjem,yes
NDV00003671,NDL000007,Taylor,yes
NDV00003671,NDL000018,Triplett,yes
NDV00003671,NDL000019,Uglem,yes
NDV00003671,NDL000030,Wanzek,yes
NDV00003671,NDL000039,Wardner,yes
NDV00003671,NDL000004,Warner,yes
NDV00003671,NDL000045,Laffen,other
NDV00003671,NDL000012,Nething,other
NDV00003672,NDL000002,Andrist,yes
NDV00003672,NDL000041,Bowman,yes
NDV00003672,NDL000005,Burckhard,yes
NDV00003672,NDL000035,Christmann,yes
NDV00003672,NDL000034,Dever,yes
NDV00003672,NDL000027,Dotzenrod,yes
NDV00003672,NDL000029,Erbele,yes
NDV00003672,NDL000046,Flakoll,yes
NDV00003672,NDL000008,Freborg,yes
NDV00003672,NDL000024,Heckaman,yes
NDV00003672,NDL000040,Hogue,yes
NDV00003672,NDL000017,Holmberg,yes
NDV00003672,NDL000049,Kilzer,yes
NDV00003672,NDL000042,Krebsbach,yes
NDV00003672,NDL000045,Laffen,yes
NDV00003672,NDL000003,Larsen,yes
NDV00003672,NDL000013,"Lee, J.",yes
NDV00003672,NDL000026,Luick,yes
NDV00003672,NDL000001,Lyson,yes
NDV00003672,NDL000009,Marcellais,yes
NDV00003672,NDL000011,Mathern,yes
NDV00003672,NDL000016,Miller,yes
NDV00003672,NDL000021,Murphy,yes
NDV00003672,NDL000022,Nelson,yes
NDV00003672,NDL000012,Nething,yes
NDV00003672,NDL000038,Nodland,yes
NDV00003672,NDL000015,Oehlke,yes
NDV00003672,NDL000010,Olafson,yes
NDV00003672,NDL000025,Robinson,yes
NDV00003672,NDL000033,Schaible,yes
NDV00003672,NDL000044,Schneider,yes
NDV00003672,NDL000037,Sitte,yes
NDV00003672,NDL000047,Sorvaag,yes
NDV00003672,NDL000007,Taylor,yes
NDV00003672,NDL000018,Triplett,yes
NDV00003672,NDL000019,Uglem,yes
NDV00003672,NDL000030,Wanzek,yes
NDV00003672,NDL000039,Wardner,yes
NDV00003672,NDL000036,Cook,no
NDV00003672,,Fischer,no
NDV00003672,NDL000014,Klein,no
NDV00003672,NDL000023,"Lee, G.",no
NDV00003672,NDL000006,O'Connell,no
NDV00003672,,Stenehjem,no
NDV00003672,NDL000004,Warner,no
NDV00003672,NDL000028,Berry,other
NDV00003672,NDL000043,Grindberg,other
NDV00003673,NDL000002,Andrist,yes
NDV00003673,NDL000028,Berry,yes
NDV00003673,NDL000041,Bowman,yes
NDV00003673,NDL000005,Burckhard,yes
NDV00003673,NDL000035,Christmann,yes
NDV00003673,NDL000036,Cook,yes
NDV00003673,NDL000034,Dever,yes
NDV00003673,NDL000027,Dotzenrod,yes
NDV00003673,NDL000029,Erbele,yes
NDV00003673,,Fischer,yes
NDV00003673,NDL000046,Flakoll,yes
NDV00003673,NDL000008,Freborg,yes
NDV00003673,NDL000043,Grindberg,yes
NDV00003673,NDL000024,Heckaman,yes
NDV00003673,NDL000040,Hogue,yes
NDV00003673,NDL000017,Holmberg,yes
NDV00003673,NDL000049,Kilzer,yes
NDV00003673,NDL000014,Klein,yes
NDV00003673,NDL000042,Krebsbach,yes
NDV00003673,NDL000045,Laffen,yes
NDV00003673,NDL000003,Larsen,yes
NDV00003673,NDL000023,"Lee, G.",yes
NDV00003673,NDL000013,"Lee, J.",yes
NDV00003673,NDL000026,Luick,yes
NDV00003673,NDL000001,Lyson,yes
NDV00003673,NDL000009,Marcellais,yes
NDV00003673,NDL000011,Mathern,yes
NDV00003673,NDL000016,Miller,yes
NDV00003673,NDL000021,Murphy,yes
NDV00003673,NDL000022,Nelson,yes
