state,session,chamber,bill_id,type,name,leg_id
nd,62,lower,HB 1001,primary,Appropriations,
nd,62,lower,HB 1002,primary,Appropriations,
nd,62,lower,HB 1003,primary,Appropriations,
nd,62,lower,HB 1004,primary,Appropriations,
nd,62,lower,HB 1005,primary,Appropriations,
nd,62,lower,HB 1006,primary,Appropriations,
nd,62,lower,HB 1007,primary,Appropriations,
nd,62,lower,HB 1008,primary,Appropriations,
nd,62,lower,HB 1009,primary,Appropriations,
nd,62,lower,HB 1010,primary,Appropriations,
nd,62,lower,HB 1011,primary,Appropriations,
nd,62,lower,HB 1012,primary,Appropriations,
nd,62,lower,HB 1013,primary,Appropriations,
nd,62,lower,HB 1014,primary,Appropriations,
nd,62,lower,HB 1015,primary,Appropriations,
nd,62,lower,HB 1016,primary,Appropriations,
nd,62,lower,HB 1017,primary,Appropriations,
nd,62,lower,HB 1018,primary,Appropriations,
nd,62,lower,HB 1019,primary,Appropriations,
nd,62,lower,HB 1020,primary,Appropriations,
nd,62,lower,HB 1021,primary,Appropriations,
nd,62,lower,HB 1022,primary,Appropriations,
nd,62,lower,HB 1023,primary,Appropriations,
nd,62,lower,HB 1024,primary,Appropriations,
nd,62,lower,HB 1025,primary,Appropriations,
nd,62,lower,HB 1026,primary,Legislative Management,
nd,62,lower,HB 1027,primary,Legislative Management,
nd,62,lower,HB 1028,primary,Legislative Management,
nd,62,lower,HB 1029,primary,Legislative Management,
nd,62,lower,HB 1030,primary,Legislative Management,
nd,62,lower,HB 1031,primary,Legislative Management,
nd,62,lower,HB 1032,primary,Legislative Management,
nd,62,lower,HB 1033,primary,Legislative Management,
nd,62,lower,HB 1034,primary,Legislative Management,
nd,62,lower,HB 1035,primary,Legislative Management,
nd,62,lower,HB 1036,primary,Legislative Management,
nd,62,lower,HB 1037,primary,Legislative Management,
nd,62,lower,HB 1038,primary,Legislative Management,
nd,62,lower,HB 1039,primary,Legislative Management,
nd,62,lower,HB 1040,primary,Legislative Management,
nd,62,lower,HB 1041,primary,Legislative Management,
nd,62,lower,HB 1042,primary,Legislative Management,
nd,62,lower,HB 1043,primary,Legislative Management,
nd,62,lower,HB 1044,primary,Legislative Management,
nd,62,lower,HB 1045,primary,Legislative Management,
nd,62,lower,HB 1046,primary,Legislative Management,
nd,62,lower,HB 1047,primary,Legislative Management,
nd,62,lower,HB 1048,primary,Legislative Management,
nd,62,lower,HB 1049,primary,Legislative Management,
nd,62,lower,HB 1050,primary,Legislative Management,
nd,62,lower,HB 1051,primary,Legislative Management,
nd,62,lower,HB 1052,primary,Legislative Management,
nd,62,lower,HB 1053,primary,Legislative Management,
nd,62,lower,HB 1054,primary,Legislative Management,
nd,62,lower,HB 1055,primary,Legislative Management,
nd,62,lower,HB 1056,primary,Legislative Management,
nd,62,lower,HB 1057,primary,Legislative Management,
nd,62,lower,HB 1058,primary,Legislative Management,
nd,62,lower,HB 1059,primary,Legislative Management,
nd,62,lower,HB 1060,primary,Legislative Management,
nd,62,lower,HB 1061,primary,Legislative Management,
nd,62,lower,HB 1062,primary,Legislative Management,
nd,62,lower,HB 1063,primary,Frantsvog,NDL000128
nd,62,lower,HB 1063,cosponsor,Klein,NDL000129
nd,62,lower,HB 1064,primary,DeKrey,NDL000076
nd,62,lower,HB 1065,primary,DeKrey,NDL000076
nd,62,lower,HB 1066,primary,Rust,NDL000052
nd,62,lower,HB 1066,cosponsor,Sanford,NDL000083
nd,62,lower,HB 1066,cosponsor,Wieland,NDL000075
nd,62,lower,HB 1066,primary,Andrist,NDL000002
nd,62,lower,HB 1066,cosponsor,Miller,NDL000016
nd,62,lower,HB 1067,primary,Rust,NDL000052
nd,62,lower,HB 1068,primary,Rust,NDL000052
nd,62,lower,HB 1069,primary,Rust,NDL000052
nd,62,lower,HB 1070,primary,Drovdal,NDL000126
nd,62,lower,HB 1070,cosponsor,Kempenich,NDL000127
nd,62,lower,HB 1070,cosponsor,Hatlestad,NDL000050
nd,62,lower,HB 1070,primary,Warner,NDL000004
nd,62,lower,HB 1070,cosponsor,Bowman,NDL000041
nd,62,lower,HB 1070,cosponsor,Lyson,NDL000001
nd,62,lower,HB 1071,primary,Drovdal,NDL000126
nd,62,lower,HB 1071,cosponsor,Kempenich,NDL000127
nd,62,lower,HB 1071,cosponsor,Hatlestad,NDL000050
nd,62,lower,HB 1071,cosponsor,Rust,NDL000052
nd,62,lower,HB 1071,primary,Lyson,NDL000001
nd,62,lower,HB 1072,primary,Nathe,NDL000108
nd,62,lower,HB 1072,cosponsor,Belter,NDL000092
nd,62,lower,HB 1072,cosponsor,L. Meier,NDL000113
nd,62,lower,HB 1072,cosponsor,Porter,NDL000117
nd,62,lower,HB 1072,primary,Cook,NDL000036
nd,62,lower,HB 1072,cosponsor,Hogue,NDL000040
nd,62,lower,HB 1073,primary,Mueller,NDL000097
nd,62,lower,HB 1073,cosponsor,D. Johnson,NDL000079
nd,62,lower,HB 1073,cosponsor,Rust,NDL000052
nd,62,lower,HB 1073,cosponsor,Wall,NDL000098
nd,62,lower,HB 1073,primary,Heckaman,NDL000024
nd,62,lower,HB 1073,cosponsor,G. Lee,NDL000023
nd,62,lower,HB 1074,primary,D. Johnson,NDL000079
nd,62,lower,HB 1074,cosponsor,Hanson,NDL000072
nd,62,lower,HB 1074,cosponsor,Wall,NDL000098
nd,62,lower,HB 1074,primary,Luick,NDL000026
nd,62,lower,HB 1074,cosponsor,Robinson,NDL000025
nd,62,lower,HB 1074,cosponsor,Oehlke,NDL000015
nd,62,lower,HB 1075,primary,Glassheim,NDL000084
nd,62,lower,HB 1075,primary,Andrist,NDL000002
nd,62,lower,HB 1076,primary,DeKrey,NDL000076
nd,62,lower,HB 1077,primary,Drovdal,NDL000126
nd,62,lower,HB 1077,cosponsor,Kempenich,NDL000127
nd,62,lower,HB 1077,cosponsor,Hatlestad,NDL000050
nd,62,lower,HB 1077,cosponsor,Onstad,NDL000057
nd,62,lower,HB 1077,primary,Warner,NDL000004
nd,62,lower,HB 1077,cosponsor,Lyson,NDL000001
nd,62,lower,HB 1078,primary,S. Meyer,NDL000120
nd,62,lower,HB 1078,cosponsor,Weisz,NDL000077
nd,62,lower,HB 1078,cosponsor,Delmore,NDL000134
nd,62,lower,HB 1078,primary,J. Lee,NDL000013
nd,62,lower,HB 1078,cosponsor,Mathern,NDL000011
nd,62,lower,HB 1079,primary,Transportation,
nd,62,lower,HB 1080,primary,"Industry, Business and Labor",
nd,62,lower,HB 1081,primary,Government and Veterans Affairs,
nd,62,lower,HB 1082,primary,Transportation,
nd,62,lower,HB 1083,primary,"Industry, Business and Labor",
nd,62,lower,HB 1084,primary,Judiciary,
nd,62,lower,HB 1085,primary,Human Services,
nd,62,lower,HB 1086,primary,Judiciary,
nd,62,lower,HB 1087,primary,Judiciary,
nd,62,lower,HB 1088,primary,Government and Veterans Affairs,
nd,62,lower,HB 1089,primary,Transportation,
nd,62,lower,HB 1090,primary,Agriculture,
nd,62,lower,HB 1091,primary,Judiciary,
nd,62,lower,HB 1092,primary,Education,
nd,62,lower,HB 1093,primary,Judiciary,
nd,62,lower,HB 1094,primary,Government and Veterans Affairs,
nd,62,lower,HB 1095,primary,Human Services,
nd,62,lower,HB 1096,primary,Judiciary,
nd,62,lower,HB 1097,primary,Government and Veterans Affairs,
nd,62,lower,HB 1098,primary,Government and Veterans Affairs,
nd,62,lower,HB 1099,primary,Finance and Taxation,
nd,62,lower,HB 1100,primary,Political Subdivisions,
nd,62,lower,HB 1101,primary,Finance and Taxation,
nd,62,lower,HB 1102,primary,Finance and Taxation,
nd,62,lower,HB 1103,primary,Transportation,
nd,62,lower,HB 1104,primary,"Industry, Business and Labor",
nd,62,lower,HB 1105,primary,Political Subdivisions,
nd,62,lower,HB 1106,primary,Education,
nd,62,lower,HB 1107,primary,Energy and Natural Resources,
nd,62,lower,HB 1108,primary,Judiciary,
nd,62,lower,HB 1109,primary,Transportation,
nd,62,lower,HB 1110,primary,Human Services,
nd,62,lower,HB 1111,primary,"Industry, Business and Labor",
nd,62,lower,HB 1112,primary,Judiciary,
nd,62,lower,HB 1113,primary,Transportation,
nd,62,lower,HB 1114,primary,Political Subdivisions,
nd,62,lower,HB 1115,primary,Judiciary,
nd,62,lower,HB 1116,primary,Finance and Taxation,
nd,62,lower,HB 1117,primary,Judiciary,
nd,62,lower,HB 1118,primary,Government and Veterans Affairs,
nd,62,lower,HB 1119,primary,"Industry, Business and Labor",
nd,62,lower,HB 1120,primary,Judiciary,
nd,62,lower,HB 1121,primary,Judiciary,
nd,62,lower,HB 1122,primary,"Industry, Business and Labor",
nd,62,lower,HB 1123,primary,"Industry, Business and Labor",
nd,62,lower,HB 1124,primary,Finance and Taxation,
nd,62,lower,HB 1125,primary,Keiser,NDL000142
nd,62,lower,HB 1126,primary,Keiser,NDL000142
nd,62,lower,HB 1127,primary,Keiser,NDL000142
nd,62,lower,HB 1128,primary,Education,
nd,62,lower,HB 1129,primary,Education,
nd,62,lower,HB 1130,primary,"Industry, Business and Labor",
nd,62,lower,HB 1131,primary,"Industry, Business and Labor",
nd,62,lower,HB 1132,primary,Government and Veterans Affairs,
nd,62,lower,HB 1133,primary,Government and Veterans Affairs,
nd,62,lower,HB 1134,primary,Government and Veterans Affairs,
nd,62,lower,HB 1135,primary,Judiciary,
nd,62,lower,HB 1136,primary,Judiciary,
nd,62,lower,HB 1137,primary,Judiciary,
nd,62,lower,HB 1138,primary,Judiciary,
nd,62,lower,HB 1139,primary,Porter,NDL000117
nd,62,lower,HB 1140,primary,Klemin,NDL000143
nd,62,lower,HB 1140,cosponsor,Kasper,NDL000141
nd,62,lower,HB 1140,cosponsor,Keiser,NDL000142
nd,62,lower,HB 1140,primary,Andrist,NDL000002
nd,62,lower,HB 1140,cosponsor,Fischer,
nd,62,lower,HB 1140,cosponsor,Klein,NDL000129
nd,62,lower,HB 1141,primary,Carlson,NDL000130
nd,62,lower,HB 1142,primary,DeKrey,NDL000076
nd,62,lower,HB 1142,cosponsor,Drovdal,NDL000126
nd,62,lower,HB 1142,cosponsor,Kaldor,NDL000089
nd,62,lower,HB 1142,primary,Klein,NDL000129
nd,62,lower,HB 1142,cosponsor,Uglem,NDL000019
nd,62,lower,HB 1142,cosponsor,O'Connell,NDL000006
nd,62,lower,HB 1143,primary,Kingsbury,NDL000081
nd,62,lower,HB 1143,cosponsor,Monson,NDL000069
nd,62,lower,HB 1143,cosponsor,Owens,NDL000082
nd,62,lower,HB 1143,cosponsor,Sanford,NDL000083
nd,62,lower,HB 1143,cosponsor,Kilichowski,NDL000080
nd,62,lower,HB 1143,primary,Miller,NDL000016
nd,62,lower,HB 1143,cosponsor,Heckaman,NDL000024
nd,62,lower,HB 1144,primary,Drovdal,NDL000126
nd,62,lower,HB 1144,cosponsor,Hatlestad,NDL000050
nd,62,lower,HB 1144,primary,Andrist,NDL000002
nd,62,lower,HB 1144,cosponsor,Lyson,NDL000001
nd,62,lower,HB 1145,primary,Drovdal,NDL000126
