state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nd,62,upper,SCR 4024,NDV00001832,lower,"Second reading, failed to adopt yeas 16 nays 75",2011-03-18 00:00:00,reading:2,16,75,0
nd,63,upper,SB 2003,NDV00003731,lower,"The question being the adoption of Division B of the proposed amendments toEngrossed SB 2003, the motion passed on a voice vote.",2013-02-26 00:00:00,other,0,0,0
nd,63,upper,SB 2360,NDV00003727,lower,"The question being on the final adoption of the resolution, which has been read, and hascommittee recommendation of DO PASS.",2013-02-11 00:00:00,other,0,0,0
nd,63,upper,SB 2311,NDV00003728,lower,"""The question being on the motion to reconsider the action whereby SB 2251 passed, themotion prevailed on a voice vote.""",2013-02-11 00:00:00,other,0,0,0
nd,62,upper,SCR 4023,NDV00001833,lower,"Second reading, failed to adopt yeas 9 nays 81",2011-03-22 00:00:00,reading:2,9,81,0
nd,62,upper,SB 2079,NDV00001834,upper,"Second reading, passed, yeas 46 nays 0, Emergency clause carried",2011-01-31 00:00:00,reading:2,46,0,0
nd,62,upper,SB 2079,NDV00001835,lower,"Second reading, passed as amended, yeas 79 nays 0",2011-03-11 00:00:00,reading:2,79,0,0
nd,62,upper,SB 2079,NDV00001836,upper,"Second reading, passed, yeas 47 nays 0, Emergency clause carried",2011-04-05 00:00:00,reading:2,47,0,0
nd,62,upper,SB 2171,NDV00001837,upper,"Second reading, passed, yeas 47 nays 0",2011-02-22 00:00:00,reading:2,47,0,0
nd,62,upper,SB 2171,NDV00001838,lower,"Second reading, passed, yeas 84 nays 6",2011-03-24 00:00:00,reading:2,84,6,0
nd,62,upper,SB 2071,NDV00001839,upper,"Second reading, passed, yeas 47 nays 0",2011-01-19 00:00:00,reading:2,47,0,0
nd,62,upper,SB 2071,NDV00001840,lower,"Second reading, passed as amended, yeas 93 nays 1",2011-03-08 00:00:00,reading:2,93,1,0
nd,62,upper,SB 2071,NDV00001841,upper,"Second reading, passed, yeas 47 nays 0, Emergency clause carried",2011-04-01 00:00:00,reading:2,47,0,0
nd,62,upper,SB 2070,NDV00001842,upper,"Second reading, passed, yeas 45 nays 0, Emergency clause carried",2011-02-16 00:00:00,reading:2,45,0,0
nd,62,upper,SB 2070,NDV00001843,lower,"Second reading, passed, yeas 91 nays 0, Emergency clause carried",2011-04-05 00:00:00,reading:2,91,0,0
nd,62,upper,SB 2318,NDV00001844,upper,"Second reading, passed, yeas 46 nays 0",2011-02-15 00:00:00,reading:2,46,0,0
nd,62,upper,SB 2318,NDV00001845,lower,"Second reading, passed, yeas 94 nays 0",2011-03-07 00:00:00,reading:2,94,0,0
nd,62,upper,SB 2318,NDV00003663,upper,"The question being on the motion to adopt the amendments to SB 2206 which includesDivision A and Division B, the motion prevailed on a voice vote.",2011-02-15 00:00:00,other,46,0,1
nd,62,upper,SB 2319,NDV00001846,upper,"Second reading, failed to pass, yeas 8 nays 36",2011-02-17 00:00:00,reading:2,8,36,0
nd,62,upper,SB 2316,NDV00001847,upper,"Second reading, failed to pass, yeas 5 nays 41",2011-02-08 00:00:00,reading:2,5,41,0
nd,62,upper,SB 2317,NDV00001848,upper,"Second reading, passed, yeas 43 nays 2",2011-02-16 00:00:00,reading:2,43,2,0
nd,62,upper,SB 2317,NDV00001849,lower,"Second reading, passed, yeas 91 nays 1",2011-04-01 00:00:00,reading:2,91,1,0
nd,62,upper,SB 2314,NDV00001850,upper,"Second reading, passed, yeas 46 nays 0",2011-02-18 00:00:00,reading:2,46,0,0
nd,62,upper,SB 2314,NDV00001851,lower,"Second reading, failed to pass, yeas 23 nays 65",2011-03-25 00:00:00,reading:2,23,65,0
nd,62,upper,SB 2315,NDV00001852,upper,"Second reading, failed to pass, yeas 20 nays 26",2011-02-11 00:00:00,reading:2,20,26,0
nd,62,upper,SB 2315,NDV00003664,upper,"The question being on the motion to adopt the amendments to SB 2315, the motionprevailed on a verification vote.",2011-02-11 00:00:00,other,20,26,1
nd,62,upper,SB 2312,NDV00001853,upper,"Second reading, failed to pass, yeas 9 nays 37",2011-02-04 00:00:00,reading:2,9,37,0
nd,62,upper,SB 2313,NDV00001854,upper,"Second reading, failed to pass, yeas 12 nays 35",2011-02-23 00:00:00,reading:2,12,35,0
