leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NDL000007,member,62,7,upper,nd,Democratic,,,,,
NDL000007,committee member,62,,upper,nd,,NDC000013,CorrectionandRevisionoftheJournal,,,
NDL000081,member,62,16,lower,nd,Republican,,,,,
NDL000081,committee member,62,,lower,nd,,NDC000017,Agriculture,,,
NDL000132,member,62,42,lower,nd,Republican,,,,,
NDL000132,committee member,62,,lower,nd,,NDC000020,AppropriationsGovernmentOperationsDivision,,,
NDL000085,member,62,18,lower,nd,Democratic,,,,,
NDL000085,committee member,62,,lower,nd,,NDC000022,ConstitutionalRevision,,,
NDL000085,committee member,62,,lower,nd,,NDC000024,FinanceandTaxation,,,
NDL000085,committee member,62,,lower,nd,,NDC000025,GovernmentandVeteransAffairs,,,
NDL000085,committee member,62,,lower,nd,,NDC000038,Rules,,,
NDL000056,member,62,4,lower,nd,Democratic,,,,,
NDL000056,committee member,62,,lower,nd,,NDC000017,Agriculture,,,
NDL000056,committee member,62,,lower,nd,,NDC000022,ConstitutionalRevision,,,
NDL000056,committee member,62,,lower,nd,,NDC000026,HumanServices,,,
NDL000136,member,62,44,lower,nd,Republican,,,,,
NDL000136,committee member,62,,lower,nd,,NDC000027,IndustryBusinessandLabor,,,
NDL000136,committee member,62,,lower,nd,,NDC000029,EnergyandNaturalResources,,,
NDL000144,member,62,46,upper,nd,Republican,,,,,
NDL000008,member,62,8,upper,nd,Republican,,,,,
NDL000008,committee member,62,,upper,nd,,NDC000003,Education,,,
NDL000008,committee member,62,,upper,nd,,NDC000009,NaturalResources,,,
NDL000019,member,62,19,upper,nd,Republican,,,,,
NDL000019,committee member,62,,upper,nd,,NDC000006,HumanServices,,,
NDL000019,committee member,62,,upper,nd,,NDC000009,NaturalResources,,,
NDL000010,member,62,10,upper,nd,Republican,,,,,
NDL000010,committee member,62,,upper,nd,,NDC000008,Judiciary,,,
NDL000010,committee member,62,,upper,nd,,NDC000010,PoliticalSubdivisions,,,
NDL000012,member,62,12,upper,nd,Republican,,,,,
NDL000012,committee member,62,,upper,nd,,NDC000008,Judiciary,,,
NDL000012,committee member,62,,upper,nd,,NDC000011,Transportation,,,
NDL000038,member,62,36,upper,nd,Republican,,,,,
NDL000038,committee member,62,,upper,nd,,NDC000007,IndustryBusinessandLabor,,,
NDL000038,committee member,62,,upper,nd,,NDC000011,Transportation,,,
NDL000096,member,62,24,lower,nd,Democratic,,,,,
NDL000096,committee member,62,,lower,nd,,NDC000021,AppropriationsHumanResourcesDivision,,,
NDL000080,member,62,16,lower,nd,Democratic,,,,,
NDL000080,committee member,62,,lower,nd,,NDC000026,HumanServices,,,
NDL000080,committee member,62,,lower,nd,,NDC000030,PoliticalSubdivisions,,,
NDL000093,member,62,22,lower,nd,Republican,,,,,
NDL000093,committee member,62,,lower,nd,,NDC000026,HumanServices,,,
NDL000093,committee member,62,,lower,nd,,NDC000030,PoliticalSubdivisions,,,
NDL000109,member,62,30,lower,nd,Republican,,,,,
NDL000109,committee member,62,,lower,nd,,NDC000024,FinanceandTaxation,,,
NDL000109,committee member,62,,lower,nd,,NDC000031,Transportation,,,
NDL000076,member,62,14,lower,nd,Republican,,,,,
NDL000076,committee member,62,,lower,nd,,NDC000028,Judiciary,,,
NDL000076,committee member,62,,lower,nd,,NDC000029,EnergyandNaturalResources,,,
NDL000076,committee member,62,,lower,nd,,NDC000037,InauguralPlanning,,,
NDL000032,member,62,30,upper,nd,Republican,,,,,2011-07-18 00:00:00
NDL000072,member,62,12,lower,nd,Democratic,,,,,
NDL000072,committee member,62,,lower,nd,,NDC000023,Education,,,
NDL000072,committee member,62,,lower,nd,,NDC000029,EnergyandNaturalResources,,,
NDL000072,committee member,62,,lower,nd,,NDC000032,ArrangementsforHouseCommitteeRooms,,,
NDL000120,member,62,36,lower,nd,Democratic,,,,,
NDL000120,committee member,62,,lower,nd,,NDC000024,FinanceandTaxation,,,
NDL000120,committee member,62,,lower,nd,,NDC000030,PoliticalSubdivisions,,,
NDL000120,committee member,62,,lower,nd,,NDC000033,Committees,,,
NDL000097,member,62,24,lower,nd,Democratic,,,,,
NDL000097,committee member,62,,lower,nd,,NDC000017,Agriculture,,,
NDL000097,committee member,62,,lower,nd,,NDC000023,Education,,,
NDL000097,committee member,62,,lower,nd,,NDC000034,CorrectionandRevisionoftheJournal,,,
NDL000089,member,62,20,lower,nd,Democratic,,,,,
NDL000089,committee member,62,,lower,nd,,NDC000021,AppropriationsHumanResourcesDivision,,,
NDL000089,committee member,62,,lower,nd,,NDC000035,DelayedBills,,,
NDL000116,member,62,34,lower,nd,Republican,,,,,
NDL000116,committee member,62,,lower,nd,,NDC000023,Education,,,
NDL000116,committee member,62,,lower,nd,,NDC000031,Transportation,,,
NDL000116,committee member,62,,lower,nd,,NDC000033,Committees,,,
NDL000116,committee member,62,,lower,nd,,NDC000036,Employment,,,
NDL000065,member,62,8,lower,nd,Republican,,,,,
NDL000065,committee member,62,,lower,nd,,NDC000017,Agriculture,,,
NDL000065,committee member,62,,lower,nd,,NDC000024,FinanceandTaxation,,,
NDL000065,committee member,62,,lower,nd,,NDC000036,Employment,,,
NDL000020,member,62,20,upper,nd,Democratic,,,,,2010-12-01 00:00:00
NDL000048,member,62,46,upper,nd,Republican,,,,,2011-11-16 00:00:00
NDL000048,committee member,62,,upper,nd,,NDC000002,Appropriations,,,
NDL000035,member,62,33,upper,nd,Republican,,,,,
NDL000035,committee member,62,,upper,nd,,NDC000002,Appropriations,,,
NDL000035,committee member,62,,upper,nd,,NDC000012,Committees,,,
NDL000073,member,62,12,lower,nd,Democratic,,,,,
NDL000073,committee member,62,,lower,nd,,NDC000020,AppropriationsGovernmentOperationsDivision,,,
NDL000073,committee member,62,,lower,nd,,NDC000033,Committees,,,
NDL000075,member,63,13,lower,nd,Republican,,,,,
NDL000075,committee member,63,,lower,nd,,,Budget Section,,,
NDL000075,committee member,63,,lower,nd,,,Appropriations,,,
NDL000075,committee member,63,,lower,nd,,,Appropriations - Human Resources Division,,,
NDL000075,committee member,63,,lower,nd,,NDC000018,Appropriations,,,
NDL000075,committee member,63,,lower,nd,,NDC000045,Appropriations - Human Resources Division,,,
NDL000075,member,62,13,lower,nd,Republican,,,,,
NDL000075,committee member,62,,lower,nd,,NDC000021,AppropriationsHumanResourcesDivision,,,
NDL000094,member,63,23,lower,nd,Republican,,,,,
NDL000094,committee member,63,,lower,nd,,,Administrative Rules Committee,,,
NDL000094,committee member,63,,lower,nd,,,Legislative Management,,,
NDL000094,committee member,63,,lower,nd,,,Committees,,,
NDL000094,committee member,63,,lower,nd,,,Delayed Bills,,,
NDL000094,committee member,63,,lower,nd,,,Rules,,,
NDL000094,committee member,63,,lower,nd,,NDC000033,Committees,,,
NDL000094,committee member,63,,lower,nd,,NDC000041,Delayed Bills,,,
NDL000094,committee member,63,,lower,nd,,NDC000038,Rules,,,
NDL000094,member,62,23,lower,nd,Republican,,,,,
NDL000094,committee member,62,,lower,nd,,NDC000026,HumanServices,,,
NDL000094,committee member,62,,lower,nd,,NDC000030,PoliticalSubdivisions,,,
NDL000112,member,63,32,lower,nd,Republican,,,,,
NDL000112,committee member,63,,lower,nd,,,Budget Section,,,
NDL000112,committee member,63,,lower,nd,,,Appropriations,,,
NDL000112,committee member,63,,lower,nd,,,Appropriations - Education and Environment Division,,,
NDL000112,committee member,63,,lower,nd,,,Arrangements for House Committee Rooms,,,
NDL000112,committee member,63,,lower,nd,,NDC000039,Arrangements for House Committee Rooms,,,
NDL000112,committee member,63,,lower,nd,,NDC000018,Appropriations,,,
NDL000112,committee member,63,,lower,nd,,NDC000043,Appropriations - Education and Environment Division,,,
NDL000112,member,62,32,lower,nd,Republican,,,,,
NDL000112,committee member,62,,lower,nd,,NDC000019,AppropriationsEducationandEnvironmentDivision,,,
NDL000112,committee member,62,,lower,nd,,NDC000032,ArrangementsforHouseCommitteeRooms,,,
NDL000057,member,63,4,lower,nd,Democratic,,,,,
NDL000057,committee member,63,,lower,nd,,,Legislative Management,,,
NDL000057,committee member,63,,lower,nd,,,Delayed Bills,,,
NDL000057,committee member,63,,lower,nd,,NDC000041,Delayed Bills,,,
NDL000057,member,62,4,lower,nd,Democratic,,,,,
NDL000057,committee member,62,,lower,nd,,NDC000028,Judiciary,,,
NDL000057,committee member,62,,lower,nd,,NDC000031,Transportation,,,
NDL000202,member,63,18,lower,nd,Democratic,,,,,
NDL000202,committee member,63,,lower,nd,,,Finance and Taxation,,,
NDL000202,committee member,63,,lower,nd,,,Government and Veterans Affairs,,,
NDL000202,committee member,63,,lower,nd,,NDC000047,Finance and Taxation,,,
NDL000202,committee member,63,,lower,nd,,NDC000048,Government and Veterans Affairs,,,
NDL000220,member,63,24,lower,nd,Democratic,,,,,
NDL000220,committee member,63,,lower,nd,,,Human Services,,,
NDL000220,committee member,63,,lower,nd,,,Political Subdivisions,,,
NDL000220,committee member,63,,lower,nd,,NDC000049,Human Services,,,
NDL000220,committee member,63,,lower,nd,,NDC000051,Political Subdivisions,,,
NDL000208,member,63,20,lower,nd,Democratic,,,,,
NDL000208,committee member,63,,lower,nd,,,Government and Veterans Affairs,,,
NDL000208,committee member,63,,lower,nd,,,Human Services,,,
NDL000208,committee member,63,,lower,nd,,NDC000048,Government and Veterans Affairs,,,
NDL000208,committee member,63,,lower,nd,,NDC000049,Human Services,,,
NDL000058,member,63,5,lower,nd,Republican,,,,,
NDL000058,committee member,63,,lower,nd,,,Employee Benefits Programs Committee,,,
NDL000058,committee member,63,,lower,nd,,,Energy and Natural Resources,,,
NDL000058,committee member,63,,lower,nd,,,Judiciary,,,
NDL000058,committee member,63,,lower,nd,,NDC000046,Energy and Natural Resources,,,
NDL000058,committee member,63,,lower,nd,,NDC000028,Judiciary,,,
NDL000058,member,62,5,lower,nd,Republican,,,,,
NDL000058,committee member,62,,lower,nd,,NDC000028,Judiciary,,,
NDL000058,committee member,62,,lower,nd,,NDC000029,EnergyandNaturalResources,,,
NDL000098,member,63,25,lower,nd,Republican,,,,,
NDL000098,committee member,63,,lower,nd,,,Employee Benefits Programs Committee,,,
NDL000098,committee member,63,,lower,nd,,,Agriculture,,,
NDL000098,committee member,63,,lower,nd,,,Education,,,
NDL000098,committee member,63,,lower,nd,,NDC000017,Agriculture,,,
NDL000098,committee member,63,,lower,nd,,NDC000023,Education,,,
NDL000098,member,62,25,lower,nd,Republican,,,,,
NDL000098,committee member,62,,lower,nd,,NDC000017,Agriculture,,,
NDL000098,committee member,62,,lower,nd,,NDC000023,Education,,,
NDL000255,member,63,36,lower,nd,Republican,,,,,
NDL000255,committee member,63,,lower,nd,,,Agriculture,,,
NDL000255,committee member,63,,lower,nd,,,Human Services,,,
NDL000255,committee member,63,,lower,nd,,NDC000017,Agriculture,,,
NDL000255,committee member,63,,lower,nd,,NDC000049,Human Services,,,
NDL000195,member,63,16,lower,nd,Democratic,,,,,
NDL000195,committee member,63,,lower,nd,,,Judiciary,,,
NDL000195,committee member,63,,lower,nd,,,Political Subdivisions,,,
NDL000195,committee member,63,,lower,nd,,NDC000028,Judiciary,,,
NDL000195,committee member,63,,lower,nd,,NDC000051,Political Subdivisions,,,
NDL000172,member,63,8,lower,nd,Republican,,,,,
NDL000172,committee member,63,,lower,nd,,,Government and Veterans Affairs,,,
NDL000172,committee member,63,,lower,nd,,,Human Services,,,
NDL000172,committee member,63,,lower,nd,,NDC000048,Government and Veterans Affairs,,,
NDL000172,committee member,63,,lower,nd,,NDC000049,Human Services,,,
NDL000088,member,63,20,lower,nd,Democratic,,,,,
NDL000088,committee member,63,,lower,nd,,,Appropriations,,,
NDL000088,committee member,63,,lower,nd,,,Appropriations - Human Resources Division,,,
NDL000088,committee member,63,,lower,nd,,,Committees,,,
